날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-16,5740.0,상승  10,5800.0,6000.0,5440.0,220426.0,남해화학,025860
2020-03-17,5680.0,하락  60,5280.0,5750.0,5250.0,206815.0,남해화학,025860
2020-03-18,5350.0,하락  330,5690.0,5750.0,5350.0,269946.0,남해화학,025860
2020-03-19,4510.0,하락  840,5310.0,5500.0,4500.0,662032.0,남해화학,025860
2020-03-20,4980.0,상승  470,4520.0,4980.0,4520.0,320488.0,남해화학,025860
2020-03-23,4695.0,하락  285,4740.0,4750.0,4540.0,228248.0,남해화학,025860
2020-03-24,5050.0,상승  355,4750.0,5050.0,4700.0,233705.0,남해화학,025860
2020-03-25,5700.0,상승  650,5340.0,5730.0,5150.0,330792.0,남해화학,025860
2020-03-26,5700.0,보합0,5720.0,5930.0,5550.0,283427.0,남해화학,025860
2020-03-27,5800.0,상승  100,5890.0,5950.0,5640.0,267865.0,남해화학,025860
2020-03-30,5870.0,상승  70,5520.0,6000.0,5520.0,230313.0,남해화학,025860
2020-03-31,6990.0,"상승  1,120",5990.0,7390.0,5920.0,1891675.0,남해화학,025860
2020-04-01,6670.0,하락  320,7050.0,7330.0,6490.0,784128.0,남해화학,025860
2020-04-02,6920.0,상승  250,6620.0,7170.0,6500.0,459304.0,남해화학,025860
2020-04-03,6950.0,상승  30,6990.0,7010.0,6740.0,287166.0,남해화학,025860
2020-04-06,7170.0,상승  220,7120.0,7350.0,7100.0,457777.0,남해화학,025860
2020-04-07,7500.0,상승  330,7300.0,7900.0,7120.0,1035452.0,남해화학,025860
2020-04-08,7360.0,하락  140,7430.0,7530.0,7230.0,335231.0,남해화학,025860
2020-04-09,7510.0,상승  150,7460.0,7650.0,7300.0,438514.0,남해화학,025860
2020-04-10,7460.0,하락  50,7410.0,7520.0,7300.0,285131.0,남해화학,025860
2020-04-13,7350.0,하락  110,7390.0,7490.0,7200.0,338818.0,남해화학,025860
2020-04-14,7540.0,상승  190,7400.0,7780.0,7370.0,679527.0,남해화학,025860
2020-04-16,7950.0,상승  410,7600.0,8040.0,7360.0,756395.0,남해화학,025860
2020-04-17,7890.0,하락  60,8030.0,8040.0,7820.0,353596.0,남해화학,025860
2020-04-20,8140.0,상승  250,7900.0,8330.0,7820.0,694690.0,남해화학,025860
2020-04-21,7810.0,하락  330,8120.0,8350.0,7300.0,891912.0,남해화학,025860
2020-04-22,7920.0,상승  110,7670.0,7950.0,7500.0,295670.0,남해화학,025860
2020-04-23,7860.0,하락  60,7950.0,7960.0,7620.0,272637.0,남해화학,025860
2020-04-24,7660.0,하락  200,7860.0,7870.0,7600.0,263768.0,남해화학,025860
2020-04-27,7720.0,상승  60,7660.0,7790.0,7660.0,142997.0,남해화학,025860
2020-04-28,7750.0,상승  30,7820.0,7820.0,7590.0,182031.0,남해화학,025860
2020-04-29,7790.0,상승  40,7720.0,7790.0,7680.0,109564.0,남해화학,025860
2020-05-04,7700.0,하락  90,7900.0,7990.0,7700.0,274104.0,남해화학,025860
2020-05-06,7770.0,상승  70,7740.0,7790.0,7650.0,169813.0,남해화학,025860
2020-05-07,7780.0,상승  10,7860.0,7860.0,7750.0,165568.0,남해화학,025860
2020-05-08,7880.0,상승  100,7780.0,7890.0,7780.0,225380.0,남해화학,025860
2020-05-11,7750.0,하락  130,7880.0,7890.0,7650.0,157190.0,남해화학,025860
2020-05-12,7560.0,하락  190,7670.0,7790.0,7500.0,183057.0,남해화학,025860
2020-05-13,7530.0,하락  30,7470.0,7590.0,7400.0,113923.0,남해화학,025860
2020-05-14,7410.0,하락  120,7530.0,7550.0,7350.0,133311.0,남해화학,025860
2020-05-15,7420.0,상승  10,7450.0,7500.0,7320.0,112230.0,남해화학,025860
2020-05-18,7500.0,상승  80,7490.0,7540.0,7400.0,81473.0,남해화학,025860
2020-05-19,7700.0,상승  200,7580.0,7760.0,7570.0,215503.0,남해화학,025860
2020-05-20,7710.0,상승  10,7690.0,7800.0,7640.0,162074.0,남해화학,025860
2020-05-21,7740.0,상승  30,7740.0,7800.0,7650.0,164883.0,남해화학,025860
2020-05-22,7700.0,하락  40,7780.0,7780.0,7600.0,146014.0,남해화학,025860
2020-05-25,7680.0,하락  20,7700.0,7720.0,7600.0,86751.0,남해화학,025860
2020-05-26,7880.0,상승  200,7700.0,7900.0,7660.0,267327.0,남해화학,025860
2020-05-27,7890.0,상승  10,7880.0,7940.0,7780.0,198700.0,남해화학,025860
2020-05-28,7950.0,상승  60,7910.0,8250.0,7810.0,799014.0,남해화학,025860
2020-05-29,7850.0,하락  100,7930.0,8040.0,7770.0,273305.0,남해화학,025860
2020-06-01,7950.0,상승  100,7870.0,7980.0,7790.0,236095.0,남해화학,025860
2020-06-02,7970.0,상승  20,7990.0,8050.0,7900.0,231516.0,남해화학,025860
2020-06-03,8030.0,상승  60,8030.0,8150.0,7970.0,381601.0,남해화학,025860
2020-06-04,8230.0,상승  200,8050.0,8320.0,8050.0,554537.0,남해화학,025860
2020-06-05,8210.0,하락  20,8260.0,8300.0,7820.0,359956.0,남해화학,025860
2020-06-08,7950.0,하락  260,8170.0,8210.0,7910.0,426808.0,남해화학,025860
2020-06-09,7910.0,하락  40,7900.0,8020.0,7840.0,334109.0,남해화학,025860
2020-06-10,7850.0,하락  60,7950.0,7990.0,7830.0,173996.0,남해화학,025860
2020-06-11,7900.0,상승  50,7840.0,7990.0,7800.0,226048.0,남해화학,025860
2020-06-12,7650.0,하락  250,7650.0,7700.0,7500.0,231725.0,남해화학,025860
2020-06-15,7020.0,하락  630,7520.0,7560.0,7020.0,371245.0,남해화학,025860
2020-06-16,7440.0,상승  420,7380.0,7440.0,7080.0,150064.0,남해화학,025860
2020-06-17,7210.0,하락  230,7330.0,7400.0,7080.0,252036.0,남해화학,025860
2020-06-18,7220.0,상승  10,7150.0,7330.0,7110.0,114259.0,남해화학,025860
2020-06-19,7210.0,하락  10,7230.0,7520.0,7120.0,196722.0,남해화학,025860
2020-06-22,7150.0,하락  60,7210.0,7280.0,7100.0,109932.0,남해화학,025860
