날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-13,4205.0,하락  345,4055.0,4285.0,4045.0,45431.0,넥센,005720
2020-03-16,4080.0,하락  125,4205.0,4395.0,4075.0,18049.0,넥센,005720
2020-03-17,3900.0,하락  180,4085.0,4085.0,3850.0,26891.0,넥센,005720
2020-03-18,3820.0,하락  80,3960.0,3960.0,3760.0,24268.0,넥센,005720
2020-03-19,3180.0,하락  640,3700.0,3815.0,3050.0,129845.0,넥센,005720
2020-03-20,3305.0,상승  125,3025.0,3400.0,3025.0,44863.0,넥센,005720
2020-03-23,2985.0,하락  320,3100.0,3215.0,2920.0,183852.0,넥센,005720
2020-03-24,3060.0,상승  75,3075.0,3075.0,2985.0,48579.0,넥센,005720
2020-03-25,3320.0,상승  260,3170.0,3340.0,3070.0,64114.0,넥센,005720
2020-03-26,3420.0,상승  100,3350.0,3565.0,3230.0,76890.0,넥센,005720
2020-03-27,3505.0,상승  85,3570.0,3570.0,3335.0,73030.0,넥센,005720
2020-03-30,3500.0,하락  5,3390.0,3545.0,3390.0,28955.0,넥센,005720
2020-03-31,3650.0,상승  150,3550.0,3670.0,3520.0,56815.0,넥센,005720
2020-04-01,3655.0,상승  5,3650.0,3730.0,3555.0,71931.0,넥센,005720
2020-04-02,3725.0,상승  70,3655.0,3730.0,3580.0,53049.0,넥센,005720
2020-04-03,3730.0,상승  5,3730.0,3760.0,3665.0,33246.0,넥센,005720
2020-04-06,3815.0,상승  85,3730.0,3820.0,3705.0,35228.0,넥센,005720
2020-04-07,4050.0,상승  235,3860.0,4060.0,3860.0,51914.0,넥센,005720
2020-04-08,4130.0,상승  80,4220.0,4250.0,4000.0,70113.0,넥센,005720
2020-04-09,4190.0,상승  60,4230.0,4230.0,4100.0,145091.0,넥센,005720
2020-04-10,4430.0,상승  240,4205.0,4870.0,4190.0,155180.0,넥센,005720
2020-04-13,4505.0,상승  75,4550.0,4580.0,4365.0,58925.0,넥센,005720
2020-04-14,4620.0,상승  115,4505.0,4725.0,4405.0,39503.0,넥센,005720
2020-04-16,4590.0,하락  30,4680.0,4685.0,4440.0,48635.0,넥센,005720
2020-04-17,4555.0,하락  35,4590.0,4650.0,4550.0,47830.0,넥센,005720
2020-04-20,4600.0,상승  45,4585.0,4600.0,4525.0,35207.0,넥센,005720
