날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-13,5000.0,하락  400,5150.0,5150.0,4755.0,538225.0,넥센타이어,002350
2020-03-16,4940.0,하락  60,5100.0,5140.0,4765.0,333114.0,넥센타이어,002350
2020-03-17,4885.0,하락  55,4500.0,5140.0,4500.0,361561.0,넥센타이어,002350
2020-03-18,4670.0,하락  215,4885.0,4915.0,4650.0,271918.0,넥센타이어,002350
2020-03-19,3890.0,하락  780,4750.0,4790.0,3855.0,753704.0,넥센타이어,002350
2020-03-20,4625.0,상승  735,3890.0,4625.0,3815.0,455276.0,넥센타이어,002350
2020-03-23,3900.0,하락  725,4200.0,4200.0,3865.0,483446.0,넥센타이어,002350
2020-03-24,4090.0,상승  190,3985.0,4130.0,3865.0,386756.0,넥센타이어,002350
2020-03-25,4475.0,상승  385,4250.0,4475.0,4210.0,704052.0,넥센타이어,002350
2020-03-26,4400.0,하락  75,4480.0,4645.0,4300.0,549546.0,넥센타이어,002350
2020-03-27,4500.0,상승  100,4565.0,4610.0,4400.0,633174.0,넥센타이어,002350
2020-03-30,4560.0,상승  60,4460.0,4700.0,4265.0,359301.0,넥센타이어,002350
2020-03-31,4675.0,상승  115,4600.0,4750.0,4600.0,481405.0,넥센타이어,002350
2020-04-01,4675.0,보합0,4650.0,4950.0,4450.0,566817.0,넥센타이어,002350
2020-04-02,4750.0,상승  75,4675.0,4840.0,4560.0,418417.0,넥센타이어,002350
2020-04-03,4845.0,상승  95,4755.0,4890.0,4730.0,324871.0,넥센타이어,002350
2020-04-06,5030.0,상승  185,4845.0,5100.0,4830.0,435778.0,넥센타이어,002350
2020-04-07,5130.0,상승  100,5130.0,5270.0,4990.0,594974.0,넥센타이어,002350
2020-04-08,5110.0,하락  20,5140.0,5230.0,4985.0,397983.0,넥센타이어,002350
2020-04-09,5310.0,상승  200,5260.0,5330.0,5100.0,555666.0,넥센타이어,002350
2020-04-10,5790.0,상승  480,5340.0,6290.0,5340.0,1948841.0,넥센타이어,002350
2020-04-13,5670.0,하락  120,5840.0,5860.0,5630.0,569029.0,넥센타이어,002350
2020-04-14,5930.0,상승  260,5740.0,5980.0,5700.0,511903.0,넥센타이어,002350
2020-04-16,5980.0,상승  50,5910.0,6060.0,5800.0,471943.0,넥센타이어,002350
2020-04-17,6060.0,상승  80,6000.0,6110.0,5990.0,453445.0,넥센타이어,002350
2020-04-20,5950.0,하락  110,5940.0,6100.0,5940.0,445787.0,넥센타이어,002350
2020-04-21,5730.0,하락  220,5890.0,5890.0,5610.0,707192.0,넥센타이어,002350
2020-04-22,5660.0,하락  70,5600.0,5660.0,5460.0,350075.0,넥센타이어,002350
2020-04-23,5700.0,상승  40,5660.0,5720.0,5540.0,314326.0,넥센타이어,002350
2020-04-24,5570.0,하락  130,5650.0,5650.0,5520.0,345402.0,넥센타이어,002350
2020-04-27,5660.0,상승  90,5590.0,5710.0,5540.0,316244.0,넥센타이어,002350
2020-04-28,5700.0,상승  40,5680.0,5770.0,5610.0,342050.0,넥센타이어,002350
2020-04-29,5730.0,상승  30,5730.0,5790.0,5700.0,377330.0,넥센타이어,002350
2020-05-04,5670.0,하락  60,5680.0,5690.0,5350.0,353738.0,넥센타이어,002350
2020-05-06,5770.0,상승  100,5760.0,5780.0,5690.0,282315.0,넥센타이어,002350
2020-05-07,5830.0,상승  60,5740.0,5830.0,5700.0,193809.0,넥센타이어,002350
2020-05-08,5930.0,상승  100,5890.0,6020.0,5860.0,421969.0,넥센타이어,002350
2020-05-11,6140.0,상승  210,5980.0,6200.0,5900.0,488955.0,넥센타이어,002350
2020-05-12,5930.0,하락  210,6140.0,6140.0,5850.0,341206.0,넥센타이어,002350
2020-05-13,5880.0,하락  50,5800.0,5920.0,5760.0,169030.0,넥센타이어,002350
2020-05-14,5710.0,하락  170,5830.0,5830.0,5670.0,266112.0,넥센타이어,002350
2020-05-15,5840.0,상승  130,5770.0,5840.0,5660.0,177162.0,넥센타이어,002350
2020-05-18,5750.0,하락  90,5830.0,5830.0,5680.0,183278.0,넥센타이어,002350
2020-05-19,6030.0,상승  280,5940.0,6070.0,5810.0,597443.0,넥센타이어,002350
2020-05-20,5990.0,하락  40,6020.0,6080.0,5900.0,212974.0,넥센타이어,002350
2020-05-21,5980.0,하락  10,6020.0,6050.0,5970.0,192912.0,넥센타이어,002350
2020-05-22,5840.0,하락  140,6030.0,6030.0,5810.0,222572.0,넥센타이어,002350
2020-05-25,5880.0,상승  40,5840.0,6000.0,5820.0,146421.0,넥센타이어,002350
2020-05-26,6020.0,상승  140,5950.0,6040.0,5880.0,305985.0,넥센타이어,002350
2020-05-27,6210.0,상승  190,6040.0,6230.0,5990.0,544952.0,넥센타이어,002350
2020-05-28,5950.0,하락  260,6210.0,6250.0,5920.0,609355.0,넥센타이어,002350
2020-05-29,5890.0,하락  60,5950.0,5990.0,5830.0,376845.0,넥센타이어,002350
2020-06-01,6030.0,상승  140,5890.0,6050.0,5870.0,190835.0,넥센타이어,002350
2020-06-02,6090.0,상승  60,5990.0,6120.0,5930.0,294539.0,넥센타이어,002350
2020-06-03,6400.0,상승  310,6150.0,6480.0,6110.0,807031.0,넥센타이어,002350
2020-06-04,6260.0,하락  140,6600.0,6700.0,6240.0,721429.0,넥센타이어,002350
2020-06-05,6360.0,상승  100,6220.0,6390.0,6220.0,206646.0,넥센타이어,002350
2020-06-08,6360.0,보합0,6490.0,6490.0,6330.0,326007.0,넥센타이어,002350
2020-06-09,6360.0,보합0,6410.0,6640.0,6320.0,483412.0,넥센타이어,002350
2020-06-10,6180.0,하락  180,6400.0,6420.0,6160.0,403976.0,넥센타이어,002350
2020-06-11,6010.0,하락  170,6150.0,6180.0,6000.0,429312.0,넥센타이어,002350
2020-06-12,5810.0,하락  200,5750.0,5920.0,5700.0,491667.0,넥센타이어,002350
2020-06-15,5410.0,하락  400,5800.0,5800.0,5410.0,435442.0,넥센타이어,002350
2020-06-16,5660.0,상승  250,5430.0,5670.0,5430.0,244994.0,넥센타이어,002350
2020-06-17,5610.0,하락  50,5660.0,5760.0,5550.0,261663.0,넥센타이어,002350
2020-06-18,5830.0,상승  220,5610.0,5930.0,5510.0,372618.0,넥센타이어,002350
2020-06-19,5720.0,하락  110,5880.0,5900.0,5650.0,243297.0,넥센타이어,002350
2020-06-22,5580.0,하락  140,5720.0,5720.0,5570.0,238810.0,넥센타이어,002350
2020-06-23,5480.0,하락  100,5590.0,5650.0,5400.0,199682.0,넥센타이어,002350
2020-06-24,5490.0,상승  10,5440.0,5540.0,5440.0,212054.0,넥센타이어,002350
2020-06-25,5330.0,하락  160,5370.0,5390.0,5310.0,257627.0,넥센타이어,002350
2020-06-26,5240.0,하락  90,5400.0,5400.0,5180.0,311339.0,넥센타이어,002350
2020-06-29,5250.0,상승  10,5100.0,5290.0,5010.0,441015.0,넥센타이어,002350
2020-06-30,5330.0,상승  80,5250.0,5590.0,5230.0,428514.0,넥센타이어,002350
2020-07-01,5260.0,하락  70,5340.0,5370.0,5240.0,120535.0,넥센타이어,002350
2020-07-02,5300.0,상승  40,5200.0,5330.0,5200.0,69666.0,넥센타이어,002350
2020-07-03,5260.0,하락  40,5320.0,5320.0,5210.0,189236.0,넥센타이어,002350
2020-07-06,5420.0,상승  160,5260.0,5500.0,5230.0,250688.0,넥센타이어,002350
2020-07-07,5410.0,하락  10,5490.0,5540.0,5370.0,143579.0,넥센타이어,002350
2020-07-08,5320.0,하락  90,5350.0,5430.0,5290.0,207008.0,넥센타이어,002350
2020-07-09,5340.0,상승  20,5400.0,5400.0,5300.0,140305.0,넥센타이어,002350
2020-07-10,5180.0,하락  160,5140.0,5290.0,5140.0,279782.0,넥센타이어,002350
2020-07-13,5260.0,상승  80,5180.0,5290.0,5180.0,162247.0,넥센타이어,002350
2020-07-14,5280.0,상승  20,5240.0,5280.0,5220.0,84064.0,넥센타이어,002350
2020-07-15,5340.0,상승  60,5330.0,5440.0,5260.0,326746.0,넥센타이어,002350
2020-07-16,5330.0,하락  10,5370.0,5430.0,5310.0,246468.0,넥센타이어,002350
2020-07-17,5370.0,상승  40,5380.0,5390.0,5320.0,159266.0,넥센타이어,002350
2020-07-20,5240.0,하락  130,5370.0,5410.0,5190.0,506510.0,넥센타이어,002350
2020-07-21,5230.0,하락  10,5240.0,5290.0,5190.0,445119.0,넥센타이어,002350
2020-07-22,5300.0,상승  70,5250.0,5330.0,5210.0,324371.0,넥센타이어,002350
2020-07-23,5230.0,하락  70,5300.0,5300.0,5170.0,304817.0,넥센타이어,002350
2020-07-24,5220.0,하락  10,5190.0,5240.0,5160.0,153238.0,넥센타이어,002350
2020-07-27,5220.0,보합0,5210.0,5250.0,5140.0,103207.0,넥센타이어,002350
2020-07-28,5190.0,하락  30,5250.0,5250.0,5180.0,200167.0,넥센타이어,002350
2020-07-29,5190.0,보합0,5150.0,5220.0,5140.0,236194.0,넥센타이어,002350
2020-07-30,5210.0,상승  20,5190.0,5330.0,5190.0,256275.0,넥센타이어,002350
2020-07-31,5220.0,상승  10,5210.0,5290.0,5170.0,173502.0,넥센타이어,002350
2020-08-03,5180.0,하락  40,5220.0,5260.0,5180.0,123859.0,넥센타이어,002350
2020-08-04,5200.0,상승  20,5180.0,5270.0,5180.0,148020.0,넥센타이어,002350
2020-08-05,5170.0,하락  30,5200.0,5280.0,5170.0,309933.0,넥센타이어,002350
2020-08-06,5350.0,상승  180,5190.0,5390.0,5180.0,622530.0,넥센타이어,002350
2020-08-07,5300.0,하락  50,5350.0,5420.0,5250.0,315754.0,넥센타이어,002350
2020-08-10,5440.0,상승  140,5280.0,5460.0,5260.0,451212.0,넥센타이어,002350
2020-08-11,5560.0,상승  120,5460.0,5580.0,5450.0,472170.0,넥센타이어,002350
2020-08-12,5750.0,상승  190,5560.0,5750.0,5540.0,592018.0,넥센타이어,002350
2020-08-13,6040.0,상승  290,5750.0,6040.0,5720.0,975688.0,넥센타이어,002350
2020-08-14,5870.0,하락  170,6060.0,6150.0,5800.0,640178.0,넥센타이어,002350
