날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-13,6010.0,하락  390,5990.0,6200.0,5510.0,267665.0,노루페인트,090350
2020-03-16,5680.0,하락  330,6100.0,6190.0,5680.0,201071.0,노루페인트,090350
2020-03-17,5640.0,하락  40,5050.0,5750.0,5050.0,105392.0,노루페인트,090350
2020-03-18,5340.0,하락  300,5650.0,5770.0,5340.0,117636.0,노루페인트,090350
2020-03-19,4660.0,하락  680,5420.0,5480.0,4630.0,240738.0,노루페인트,090350
2020-03-20,4910.0,상승  250,4660.0,4990.0,4660.0,178555.0,노루페인트,090350
2020-03-23,4490.0,하락  420,4640.0,4750.0,4465.0,176151.0,노루페인트,090350
2020-03-24,4770.0,상승  280,4550.0,4830.0,4550.0,157759.0,노루페인트,090350
2020-03-25,5110.0,상승  340,4935.0,5400.0,4880.0,199174.0,노루페인트,090350
2020-03-26,5280.0,상승  170,5110.0,5480.0,5060.0,220195.0,노루페인트,090350
2020-03-27,5400.0,상승  120,5460.0,5560.0,5160.0,142529.0,노루페인트,090350
2020-03-30,6000.0,상승  600,5200.0,6000.0,5110.0,219559.0,노루페인트,090350
2020-03-31,6180.0,상승  180,6000.0,6400.0,6000.0,255971.0,노루페인트,090350
2020-04-01,5990.0,하락  190,6210.0,6400.0,5880.0,146158.0,노루페인트,090350
2020-04-02,6300.0,상승  310,5990.0,6300.0,5710.0,76025.0,노루페인트,090350
2020-04-03,6230.0,하락  70,6300.0,6390.0,6110.0,83360.0,노루페인트,090350
2020-04-06,6300.0,상승  70,6230.0,6370.0,6180.0,99337.0,노루페인트,090350
2020-04-07,6340.0,상승  40,6370.0,6470.0,6220.0,148811.0,노루페인트,090350
2020-04-08,6370.0,상승  30,6390.0,6460.0,6300.0,113408.0,노루페인트,090350
2020-04-09,6540.0,상승  170,6480.0,7050.0,6400.0,501552.0,노루페인트,090350
2020-04-10,6670.0,상승  130,6610.0,6780.0,6410.0,151878.0,노루페인트,090350
2020-04-13,6540.0,하락  130,6670.0,6750.0,6500.0,92115.0,노루페인트,090350
2020-04-14,6610.0,상승  70,6520.0,6680.0,6520.0,87137.0,노루페인트,090350
2020-04-16,6830.0,상승  220,6600.0,6840.0,6510.0,92616.0,노루페인트,090350
2020-04-17,7070.0,상승  240,6900.0,7160.0,6860.0,220971.0,노루페인트,090350
2020-04-20,7140.0,상승  70,7090.0,7240.0,7090.0,115186.0,노루페인트,090350
2020-04-21,7140.0,보합0,7440.0,8100.0,6840.0,1035135.0,노루페인트,090350
2020-04-22,7580.0,상승  440,7450.0,8000.0,7340.0,2931232.0,노루페인트,090350
2020-04-23,7540.0,하락  40,7580.0,7700.0,7310.0,433274.0,노루페인트,090350
2020-04-24,7280.0,하락  260,7510.0,7510.0,7250.0,186751.0,노루페인트,090350
2020-04-27,7710.0,상승  430,7350.0,7710.0,7300.0,307017.0,노루페인트,090350
2020-04-28,7780.0,상승  70,7890.0,8010.0,7610.0,379908.0,노루페인트,090350
2020-04-29,7720.0,하락  60,7780.0,7820.0,7650.0,186048.0,노루페인트,090350
2020-05-04,7610.0,하락  110,7580.0,7730.0,7470.0,130015.0,노루페인트,090350
2020-05-06,7760.0,상승  150,7880.0,7960.0,7670.0,235982.0,노루페인트,090350
2020-05-07,7900.0,상승  140,7870.0,7900.0,7720.0,123503.0,노루페인트,090350
2020-05-08,7940.0,상승  40,7910.0,8030.0,7820.0,142715.0,노루페인트,090350
2020-05-11,7780.0,하락  160,7990.0,7990.0,7750.0,75723.0,노루페인트,090350
2020-05-12,7680.0,하락  100,7820.0,7910.0,7560.0,68867.0,노루페인트,090350
2020-05-13,7690.0,상승  10,7670.0,7690.0,7550.0,63920.0,노루페인트,090350
2020-05-14,7630.0,하락  60,7600.0,7700.0,7550.0,49755.0,노루페인트,090350
2020-05-15,7650.0,상승  20,7670.0,7750.0,7600.0,81064.0,노루페인트,090350
2020-05-18,7650.0,보합0,7700.0,7770.0,7600.0,70283.0,노루페인트,090350
2020-05-19,7680.0,상승  30,7710.0,7720.0,7600.0,125601.0,노루페인트,090350
2020-05-20,7710.0,상승  30,7720.0,8290.0,7650.0,961974.0,노루페인트,090350
2020-05-21,7680.0,하락  30,7800.0,7800.0,7640.0,196355.0,노루페인트,090350
2020-05-22,7480.0,하락  200,7690.0,7700.0,7450.0,125800.0,노루페인트,090350
2020-05-25,7430.0,하락  50,7480.0,7510.0,7390.0,70461.0,노루페인트,090350
2020-05-26,7530.0,상승  100,7460.0,7590.0,7410.0,79865.0,노루페인트,090350
2020-05-27,7530.0,보합0,7640.0,7640.0,7500.0,41662.0,노루페인트,090350
2020-05-28,7390.0,하락  140,7550.0,7600.0,7270.0,100086.0,노루페인트,090350
2020-05-29,7340.0,하락  50,7390.0,7420.0,7250.0,65159.0,노루페인트,090350
2020-06-01,7420.0,상승  80,7340.0,7450.0,7330.0,40372.0,노루페인트,090350
2020-06-02,7540.0,상승  120,7500.0,7630.0,7460.0,184991.0,노루페인트,090350
2020-06-03,7680.0,상승  140,7550.0,7690.0,7460.0,334703.0,노루페인트,090350
2020-06-04,7630.0,하락  50,7860.0,8200.0,7570.0,1471647.0,노루페인트,090350
2020-06-05,7670.0,상승  40,7680.0,7780.0,7580.0,147727.0,노루페인트,090350
2020-06-08,7660.0,하락  10,7780.0,7790.0,7590.0,131958.0,노루페인트,090350
2020-06-09,7660.0,보합0,7660.0,7750.0,7560.0,196717.0,노루페인트,090350
2020-06-10,7550.0,하락  110,7850.0,7950.0,7500.0,436160.0,노루페인트,090350
2020-06-11,7360.0,하락  190,7530.0,7590.0,7350.0,212585.0,노루페인트,090350
2020-06-12,7500.0,상승  140,7070.0,7500.0,7020.0,214817.0,노루페인트,090350
2020-06-15,7030.0,하락  470,7520.0,7550.0,7010.0,129479.0,노루페인트,090350
2020-06-16,7250.0,상승  220,7240.0,7330.0,7150.0,97945.0,노루페인트,090350
2020-06-17,7250.0,보합0,7200.0,7350.0,7130.0,67008.0,노루페인트,090350
2020-06-18,7220.0,하락  30,7300.0,7310.0,7190.0,67748.0,노루페인트,090350
2020-06-19,7350.0,상승  130,7350.0,7460.0,7220.0,126335.0,노루페인트,090350
2020-06-22,7310.0,하락  40,7420.0,7450.0,7260.0,72869.0,노루페인트,090350
2020-06-23,7220.0,하락  90,7310.0,7380.0,7160.0,66546.0,노루페인트,090350
2020-06-24,7310.0,상승  90,7230.0,7400.0,7200.0,76989.0,노루페인트,090350
2020-06-25,7160.0,하락  150,7300.0,7310.0,7100.0,62278.0,노루페인트,090350
2020-06-26,7180.0,상승  20,7210.0,7220.0,7110.0,27930.0,노루페인트,090350
2020-06-29,7090.0,하락  90,7160.0,7210.0,7050.0,38830.0,노루페인트,090350
2020-06-30,7090.0,보합0,7120.0,7190.0,7050.0,49237.0,노루페인트,090350
2020-07-01,7130.0,상승  40,7190.0,7250.0,7100.0,72120.0,노루페인트,090350
2020-07-02,7130.0,보합0,7100.0,7220.0,7100.0,46891.0,노루페인트,090350
2020-07-03,7130.0,보합0,7170.0,7210.0,7120.0,24700.0,노루페인트,090350
2020-07-06,7300.0,상승  170,7160.0,7340.0,7160.0,57770.0,노루페인트,090350
2020-07-07,7250.0,하락  50,7340.0,7340.0,7250.0,34764.0,노루페인트,090350
2020-07-08,7250.0,보합0,7210.0,7270.0,7190.0,17820.0,노루페인트,090350
2020-07-09,7350.0,상승  100,7270.0,7420.0,7270.0,41677.0,노루페인트,090350
2020-07-10,7200.0,하락  150,7390.0,7390.0,7160.0,38311.0,노루페인트,090350
2020-07-13,7250.0,상승  50,7210.0,7280.0,7200.0,19398.0,노루페인트,090350
2020-07-14,7380.0,상승  130,7250.0,7420.0,7220.0,70106.0,노루페인트,090350
2020-07-15,7400.0,상승  20,7450.0,7470.0,7340.0,54105.0,노루페인트,090350
2020-07-16,7640.0,상승  240,7450.0,7650.0,7410.0,121113.0,노루페인트,090350
2020-07-17,7560.0,하락  80,7650.0,7680.0,7500.0,77202.0,노루페인트,090350
2020-07-20,7550.0,하락  10,7560.0,7630.0,7450.0,36954.0,노루페인트,090350
2020-07-21,7470.0,하락  80,7570.0,7650.0,7430.0,76901.0,노루페인트,090350
2020-07-22,7480.0,상승  10,7450.0,7600.0,7420.0,65942.0,노루페인트,090350
2020-07-23,7320.0,하락  160,7440.0,7540.0,7300.0,67093.0,노루페인트,090350
2020-07-24,7370.0,상승  50,7380.0,7470.0,7290.0,45149.0,노루페인트,090350
2020-07-27,7460.0,상승  90,7390.0,7490.0,7340.0,49831.0,노루페인트,090350
2020-07-28,7460.0,보합0,7470.0,7570.0,7430.0,41463.0,노루페인트,090350
2020-07-29,7400.0,하락  60,7540.0,7540.0,7320.0,50514.0,노루페인트,090350
2020-07-30,7400.0,보합0,7380.0,7460.0,7380.0,50094.0,노루페인트,090350
2020-07-31,7350.0,하락  50,7400.0,7440.0,7300.0,60929.0,노루페인트,090350
2020-08-03,7400.0,상승  50,7360.0,7470.0,7290.0,106091.0,노루페인트,090350
2020-08-04,7410.0,상승  10,7470.0,7690.0,7260.0,187366.0,노루페인트,090350
2020-08-05,7300.0,하락  110,7460.0,7460.0,7190.0,260801.0,노루페인트,090350
2020-08-06,7310.0,상승  10,7300.0,7330.0,7220.0,78476.0,노루페인트,090350
2020-08-07,7370.0,상승  60,7300.0,7400.0,7300.0,113564.0,노루페인트,090350
2020-08-10,7880.0,상승  510,7490.0,7910.0,7410.0,611869.0,노루페인트,090350
2020-08-11,7860.0,하락  20,8000.0,8000.0,7610.0,327462.0,노루페인트,090350
2020-08-12,7780.0,하락  80,7820.0,7900.0,7620.0,156560.0,노루페인트,090350
