날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-13,8860.0,하락  310,8100.0,8870.0,8000.0,28645.0,노루홀딩스,000320
2020-03-16,8750.0,하락  110,8860.0,8880.0,8300.0,4640.0,노루홀딩스,000320
2020-03-17,8200.0,하락  550,8590.0,8590.0,8060.0,30387.0,노루홀딩스,000320
2020-03-18,8050.0,하락  150,8200.0,8320.0,7970.0,11214.0,노루홀딩스,000320
2020-03-19,6900.0,"하락  1,150",8050.0,8080.0,6900.0,21445.0,노루홀딩스,000320
2020-03-20,6910.0,상승  10,6910.0,7150.0,6620.0,35254.0,노루홀딩스,000320
2020-03-23,6330.0,하락  580,6530.0,6740.0,6280.0,18653.0,노루홀딩스,000320
2020-03-24,6410.0,상승  80,6410.0,6640.0,6230.0,44023.0,노루홀딩스,000320
2020-03-25,6960.0,상승  550,6600.0,6990.0,6600.0,42033.0,노루홀딩스,000320
2020-03-26,7340.0,상승  380,7090.0,7400.0,6900.0,44481.0,노루홀딩스,000320
2020-03-27,7150.0,하락  190,7450.0,7680.0,7150.0,15488.0,노루홀딩스,000320
2020-03-30,7470.0,상승  320,7090.0,7470.0,7000.0,9374.0,노루홀딩스,000320
2020-03-31,7780.0,상승  310,7700.0,7820.0,7560.0,22544.0,노루홀딩스,000320
2020-04-01,7690.0,하락  90,7820.0,8080.0,7690.0,13449.0,노루홀딩스,000320
2020-04-02,7770.0,상승  80,7780.0,7780.0,7210.0,22404.0,노루홀딩스,000320
2020-04-03,8180.0,상승  410,7870.0,8190.0,7670.0,18005.0,노루홀딩스,000320
2020-04-06,8310.0,상승  130,8160.0,8500.0,8150.0,12783.0,노루홀딩스,000320
2020-04-07,8600.0,상승  290,8650.0,8650.0,8340.0,13896.0,노루홀딩스,000320
2020-04-08,8790.0,상승  190,8640.0,9560.0,8540.0,18758.0,노루홀딩스,000320
2020-04-09,8970.0,상승  180,8820.0,9160.0,8820.0,12629.0,노루홀딩스,000320
2020-04-10,9120.0,상승  150,8980.0,9130.0,8900.0,15348.0,노루홀딩스,000320
2020-04-13,8780.0,하락  340,9100.0,9150.0,8780.0,11206.0,노루홀딩스,000320
2020-04-14,8850.0,상승  70,8900.0,8990.0,8700.0,14538.0,노루홀딩스,000320
2020-04-16,9050.0,상승  200,8850.0,9110.0,8700.0,15109.0,노루홀딩스,000320
2020-04-17,9250.0,상승  200,9050.0,9450.0,9050.0,9115.0,노루홀딩스,000320
2020-04-20,9300.0,상승  50,9250.0,9430.0,9170.0,8850.0,노루홀딩스,000320
2020-04-21,9290.0,하락  10,9400.0,9800.0,9170.0,19682.0,노루홀딩스,000320
2020-04-22,9300.0,상승  10,9350.0,9640.0,9210.0,33872.0,노루홀딩스,000320
2020-04-23,9230.0,하락  70,9330.0,9480.0,9150.0,17207.0,노루홀딩스,000320
2020-04-24,9070.0,하락  160,9170.0,9240.0,8950.0,12673.0,노루홀딩스,000320
2020-04-27,9200.0,상승  130,9080.0,9260.0,9050.0,9039.0,노루홀딩스,000320
2020-04-28,9200.0,보합0,9280.0,9400.0,9170.0,8444.0,노루홀딩스,000320
2020-04-29,9370.0,상승  170,9230.0,9370.0,9210.0,5968.0,노루홀딩스,000320
2020-05-04,9700.0,상승  330,9270.0,9780.0,9160.0,19411.0,노루홀딩스,000320
2020-05-06,9540.0,하락  160,9700.0,9840.0,9510.0,18011.0,노루홀딩스,000320
2020-05-07,9760.0,상승  220,9670.0,9760.0,9570.0,4799.0,노루홀딩스,000320
2020-05-08,9730.0,하락  30,9800.0,9850.0,9640.0,12607.0,노루홀딩스,000320
2020-05-11,9660.0,하락  70,9730.0,9730.0,9610.0,3620.0,노루홀딩스,000320
2020-05-12,9700.0,상승  40,9660.0,9700.0,9460.0,7512.0,노루홀딩스,000320
2020-05-13,9770.0,상승  70,9450.0,9780.0,9450.0,13027.0,노루홀딩스,000320
2020-05-14,9570.0,하락  200,9750.0,9750.0,9520.0,3381.0,노루홀딩스,000320
2020-05-15,9650.0,상승  80,9650.0,9860.0,9510.0,2150.0,노루홀딩스,000320
2020-05-18,9660.0,상승  10,9510.0,9800.0,9510.0,3824.0,노루홀딩스,000320
2020-05-19,9750.0,상승  90,9660.0,9840.0,9660.0,3353.0,노루홀딩스,000320
2020-05-20,9900.0,상승  150,9800.0,9990.0,9710.0,8587.0,노루홀딩스,000320
2020-05-21,9860.0,하락  40,9900.0,9910.0,9700.0,7740.0,노루홀딩스,000320
2020-05-22,9670.0,하락  190,9710.0,9860.0,9630.0,4974.0,노루홀딩스,000320
2020-05-25,9710.0,상승  40,9730.0,9730.0,9610.0,2248.0,노루홀딩스,000320
2020-05-26,9760.0,상승  50,9750.0,9780.0,9680.0,9132.0,노루홀딩스,000320
2020-05-27,9770.0,상승  10,9800.0,9900.0,9720.0,4104.0,노루홀딩스,000320
2020-05-28,9690.0,하락  80,9710.0,9900.0,9640.0,5362.0,노루홀딩스,000320
2020-05-29,9750.0,상승  60,9680.0,9810.0,9640.0,2185.0,노루홀딩스,000320
2020-06-01,9780.0,상승  30,9690.0,9790.0,9650.0,5262.0,노루홀딩스,000320
2020-06-02,9940.0,상승  160,9800.0,10000.0,9800.0,20539.0,노루홀딩스,000320
2020-06-03,9980.0,상승  40,10000.0,10100.0,9830.0,17901.0,노루홀딩스,000320
2020-06-04,10200.0,상승  220,9980.0,10250.0,9980.0,16244.0,노루홀딩스,000320
2020-06-05,10200.0,보합0,10200.0,10250.0,10000.0,7790.0,노루홀딩스,000320
2020-06-08,9960.0,하락  240,10200.0,10250.0,9960.0,21614.0,노루홀딩스,000320
2020-06-09,9970.0,상승  10,10050.0,10050.0,9940.0,16177.0,노루홀딩스,000320
2020-06-10,9940.0,하락  30,10150.0,10150.0,9800.0,7693.0,노루홀딩스,000320
2020-06-11,9760.0,하락  180,9990.0,10000.0,9650.0,12884.0,노루홀딩스,000320
2020-06-12,9740.0,하락  20,9510.0,9800.0,9300.0,9806.0,노루홀딩스,000320
2020-06-15,9540.0,하락  200,9770.0,9970.0,9410.0,12747.0,노루홀딩스,000320
2020-06-16,9690.0,상승  150,9540.0,9710.0,9540.0,3789.0,노루홀딩스,000320
2020-06-17,9660.0,하락  30,9670.0,9720.0,9540.0,3205.0,노루홀딩스,000320
2020-06-18,9770.0,상승  110,9660.0,9960.0,9610.0,9086.0,노루홀딩스,000320
2020-06-19,9600.0,하락  170,9920.0,9920.0,9520.0,23045.0,노루홀딩스,000320
2020-06-22,9620.0,상승  20,9600.0,9630.0,9510.0,3358.0,노루홀딩스,000320
2020-06-23,9480.0,하락  140,9620.0,9700.0,9440.0,10682.0,노루홀딩스,000320
2020-06-24,9580.0,상승  100,9540.0,9600.0,9450.0,7105.0,노루홀딩스,000320
2020-06-25,9510.0,하락  70,9590.0,9700.0,9400.0,5997.0,노루홀딩스,000320
2020-06-26,9540.0,상승  30,9590.0,9630.0,9400.0,4941.0,노루홀딩스,000320
2020-06-29,9290.0,하락  250,9570.0,9570.0,9150.0,11317.0,노루홀딩스,000320
2020-06-30,9290.0,보합0,9390.0,9390.0,9200.0,11869.0,노루홀딩스,000320
2020-07-01,9370.0,상승  80,9490.0,9490.0,9280.0,2290.0,노루홀딩스,000320
2020-07-02,9400.0,상승  30,9400.0,9410.0,9320.0,2323.0,노루홀딩스,000320
2020-07-03,9260.0,하락  140,9410.0,9550.0,9150.0,9608.0,노루홀딩스,000320
2020-07-06,9260.0,보합0,9260.0,9300.0,9210.0,5469.0,노루홀딩스,000320
2020-07-07,9220.0,하락  40,9120.0,9260.0,9120.0,11628.0,노루홀딩스,000320
2020-07-08,9180.0,하락  40,9200.0,9230.0,9110.0,2694.0,노루홀딩스,000320
2020-07-09,9180.0,보합0,9060.0,9240.0,9060.0,13463.0,노루홀딩스,000320
2020-07-10,9150.0,하락  30,9100.0,9170.0,9070.0,2526.0,노루홀딩스,000320
2020-07-13,9150.0,보합0,9170.0,9170.0,9100.0,2088.0,노루홀딩스,000320
2020-07-14,9220.0,상승  70,9140.0,9280.0,9120.0,11019.0,노루홀딩스,000320
2020-07-15,9290.0,상승  70,9310.0,9320.0,9190.0,7739.0,노루홀딩스,000320
2020-07-16,9330.0,상승  40,9310.0,9340.0,9270.0,8287.0,노루홀딩스,000320
2020-07-17,9380.0,상승  50,9400.0,9400.0,9270.0,3668.0,노루홀딩스,000320
2020-07-20,9340.0,하락  40,9390.0,9390.0,9260.0,5683.0,노루홀딩스,000320
2020-07-21,9340.0,보합0,9370.0,9430.0,9270.0,4554.0,노루홀딩스,000320
2020-07-22,9350.0,상승  10,9300.0,9380.0,9260.0,3147.0,노루홀딩스,000320
2020-07-23,9300.0,하락  50,9280.0,9370.0,9210.0,4479.0,노루홀딩스,000320
2020-07-24,9300.0,보합0,9210.0,9300.0,9190.0,4345.0,노루홀딩스,000320
2020-07-27,9330.0,상승  30,9300.0,9350.0,9210.0,7339.0,노루홀딩스,000320
2020-07-28,9350.0,상승  20,9330.0,9400.0,9290.0,4397.0,노루홀딩스,000320
2020-07-29,9280.0,하락  70,9350.0,9400.0,9280.0,2717.0,노루홀딩스,000320
2020-07-30,9320.0,상승  40,9390.0,9390.0,9250.0,4045.0,노루홀딩스,000320
2020-07-31,9290.0,하락  30,9230.0,9390.0,9170.0,4323.0,노루홀딩스,000320
2020-08-03,9260.0,하락  30,9290.0,9320.0,9250.0,2446.0,노루홀딩스,000320
2020-08-04,9310.0,상승  50,9290.0,9320.0,9240.0,4545.0,노루홀딩스,000320
2020-08-05,9320.0,상승  10,9340.0,9340.0,9230.0,3704.0,노루홀딩스,000320
2020-08-06,9200.0,하락  120,9320.0,9320.0,9120.0,16443.0,노루홀딩스,000320
2020-08-07,9230.0,상승  30,9200.0,9240.0,9140.0,7862.0,노루홀딩스,000320
2020-08-10,9430.0,상승  200,9240.0,9430.0,9160.0,13530.0,노루홀딩스,000320
2020-08-11,9380.0,하락  50,9450.0,9460.0,9290.0,18190.0,노루홀딩스,000320
2020-08-12,9390.0,상승  10,9400.0,9400.0,9300.0,6787.0,노루홀딩스,000320
2020-08-13,9500.0,상승  110,9420.0,9570.0,9420.0,17824.0,노루홀딩스,000320
2020-08-14,9520.0,상승  20,9500.0,9610.0,9420.0,25763.0,노루홀딩스,000320
2020-08-18,9460.0,하락  60,9600.0,9600.0,9400.0,18915.0,노루홀딩스,000320
2020-08-19,9350.0,하락  110,9460.0,9550.0,9250.0,9645.0,노루홀딩스,000320
