날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-16,118000.0,"상승  8,000",117000.0,120000.0,106500.0,164716.0,녹십자,006280
2020-03-17,128000.0,"상승  10,000",118500.0,128000.0,117500.0,202983.0,녹십자,006280
2020-03-18,117500.0,"하락  10,500",129000.0,132500.0,117500.0,165490.0,녹십자,006280
2020-03-19,111000.0,"하락  6,500",120000.0,123500.0,107500.0,118832.0,녹십자,006280
2020-03-20,112500.0,"상승  1,500",113000.0,116500.0,109000.0,124464.0,녹십자,006280
2020-03-23,109500.0,"하락  3,000",104000.0,116000.0,104000.0,108528.0,녹십자,006280
2020-03-24,112000.0,"상승  2,500",113000.0,113000.0,109500.0,85311.0,녹십자,006280
2020-03-25,114000.0,"상승  2,000",115000.0,115500.0,110500.0,111669.0,녹십자,006280
2020-03-26,113000.0,"하락  1,000",116000.0,117500.0,113000.0,117989.0,녹십자,006280
2020-03-27,118500.0,"상승  5,500",116000.0,126500.0,114000.0,233321.0,녹십자,006280
2020-03-30,130000.0,"상승  11,500",121000.0,130000.0,118000.0,230530.0,녹십자,006280
2020-03-31,138000.0,"상승  8,000",135500.0,140500.0,130500.0,296469.0,녹십자,006280
2020-04-01,142500.0,"상승  4,500",144500.0,151500.0,140000.0,332967.0,녹십자,006280
2020-04-02,144000.0,"상승  1,500",150500.0,151000.0,138500.0,230386.0,녹십자,006280
2020-04-03,140500.0,"하락  3,500",142000.0,146000.0,138500.0,147016.0,녹십자,006280
2020-04-06,154000.0,"상승  13,500",147500.0,168500.0,147500.0,706787.0,녹십자,006280
2020-04-07,166000.0,"상승  12,000",156000.0,190000.0,146000.0,1489111.0,녹십자,006280
2020-04-08,158500.0,"하락  7,500",173500.0,176000.0,158500.0,535276.0,녹십자,006280
2020-04-09,157500.0,"하락  1,000",163500.0,163500.0,155500.0,190633.0,녹십자,006280
2020-04-10,158000.0,상승  500,160000.0,167000.0,152500.0,400373.0,녹십자,006280
2020-04-13,159500.0,"상승  1,500",162000.0,163000.0,158000.0,187016.0,녹십자,006280
2020-04-14,154000.0,"하락  5,500",160000.0,160500.0,151000.0,199506.0,녹십자,006280
2020-04-16,153000.0,"하락  1,000",154000.0,156000.0,151000.0,100500.0,녹십자,006280
2020-04-17,148500.0,"하락  4,500",154000.0,155500.0,147000.0,199818.0,녹십자,006280
2020-04-20,148500.0,보합0,148500.0,149500.0,144500.0,99033.0,녹십자,006280
2020-04-21,144000.0,"하락  4,500",148500.0,149500.0,139500.0,136109.0,녹십자,006280
2020-04-22,149000.0,"상승  5,000",145500.0,149500.0,144500.0,113362.0,녹십자,006280
2020-04-23,150500.0,"상승  1,500",151000.0,151000.0,147000.0,109418.0,녹십자,006280
2020-04-24,151000.0,상승  500,151000.0,157500.0,149500.0,235536.0,녹십자,006280
2020-04-27,151000.0,보합0,154000.0,154500.0,149000.0,101505.0,녹십자,006280
2020-04-28,148000.0,"하락  3,000",151500.0,152000.0,146000.0,113636.0,녹십자,006280
2020-04-29,148500.0,상승  500,148000.0,151500.0,146500.0,67816.0,녹십자,006280
2020-05-04,143000.0,"하락  5,500",149000.0,150000.0,143000.0,86594.0,녹십자,006280
2020-05-06,143500.0,상승  500,144000.0,145000.0,141000.0,64845.0,녹십자,006280
2020-05-07,144500.0,"상승  1,000",142000.0,146500.0,141500.0,65035.0,녹십자,006280
2020-05-08,148500.0,"상승  4,000",144500.0,149500.0,144500.0,92821.0,녹십자,006280
2020-05-11,149500.0,"상승  1,000",149500.0,151000.0,148000.0,73750.0,녹십자,006280
2020-05-12,150000.0,상승  500,150500.0,153500.0,149000.0,108887.0,녹십자,006280
2020-05-13,149500.0,하락  500,149000.0,153500.0,147500.0,134249.0,녹십자,006280
2020-05-14,150000.0,상승  500,149500.0,151000.0,146000.0,102546.0,녹십자,006280
2020-05-15,151500.0,"상승  1,500",153500.0,158000.0,151000.0,189955.0,녹십자,006280
2020-05-18,158000.0,"상승  6,500",152500.0,159500.0,152500.0,178766.0,녹십자,006280
2020-05-19,150000.0,"하락  8,000",157500.0,158000.0,149000.0,186180.0,녹십자,006280
2020-05-20,149000.0,"하락  1,000",150000.0,151500.0,148000.0,78848.0,녹십자,006280
2020-05-21,153000.0,"상승  4,000",149000.0,157000.0,145000.0,322872.0,녹십자,006280
2020-05-22,149000.0,"하락  4,000",156000.0,156000.0,148000.0,145303.0,녹십자,006280
2020-05-25,146500.0,"하락  2,500",149000.0,149500.0,146500.0,77624.0,녹십자,006280
2020-05-26,147000.0,상승  500,146500.0,148000.0,145000.0,80144.0,녹십자,006280
2020-05-27,146000.0,"하락  1,000",147000.0,147000.0,145000.0,64781.0,녹십자,006280
2020-05-28,142500.0,"하락  3,500",146000.0,146500.0,141500.0,131085.0,녹십자,006280
2020-05-29,141500.0,"하락  1,000",142000.0,144500.0,141000.0,91391.0,녹십자,006280
2020-06-01,143000.0,"상승  1,500",142000.0,144000.0,141500.0,87824.0,녹십자,006280
