날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-13,4750.0,하락  400,4700.0,4780.0,4085.0,283278.0,다스코,058730
2020-03-16,4800.0,상승  50,4550.0,4865.0,4540.0,117381.0,다스코,058730
2020-03-17,4660.0,하락  140,4300.0,4800.0,4300.0,97397.0,다스코,058730
2020-03-18,4670.0,상승  10,4640.0,4755.0,4420.0,94024.0,다스코,058730
2020-03-19,4310.0,하락  360,4620.0,4685.0,3685.0,248080.0,다스코,058730
2020-03-20,4530.0,상승  220,4270.0,4530.0,4065.0,224558.0,다스코,058730
2020-03-23,4200.0,하락  330,4215.0,4295.0,3995.0,149050.0,다스코,058730
2020-03-24,4380.0,상승  180,4195.0,4400.0,4180.0,88049.0,다스코,058730
2020-03-25,4460.0,상승  80,4430.0,4630.0,4425.0,98119.0,다스코,058730
2020-03-26,4560.0,상승  100,4515.0,4685.0,4420.0,105317.0,다스코,058730
2020-03-27,4560.0,보합0,4710.0,4760.0,4445.0,65862.0,다스코,058730
2020-03-30,4725.0,상승  165,4420.0,4750.0,4400.0,69208.0,다스코,058730
2020-03-31,4935.0,상승  210,4880.0,5360.0,4765.0,218430.0,다스코,058730
2020-04-01,4930.0,하락  5,5100.0,5100.0,4875.0,118107.0,다스코,058730
2020-04-02,4970.0,상승  40,4945.0,5000.0,4815.0,50087.0,다스코,058730
2020-04-03,5080.0,상승  110,4915.0,5110.0,4900.0,83556.0,다스코,058730
2020-04-06,5090.0,상승  10,5110.0,5140.0,5020.0,105062.0,다스코,058730
2020-04-07,5080.0,하락  10,5200.0,5200.0,5040.0,69973.0,다스코,058730
2020-04-08,5040.0,하락  40,5070.0,5070.0,4955.0,92799.0,다스코,058730
2020-04-09,5070.0,상승  30,5100.0,5150.0,4995.0,53796.0,다스코,058730
2020-04-10,4980.0,하락  90,5140.0,5140.0,4950.0,93519.0,다스코,058730
2020-04-13,4950.0,하락  30,4970.0,5040.0,4855.0,59387.0,다스코,058730
2020-04-14,5080.0,상승  130,5050.0,5130.0,4955.0,99247.0,다스코,058730
2020-04-16,5260.0,상승  180,5100.0,5320.0,5000.0,143496.0,다스코,058730
2020-04-17,5400.0,상승  140,5290.0,5430.0,5270.0,108446.0,다스코,058730
2020-04-20,6010.0,상승  610,5730.0,6440.0,5670.0,1960625.0,다스코,058730
2020-04-21,5580.0,하락  430,5970.0,6130.0,5200.0,493270.0,다스코,058730
2020-04-22,5920.0,상승  340,5570.0,5920.0,5310.0,244161.0,다스코,058730
2020-04-23,5710.0,하락  210,5770.0,5860.0,5650.0,191926.0,다스코,058730
2020-04-24,5400.0,하락  310,5680.0,5710.0,5390.0,121068.0,다스코,058730
2020-04-27,5440.0,상승  40,5480.0,5800.0,5440.0,100014.0,다스코,058730
2020-04-28,5570.0,상승  130,5540.0,5600.0,5310.0,82247.0,다스코,058730
2020-04-29,5580.0,상승  10,5660.0,5660.0,5530.0,42037.0,다스코,058730
2020-05-04,5660.0,상승  80,5670.0,5750.0,5600.0,109886.0,다스코,058730
2020-05-06,5700.0,상승  40,5680.0,5750.0,5650.0,46947.0,다스코,058730
2020-05-07,5710.0,상승  10,5700.0,5790.0,5670.0,56703.0,다스코,058730
2020-05-08,5710.0,보합0,5790.0,5790.0,5670.0,49870.0,다스코,058730
2020-05-11,5560.0,하락  150,5740.0,5740.0,5500.0,76659.0,다스코,058730
2020-05-12,5560.0,보합0,5510.0,5590.0,5400.0,45091.0,다스코,058730
2020-05-13,5520.0,하락  40,5620.0,5620.0,5430.0,30191.0,다스코,058730
2020-05-14,5390.0,하락  130,5490.0,5530.0,5390.0,28700.0,다스코,058730
2020-05-15,5360.0,하락  30,5450.0,5500.0,5320.0,33088.0,다스코,058730
2020-05-18,5270.0,하락  90,5310.0,5390.0,5260.0,28805.0,다스코,058730
2020-05-19,5360.0,상승  90,5360.0,5440.0,5310.0,29477.0,다스코,058730
2020-05-20,5550.0,상승  190,5450.0,5550.0,5350.0,48230.0,다스코,058730
2020-05-21,5600.0,상승  50,5550.0,5650.0,5510.0,34518.0,다스코,058730
2020-05-22,5490.0,하락  110,5650.0,5660.0,5400.0,44771.0,다스코,058730
2020-05-25,5450.0,하락  40,5380.0,5500.0,5360.0,42831.0,다스코,058730
2020-05-26,5540.0,상승  90,5450.0,5760.0,5440.0,92291.0,다스코,058730
2020-05-27,5560.0,상승  20,5580.0,5600.0,5480.0,48760.0,다스코,058730
2020-05-28,5450.0,하락  110,5600.0,5620.0,5350.0,55266.0,다스코,058730
2020-05-29,5450.0,보합0,5360.0,5470.0,5260.0,25550.0,다스코,058730
2020-06-01,5550.0,상승  100,5400.0,5570.0,5400.0,52978.0,다스코,058730
2020-06-02,5520.0,하락  30,5560.0,5570.0,5400.0,36699.0,다스코,058730
2020-06-03,5500.0,하락  20,5520.0,5580.0,5410.0,32084.0,다스코,058730
2020-06-04,5480.0,하락  20,5590.0,5590.0,5450.0,26241.0,다스코,058730
2020-06-05,5510.0,상승  30,5460.0,5510.0,5400.0,32362.0,다스코,058730
2020-06-08,5470.0,하락  40,5540.0,5540.0,5450.0,18741.0,다스코,058730
