날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-13,1950.0,하락  115,2000.0,2025.0,1800.0,903770.0,다올투자증권,030210
2020-03-16,1950.0,보합0,2010.0,2045.0,1945.0,577194.0,다올투자증권,030210
2020-03-17,1880.0,하락  70,1900.0,1945.0,1800.0,559605.0,다올투자증권,030210
2020-03-18,1800.0,하락  80,1925.0,1960.0,1800.0,525065.0,다올투자증권,030210
2020-03-19,1565.0,하락  235,1820.0,1930.0,1565.0,1131446.0,다올투자증권,030210
2020-03-20,1655.0,상승  90,1600.0,1730.0,1565.0,639326.0,다올투자증권,030210
2020-03-23,1505.0,하락  150,1560.0,1590.0,1500.0,518608.0,다올투자증권,030210
2020-03-24,1660.0,상승  155,1555.0,1660.0,1525.0,400155.0,다올투자증권,030210
2020-03-25,1830.0,상승  170,1730.0,1870.0,1720.0,629460.0,다올투자증권,030210
2020-03-26,1935.0,상승  105,1860.0,2010.0,1755.0,891418.0,다올투자증권,030210
2020-03-27,1995.0,상승  60,2035.0,2080.0,1880.0,633335.0,다올투자증권,030210
2020-03-30,2020.0,상승  25,1860.0,2025.0,1860.0,398477.0,다올투자증권,030210
2020-03-31,2040.0,상승  20,2095.0,2095.0,2000.0,341458.0,다올투자증권,030210
2020-04-01,1935.0,하락  105,2020.0,2065.0,1935.0,282649.0,다올투자증권,030210
2020-04-02,2025.0,상승  90,1940.0,2045.0,1880.0,230853.0,다올투자증권,030210
2020-04-03,1975.0,하락  50,2020.0,2045.0,1950.0,186703.0,다올투자증권,030210
2020-04-06,2095.0,상승  120,1995.0,2100.0,1980.0,344425.0,다올투자증권,030210
2020-04-07,2115.0,상승  20,2145.0,2160.0,2060.0,260988.0,다올투자증권,030210
2020-04-08,2090.0,하락  25,2095.0,2125.0,2055.0,189341.0,다올투자증권,030210
2020-04-09,2105.0,상승  15,2135.0,2135.0,2080.0,306432.0,다올투자증권,030210
2020-04-10,2255.0,상승  150,2160.0,2300.0,2085.0,591525.0,다올투자증권,030210
2020-04-13,2180.0,하락  75,2255.0,2280.0,2170.0,367298.0,다올투자증권,030210
2020-04-14,2225.0,상승  45,2190.0,2235.0,2160.0,175058.0,다올투자증권,030210
2020-04-16,2190.0,하락  35,2225.0,2225.0,2120.0,193521.0,다올투자증권,030210
2020-04-17,2270.0,상승  80,2230.0,2345.0,2215.0,477320.0,다올투자증권,030210
2020-04-20,2250.0,하락  20,2280.0,2305.0,2240.0,255195.0,다올투자증권,030210
2020-04-21,2200.0,하락  50,2230.0,2240.0,2100.0,150518.0,다올투자증권,030210
2020-04-22,2245.0,상승  45,2150.0,2245.0,2105.0,158738.0,다올투자증권,030210
2020-04-23,2240.0,하락  5,2255.0,2275.0,2215.0,105903.0,다올투자증권,030210
2020-04-24,2210.0,하락  30,2235.0,2240.0,2175.0,104114.0,다올투자증권,030210
2020-04-27,2300.0,상승  90,2215.0,2310.0,2210.0,326349.0,다올투자증권,030210
2020-04-28,2320.0,상승  20,2295.0,2420.0,2250.0,521433.0,다올투자증권,030210
2020-04-29,2570.0,상승  250,2325.0,2665.0,2305.0,2484532.0,다올투자증권,030210
2020-05-04,2565.0,하락  5,2520.0,2640.0,2480.0,712674.0,다올투자증권,030210
