날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-13,14300.0,"하락  1,250",14200.0,14900.0,13450.0,452257.0,다우기술,023590
2020-03-16,14400.0,상승  100,14500.0,14600.0,13700.0,216946.0,다우기술,023590
2020-03-17,13950.0,하락  450,13500.0,14500.0,13500.0,118355.0,다우기술,023590
2020-03-18,13850.0,하락  100,14100.0,14300.0,13750.0,98401.0,다우기술,023590
2020-03-19,12000.0,"하락  1,850",13850.0,14200.0,11900.0,277811.0,다우기술,023590
2020-03-20,13100.0,"상승  1,100",12000.0,13100.0,12000.0,271398.0,다우기술,023590
2020-03-23,11800.0,"하락  1,300",12050.0,12300.0,11550.0,256047.0,다우기술,023590
2020-03-24,12400.0,상승  600,12100.0,12500.0,12000.0,181339.0,다우기술,023590
2020-03-25,13350.0,상승  950,12950.0,13400.0,12750.0,214541.0,다우기술,023590
2020-03-26,13700.0,상승  350,13400.0,13850.0,13150.0,131006.0,다우기술,023590
2020-03-27,14050.0,상승  350,14200.0,14450.0,13700.0,127421.0,다우기술,023590
2020-03-30,14200.0,상승  150,13650.0,14250.0,13600.0,167305.0,다우기술,023590
2020-03-31,14800.0,상승  600,14950.0,15150.0,14600.0,201911.0,다우기술,023590
2020-04-01,14600.0,하락  200,14750.0,15150.0,14400.0,170125.0,다우기술,023590
2020-04-02,14850.0,상승  250,14550.0,14950.0,14250.0,122750.0,다우기술,023590
2020-04-03,14700.0,하락  150,14900.0,15300.0,14650.0,202613.0,다우기술,023590
2020-04-06,15200.0,상승  500,14750.0,15350.0,14700.0,272173.0,다우기술,023590
2020-04-07,15450.0,상승  250,15500.0,15650.0,15100.0,616736.0,다우기술,023590
2020-04-08,15600.0,상승  150,15500.0,16150.0,15400.0,297773.0,다우기술,023590
2020-04-09,15700.0,상승  100,15850.0,15900.0,15450.0,237306.0,다우기술,023590
2020-04-10,15750.0,상승  50,15700.0,15850.0,15100.0,183413.0,다우기술,023590
2020-04-13,15200.0,하락  550,15750.0,15800.0,15200.0,197792.0,다우기술,023590
2020-04-14,15450.0,상승  250,15250.0,15600.0,15200.0,118375.0,다우기술,023590
2020-04-16,15450.0,보합0,15400.0,15650.0,15100.0,102823.0,다우기술,023590
2020-04-17,16200.0,상승  750,15750.0,16300.0,15650.0,236051.0,다우기술,023590
2020-04-20,15950.0,하락  250,16350.0,16550.0,15900.0,132255.0,다우기술,023590
2020-04-21,15400.0,하락  550,15950.0,15950.0,15000.0,193045.0,다우기술,023590
2020-04-22,15150.0,하락  250,15000.0,15200.0,14750.0,239195.0,다우기술,023590
2020-04-23,15650.0,상승  500,15300.0,15750.0,15200.0,183539.0,다우기술,023590
2020-04-24,15400.0,하락  250,15650.0,15750.0,15200.0,85214.0,다우기술,023590
2020-04-27,15550.0,상승  150,15450.0,15750.0,15400.0,117837.0,다우기술,023590
2020-04-28,15850.0,상승  300,15700.0,16050.0,15400.0,152175.0,다우기술,023590
2020-04-29,16400.0,상승  550,15850.0,16700.0,15650.0,251641.0,다우기술,023590
2020-05-04,16150.0,하락  250,15900.0,16550.0,15900.0,137976.0,다우기술,023590
2020-05-06,16300.0,상승  150,16300.0,16450.0,16050.0,209891.0,다우기술,023590
2020-05-07,19450.0,"상승  3,150",16200.0,20700.0,16100.0,8024188.0,다우기술,023590
2020-05-08,18400.0,"하락  1,050",19200.0,20500.0,18400.0,3699908.0,다우기술,023590
2020-05-11,18750.0,상승  350,18750.0,19750.0,18500.0,1563716.0,다우기술,023590
2020-05-12,20400.0,"상승  1,650",19250.0,22300.0,19200.0,4874771.0,다우기술,023590
2020-05-13,20950.0,상승  550,20050.0,21050.0,19750.0,1318812.0,다우기술,023590
2020-05-14,20450.0,하락  500,20600.0,20750.0,19950.0,831718.0,다우기술,023590
2020-05-15,19550.0,하락  900,20550.0,21400.0,19150.0,1987427.0,다우기술,023590
2020-05-18,20000.0,상승  450,19500.0,20550.0,19250.0,646706.0,다우기술,023590
2020-05-19,19400.0,하락  600,20000.0,20150.0,19200.0,484910.0,다우기술,023590
2020-05-20,19400.0,보합0,19300.0,20150.0,19200.0,730387.0,다우기술,023590
2020-05-21,19450.0,상승  50,19600.0,19700.0,19150.0,341858.0,다우기술,023590
2020-05-22,18800.0,하락  650,19450.0,19450.0,18750.0,351527.0,다우기술,023590
2020-05-25,19750.0,상승  950,19100.0,19800.0,18850.0,487220.0,다우기술,023590
2020-05-26,19600.0,하락  150,19900.0,20000.0,19400.0,402411.0,다우기술,023590
2020-05-27,19150.0,하락  450,19600.0,19650.0,19050.0,359454.0,다우기술,023590
2020-05-28,18650.0,하락  500,19550.0,20450.0,18500.0,1393728.0,다우기술,023590
2020-05-29,18300.0,하락  350,18500.0,18750.0,18150.0,345170.0,다우기술,023590
2020-06-01,18650.0,상승  350,18300.0,18950.0,18300.0,229374.0,다우기술,023590
2020-06-02,19200.0,상승  550,18550.0,19300.0,18550.0,318875.0,다우기술,023590
2020-06-03,19650.0,상승  450,19650.0,19750.0,19450.0,445364.0,다우기술,023590
2020-06-04,19250.0,하락  400,19650.0,19800.0,19050.0,273022.0,다우기술,023590
2020-06-05,19500.0,상승  250,19200.0,19800.0,19150.0,312836.0,다우기술,023590
2020-06-08,19050.0,하락  450,19600.0,19700.0,18950.0,245208.0,다우기술,023590
2020-06-09,19300.0,상승  250,19150.0,19450.0,19050.0,258328.0,다우기술,023590
2020-06-10,19200.0,하락  100,19450.0,19500.0,19150.0,216013.0,다우기술,023590
2020-06-11,19400.0,상승  200,19200.0,19400.0,18900.0,231502.0,다우기술,023590
2020-06-12,18700.0,하락  700,18400.0,18950.0,18200.0,295083.0,다우기술,023590
2020-06-15,17500.0,"하락  1,200",18850.0,19150.0,17400.0,348577.0,다우기술,023590
2020-06-16,18300.0,상승  800,18000.0,18350.0,17750.0,313976.0,다우기술,023590
2020-06-17,18700.0,상승  400,18150.0,18700.0,18000.0,207960.0,다우기술,023590
2020-06-18,20150.0,"상승  1,450",18750.0,20550.0,18550.0,1703857.0,다우기술,023590
2020-06-19,20150.0,보합0,20400.0,20450.0,19450.0,645148.0,다우기술,023590
2020-06-22,21000.0,상승  850,20150.0,21750.0,19800.0,1576174.0,다우기술,023590
2020-06-23,21150.0,상승  150,21850.0,21900.0,20550.0,877919.0,다우기술,023590
2020-06-24,21200.0,상승  50,21100.0,21600.0,20900.0,447329.0,다우기술,023590
2020-06-25,21450.0,상승  250,20650.0,21450.0,20650.0,449013.0,다우기술,023590
2020-06-26,20900.0,하락  550,21600.0,21700.0,20800.0,330808.0,다우기술,023590
2020-06-29,20300.0,하락  600,20550.0,20700.0,20050.0,367076.0,다우기술,023590
2020-06-30,19900.0,하락  400,20550.0,20650.0,19700.0,305535.0,다우기술,023590
2020-07-01,19700.0,하락  200,20200.0,20200.0,19600.0,172264.0,다우기술,023590
2020-07-02,20050.0,상승  350,19700.0,20150.0,19500.0,172659.0,다우기술,023590
2020-07-03,20750.0,상승  700,20400.0,21050.0,20350.0,325136.0,다우기술,023590
2020-07-06,20350.0,하락  400,20700.0,20750.0,20050.0,238775.0,다우기술,023590
2020-07-07,20700.0,상승  350,20500.0,20950.0,20350.0,483291.0,다우기술,023590
2020-07-08,20650.0,하락  50,20700.0,20750.0,20350.0,209357.0,다우기술,023590
2020-07-09,20900.0,상승  250,20700.0,21300.0,20450.0,351939.0,다우기술,023590
2020-07-10,23300.0,"상승  2,400",21400.0,24250.0,21250.0,4139965.0,다우기술,023590
2020-07-13,23750.0,상승  450,23500.0,24050.0,23050.0,872801.0,다우기술,023590
2020-07-14,22750.0,"하락  1,000",23400.0,23500.0,22500.0,443021.0,다우기술,023590
2020-07-15,22400.0,하락  350,23000.0,23300.0,21900.0,498669.0,다우기술,023590
2020-07-16,22450.0,상승  50,22400.0,22650.0,22100.0,252623.0,다우기술,023590
