날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-05-21,9930.0,하락  320,10250.0,12000.0,9630.0,8241851.0,대덕전자,353200
2020-05-21,9930.0,하락  320,10250.0,12000.0,9630.0,8241851.0,대덕전자,353200
2020-05-21,9930.0,하락  320,10250.0,12000.0,9630.0,8241851.0,대덕전자,353200
2020-05-21,9930.0,하락  320,10250.0,12000.0,9630.0,8241851.0,대덕전자,353200
2020-05-21,9930.0,하락  320,10250.0,12000.0,9630.0,8241851.0,대덕전자,353200
2020-05-22,9900.0,하락  30,10000.0,10350.0,9850.0,2129651.0,대덕전자,353200
2020-05-22,9900.0,하락  30,10000.0,10350.0,9850.0,2129651.0,대덕전자,353200
2020-05-22,9900.0,하락  30,10000.0,10350.0,9850.0,2129651.0,대덕전자,353200
2020-05-22,9900.0,하락  30,10000.0,10350.0,9850.0,2129651.0,대덕전자,353200
2020-05-22,9900.0,하락  30,10000.0,10350.0,9850.0,2129651.0,대덕전자,353200
2020-05-25,9690.0,하락  210,9980.0,10150.0,9620.0,1376646.0,대덕전자,353200
2020-05-25,9690.0,하락  210,9980.0,10150.0,9620.0,1376646.0,대덕전자,353200
2020-05-25,9690.0,하락  210,9980.0,10150.0,9620.0,1376646.0,대덕전자,353200
2020-05-25,9690.0,하락  210,9980.0,10150.0,9620.0,1376646.0,대덕전자,353200
2020-05-25,9690.0,하락  210,9980.0,10150.0,9620.0,1376646.0,대덕전자,353200
2020-05-26,9350.0,하락  340,9700.0,9730.0,9270.0,1523584.0,대덕전자,353200
2020-05-26,9350.0,하락  340,9700.0,9730.0,9270.0,1523584.0,대덕전자,353200
2020-05-26,9350.0,하락  340,9700.0,9730.0,9270.0,1523584.0,대덕전자,353200
2020-05-26,9350.0,하락  340,9700.0,9730.0,9270.0,1523584.0,대덕전자,353200
2020-05-26,9350.0,하락  340,9700.0,9730.0,9270.0,1523584.0,대덕전자,353200
2020-05-27,9540.0,상승  190,9410.0,9840.0,9400.0,1641952.0,대덕전자,353200
2020-05-27,9540.0,상승  190,9410.0,9840.0,9400.0,1641952.0,대덕전자,353200
2020-05-27,9540.0,상승  190,9410.0,9840.0,9400.0,1641952.0,대덕전자,353200
2020-05-27,9540.0,상승  190,9410.0,9840.0,9400.0,1641952.0,대덕전자,353200
2020-05-27,9540.0,상승  190,9410.0,9840.0,9400.0,1641952.0,대덕전자,353200
2020-05-28,9540.0,보합0,9650.0,9980.0,9410.0,1969192.0,대덕전자,353200
2020-05-29,9260.0,하락  280,9550.0,9550.0,9200.0,1182930.0,대덕전자,353200
2020-06-01,9050.0,하락  210,9260.0,9360.0,9000.0,1559738.0,대덕전자,353200
2020-06-02,9290.0,상승  240,9090.0,9350.0,9050.0,1434939.0,대덕전자,353200
2020-06-03,9400.0,상승  110,9310.0,9500.0,9190.0,1101136.0,대덕전자,353200
2020-06-04,9550.0,상승  150,9480.0,9630.0,9350.0,1263462.0,대덕전자,353200
2020-06-05,9540.0,하락  10,9560.0,9650.0,9490.0,637991.0,대덕전자,353200
2020-06-08,9420.0,하락  120,9650.0,9650.0,9350.0,781171.0,대덕전자,353200
2020-06-09,9300.0,하락  120,9430.0,9450.0,9170.0,828135.0,대덕전자,353200
2020-06-10,9100.0,하락  200,9270.0,9270.0,9090.0,664366.0,대덕전자,353200
2020-06-11,9070.0,하락  30,9100.0,9350.0,9040.0,1074578.0,대덕전자,353200
2020-06-12,8700.0,하락  370,8750.0,8790.0,8550.0,969667.0,대덕전자,353200
2020-06-15,7800.0,하락  900,8720.0,8770.0,7800.0,1221034.0,대덕전자,353200
2020-06-16,8080.0,상승  280,7950.0,8100.0,7910.0,825919.0,대덕전자,353200
2020-06-17,7870.0,하락  210,7990.0,8070.0,7800.0,733029.0,대덕전자,353200
2020-06-18,8310.0,상승  440,7850.0,8340.0,7830.0,957213.0,대덕전자,353200
2020-06-19,8250.0,하락  60,8450.0,8540.0,8250.0,599341.0,대덕전자,353200
2020-06-22,8010.0,하락  240,8230.0,8240.0,7990.0,539798.0,대덕전자,353200
2020-06-23,8130.0,상승  120,8100.0,8250.0,8020.0,500153.0,대덕전자,353200
2020-06-24,8100.0,하락  30,8200.0,8290.0,8070.0,495813.0,대덕전자,353200
2020-06-25,7970.0,하락  130,8010.0,8070.0,7950.0,522369.0,대덕전자,353200
2020-06-26,7950.0,하락  20,8050.0,8050.0,7900.0,470727.0,대덕전자,353200
2020-06-29,7750.0,하락  200,7870.0,7930.0,7720.0,447804.0,대덕전자,353200
2020-06-30,7760.0,상승  10,7830.0,7870.0,7750.0,434730.0,대덕전자,353200
2020-07-01,7920.0,상승  160,7800.0,8120.0,7780.0,399320.0,대덕전자,353200
2020-07-02,7980.0,상승  60,8050.0,8120.0,7910.0,405653.0,대덕전자,353200
2020-07-03,7890.0,하락  90,7980.0,8150.0,7850.0,369974.0,대덕전자,353200
2020-07-06,8150.0,상승  260,7920.0,8150.0,7780.0,378116.0,대덕전자,353200
2020-07-07,8700.0,상승  550,8200.0,8720.0,8140.0,1781903.0,대덕전자,353200
2020-07-08,8550.0,하락  150,8720.0,8730.0,8410.0,648301.0,대덕전자,353200
2020-07-09,8870.0,상승  320,8620.0,9120.0,8620.0,1684205.0,대덕전자,353200
2020-07-10,8680.0,하락  190,8830.0,8860.0,8520.0,780741.0,대덕전자,353200
2020-07-13,8500.0,하락  180,8750.0,8770.0,8440.0,466713.0,대덕전자,353200
2020-07-14,9150.0,상승  650,8480.0,9290.0,8380.0,2049187.0,대덕전자,353200
2020-07-15,11850.0,"상한가  2,700",9800.0,11850.0,9800.0,28195443.0,대덕전자,353200
2020-07-16,11650.0,하락  200,11600.0,12000.0,10950.0,13478576.0,대덕전자,353200
2020-07-17,12250.0,상승  600,11750.0,12900.0,11750.0,19101901.0,대덕전자,353200
2020-07-20,12300.0,상승  50,12250.0,12400.0,11800.0,4196840.0,대덕전자,353200
2020-07-21,11700.0,하락  600,12350.0,12450.0,11700.0,3478389.0,대덕전자,353200
2020-07-22,12600.0,상승  900,11700.0,13300.0,11450.0,15331728.0,대덕전자,353200
2020-07-23,12950.0,상승  350,12700.0,13250.0,12400.0,5622519.0,대덕전자,353200
2020-07-24,12350.0,하락  600,12700.0,12950.0,12100.0,3463173.0,대덕전자,353200
2020-07-27,12700.0,상승  350,12200.0,12900.0,12100.0,3058339.0,대덕전자,353200
2020-07-28,13600.0,상승  900,12750.0,14000.0,12600.0,16105680.0,대덕전자,353200
2020-07-29,13350.0,하락  250,13650.0,13800.0,13100.0,3439374.0,대덕전자,353200
2020-07-30,13800.0,상승  450,14100.0,14900.0,13700.0,10997827.0,대덕전자,353200
2020-07-31,14000.0,상승  200,14000.0,14450.0,13550.0,3647939.0,대덕전자,353200
