날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-16,3900.0,하락  20,3950.0,4175.0,3820.0,150989.0,대동,000490
2020-03-17,3815.0,하락  85,3555.0,3900.0,3555.0,138044.0,대동,000490
2020-03-18,3600.0,하락  215,3825.0,3925.0,3600.0,133327.0,대동,000490
2020-03-19,3005.0,하락  595,3595.0,3700.0,2950.0,337804.0,대동,000490
2020-03-20,3185.0,상승  180,3005.0,3295.0,3005.0,119248.0,대동,000490
2020-03-23,2945.0,하락  240,2965.0,3135.0,2825.0,167166.0,대동,000490
2020-03-24,3155.0,상승  210,2980.0,3190.0,2960.0,87726.0,대동,000490
2020-03-25,3415.0,상승  260,3290.0,3435.0,3290.0,156465.0,대동,000490
2020-03-26,3635.0,상승  220,3435.0,3705.0,3380.0,203279.0,대동,000490
2020-03-27,3705.0,상승  70,3730.0,4090.0,3625.0,91042.0,대동,000490
2020-03-30,3700.0,하락  5,3530.0,3745.0,3390.0,161861.0,대동,000490
2020-03-31,4075.0,상승  375,3730.0,4270.0,3700.0,425468.0,대동,000490
2020-04-01,3960.0,하락  115,4050.0,4165.0,3920.0,221841.0,대동,000490
2020-04-02,4045.0,상승  85,3765.0,4090.0,3610.0,135463.0,대동,000490
2020-04-03,4040.0,하락  5,4065.0,4065.0,3940.0,118329.0,대동,000490
2020-04-06,4140.0,상승  100,4085.0,4165.0,4035.0,147005.0,대동,000490
2020-04-07,4305.0,상승  165,4205.0,4320.0,4115.0,175620.0,대동,000490
2020-04-08,4235.0,하락  70,4305.0,4320.0,4190.0,94074.0,대동,000490
2020-04-09,4275.0,상승  40,4265.0,4330.0,4205.0,80772.0,대동,000490
2020-04-10,4280.0,상승  5,4285.0,4340.0,4120.0,143566.0,대동,000490
2020-04-13,4180.0,하락  100,4280.0,4280.0,4130.0,80849.0,대동,000490
2020-04-14,4265.0,상승  85,4200.0,4350.0,4190.0,202203.0,대동,000490
2020-04-16,4415.0,상승  150,4265.0,4425.0,4120.0,202714.0,대동,000490
2020-04-17,4525.0,상승  110,4415.0,4545.0,4410.0,200254.0,대동,000490
2020-04-20,4655.0,상승  130,4595.0,4690.0,4500.0,213507.0,대동,000490
2020-04-21,4590.0,하락  65,4530.0,4670.0,4280.0,254218.0,대동,000490
2020-04-22,4575.0,하락  15,4505.0,4575.0,4370.0,135353.0,대동,000490
2020-04-23,4575.0,보합0,4570.0,4620.0,4510.0,138578.0,대동,000490
2020-04-24,4540.0,하락  35,4565.0,4565.0,4350.0,170203.0,대동,000490
2020-04-27,4520.0,하락  20,4540.0,4560.0,4490.0,129369.0,대동,000490
2020-04-28,4495.0,하락  25,4525.0,4540.0,4425.0,86587.0,대동,000490
2020-04-29,4520.0,상승  25,4500.0,4565.0,4495.0,80867.0,대동,000490
2020-05-04,4540.0,상승  20,4520.0,4620.0,4475.0,107141.0,대동,000490
2020-05-06,4620.0,상승  80,4625.0,4645.0,4570.0,102014.0,대동,000490
2020-05-07,4745.0,상승  125,4665.0,4770.0,4625.0,117558.0,대동,000490
2020-05-08,4845.0,상승  100,4760.0,5120.0,4760.0,364656.0,대동,000490
2020-05-11,4755.0,하락  90,4785.0,4800.0,4680.0,121045.0,대동,000490
2020-05-12,4740.0,하락  15,4825.0,4825.0,4600.0,125185.0,대동,000490
2020-05-13,4700.0,하락  40,4700.0,4710.0,4440.0,80713.0,대동,000490
2020-05-14,4555.0,하락  145,4685.0,4700.0,4500.0,153732.0,대동,000490
2020-05-15,4630.0,상승  75,4570.0,4795.0,4550.0,143673.0,대동,000490
2020-05-18,4695.0,상승  65,4750.0,4750.0,4595.0,101308.0,대동,000490
2020-05-19,4870.0,상승  175,4765.0,4890.0,4720.0,203499.0,대동,000490
2020-05-20,4875.0,상승  5,4860.0,4910.0,4800.0,96225.0,대동,000490
2020-05-21,4960.0,상승  85,4880.0,4975.0,4865.0,119911.0,대동,000490
2020-05-22,4970.0,상승  10,5000.0,5140.0,4885.0,207085.0,대동,000490
2020-05-25,5010.0,상승  40,4970.0,5050.0,4900.0,111573.0,대동,000490
2020-05-26,5050.0,상승  40,5010.0,5070.0,4965.0,79466.0,대동,000490
2020-05-27,4940.0,하락  110,5050.0,5130.0,4930.0,138613.0,대동,000490
2020-05-28,4970.0,상승  30,5020.0,5160.0,4890.0,321796.0,대동,000490
2020-05-29,5200.0,상승  230,5000.0,5440.0,4845.0,477239.0,대동,000490
2020-06-01,5160.0,하락  40,5300.0,5310.0,5130.0,197749.0,대동,000490
2020-06-02,5210.0,상승  50,5160.0,5240.0,5140.0,128288.0,대동,000490
2020-06-03,5270.0,상승  60,5250.0,5340.0,5210.0,183773.0,대동,000490
2020-06-04,5250.0,하락  20,5300.0,5350.0,5190.0,148947.0,대동,000490
2020-06-05,5240.0,하락  10,5270.0,5270.0,5170.0,65506.0,대동,000490
2020-06-08,5770.0,상승  530,5850.0,5900.0,5520.0,950212.0,대동,000490
2020-06-09,6130.0,상승  360,5780.0,6140.0,5670.0,569268.0,대동,000490
2020-06-10,6000.0,하락  130,6130.0,6350.0,5930.0,358671.0,대동,000490
2020-06-11,5800.0,하락  200,6000.0,6040.0,5680.0,247239.0,대동,000490
2020-06-12,5500.0,하락  300,5700.0,5700.0,5350.0,196833.0,대동,000490
2020-06-15,5090.0,하락  410,5480.0,5540.0,5050.0,310689.0,대동,000490
2020-06-16,5530.0,상승  440,5250.0,5540.0,5200.0,169255.0,대동,000490
2020-06-17,5480.0,하락  50,5470.0,5490.0,5340.0,136467.0,대동,000490
2020-06-18,5580.0,상승  100,5500.0,5590.0,5370.0,85558.0,대동,000490
2020-06-19,5580.0,보합0,5660.0,5670.0,5490.0,79360.0,대동,000490
2020-06-22,5920.0,상승  340,5550.0,5930.0,5520.0,260905.0,대동,000490
2020-06-23,6130.0,상승  210,5870.0,6250.0,5870.0,456555.0,대동,000490
2020-06-24,6000.0,하락  130,6160.0,6230.0,5950.0,172011.0,대동,000490
2020-06-25,5740.0,하락  260,5900.0,5970.0,5680.0,204123.0,대동,000490
2020-06-26,5880.0,상승  140,5810.0,5940.0,5750.0,124254.0,대동,000490
2020-06-29,5990.0,상승  110,5920.0,6120.0,5900.0,355829.0,대동,000490
2020-06-30,6100.0,상승  110,6100.0,6240.0,5970.0,148885.0,대동,000490
2020-07-01,5990.0,하락  110,6180.0,6360.0,5990.0,369282.0,대동,000490
2020-07-02,6050.0,상승  60,5980.0,6140.0,5970.0,60451.0,대동,000490
2020-07-03,6160.0,상승  110,6060.0,6250.0,6030.0,141650.0,대동,000490
2020-07-06,6080.0,하락  80,6210.0,6210.0,6000.0,125317.0,대동,000490
2020-07-07,6020.0,하락  60,6100.0,6110.0,5970.0,110250.0,대동,000490
2020-07-08,6150.0,상승  130,6000.0,6200.0,5950.0,123304.0,대동,000490
2020-07-09,6150.0,보합0,6200.0,6220.0,6090.0,100200.0,대동,000490
2020-07-10,6320.0,상승  170,6150.0,6410.0,6030.0,274729.0,대동,000490
2020-07-13,6690.0,상승  370,6360.0,6820.0,6360.0,498243.0,대동,000490
2020-07-14,6630.0,하락  60,6690.0,6690.0,6530.0,114452.0,대동,000490
2020-07-15,6840.0,상승  210,6660.0,6900.0,6660.0,185031.0,대동,000490
2020-07-16,6780.0,하락  60,6840.0,6980.0,6750.0,207273.0,대동,000490
2020-07-17,6700.0,하락  80,6740.0,6780.0,6520.0,139980.0,대동,000490
2020-07-20,6550.0,하락  150,6700.0,6700.0,6510.0,76140.0,대동,000490
2020-07-21,6440.0,하락  110,6610.0,6680.0,6440.0,124255.0,대동,000490
2020-07-22,6620.0,상승  180,6640.0,6640.0,6350.0,113113.0,대동,000490
2020-07-23,6890.0,상승  270,6850.0,7150.0,6700.0,494564.0,대동,000490
2020-07-24,6750.0,하락  140,6890.0,6950.0,6720.0,177067.0,대동,000490
2020-07-27,6890.0,상승  140,6750.0,6960.0,6710.0,167216.0,대동,000490
2020-07-28,6790.0,하락  100,6980.0,6980.0,6720.0,136722.0,대동,000490
2020-07-29,7800.0,"상승  1,010",6790.0,8820.0,6690.0,10738309.0,대동,000490
2020-07-30,7610.0,하락  190,7790.0,7890.0,7400.0,1752771.0,대동,000490
2020-07-31,7710.0,상승  100,7570.0,7710.0,7340.0,908107.0,대동,000490
2020-08-03,7220.0,하락  490,7770.0,7920.0,7200.0,1633188.0,대동,000490
2020-08-04,7290.0,상승  70,7240.0,7360.0,7200.0,416512.0,대동,000490
2020-08-05,7160.0,하락  130,7280.0,7290.0,7140.0,303205.0,대동,000490
2020-08-06,7310.0,상승  150,7130.0,7570.0,7060.0,873853.0,대동,000490
2020-08-07,7180.0,하락  130,7270.0,7340.0,7120.0,328599.0,대동,000490
2020-08-10,7320.0,상승  140,7290.0,7530.0,7260.0,821310.0,대동,000490
2020-08-11,7160.0,하락  160,7480.0,7490.0,7150.0,386016.0,대동,000490
2020-08-12,7190.0,상승  30,7160.0,7370.0,7130.0,364054.0,대동,000490
2020-08-13,7150.0,하락  40,7260.0,7270.0,7120.0,240602.0,대동,000490
