날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-16,3280.0,보합0,3295.0,3380.0,3200.0,3156.0,대림통상,006570
2020-03-17,3180.0,하락  100,3230.0,3230.0,2930.0,5106.0,대림통상,006570
2020-03-18,3190.0,상승  10,3175.0,3315.0,3110.0,323.0,대림통상,006570
2020-03-19,3000.0,하락  190,3225.0,3225.0,2750.0,6511.0,대림통상,006570
2020-03-20,2720.0,하락  280,3000.0,3025.0,2715.0,20492.0,대림통상,006570
2020-03-23,2400.0,하락  320,2700.0,2700.0,2400.0,10000.0,대림통상,006570
2020-03-24,2555.0,상승  155,2435.0,2620.0,2400.0,3857.0,대림통상,006570
2020-03-25,2770.0,상승  215,2580.0,2800.0,2470.0,19149.0,대림통상,006570
2020-03-26,2990.0,상승  220,2780.0,3160.0,2780.0,12982.0,대림통상,006570
2020-03-27,3080.0,상승  90,2965.0,3190.0,2965.0,11340.0,대림통상,006570
2020-03-30,3310.0,상승  230,3080.0,3315.0,3080.0,6941.0,대림통상,006570
2020-03-31,3540.0,상승  230,3310.0,3550.0,3260.0,10974.0,대림통상,006570
2020-04-01,3795.0,상승  255,3540.0,3850.0,3480.0,12460.0,대림통상,006570
2020-04-02,3850.0,상승  55,3780.0,3895.0,3690.0,10040.0,대림통상,006570
2020-04-03,4020.0,상승  170,3820.0,4100.0,3780.0,10681.0,대림통상,006570
2020-04-06,3850.0,하락  170,4095.0,4095.0,3700.0,17282.0,대림통상,006570
2020-04-07,3640.0,하락  210,3850.0,3930.0,3545.0,10990.0,대림통상,006570
2020-04-08,3670.0,상승  30,3515.0,3675.0,3500.0,2923.0,대림통상,006570
2020-04-09,3705.0,상승  35,3630.0,3780.0,3630.0,1165.0,대림통상,006570
2020-04-10,3580.0,하락  125,3695.0,3695.0,3580.0,1398.0,대림통상,006570
2020-04-13,3635.0,상승  55,3580.0,3700.0,3580.0,2142.0,대림통상,006570
2020-04-14,3870.0,상승  235,3700.0,3965.0,3625.0,9976.0,대림통상,006570
2020-04-16,4070.0,상승  200,3875.0,4100.0,3870.0,9987.0,대림통상,006570
2020-04-17,4050.0,하락  20,4080.0,4125.0,4005.0,8757.0,대림통상,006570
2020-04-20,4085.0,상승  35,4050.0,4135.0,4000.0,7848.0,대림통상,006570
2020-04-21,4145.0,상승  60,4090.0,4200.0,4020.0,11298.0,대림통상,006570
2020-04-22,4160.0,상승  15,4145.0,4165.0,4000.0,5667.0,대림통상,006570
2020-04-23,4250.0,상승  90,4170.0,4300.0,4140.0,9653.0,대림통상,006570
2020-04-24,4240.0,하락  10,4280.0,4280.0,4150.0,8815.0,대림통상,006570
2020-04-27,4150.0,하락  90,4240.0,4240.0,4135.0,6960.0,대림통상,006570
2020-04-28,4160.0,상승  10,4230.0,4230.0,4100.0,5159.0,대림통상,006570
2020-04-29,4140.0,하락  20,4125.0,4250.0,4045.0,6514.0,대림통상,006570
2020-05-04,4185.0,상승  45,4110.0,4200.0,4055.0,6690.0,대림통상,006570
2020-05-06,4145.0,하락  40,4070.0,4180.0,4070.0,1990.0,대림통상,006570
2020-05-07,4160.0,상승  15,4145.0,4180.0,4100.0,1074.0,대림통상,006570
2020-05-08,4240.0,상승  80,4155.0,4250.0,4020.0,2012.0,대림통상,006570
2020-05-11,4200.0,하락  40,4245.0,4245.0,4170.0,1809.0,대림통상,006570
2020-05-12,4200.0,보합0,4200.0,4200.0,4130.0,1027.0,대림통상,006570
2020-05-13,4200.0,보합0,4200.0,4200.0,4100.0,1217.0,대림통상,006570
2020-05-14,4195.0,하락  5,4200.0,4200.0,4110.0,549.0,대림통상,006570
2020-05-15,4270.0,상승  75,4200.0,4300.0,4140.0,3770.0,대림통상,006570
2020-05-18,4200.0,하락  70,4270.0,4285.0,4140.0,2270.0,대림통상,006570
2020-05-19,4140.0,하락  60,4165.0,4200.0,4115.0,1896.0,대림통상,006570
2020-05-20,4135.0,하락  5,4205.0,4205.0,4100.0,495.0,대림통상,006570
2020-05-21,4200.0,상승  65,4110.0,4290.0,4110.0,1464.0,대림통상,006570
2020-05-22,4105.0,하락  95,4200.0,4300.0,4080.0,1557.0,대림통상,006570
2020-05-25,4065.0,하락  40,4075.0,4195.0,4060.0,898.0,대림통상,006570
2020-05-26,4190.0,상승  125,4115.0,4190.0,4055.0,829.0,대림통상,006570
2020-05-27,4055.0,하락  135,4155.0,4200.0,4055.0,2487.0,대림통상,006570
2020-05-28,4180.0,상승  125,4005.0,4200.0,4005.0,2452.0,대림통상,006570
2020-05-29,4180.0,보합0,4200.0,4200.0,4135.0,311.0,대림통상,006570
2020-06-01,4190.0,상승  10,4200.0,4200.0,4100.0,970.0,대림통상,006570
2020-06-02,4095.0,하락  95,4085.0,4200.0,4085.0,1535.0,대림통상,006570
2020-06-03,4160.0,상승  65,4155.0,4190.0,4095.0,964.0,대림통상,006570
2020-06-04,4160.0,보합0,4165.0,4165.0,4080.0,1169.0,대림통상,006570
2020-06-05,4210.0,상승  50,4160.0,4210.0,4085.0,699.0,대림통상,006570
2020-06-08,4240.0,상승  30,4250.0,4250.0,4130.0,1548.0,대림통상,006570
2020-06-09,4160.0,하락  80,4215.0,4220.0,4160.0,19.0,대림통상,006570
2020-06-10,4200.0,상승  40,4160.0,4205.0,4100.0,1284.0,대림통상,006570
2020-06-11,4060.0,하락  140,4210.0,4215.0,4060.0,3440.0,대림통상,006570
2020-06-12,4100.0,상승  40,3910.0,4300.0,3900.0,5313.0,대림통상,006570
2020-06-15,4135.0,상승  35,4060.0,4210.0,4055.0,2889.0,대림통상,006570
2020-06-16,4195.0,상승  60,4135.0,4195.0,4100.0,1661.0,대림통상,006570
2020-06-17,4075.0,하락  120,4200.0,4215.0,4055.0,1163.0,대림통상,006570
2020-06-18,4160.0,상승  85,4075.0,4160.0,4075.0,1556.0,대림통상,006570
2020-06-19,4250.0,상승  90,4180.0,4395.0,4160.0,8995.0,대림통상,006570
2020-06-22,4135.0,하락  115,4350.0,4350.0,4135.0,4519.0,대림통상,006570
2020-06-23,4140.0,상승  5,4135.0,4250.0,4135.0,4461.0,대림통상,006570
2020-06-24,4160.0,상승  20,4185.0,4250.0,4100.0,2786.0,대림통상,006570
2020-06-25,4150.0,하락  10,4180.0,4220.0,4065.0,1261.0,대림통상,006570
2020-06-26,4050.0,하락  100,4180.0,4185.0,4050.0,2593.0,대림통상,006570
2020-06-29,4070.0,상승  20,4070.0,4135.0,4050.0,1652.0,대림통상,006570
2020-06-30,4150.0,상승  80,4070.0,4150.0,4070.0,1509.0,대림통상,006570
2020-07-01,4180.0,상승  30,4110.0,4185.0,4110.0,694.0,대림통상,006570
2020-07-02,4180.0,보합0,4180.0,4180.0,4140.0,152.0,대림통상,006570
2020-07-03,4170.0,하락  10,4210.0,4210.0,4050.0,9270.0,대림통상,006570
2020-07-06,4125.0,하락  45,4130.0,4130.0,4115.0,631.0,대림통상,006570
2020-07-07,4120.0,하락  5,4105.0,4150.0,4105.0,961.0,대림통상,006570
2020-07-08,4170.0,상승  50,4120.0,4195.0,4120.0,904.0,대림통상,006570
2020-07-09,4195.0,상승  25,4170.0,4290.0,4170.0,2839.0,대림통상,006570
2020-07-10,4250.0,상승  55,4300.0,4300.0,4145.0,2631.0,대림통상,006570
2020-07-13,4295.0,상승  45,4250.0,4300.0,4150.0,2520.0,대림통상,006570
2020-07-14,4435.0,상승  140,4295.0,4460.0,4230.0,9101.0,대림통상,006570
2020-07-15,4270.0,하락  165,4400.0,4465.0,4260.0,6460.0,대림통상,006570
2020-07-16,4350.0,상승  80,4280.0,4370.0,4270.0,274.0,대림통상,006570
2020-07-17,4370.0,상승  20,4400.0,4890.0,4210.0,33999.0,대림통상,006570
2020-07-20,4495.0,상승  125,4380.0,4510.0,4310.0,8088.0,대림통상,006570
2020-07-21,4390.0,하락  105,4600.0,4630.0,4380.0,3624.0,대림통상,006570
2020-07-22,4320.0,하락  70,4415.0,4495.0,4310.0,5410.0,대림통상,006570
2020-07-23,4450.0,상승  130,4320.0,4470.0,4315.0,2529.0,대림통상,006570
2020-07-24,4340.0,하락  110,4430.0,4430.0,4320.0,1534.0,대림통상,006570
2020-07-27,4305.0,하락  35,4385.0,4385.0,4300.0,1646.0,대림통상,006570
2020-07-28,4425.0,상승  120,4430.0,4430.0,4340.0,246.0,대림통상,006570
2020-07-29,4390.0,하락  35,4425.0,4425.0,4365.0,320.0,대림통상,006570
2020-07-30,4270.0,하락  120,4390.0,4450.0,4270.0,6342.0,대림통상,006570
2020-07-31,4390.0,상승  120,4295.0,4420.0,4255.0,3881.0,대림통상,006570
2020-08-03,4480.0,상승  90,4390.0,4890.0,4355.0,27373.0,대림통상,006570
2020-08-04,4540.0,상승  60,4655.0,4850.0,4435.0,13052.0,대림통상,006570
2020-08-05,4460.0,하락  80,4540.0,4665.0,4450.0,3920.0,대림통상,006570
2020-08-06,4545.0,상승  85,4460.0,4550.0,4340.0,2709.0,대림통상,006570
2020-08-07,4515.0,하락  30,4545.0,4615.0,4500.0,1913.0,대림통상,006570
2020-08-10,4555.0,상승  40,4700.0,4700.0,4460.0,3752.0,대림통상,006570
2020-08-11,4350.0,하락  205,4555.0,4560.0,4320.0,1862.0,대림통상,006570
2020-08-12,4390.0,상승  40,4350.0,4390.0,4290.0,2949.0,대림통상,006570
2020-08-13,4410.0,상승  20,4360.0,4465.0,4325.0,2448.0,대림통상,006570
2020-08-14,4420.0,상승  10,4465.0,4465.0,4335.0,800.0,대림통상,006570
2020-08-18,4340.0,하락  80,4470.0,4505.0,4325.0,1828.0,대림통상,006570
2020-08-19,4410.0,상승  70,4310.0,4460.0,4310.0,322.0,대림통상,006570
2020-08-20,4350.0,하락  60,4410.0,4410.0,4270.0,1854.0,대림통상,006570
2020-08-21,4340.0,하락  10,4370.0,4455.0,4340.0,305.0,대림통상,006570
2020-08-24,4345.0,상승  5,4340.0,4490.0,4340.0,3494.0,대림통상,006570
2020-08-25,4330.0,하락  15,4345.0,4395.0,4290.0,447.0,대림통상,006570
2020-08-26,4350.0,상승  20,4380.0,4390.0,4350.0,478.0,대림통상,006570
2020-08-27,4320.0,하락  30,4320.0,4400.0,4195.0,1738.0,대림통상,006570
2020-08-28,4300.0,하락  20,4320.0,4400.0,4260.0,788.0,대림통상,006570
2020-08-31,4150.0,하락  150,4300.0,4300.0,4150.0,4668.0,대림통상,006570
2020-09-01,4240.0,상승  90,4150.0,4280.0,4140.0,2222.0,대림통상,006570
2020-09-02,4260.0,상승  20,4240.0,4350.0,4200.0,1364.0,대림통상,006570
2020-09-03,4090.0,하락  170,4395.0,4400.0,4050.0,19521.0,대림통상,006570
2020-09-04,4005.0,하락  85,4075.0,4090.0,4000.0,9235.0,대림통상,006570
2020-09-07,4060.0,상승  55,4005.0,4160.0,4005.0,5087.0,대림통상,006570
2020-09-08,4105.0,상승  45,4040.0,4180.0,4040.0,1448.0,대림통상,006570
2020-09-09,4040.0,하락  65,4205.0,4205.0,4040.0,2813.0,대림통상,006570
2020-09-10,4160.0,상승  120,4090.0,4205.0,4030.0,7916.0,대림통상,006570
2020-09-11,4115.0,하락  45,4170.0,4200.0,4090.0,3150.0,대림통상,006570
2020-09-14,4160.0,상승  45,4115.0,4220.0,4055.0,1473.0,대림통상,006570
2020-09-15,4160.0,보합0,4105.0,4160.0,4105.0,1016.0,대림통상,006570
2020-09-16,4130.0,하락  30,4170.0,4240.0,4080.0,4403.0,대림통상,006570
2020-09-17,4070.0,하락  60,4130.0,4140.0,4070.0,2358.0,대림통상,006570
2020-09-18,4050.0,하락  20,4045.0,4050.0,3940.0,14335.0,대림통상,006570
2020-09-21,4045.0,하락  5,4050.0,4050.0,4000.0,1787.0,대림통상,006570
2020-09-22,4000.0,하락  45,4000.0,4045.0,3895.0,5020.0,대림통상,006570
2020-09-23,3890.0,하락  110,4000.0,4000.0,3840.0,10437.0,대림통상,006570
2020-09-24,3950.0,상승  60,3890.0,3950.0,3800.0,10173.0,대림통상,006570
2020-09-25,4130.0,상승  180,3950.0,4340.0,3885.0,11912.0,대림통상,006570
2020-09-28,4065.0,하락  65,4260.0,4260.0,3900.0,3863.0,대림통상,006570
2020-09-29,4145.0,상승  80,4065.0,4150.0,4065.0,4181.0,대림통상,006570
2020-10-05,4195.0,상승  50,4240.0,4240.0,4145.0,562.0,대림통상,006570
2020-10-06,4190.0,하락  5,4250.0,4250.0,4130.0,702.0,대림통상,006570
2020-10-07,4150.0,하락  40,4150.0,4190.0,4145.0,1407.0,대림통상,006570
2020-10-08,4150.0,보합0,4150.0,4200.0,4150.0,1288.0,대림통상,006570
2020-10-12,4125.0,하락  25,4150.0,4150.0,4120.0,3025.0,대림통상,006570
2020-10-13,4350.0,상승  225,4150.0,4890.0,4125.0,27346.0,대림통상,006570
2020-10-14,4235.0,하락  115,4345.0,4345.0,4235.0,6524.0,대림통상,006570
2020-10-15,4190.0,하락  45,4235.0,4235.0,4190.0,1356.0,대림통상,006570
2020-10-16,4100.0,하락  90,4190.0,4245.0,4100.0,2060.0,대림통상,006570
2020-10-19,4185.0,상승  85,4100.0,4190.0,4100.0,518.0,대림통상,006570
2020-10-20,4180.0,하락  5,4200.0,4245.0,4155.0,529.0,대림통상,006570
2020-10-21,4190.0,상승  10,4200.0,4300.0,4190.0,532.0,대림통상,006570
2020-10-22,4290.0,상승  100,4190.0,4300.0,4140.0,222.0,대림통상,006570
2020-10-23,4285.0,하락  5,4395.0,4395.0,4180.0,1396.0,대림통상,006570
2020-10-26,4045.0,하락  240,4285.0,4285.0,3950.0,10673.0,대림통상,006570
2020-10-27,4120.0,상승  75,3970.0,4200.0,3970.0,1590.0,대림통상,006570
2020-10-28,4150.0,상승  30,4090.0,4190.0,4090.0,449.0,대림통상,006570
2020-10-29,4090.0,하락  60,4180.0,4180.0,4080.0,646.0,대림통상,006570
2020-10-30,4195.0,상승  105,4095.0,4200.0,4020.0,1307.0,대림통상,006570
2020-11-02,4180.0,하락  15,4195.0,4195.0,4120.0,803.0,대림통상,006570
2020-11-03,4200.0,상승  20,4160.0,4230.0,4160.0,598.0,대림통상,006570
2020-11-04,4160.0,하락  40,4240.0,4255.0,4150.0,168.0,대림통상,006570
2020-11-05,4170.0,상승  10,4245.0,4245.0,4100.0,839.0,대림통상,006570
2020-11-06,4105.0,하락  65,4170.0,4230.0,4105.0,316.0,대림통상,006570
2020-11-09,4140.0,상승  35,4145.0,4145.0,4090.0,1240.0,대림통상,006570
2020-11-10,4175.0,상승  35,4140.0,4225.0,4000.0,4010.0,대림통상,006570
2020-11-11,4140.0,하락  35,4150.0,4200.0,4095.0,5616.0,대림통상,006570
2020-11-12,4130.0,하락  10,4140.0,4140.0,4110.0,982.0,대림통상,006570
2020-11-13,4190.0,상승  60,4075.0,4230.0,4075.0,956.0,대림통상,006570
2020-11-16,4120.0,하락  70,4230.0,4230.0,4090.0,2677.0,대림통상,006570
2020-11-17,4115.0,하락  5,4120.0,4250.0,4115.0,631.0,대림통상,006570
2020-11-18,4015.0,하락  100,4095.0,4200.0,4000.0,8422.0,대림통상,006570
2020-11-19,4095.0,상승  80,4015.0,4170.0,4015.0,10721.0,대림통상,006570
2020-11-20,4070.0,하락  25,4100.0,4180.0,4045.0,8161.0,대림통상,006570
2020-11-23,4010.0,하락  60,4070.0,4185.0,3980.0,9129.0,대림통상,006570
2020-11-24,4040.0,상승  30,4010.0,4050.0,4010.0,2772.0,대림통상,006570
2020-11-25,4040.0,보합0,3990.0,4065.0,3980.0,1349.0,대림통상,006570
2020-11-26,4030.0,하락  10,4000.0,4085.0,3990.0,396.0,대림통상,006570
2020-11-27,4035.0,상승  5,4075.0,4075.0,4030.0,925.0,대림통상,006570
2020-11-30,4040.0,상승  5,4035.0,4070.0,4035.0,777.0,대림통상,006570
2020-12-01,4030.0,하락  10,4040.0,4070.0,4015.0,355.0,대림통상,006570
2020-12-02,4055.0,상승  25,4085.0,4085.0,4000.0,6766.0,대림통상,006570
2020-12-03,4015.0,하락  40,4080.0,4080.0,3950.0,8403.0,대림통상,006570
2020-12-04,3975.0,하락  40,4015.0,4020.0,3975.0,4818.0,대림통상,006570
2020-12-07,4000.0,상승  25,3930.0,4070.0,3930.0,2899.0,대림통상,006570
2020-12-08,4040.0,상승  40,4015.0,4070.0,4015.0,1597.0,대림통상,006570
2020-12-09,4040.0,보합0,4040.0,4085.0,4000.0,2536.0,대림통상,006570
2020-12-10,3970.0,하락  70,4040.0,4065.0,3970.0,4754.0,대림통상,006570
2020-12-11,4000.0,상승  30,3960.0,4020.0,3945.0,4664.0,대림통상,006570
2020-12-14,4000.0,보합0,4000.0,4090.0,3965.0,3879.0,대림통상,006570
2020-12-15,3950.0,하락  50,3970.0,3985.0,3940.0,4355.0,대림통상,006570
2020-12-16,4010.0,상승  60,3950.0,4045.0,3950.0,1821.0,대림통상,006570
2020-12-17,4040.0,상승  30,3980.0,4060.0,3980.0,1959.0,대림통상,006570
2020-12-18,3985.0,하락  55,4000.0,4095.0,3985.0,3959.0,대림통상,006570
2020-12-21,4060.0,상승  75,4025.0,4095.0,3990.0,2499.0,대림통상,006570
2020-12-22,3975.0,하락  85,4080.0,4150.0,3960.0,4404.0,대림통상,006570
2020-12-23,4030.0,상승  55,3970.0,4040.0,3940.0,1393.0,대림통상,006570
2020-12-24,4030.0,보합0,3990.0,4040.0,3940.0,71155.0,대림통상,006570
2020-12-28,4005.0,하락  25,4260.0,4260.0,3990.0,8596.0,대림통상,006570
2020-12-29,3970.0,하락  35,4005.0,4050.0,3930.0,8104.0,대림통상,006570
2020-12-30,3975.0,상승  5,3970.0,4080.0,3935.0,11232.0,대림통상,006570
