날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-13,15850.0,하락  850,15050.0,16000.0,14750.0,433117.0,대상,001680
2020-03-16,15550.0,하락  300,15950.0,16250.0,15550.0,167786.0,대상,001680
2020-03-17,15600.0,상승  50,15050.0,15800.0,14800.0,171533.0,대상,001680
2020-03-18,14600.0,"하락  1,000",15550.0,15900.0,14500.0,159198.0,대상,001680
2020-03-19,13200.0,"하락  1,400",14650.0,15000.0,13150.0,268920.0,대상,001680
2020-03-20,14500.0,"상승  1,300",13250.0,14500.0,13250.0,186267.0,대상,001680
2020-03-23,13750.0,하락  750,13700.0,14000.0,13250.0,192251.0,대상,001680
2020-03-24,14300.0,상승  550,14000.0,14600.0,13750.0,245561.0,대상,001680
2020-03-25,15300.0,"상승  1,000",14650.0,15350.0,14450.0,275624.0,대상,001680
2020-03-26,15300.0,보합0,15400.0,16000.0,15150.0,315636.0,대상,001680
2020-03-27,15500.0,상승  200,15950.0,16050.0,15050.0,215432.0,대상,001680
2020-03-30,16000.0,상승  500,15250.0,16200.0,14900.0,201885.0,대상,001680
2020-03-31,16950.0,상승  950,16350.0,17700.0,16350.0,308498.0,대상,001680
2020-04-01,17450.0,상승  500,17100.0,19300.0,16950.0,673708.0,대상,001680
2020-04-02,18450.0,"상승  1,000",17950.0,18600.0,17400.0,440707.0,대상,001680
2020-04-03,18700.0,상승  250,20100.0,21800.0,18250.0,1037570.0,대상,001680
2020-04-06,19200.0,상승  500,19100.0,19750.0,18900.0,375498.0,대상,001680
2020-04-07,19100.0,하락  100,19500.0,19550.0,18700.0,312071.0,대상,001680
2020-04-08,18800.0,하락  300,18850.0,19300.0,18700.0,222854.0,대상,001680
2020-04-09,19100.0,상승  300,19250.0,19300.0,18850.0,353530.0,대상,001680
2020-04-10,18850.0,하락  250,18900.0,19100.0,18600.0,226366.0,대상,001680
2020-04-13,19650.0,상승  800,18900.0,19900.0,18650.0,368857.0,대상,001680
2020-04-14,19550.0,하락  100,19950.0,19950.0,19450.0,220411.0,대상,001680
2020-04-16,19550.0,보합0,19300.0,19650.0,18800.0,229681.0,대상,001680
2020-04-17,19450.0,하락  100,19750.0,19900.0,19350.0,272599.0,대상,001680
2020-04-20,19200.0,하락  250,19400.0,19600.0,19100.0,192974.0,대상,001680
2020-04-21,19050.0,하락  150,19100.0,19250.0,18450.0,283672.0,대상,001680
2020-04-22,18900.0,하락  150,18900.0,18950.0,18600.0,164504.0,대상,001680
