날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-16,4260.0,하락  35,4225.0,4345.0,4225.0,22748.0,대성에너지,117580
2020-03-17,4230.0,하락  30,4155.0,4265.0,3935.0,18014.0,대성에너지,117580
2020-03-18,4170.0,하락  60,4220.0,4300.0,4160.0,24892.0,대성에너지,117580
2020-03-19,3850.0,하락  320,4265.0,4265.0,3825.0,102174.0,대성에너지,117580
2020-03-20,3960.0,상승  110,3855.0,3990.0,3830.0,34913.0,대성에너지,117580
2020-03-23,3735.0,하락  225,3685.0,3945.0,3685.0,27594.0,대성에너지,117580
2020-03-24,3855.0,상승  120,3780.0,3870.0,3740.0,15740.0,대성에너지,117580
2020-03-25,4040.0,상승  185,3900.0,4045.0,3900.0,28933.0,대성에너지,117580
2020-03-26,4100.0,상승  60,4090.0,4145.0,3990.0,35932.0,대성에너지,117580
2020-03-27,4130.0,상승  30,4110.0,4230.0,4080.0,38241.0,대성에너지,117580
2020-03-30,4200.0,상승  70,4150.0,4210.0,4070.0,16519.0,대성에너지,117580
2020-03-31,4330.0,상승  130,4200.0,4370.0,4200.0,45519.0,대성에너지,117580
2020-04-01,4300.0,하락  30,4300.0,4370.0,4290.0,23064.0,대성에너지,117580
2020-04-02,4450.0,상승  150,4260.0,4500.0,4220.0,44598.0,대성에너지,117580
2020-04-03,4415.0,하락  35,4630.0,4630.0,4350.0,57079.0,대성에너지,117580
2020-04-06,4490.0,상승  75,4405.0,4490.0,4400.0,29186.0,대성에너지,117580
2020-04-07,4495.0,상승  5,4495.0,4540.0,4490.0,37856.0,대성에너지,117580
2020-04-08,4510.0,상승  15,4535.0,4535.0,4455.0,28809.0,대성에너지,117580
2020-04-09,4500.0,하락  10,4510.0,4555.0,4495.0,19320.0,대성에너지,117580
2020-04-10,4505.0,상승  5,4545.0,4545.0,4470.0,32344.0,대성에너지,117580
2020-04-13,4540.0,상승  35,4545.0,4560.0,4485.0,27971.0,대성에너지,117580
2020-04-14,4545.0,상승  5,4565.0,4585.0,4530.0,24167.0,대성에너지,117580
2020-04-16,4555.0,상승  10,4525.0,4555.0,4520.0,27548.0,대성에너지,117580
2020-04-17,4610.0,상승  55,4565.0,4640.0,4565.0,36062.0,대성에너지,117580
2020-04-20,4625.0,상승  15,4635.0,4665.0,4585.0,25606.0,대성에너지,117580
