날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-13,8700.0,하락  600,8790.0,8990.0,8310.0,494380.0,대신증권,003540
2020-03-16,8550.0,하락  150,8850.0,8990.0,8450.0,273121.0,대신증권,003540
2020-03-17,8080.0,하락  470,8150.0,8420.0,7310.0,744553.0,대신증권,003540
2020-03-18,7850.0,하락  230,8160.0,8200.0,7810.0,182400.0,대신증권,003540
2020-03-19,6970.0,하락  880,7990.0,7990.0,6840.0,587946.0,대신증권,003540
2020-03-20,7190.0,상승  220,6990.0,7200.0,6980.0,324622.0,대신증권,003540
2020-03-23,6690.0,하락  500,6840.0,6900.0,6650.0,346878.0,대신증권,003540
2020-03-24,7310.0,상승  620,6840.0,7310.0,6740.0,293654.0,대신증권,003540
2020-03-25,8110.0,상승  800,7760.0,8280.0,7600.0,394065.0,대신증권,003540
2020-03-26,8150.0,상승  40,8110.0,8300.0,7900.0,307650.0,대신증권,003540
2020-03-27,8280.0,상승  130,8550.0,8600.0,8100.0,359234.0,대신증권,003540
2020-03-30,8480.0,상승  200,8080.0,8480.0,8020.0,268199.0,대신증권,003540
2020-03-31,8560.0,상승  80,8600.0,8760.0,8420.0,358941.0,대신증권,003540
2020-04-01,8490.0,하락  70,8490.0,8860.0,8460.0,292864.0,대신증권,003540
2020-04-02,8710.0,상승  220,8400.0,8720.0,8380.0,187449.0,대신증권,003540
2020-04-03,8780.0,상승  70,8710.0,8850.0,8660.0,146961.0,대신증권,003540
2020-04-06,9120.0,상승  340,8810.0,9140.0,8740.0,219101.0,대신증권,003540
2020-04-07,9240.0,상승  120,9400.0,9600.0,9100.0,283235.0,대신증권,003540
2020-04-08,9250.0,상승  10,9180.0,9340.0,9080.0,165427.0,대신증권,003540
2020-04-09,9300.0,상승  50,9350.0,9350.0,9230.0,139251.0,대신증권,003540
2020-04-10,9550.0,상승  250,9310.0,9550.0,9080.0,156778.0,대신증권,003540
2020-04-13,9300.0,하락  250,9530.0,9530.0,9300.0,133305.0,대신증권,003540
2020-04-14,9300.0,보합0,9330.0,9490.0,9260.0,160062.0,대신증권,003540
2020-04-16,9120.0,하락  180,9260.0,9270.0,8970.0,239037.0,대신증권,003540
2020-04-17,9410.0,상승  290,9180.0,9550.0,9150.0,280502.0,대신증권,003540
2020-04-20,9250.0,하락  160,9410.0,9450.0,9180.0,246169.0,대신증권,003540
2020-04-21,9090.0,하락  160,9220.0,9220.0,8960.0,197194.0,대신증권,003540
2020-04-22,9080.0,하락  10,9000.0,9120.0,8910.0,118772.0,대신증권,003540
2020-04-23,9150.0,상승  70,9140.0,9190.0,9050.0,85156.0,대신증권,003540
2020-04-24,9120.0,하락  30,9150.0,9150.0,9060.0,70385.0,대신증권,003540
2020-04-27,9280.0,상승  160,9100.0,9330.0,9080.0,159968.0,대신증권,003540
2020-04-28,9270.0,하락  10,9350.0,9440.0,9220.0,112764.0,대신증권,003540
2020-04-29,9950.0,상승  680,9250.0,9980.0,9240.0,450365.0,대신증권,003540
2020-05-04,9670.0,하락  280,9780.0,9810.0,9550.0,214567.0,대신증권,003540
2020-05-06,10000.0,상승  330,9810.0,10250.0,9770.0,237154.0,대신증권,003540
2020-05-07,10000.0,보합0,9950.0,10200.0,9920.0,105941.0,대신증권,003540
2020-05-08,10100.0,상승  100,10200.0,10250.0,10000.0,69136.0,대신증권,003540
2020-05-11,10100.0,보합0,10000.0,10200.0,9960.0,169244.0,대신증권,003540
2020-05-12,10000.0,하락  100,10100.0,10150.0,9820.0,179781.0,대신증권,003540
2020-05-13,9970.0,하락  30,9960.0,10050.0,9910.0,60775.0,대신증권,003540
2020-05-14,9690.0,하락  280,9910.0,9920.0,9690.0,120025.0,대신증권,003540
2020-05-15,9760.0,상승  70,9880.0,9880.0,9700.0,60599.0,대신증권,003540
2020-05-18,9860.0,상승  100,9950.0,9950.0,9810.0,123120.0,대신증권,003540
2020-05-19,10100.0,상승  240,10150.0,10150.0,9990.0,191770.0,대신증권,003540
2020-05-20,10150.0,상승  50,9950.0,10150.0,9950.0,131855.0,대신증권,003540
2020-05-21,10050.0,하락  100,10200.0,10250.0,9970.0,159895.0,대신증권,003540
2020-05-22,9680.0,하락  370,10000.0,10050.0,9650.0,268281.0,대신증권,003540
2020-05-25,9850.0,상승  170,9710.0,9850.0,9690.0,128630.0,대신증권,003540
2020-05-26,9970.0,상승  120,9850.0,10000.0,9780.0,157279.0,대신증권,003540
2020-05-27,9960.0,하락  10,10050.0,10050.0,9900.0,135613.0,대신증권,003540
2020-05-28,10050.0,상승  90,10100.0,10350.0,9960.0,558393.0,대신증권,003540
2020-05-29,9900.0,하락  150,10050.0,10100.0,9900.0,269772.0,대신증권,003540
2020-06-01,10150.0,상승  250,10000.0,10150.0,9950.0,215118.0,대신증권,003540
2020-06-02,10200.0,상승  50,10150.0,10250.0,10050.0,246017.0,대신증권,003540
2020-06-03,10600.0,상승  400,10400.0,10650.0,10350.0,541587.0,대신증권,003540
2020-06-04,10400.0,하락  200,10850.0,10950.0,10300.0,331907.0,대신증권,003540
2020-06-05,10600.0,상승  200,10400.0,10650.0,10300.0,128751.0,대신증권,003540
2020-06-08,10650.0,상승  50,10850.0,10900.0,10550.0,172311.0,대신증권,003540
2020-06-09,10450.0,하락  200,10650.0,10800.0,10350.0,203892.0,대신증권,003540
2020-06-10,10400.0,하락  50,10400.0,10550.0,10350.0,127320.0,대신증권,003540
2020-06-11,10150.0,하락  250,10400.0,10500.0,10100.0,178917.0,대신증권,003540
2020-06-12,10300.0,상승  150,9770.0,10300.0,9700.0,272246.0,대신증권,003540
2020-06-15,10000.0,하락  300,10200.0,10250.0,9910.0,235635.0,대신증권,003540
2020-06-16,10150.0,상승  150,10150.0,10200.0,9990.0,247430.0,대신증권,003540
2020-06-17,10150.0,보합0,10100.0,10200.0,10050.0,134033.0,대신증권,003540
2020-06-18,10100.0,하락  50,10200.0,10400.0,10050.0,191184.0,대신증권,003540
2020-06-19,10200.0,상승  100,10200.0,10250.0,9940.0,179471.0,대신증권,003540
2020-06-22,10050.0,하락  150,10050.0,10150.0,9990.0,153277.0,대신증권,003540
2020-06-23,9940.0,하락  110,10050.0,10100.0,9930.0,136394.0,대신증권,003540
2020-06-24,10000.0,상승  60,10000.0,10050.0,9900.0,148378.0,대신증권,003540
2020-06-25,9840.0,하락  160,9970.0,9970.0,9820.0,176953.0,대신증권,003540
2020-06-26,9860.0,상승  20,9880.0,9950.0,9810.0,108098.0,대신증권,003540
2020-06-29,9670.0,하락  190,9750.0,9850.0,9650.0,123571.0,대신증권,003540
2020-06-30,9660.0,하락  10,9800.0,9800.0,9650.0,55514.0,대신증권,003540
