날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-16,2200.0,하락  105,2370.0,2410.0,2190.0,537112.0,대양금속,009190
2020-03-17,2145.0,하락  55,2000.0,2165.0,2000.0,1043707.0,대양금속,009190
2020-03-18,1970.0,하락  175,2150.0,2195.0,1965.0,802466.0,대양금속,009190
2020-03-19,1460.0,하락  510,1970.0,2030.0,1385.0,1800759.0,대양금속,009190
2020-03-20,1610.0,상승  150,1520.0,1740.0,1510.0,1496734.0,대양금속,009190
2020-03-23,1485.0,하락  125,1520.0,1550.0,1430.0,796331.0,대양금속,009190
2020-03-24,1540.0,상승  55,1530.0,1550.0,1475.0,915743.0,대양금속,009190
2020-03-25,1635.0,상승  95,1590.0,1685.0,1565.0,1375914.0,대양금속,009190
2020-03-26,1710.0,상승  75,1600.0,1895.0,1540.0,2241053.0,대양금속,009190
2020-03-27,1845.0,상승  135,1800.0,2055.0,1750.0,3536491.0,대양금속,009190
2020-03-30,1965.0,상승  120,1790.0,1965.0,1725.0,1040738.0,대양금속,009190
2020-03-31,2045.0,상승  80,2035.0,2075.0,1970.0,1160974.0,대양금속,009190
2020-04-01,2045.0,보합0,2005.0,2240.0,1945.0,1544791.0,대양금속,009190
2020-04-02,2080.0,상승  35,2030.0,2110.0,1985.0,688904.0,대양금속,009190
2020-04-03,2080.0,보합0,2110.0,2145.0,2030.0,533389.0,대양금속,009190
2020-04-06,2210.0,상승  130,2090.0,2235.0,2090.0,806990.0,대양금속,009190
2020-04-07,2335.0,상승  125,2290.0,2440.0,2215.0,1772774.0,대양금속,009190
2020-04-08,2420.0,상승  85,2345.0,2465.0,2275.0,1022410.0,대양금속,009190
2020-04-09,2590.0,상승  170,2430.0,2670.0,2430.0,1534756.0,대양금속,009190
2020-04-10,2565.0,하락  25,2645.0,2750.0,2385.0,1348495.0,대양금속,009190
2020-04-13,2360.0,하락  205,2510.0,2550.0,2355.0,919530.0,대양금속,009190
