날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-16,3270.0,하락  10,3295.0,3440.0,3240.0,1732496.0,대우건설,047040
2020-03-17,3085.0,하락  185,2990.0,3225.0,2990.0,2440175.0,대우건설,047040
2020-03-18,2795.0,하락  290,3100.0,3145.0,2780.0,2749166.0,대우건설,047040
2020-03-19,2370.0,하락  425,2850.0,2900.0,2350.0,4389516.0,대우건설,047040
2020-03-20,2530.0,상승  160,2380.0,2530.0,2300.0,3331959.0,대우건설,047040
2020-03-23,2275.0,하락  255,2290.0,2375.0,2250.0,2216825.0,대우건설,047040
2020-03-24,2485.0,상승  210,2330.0,2490.0,2310.0,2317386.0,대우건설,047040
2020-03-25,2810.0,상승  325,2580.0,2835.0,2545.0,3340166.0,대우건설,047040
2020-03-26,2790.0,하락  20,2815.0,2870.0,2730.0,2164969.0,대우건설,047040
2020-03-27,2785.0,하락  5,2910.0,2955.0,2725.0,1955023.0,대우건설,047040
2020-03-30,2805.0,상승  20,2685.0,2815.0,2645.0,1529781.0,대우건설,047040
2020-03-31,2940.0,상승  135,2840.0,3040.0,2830.0,2285175.0,대우건설,047040
2020-04-01,2760.0,하락  180,2915.0,2955.0,2760.0,1814015.0,대우건설,047040
2020-04-02,2905.0,상승  145,2760.0,2930.0,2705.0,1379518.0,대우건설,047040
2020-04-03,2885.0,하락  20,2920.0,2935.0,2805.0,1669488.0,대우건설,047040
2020-04-06,2980.0,상승  95,2920.0,3005.0,2890.0,1739338.0,대우건설,047040
2020-04-07,3020.0,상승  40,3050.0,3075.0,2965.0,1691012.0,대우건설,047040
2020-04-08,3115.0,상승  95,3015.0,3220.0,3000.0,1989885.0,대우건설,047040
2020-04-09,3150.0,상승  35,3180.0,3195.0,3125.0,1150786.0,대우건설,047040
2020-04-10,3145.0,하락  5,3160.0,3210.0,3110.0,1823254.0,대우건설,047040
2020-04-13,3155.0,상승  10,3165.0,3250.0,3140.0,1448055.0,대우건설,047040
2020-04-14,3315.0,상승  160,3195.0,3365.0,3170.0,2427988.0,대우건설,047040
2020-04-16,3295.0,하락  20,3270.0,3330.0,3195.0,1957133.0,대우건설,047040
2020-04-17,3355.0,상승  60,3330.0,3470.0,3330.0,1658460.0,대우건설,047040
2020-04-20,3360.0,상승  5,3345.0,3460.0,3305.0,2115545.0,대우건설,047040
2020-04-21,3310.0,하락  50,3350.0,3405.0,3205.0,2034927.0,대우건설,047040
2020-04-22,3445.0,상승  135,3240.0,3445.0,3170.0,2014014.0,대우건설,047040
2020-04-23,3420.0,하락  25,3455.0,3460.0,3385.0,1306602.0,대우건설,047040
2020-04-24,3300.0,하락  120,3400.0,3415.0,3270.0,1439344.0,대우건설,047040
2020-04-27,3440.0,상승  140,3320.0,3440.0,3320.0,911273.0,대우건설,047040
2020-04-28,3465.0,상승  25,3500.0,3550.0,3390.0,1411539.0,대우건설,047040
2020-04-29,3560.0,상승  95,3500.0,3640.0,3495.0,2270387.0,대우건설,047040
2020-05-04,3490.0,하락  70,3490.0,3575.0,3435.0,1654357.0,대우건설,047040
2020-05-06,3550.0,상승  60,3525.0,3605.0,3490.0,1319005.0,대우건설,047040
2020-05-07,3570.0,상승  20,3555.0,3590.0,3545.0,847123.0,대우건설,047040
2020-05-08,3570.0,보합0,3595.0,3625.0,3560.0,1128597.0,대우건설,047040
2020-05-11,3535.0,하락  35,3570.0,3575.0,3520.0,1059635.0,대우건설,047040
2020-05-12,3415.0,하락  120,3500.0,3525.0,3395.0,1538885.0,대우건설,047040
2020-05-13,3445.0,상승  30,3365.0,3445.0,3350.0,1167323.0,대우건설,047040
2020-05-14,3445.0,보합0,3465.0,3605.0,3425.0,2190873.0,대우건설,047040
2020-05-15,3480.0,상승  35,3535.0,3550.0,3455.0,1455128.0,대우건설,047040
2020-05-18,3470.0,하락  10,3540.0,3540.0,3430.0,923887.0,대우건설,047040
2020-05-19,3515.0,상승  45,3500.0,3560.0,3500.0,1444379.0,대우건설,047040
2020-05-20,3560.0,상승  45,3515.0,3560.0,3485.0,1035544.0,대우건설,047040
2020-05-21,3555.0,하락  5,3570.0,3575.0,3525.0,827325.0,대우건설,047040
2020-05-22,3485.0,하락  70,3555.0,3555.0,3465.0,882053.0,대우건설,047040
2020-05-25,3495.0,상승  10,3500.0,3520.0,3440.0,557723.0,대우건설,047040
2020-05-26,3605.0,상승  110,3500.0,3665.0,3485.0,2597968.0,대우건설,047040
2020-05-27,3735.0,상승  130,3600.0,3750.0,3600.0,2185258.0,대우건설,047040
2020-05-28,3655.0,하락  80,3760.0,3765.0,3600.0,1865133.0,대우건설,047040
2020-05-29,3830.0,상승  175,3645.0,3830.0,3585.0,2547093.0,대우건설,047040
2020-06-01,3850.0,상승  20,3730.0,3850.0,3660.0,1981805.0,대우건설,047040
2020-06-02,3875.0,상승  25,3795.0,3895.0,3795.0,1316550.0,대우건설,047040
2020-06-03,3985.0,상승  110,3945.0,4045.0,3905.0,2756495.0,대우건설,047040
2020-06-04,3930.0,하락  55,4100.0,4100.0,3910.0,1819393.0,대우건설,047040
2020-06-05,4100.0,상승  170,3935.0,4110.0,3930.0,1715900.0,대우건설,047040
2020-06-08,4030.0,하락  70,4165.0,4165.0,4015.0,1033550.0,대우건설,047040
2020-06-09,3960.0,하락  70,4085.0,4120.0,3920.0,1586838.0,대우건설,047040
2020-06-10,3925.0,하락  35,3985.0,4030.0,3860.0,1594725.0,대우건설,047040
2020-06-11,3825.0,하락  100,3925.0,3935.0,3780.0,1636318.0,대우건설,047040
2020-06-12,3690.0,하락  135,3680.0,3700.0,3625.0,1383511.0,대우건설,047040
2020-06-15,3480.0,하락  210,3620.0,3675.0,3480.0,1414033.0,대우건설,047040
2020-06-16,3680.0,상승  200,3545.0,3685.0,3540.0,1116764.0,대우건설,047040
2020-06-17,3625.0,하락  55,3610.0,3670.0,3565.0,896650.0,대우건설,047040
