날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-13,2635.0,하락  290,2525.0,2750.0,2480.0,140009.0,대원강업,000430
2020-03-16,2570.0,하락  65,2590.0,2745.0,2570.0,108293.0,대원강업,000430
2020-03-17,2665.0,상승  95,2350.0,2950.0,2350.0,119688.0,대원강업,000430
2020-03-18,2605.0,하락  60,2625.0,2775.0,2605.0,60913.0,대원강업,000430
2020-03-19,2360.0,하락  245,2600.0,2655.0,2355.0,111040.0,대원강업,000430
2020-03-20,2480.0,상승  120,2300.0,2480.0,2300.0,80568.0,대원강업,000430
2020-03-23,2345.0,하락  135,2460.0,2460.0,2335.0,20451.0,대원강업,000430
2020-03-24,2400.0,상승  55,2435.0,2450.0,2335.0,24328.0,대원강업,000430
2020-03-25,2535.0,상승  135,2460.0,2615.0,2430.0,75186.0,대원강업,000430
2020-03-26,2595.0,상승  60,2530.0,2665.0,2530.0,40635.0,대원강업,000430
2020-03-27,2700.0,상승  105,2610.0,2715.0,2610.0,40942.0,대원강업,000430
2020-03-30,2700.0,보합0,2680.0,2705.0,2560.0,13152.0,대원강업,000430
2020-03-31,2790.0,상승  90,2715.0,2825.0,2715.0,30038.0,대원강업,000430
2020-04-01,2615.0,하락  175,2790.0,2820.0,2600.0,20478.0,대원강업,000430
2020-04-02,2650.0,상승  35,2670.0,2680.0,2615.0,17315.0,대원강업,000430
2020-04-03,2680.0,상승  30,2655.0,2730.0,2655.0,16513.0,대원강업,000430
2020-04-06,2800.0,상승  120,2655.0,2810.0,2655.0,123744.0,대원강업,000430
2020-04-07,2830.0,상승  30,2810.0,2880.0,2750.0,50861.0,대원강업,000430
2020-04-08,2840.0,상승  10,2810.0,2900.0,2810.0,45420.0,대원강업,000430
2020-04-09,2880.0,상승  40,2860.0,2920.0,2845.0,41341.0,대원강업,000430
2020-04-10,2890.0,상승  10,2880.0,2900.0,2830.0,26451.0,대원강업,000430
2020-04-13,2870.0,하락  20,2890.0,2890.0,2815.0,27711.0,대원강업,000430
2020-04-14,2910.0,상승  40,2865.0,2970.0,2835.0,35845.0,대원강업,000430
2020-04-16,2945.0,상승  35,2910.0,2945.0,2840.0,19930.0,대원강업,000430
2020-04-17,2950.0,상승  5,2945.0,3010.0,2940.0,59409.0,대원강업,000430
2020-04-20,3030.0,상승  80,2910.0,3035.0,2910.0,37265.0,대원강업,000430
2020-04-21,2920.0,하락  110,3030.0,3050.0,2850.0,43727.0,대원강업,000430
2020-04-22,2920.0,보합0,2865.0,2935.0,2825.0,28444.0,대원강업,000430
2020-04-23,2920.0,보합0,2935.0,2940.0,2900.0,12001.0,대원강업,000430
2020-04-24,2870.0,하락  50,2950.0,2950.0,2855.0,22679.0,대원강업,000430
2020-04-27,2895.0,상승  25,2860.0,2920.0,2860.0,20316.0,대원강업,000430
2020-04-28,2895.0,보합0,2910.0,2940.0,2865.0,25928.0,대원강업,000430
2020-04-29,2900.0,상승  5,2870.0,2930.0,2870.0,18364.0,대원강업,000430
2020-05-04,2910.0,상승  10,2910.0,2940.0,2875.0,22394.0,대원강업,000430
2020-05-06,2965.0,상승  55,2955.0,3070.0,2925.0,24123.0,대원강업,000430
2020-05-07,3010.0,상승  45,2965.0,3015.0,2965.0,27708.0,대원강업,000430
2020-05-08,3000.0,하락  10,3015.0,3050.0,3000.0,15646.0,대원강업,000430
2020-05-11,3040.0,상승  40,3000.0,3050.0,2970.0,15215.0,대원강업,000430
2020-05-12,3000.0,하락  40,3040.0,3040.0,2960.0,16782.0,대원강업,000430
2020-05-13,2980.0,하락  20,3025.0,3025.0,2915.0,20963.0,대원강업,000430
2020-05-14,2900.0,하락  80,2970.0,2970.0,2895.0,26731.0,대원강업,000430
2020-05-15,2895.0,하락  5,2880.0,2935.0,2850.0,20260.0,대원강업,000430
2020-05-18,2885.0,하락  10,2895.0,2895.0,2855.0,22618.0,대원강업,000430
2020-05-19,2940.0,상승  55,2950.0,2970.0,2905.0,31379.0,대원강업,000430
2020-05-20,2960.0,상승  20,2970.0,2970.0,2935.0,20512.0,대원강업,000430
2020-05-21,3035.0,상승  75,2990.0,3045.0,2980.0,45507.0,대원강업,000430
2020-05-22,2960.0,하락  75,3035.0,3035.0,2955.0,28166.0,대원강업,000430
2020-05-25,3135.0,상승  175,2970.0,3800.0,2955.0,1055934.0,대원강업,000430
2020-05-26,3140.0,상승  5,3160.0,3170.0,3110.0,127703.0,대원강업,000430
2020-05-27,3115.0,하락  25,3115.0,3165.0,3115.0,126012.0,대원강업,000430
2020-05-28,3075.0,하락  40,3125.0,3150.0,3065.0,90715.0,대원강업,000430
2020-05-29,3065.0,하락  10,3070.0,3125.0,3025.0,44893.0,대원강업,000430
2020-06-01,3080.0,상승  15,3025.0,3090.0,3025.0,25870.0,대원강업,000430
2020-06-02,3115.0,상승  35,3070.0,3150.0,3070.0,85773.0,대원강업,000430
2020-06-03,3125.0,상승  10,3120.0,3175.0,3115.0,71427.0,대원강업,000430
