날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-13,12200.0,하락  650,11900.0,12500.0,11300.0,114324.0,대원제약,003220
2020-03-16,11850.0,하락  350,12150.0,12600.0,11800.0,51970.0,대원제약,003220
2020-03-17,11850.0,보합0,11200.0,12100.0,11200.0,54587.0,대원제약,003220
2020-03-18,11850.0,보합0,12100.0,12350.0,11750.0,54720.0,대원제약,003220
2020-03-19,10200.0,"하락  1,650",11800.0,11950.0,9910.0,145210.0,대원제약,003220
2020-03-20,10400.0,상승  200,10050.0,10700.0,10050.0,89507.0,대원제약,003220
2020-03-23,10150.0,하락  250,9800.0,10500.0,9420.0,88129.0,대원제약,003220
2020-03-24,11100.0,상승  950,10400.0,11150.0,10350.0,86092.0,대원제약,003220
2020-03-25,12000.0,상승  900,11750.0,12200.0,11700.0,113228.0,대원제약,003220
2020-03-26,12150.0,상승  150,12050.0,12500.0,11900.0,114386.0,대원제약,003220
2020-03-27,12450.0,상승  300,12650.0,13150.0,12150.0,167373.0,대원제약,003220
2020-03-30,13300.0,상승  850,12300.0,13450.0,12200.0,143828.0,대원제약,003220
2020-03-31,14250.0,상승  950,13450.0,14400.0,13350.0,242322.0,대원제약,003220
2020-04-01,13650.0,하락  600,14500.0,14500.0,13600.0,161294.0,대원제약,003220
2020-04-02,13850.0,상승  200,13700.0,13950.0,13150.0,64368.0,대원제약,003220
2020-04-03,13900.0,상승  50,13850.0,15200.0,13750.0,330882.0,대원제약,003220
2020-04-06,14300.0,상승  400,14200.0,14450.0,13900.0,115652.0,대원제약,003220
2020-04-07,14350.0,상승  50,14400.0,14550.0,14150.0,97203.0,대원제약,003220
2020-04-08,14200.0,하락  150,14500.0,14500.0,14100.0,60512.0,대원제약,003220
2020-04-09,14800.0,상승  600,14350.0,14950.0,14200.0,177847.0,대원제약,003220
2020-04-10,15000.0,상승  200,14950.0,15100.0,14200.0,167995.0,대원제약,003220
2020-04-13,14950.0,하락  50,14700.0,15100.0,14700.0,109018.0,대원제약,003220
2020-04-14,15000.0,상승  50,15100.0,15200.0,14900.0,98242.0,대원제약,003220
2020-04-16,15250.0,상승  250,15050.0,15400.0,14800.0,115525.0,대원제약,003220
2020-04-17,15150.0,하락  100,15300.0,15450.0,15000.0,136229.0,대원제약,003220
2020-04-20,15200.0,상승  50,15300.0,15300.0,14800.0,35675.0,대원제약,003220
2020-04-21,14850.0,하락  350,15100.0,15150.0,14200.0,77629.0,대원제약,003220
2020-04-22,14750.0,하락  100,14650.0,14750.0,14350.0,39010.0,대원제약,003220
2020-04-23,14850.0,상승  100,14800.0,14900.0,14550.0,58366.0,대원제약,003220
2020-04-24,14400.0,하락  450,14700.0,14950.0,14400.0,69098.0,대원제약,003220
2020-04-27,14500.0,상승  100,14350.0,14750.0,14350.0,44474.0,대원제약,003220
2020-04-28,14650.0,상승  150,14850.0,14850.0,14500.0,40370.0,대원제약,003220
2020-04-29,14750.0,상승  100,14550.0,14750.0,14500.0,53013.0,대원제약,003220
2020-05-04,14550.0,하락  200,14600.0,14750.0,14450.0,28383.0,대원제약,003220
2020-05-06,14800.0,상승  250,14550.0,14800.0,14450.0,40516.0,대원제약,003220
2020-05-07,14850.0,상승  50,14850.0,15500.0,14750.0,165681.0,대원제약,003220
2020-05-08,15050.0,상승  200,14850.0,15150.0,14850.0,51982.0,대원제약,003220
2020-05-11,14800.0,하락  250,15100.0,15700.0,14800.0,275591.0,대원제약,003220
2020-05-12,14900.0,상승  100,15150.0,15200.0,14750.0,87479.0,대원제약,003220
2020-05-13,15200.0,상승  300,15000.0,15450.0,14900.0,148779.0,대원제약,003220
2020-05-14,15100.0,하락  100,15000.0,15350.0,14800.0,113808.0,대원제약,003220
2020-05-15,16000.0,상승  900,15200.0,17800.0,15100.0,1437340.0,대원제약,003220
2020-05-18,16150.0,상승  150,16100.0,16650.0,15650.0,356321.0,대원제약,003220
2020-05-19,16300.0,상승  150,16200.0,16400.0,15750.0,223912.0,대원제약,003220
