날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-13,23000.0,하락  200,22150.0,23000.0,21050.0,17217.0,대창단조,015230
2020-03-16,22300.0,하락  700,23200.0,23200.0,21350.0,6152.0,대창단조,015230
2020-03-17,22200.0,하락  100,21800.0,22600.0,20550.0,1824.0,대창단조,015230
2020-03-18,21150.0,"하락  1,050",22200.0,22300.0,21000.0,1108.0,대창단조,015230
2020-03-19,19100.0,"하락  2,050",20700.0,21550.0,18700.0,9262.0,대창단조,015230
2020-03-20,18900.0,하락  200,19100.0,19600.0,18250.0,7617.0,대창단조,015230
2020-03-23,18700.0,하락  200,18500.0,19050.0,17800.0,5320.0,대창단조,015230
2020-03-24,17900.0,하락  800,18700.0,19100.0,17800.0,39860.0,대창단조,015230
2020-03-25,18150.0,상승  250,18150.0,18550.0,17850.0,25706.0,대창단조,015230
2020-03-26,18750.0,상승  600,18500.0,19950.0,18150.0,16928.0,대창단조,015230
2020-03-27,19150.0,상승  400,19050.0,19750.0,18700.0,8326.0,대창단조,015230
2020-03-30,18800.0,하락  350,19050.0,19050.0,18400.0,12273.0,대창단조,015230
2020-03-31,19200.0,상승  400,19100.0,19600.0,18850.0,22526.0,대창단조,015230
2020-04-01,19150.0,하락  50,19200.0,20300.0,19150.0,29800.0,대창단조,015230
2020-04-02,19300.0,상승  150,19150.0,19550.0,18800.0,24336.0,대창단조,015230
2020-04-03,19250.0,하락  50,19650.0,20150.0,19100.0,28162.0,대창단조,015230
2020-04-06,19800.0,상승  550,19450.0,19800.0,19100.0,28520.0,대창단조,015230
2020-04-07,20400.0,상승  600,20050.0,20950.0,19900.0,39519.0,대창단조,015230
2020-04-08,21100.0,상승  700,20350.0,21200.0,20000.0,19406.0,대창단조,015230
2020-04-09,21100.0,보합0,21450.0,21500.0,20850.0,15613.0,대창단조,015230
2020-04-10,20950.0,하락  150,21100.0,21350.0,20300.0,14848.0,대창단조,015230
2020-04-13,20350.0,하락  600,21050.0,21050.0,20350.0,12790.0,대창단조,015230
2020-04-14,20850.0,상승  500,20350.0,20850.0,20300.0,11753.0,대창단조,015230
2020-04-16,20850.0,보합0,20850.0,20850.0,20350.0,5444.0,대창단조,015230
2020-04-17,21550.0,상승  700,20850.0,21850.0,20850.0,18125.0,대창단조,015230
