날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-13,20600.0,"하락  1,100",19300.0,21150.0,19250.0,1799050.0,대한항공,003490
2020-03-16,20100.0,하락  500,21150.0,21700.0,19900.0,1077330.0,대한항공,003490
2020-03-17,19800.0,하락  300,18700.0,21000.0,18700.0,1306014.0,대한항공,003490
2020-03-18,18100.0,"하락  1,700",19800.0,20050.0,17900.0,1426430.0,대한항공,003490
2020-03-19,13600.0,"하락  4,500",17850.0,18100.0,12850.0,5231313.0,대한항공,003490
2020-03-20,15250.0,"상승  1,650",13600.0,16350.0,12800.0,7782231.0,대한항공,003490
2020-03-23,14300.0,하락  950,13900.0,15650.0,13550.0,3347088.0,대한항공,003490
2020-03-24,15000.0,상승  700,14650.0,15200.0,14500.0,2680025.0,대한항공,003490
2020-03-25,17350.0,"상승  2,350",16500.0,18100.0,16500.0,4564606.0,대한항공,003490
2020-03-26,18350.0,"상승  1,000",18500.0,20200.0,17500.0,4960871.0,대한항공,003490
2020-03-27,18950.0,상승  600,19800.0,20100.0,18100.0,2633752.0,대한항공,003490
2020-03-30,18700.0,하락  250,18000.0,18900.0,17550.0,1470195.0,대한항공,003490
2020-03-31,18700.0,보합0,19150.0,19300.0,18550.0,1312182.0,대한항공,003490
2020-04-01,18850.0,상승  150,18400.0,22150.0,18000.0,5527052.0,대한항공,003490
2020-04-02,19000.0,상승  150,18700.0,19650.0,17900.0,1945272.0,대한항공,003490
2020-04-03,18650.0,하락  350,19000.0,19300.0,18500.0,1199424.0,대한항공,003490
2020-04-06,18700.0,상승  50,18650.0,18750.0,17900.0,2222663.0,대한항공,003490
2020-04-07,19150.0,상승  450,19450.0,19600.0,18850.0,2383781.0,대한항공,003490
2020-04-08,19100.0,하락  50,19150.0,19400.0,18700.0,1552064.0,대한항공,003490
2020-04-09,19950.0,상승  850,19500.0,20300.0,19300.0,2675324.0,대한항공,003490
2020-04-10,20350.0,상승  400,20250.0,20700.0,20000.0,1814721.0,대한항공,003490
2020-04-13,19550.0,하락  800,20350.0,20350.0,19500.0,1407900.0,대한항공,003490
2020-04-14,19600.0,상승  50,19450.0,19700.0,19200.0,1093672.0,대한항공,003490
2020-04-16,19600.0,보합0,19600.0,20150.0,19050.0,1268180.0,대한항공,003490
2020-04-17,20900.0,"상승  1,300",19900.0,22650.0,19850.0,10793150.0,대한항공,003490
2020-04-20,19550.0,"하락  1,350",21400.0,21850.0,19000.0,6811234.0,대한항공,003490
2020-04-21,19150.0,하락  400,18200.0,19700.0,17750.0,3995839.0,대한항공,003490
2020-04-22,19250.0,상승  100,19350.0,19850.0,19200.0,2252530.0,대한항공,003490
2020-04-23,19750.0,상승  500,19900.0,20150.0,19500.0,1799306.0,대한항공,003490
2020-04-24,19800.0,상승  50,20100.0,20250.0,19550.0,2424059.0,대한항공,003490
2020-04-27,19900.0,상승  100,20750.0,20900.0,19800.0,2479832.0,대한항공,003490
2020-04-28,19700.0,하락  200,19950.0,20000.0,19550.0,1183182.0,대한항공,003490
2020-04-29,19800.0,상승  100,19900.0,19950.0,19750.0,1195736.0,대한항공,003490
2020-05-04,19100.0,하락  700,18800.0,19450.0,18700.0,1404498.0,대한항공,003490
2020-05-06,18750.0,하락  350,19000.0,19300.0,18500.0,1492011.0,대한항공,003490
2020-05-07,19150.0,상승  400,18750.0,20100.0,18700.0,2448966.0,대한항공,003490
2020-05-08,19200.0,상승  50,19400.0,19450.0,19150.0,861938.0,대한항공,003490
2020-05-11,18850.0,하락  350,19200.0,19200.0,18750.0,894652.0,대한항공,003490
2020-05-12,18300.0,하락  550,18500.0,18700.0,18250.0,1293534.0,대한항공,003490
2020-05-13,18200.0,하락  100,18200.0,18550.0,17750.0,1111367.0,대한항공,003490
2020-05-14,18900.0,상승  700,17500.0,18900.0,17200.0,1839940.0,대한항공,003490
2020-05-15,18200.0,하락  700,18700.0,18700.0,18050.0,1008564.0,대한항공,003490
2020-05-18,18050.0,하락  150,18100.0,18200.0,17650.0,733920.0,대한항공,003490
2020-05-19,19500.0,"상승  1,450",20200.0,20200.0,19050.0,4285639.0,대한항공,003490
2020-05-20,19600.0,상승  100,19000.0,19850.0,18850.0,1486271.0,대한항공,003490
2020-05-21,20100.0,상승  500,19950.0,20350.0,19700.0,2526004.0,대한항공,003490
2020-05-22,19600.0,하락  500,20100.0,20150.0,19400.0,1217839.0,대한항공,003490
2020-05-25,19350.0,하락  250,19750.0,19750.0,19100.0,878850.0,대한항공,003490
2020-05-26,20250.0,상승  900,19600.0,20300.0,19550.0,2295923.0,대한항공,003490
2020-05-27,20950.0,상승  700,21350.0,21400.0,20550.0,3409841.0,대한항공,003490
2020-05-28,21400.0,상승  450,21500.0,22000.0,20950.0,3166883.0,대한항공,003490
2020-05-29,20700.0,하락  700,21300.0,21300.0,20600.0,1361902.0,대한항공,003490
2020-06-01,20850.0,상승  150,20700.0,21050.0,20450.0,1139791.0,대한항공,003490
2020-06-02,21100.0,상승  250,21000.0,21400.0,20850.0,1373059.0,대한항공,003490
2020-06-03,22350.0,"상승  1,250",21200.0,22450.0,21200.0,3549822.0,대한항공,003490
2020-06-04,22900.0,상승  550,23300.0,24100.0,22000.0,3648385.0,대한항공,003490
2020-06-05,20600.0,"상승  1,450",20550.0,22600.0,20550.0,7552462.0,대한항공,003490
2020-06-08,20700.0,상승  100,21550.0,21600.0,20650.0,2366521.0,대한항공,003490
2020-06-09,21100.0,상승  400,21200.0,21300.0,20750.0,1770592.0,대한항공,003490
2020-06-10,20700.0,하락  400,20900.0,20900.0,20250.0,1440026.0,대한항공,003490
2020-06-11,20450.0,하락  250,20700.0,20700.0,20050.0,2086872.0,대한항공,003490
2020-06-12,19800.0,하락  650,19150.0,19950.0,19100.0,1765215.0,대한항공,003490
2020-06-15,19000.0,하락  800,19950.0,19950.0,18850.0,1311311.0,대한항공,003490
2020-06-16,19750.0,상승  750,19200.0,19800.0,19200.0,870917.0,대한항공,003490
2020-06-17,19250.0,하락  500,19500.0,19700.0,19150.0,823177.0,대한항공,003490
2020-06-18,19300.0,상승  50,19250.0,19600.0,19000.0,755779.0,대한항공,003490
2020-06-19,19450.0,상승  150,19450.0,19450.0,19000.0,856401.0,대한항공,003490
2020-06-22,19000.0,하락  450,19250.0,19250.0,19000.0,752269.0,대한항공,003490
2020-06-23,18500.0,하락  500,19100.0,19100.0,18500.0,1343332.0,대한항공,003490
2020-06-24,18050.0,하락  450,18250.0,18350.0,17700.0,1930870.0,대한항공,003490
2020-06-25,17600.0,하락  450,17650.0,17800.0,17550.0,1041061.0,대한항공,003490
2020-06-26,17850.0,상승  250,17700.0,17900.0,17650.0,704995.0,대한항공,003490
2020-06-29,17450.0,하락  400,17250.0,17700.0,17250.0,797297.0,대한항공,003490
2020-06-30,17350.0,하락  100,17900.0,18000.0,17250.0,1378688.0,대한항공,003490
2020-07-01,17650.0,상승  300,17700.0,17850.0,17500.0,623031.0,대한항공,003490
2020-07-02,17750.0,상승  100,17700.0,17950.0,17700.0,523526.0,대한항공,003490
2020-07-03,17800.0,상승  50,18000.0,18050.0,17650.0,711322.0,대한항공,003490
2020-07-06,17750.0,하락  50,17750.0,17750.0,17400.0,818899.0,대한항공,003490
2020-07-07,17200.0,하락  550,17900.0,17900.0,17200.0,1517326.0,대한항공,003490
2020-07-08,16800.0,하락  400,16900.0,17100.0,16700.0,1362072.0,대한항공,003490
2020-07-09,17150.0,상승  350,16800.0,17150.0,16700.0,972190.0,대한항공,003490
2020-07-10,16650.0,하락  500,17250.0,17300.0,16550.0,1037508.0,대한항공,003490
2020-07-13,16850.0,상승  200,17000.0,17000.0,16700.0,766407.0,대한항공,003490
2020-07-14,17000.0,상승  150,16950.0,17200.0,16850.0,767065.0,대한항공,003490
2020-07-15,17500.0,상승  500,17550.0,17600.0,17150.0,1397443.0,대한항공,003490
2020-07-16,18200.0,상승  700,18200.0,18400.0,17800.0,2300332.0,대한항공,003490
2020-07-17,18100.0,하락  100,18150.0,18200.0,17750.0,832890.0,대한항공,003490
2020-07-20,18050.0,하락  50,18100.0,18150.0,17600.0,897966.0,대한항공,003490
2020-07-21,19450.0,"상승  1,400",18250.0,19500.0,18200.0,3701663.0,대한항공,003490
2020-07-22,19100.0,하락  350,19400.0,19400.0,18750.0,1480733.0,대한항공,003490
2020-07-23,18600.0,하락  500,19100.0,19200.0,18400.0,1328994.0,대한항공,003490
2020-07-24,18400.0,하락  200,18650.0,18650.0,18100.0,820389.0,대한항공,003490
2020-07-27,17600.0,하락  800,16850.0,17800.0,16850.0,3293141.0,대한항공,003490
2020-07-28,17900.0,상승  300,17650.0,19400.0,17300.0,5418736.0,대한항공,003490
2020-07-29,17500.0,하락  400,17450.0,18050.0,17150.0,4289436.0,대한항공,003490
2020-07-30,17400.0,하락  100,17500.0,17650.0,17300.0,1859030.0,대한항공,003490
2020-07-31,17400.0,보합0,17400.0,17500.0,17100.0,1733960.0,대한항공,003490
2020-08-03,17150.0,하락  250,17350.0,17350.0,17000.0,1738510.0,대한항공,003490
2020-08-04,17350.0,상승  200,17100.0,17400.0,17050.0,1176523.0,대한항공,003490
2020-08-05,17250.0,하락  100,17400.0,17500.0,17100.0,1410989.0,대한항공,003490
2020-08-06,18100.0,상승  850,17400.0,18200.0,17350.0,5637601.0,대한항공,003490
2020-08-07,19100.0,"상승  1,000",20500.0,20950.0,18850.0,15844472.0,대한항공,003490
2020-08-10,18750.0,하락  350,19000.0,19100.0,18350.0,3821098.0,대한항공,003490
2020-08-11,18900.0,상승  150,19350.0,19550.0,18850.0,3632851.0,대한항공,003490
2020-08-12,19550.0,상승  650,19250.0,20100.0,19050.0,8913015.0,대한항공,003490
2020-08-13,19700.0,상승  150,19850.0,20100.0,19700.0,4559089.0,대한항공,003490
2020-08-14,19500.0,하락  200,19850.0,19850.0,19000.0,2161608.0,대한항공,003490
2020-08-18,18250.0,"하락  1,250",18850.0,18950.0,18100.0,3203963.0,대한항공,003490
