날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-13,1590.0,하락  270,1855.0,1855.0,1495.0,1152180.0,대호에이엘,069460
2020-03-16,1780.0,상승  190,1735.0,2065.0,1710.0,1804032.0,대호에이엘,069460
2020-03-17,1865.0,상승  85,1620.0,1950.0,1620.0,727047.0,대호에이엘,069460
2020-03-18,1670.0,하락  195,1950.0,1950.0,1660.0,556112.0,대호에이엘,069460
2020-03-19,1540.0,하락  130,1670.0,1800.0,1500.0,907144.0,대호에이엘,069460
2020-03-20,1545.0,상승  5,1635.0,1650.0,1500.0,781025.0,대호에이엘,069460
2020-03-23,1400.0,하락  145,1470.0,1485.0,1385.0,540924.0,대호에이엘,069460
2020-03-24,1515.0,상승  115,1405.0,1540.0,1380.0,533437.0,대호에이엘,069460
2020-03-25,1635.0,상승  120,1520.0,1675.0,1520.0,641736.0,대호에이엘,069460
2020-03-26,1710.0,상승  75,1645.0,1795.0,1595.0,462661.0,대호에이엘,069460
2020-03-27,1745.0,상승  35,1740.0,1825.0,1600.0,479568.0,대호에이엘,069460
2020-03-30,1740.0,하락  5,1745.0,1765.0,1655.0,327357.0,대호에이엘,069460
2020-03-31,1940.0,상승  200,1775.0,2170.0,1770.0,1269706.0,대호에이엘,069460
2020-04-01,1780.0,하락  160,1975.0,1975.0,1770.0,631693.0,대호에이엘,069460
2020-04-02,1765.0,하락  15,1765.0,1790.0,1630.0,386426.0,대호에이엘,069460
2020-04-03,1820.0,상승  55,1795.0,1855.0,1730.0,259928.0,대호에이엘,069460
2020-04-06,1850.0,상승  30,1850.0,1860.0,1755.0,623201.0,대호에이엘,069460
2020-04-07,2335.0,상승  485,1895.0,2385.0,1880.0,3578814.0,대호에이엘,069460
2020-04-08,2300.0,하락  35,2415.0,2445.0,2175.0,1180296.0,대호에이엘,069460
2020-04-09,2255.0,하락  45,2305.0,2350.0,2190.0,776302.0,대호에이엘,069460
2020-04-10,2185.0,하락  70,2255.0,2285.0,2040.0,605480.0,대호에이엘,069460
2020-04-13,2050.0,하락  135,2185.0,2185.0,2025.0,585281.0,대호에이엘,069460
2020-04-14,2110.0,상승  60,1990.0,2215.0,1945.0,1559196.0,대호에이엘,069460
2020-04-16,2355.0,상승  245,2155.0,2470.0,2060.0,3939108.0,대호에이엘,069460
2020-04-17,2270.0,하락  85,2300.0,2320.0,2240.0,910606.0,대호에이엘,069460
2020-04-20,2830.0,상승  560,2295.0,2865.0,2260.0,7045512.0,대호에이엘,069460
2020-04-21,3000.0,상승  170,2930.0,3400.0,2575.0,10112387.0,대호에이엘,069460
2020-04-22,3130.0,상승  130,3060.0,3260.0,2940.0,4623436.0,대호에이엘,069460
2020-04-23,3220.0,상승  90,3140.0,3440.0,3050.0,5973838.0,대호에이엘,069460
2020-04-24,3140.0,하락  80,3250.0,3380.0,3040.0,2107710.0,대호에이엘,069460
2020-04-27,3210.0,상승  70,3220.0,3345.0,3120.0,2333992.0,대호에이엘,069460
2020-04-28,3000.0,하락  210,3300.0,3300.0,2925.0,3488476.0,대호에이엘,069460
2020-04-29,2915.0,하락  85,3015.0,3060.0,2875.0,1168141.0,대호에이엘,069460
2020-05-04,2930.0,상승  15,3100.0,3100.0,2900.0,890335.0,대호에이엘,069460
2020-05-06,2955.0,상승  25,2925.0,2985.0,2845.0,787375.0,대호에이엘,069460
2020-05-07,2930.0,하락  25,2960.0,3010.0,2925.0,563972.0,대호에이엘,069460
2020-05-08,2960.0,상승  30,2940.0,3000.0,2920.0,480671.0,대호에이엘,069460
2020-05-11,2800.0,하락  160,2950.0,2950.0,2775.0,698247.0,대호에이엘,069460
2020-05-12,2780.0,하락  20,2765.0,2845.0,2740.0,338991.0,대호에이엘,069460
2020-05-13,2745.0,하락  35,2735.0,2750.0,2700.0,338076.0,대호에이엘,069460
2020-05-14,2635.0,하락  110,2705.0,2740.0,2615.0,494161.0,대호에이엘,069460
2020-05-15,2625.0,하락  10,2660.0,2660.0,2545.0,505625.0,대호에이엘,069460
2020-05-18,2620.0,하락  5,2625.0,2625.0,2555.0,232517.0,대호에이엘,069460
2020-05-19,2700.0,상승  80,2630.0,2765.0,2625.0,529142.0,대호에이엘,069460
2020-05-20,2740.0,상승  40,2700.0,2745.0,2655.0,298605.0,대호에이엘,069460
2020-05-21,2740.0,보합0,2740.0,2790.0,2720.0,338650.0,대호에이엘,069460
2020-05-22,2690.0,하락  50,2715.0,2785.0,2675.0,286930.0,대호에이엘,069460
2020-05-25,2645.0,하락  45,2690.0,2690.0,2590.0,315236.0,대호에이엘,069460
2020-05-26,2715.0,상승  70,2650.0,2810.0,2640.0,500245.0,대호에이엘,069460
2020-05-27,2695.0,하락  20,2775.0,2780.0,2670.0,307313.0,대호에이엘,069460
2020-05-28,2630.0,하락  65,2695.0,2735.0,2560.0,374302.0,대호에이엘,069460
2020-05-29,2630.0,보합0,2660.0,2660.0,2585.0,121807.0,대호에이엘,069460
2020-06-01,2700.0,상승  70,2605.0,2715.0,2590.0,194059.0,대호에이엘,069460
2020-06-02,2745.0,상승  45,2685.0,2770.0,2685.0,365535.0,대호에이엘,069460
2020-06-03,2750.0,상승  5,2755.0,2785.0,2720.0,400957.0,대호에이엘,069460
2020-06-04,2725.0,하락  25,2750.0,2790.0,2690.0,265582.0,대호에이엘,069460
2020-06-05,2770.0,상승  45,2725.0,2790.0,2700.0,291056.0,대호에이엘,069460
2020-06-08,2685.0,하락  85,2745.0,2745.0,2675.0,354050.0,대호에이엘,069460
2020-06-09,2560.0,하락  125,2625.0,2660.0,2525.0,505313.0,대호에이엘,069460
2020-06-10,2540.0,하락  20,2500.0,2550.0,2440.0,236427.0,대호에이엘,069460
2020-06-11,2480.0,하락  60,2540.0,2620.0,2470.0,199427.0,대호에이엘,069460
2020-06-12,2385.0,하락  95,2265.0,2430.0,2265.0,311632.0,대호에이엘,069460
2020-06-15,2095.0,하락  290,2385.0,2385.0,2075.0,690312.0,대호에이엘,069460
2020-06-16,2275.0,상승  180,2145.0,2380.0,2115.0,539202.0,대호에이엘,069460
2020-06-17,2115.0,하락  160,2225.0,2225.0,2025.0,705057.0,대호에이엘,069460
2020-06-18,2150.0,상승  35,2140.0,2190.0,2050.0,315063.0,대호에이엘,069460
2020-06-19,2210.0,상승  60,2140.0,2400.0,2135.0,1179840.0,대호에이엘,069460
2020-06-22,2100.0,하락  110,2155.0,2200.0,2080.0,436755.0,대호에이엘,069460
2020-06-23,2070.0,하락  30,2100.0,2150.0,2070.0,201804.0,대호에이엘,069460
2020-06-24,2335.0,상승  265,2210.0,2410.0,2200.0,1914933.0,대호에이엘,069460
2020-06-25,2235.0,하락  100,2255.0,2340.0,2180.0,347544.0,대호에이엘,069460
2020-06-26,2170.0,하락  65,2280.0,2300.0,2150.0,294336.0,대호에이엘,069460
2020-06-29,2045.0,하락  125,2100.0,2130.0,2035.0,433315.0,대호에이엘,069460
2020-06-30,2020.0,하락  25,2105.0,2105.0,2015.0,404340.0,대호에이엘,069460
2020-07-01,2080.0,상승  60,2025.0,2080.0,1990.0,747121.0,대호에이엘,069460
2020-07-02,2100.0,상승  20,2120.0,2120.0,2055.0,239664.0,대호에이엘,069460
2020-07-03,2265.0,상승  165,2075.0,2265.0,2075.0,527095.0,대호에이엘,069460
2020-07-06,2290.0,상승  25,2270.0,2320.0,2185.0,502599.0,대호에이엘,069460
2020-07-07,2250.0,하락  40,2270.0,2330.0,2215.0,273661.0,대호에이엘,069460
