날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-13,3745.0,하락  140,3850.0,3850.0,3490.0,1227672.0,동국홀딩스,001230
2020-03-16,3620.0,하락  125,3760.0,3870.0,3615.0,644853.0,동국홀딩스,001230
2020-03-17,3465.0,하락  155,3610.0,3610.0,3395.0,1151515.0,동국홀딩스,001230
2020-03-18,3250.0,하락  215,3480.0,3520.0,3225.0,1041366.0,동국홀딩스,001230
2020-03-19,2780.0,하락  470,3250.0,3370.0,2780.0,1444120.0,동국홀딩스,001230
2020-03-20,3500.0,상승  720,2785.0,3500.0,2785.0,744596.0,동국홀딩스,001230
2020-03-23,3030.0,하락  470,3400.0,3400.0,2970.0,790815.0,동국홀딩스,001230
2020-03-24,3260.0,상승  230,3120.0,3280.0,3050.0,475718.0,동국홀딩스,001230
2020-03-25,3485.0,상승  225,3300.0,3485.0,3300.0,643323.0,동국홀딩스,001230
2020-03-26,3530.0,상승  45,3500.0,3580.0,3435.0,590255.0,동국홀딩스,001230
2020-03-27,3625.0,상승  95,3800.0,3800.0,3530.0,458380.0,동국홀딩스,001230
2020-03-30,3640.0,상승  15,3600.0,3700.0,3440.0,486925.0,동국홀딩스,001230
2020-03-31,3670.0,상승  30,3665.0,3795.0,3600.0,392980.0,동국홀딩스,001230
2020-04-01,3585.0,하락  85,3600.0,3665.0,3500.0,433693.0,동국홀딩스,001230
2020-04-02,3590.0,상승  5,3525.0,3605.0,3480.0,383564.0,동국홀딩스,001230
2020-04-03,3535.0,하락  55,3555.0,3585.0,3495.0,400466.0,동국홀딩스,001230
2020-04-06,3720.0,상승  185,3575.0,3750.0,3560.0,526818.0,동국홀딩스,001230
2020-04-07,3845.0,상승  125,3820.0,3875.0,3740.0,473706.0,동국홀딩스,001230
2020-04-08,3790.0,하락  55,3840.0,3855.0,3750.0,314345.0,동국홀딩스,001230
2020-04-09,3870.0,상승  80,3830.0,3980.0,3810.0,491187.0,동국홀딩스,001230
2020-04-10,4045.0,상승  175,3875.0,4135.0,3875.0,735460.0,동국홀딩스,001230
2020-04-13,3900.0,하락  145,4140.0,4140.0,3900.0,408224.0,동국홀딩스,001230
2020-04-14,3965.0,상승  65,3905.0,4010.0,3905.0,264113.0,동국홀딩스,001230
2020-04-16,3980.0,상승  15,3890.0,4000.0,3820.0,347830.0,동국홀딩스,001230
2020-04-17,4080.0,상승  100,4050.0,4140.0,4010.0,294455.0,동국홀딩스,001230
2020-04-20,4150.0,상승  70,4055.0,4255.0,4055.0,338009.0,동국홀딩스,001230
2020-04-21,4040.0,하락  110,4075.0,4105.0,3900.0,448183.0,동국홀딩스,001230
2020-04-22,3965.0,하락  75,3920.0,3980.0,3880.0,306882.0,동국홀딩스,001230
2020-04-23,4025.0,상승  60,3965.0,4045.0,3930.0,246368.0,동국홀딩스,001230
2020-04-24,3975.0,하락  50,3960.0,4030.0,3925.0,239387.0,동국홀딩스,001230
2020-04-27,4055.0,상승  80,3975.0,4080.0,3930.0,237006.0,동국홀딩스,001230
2020-04-28,4055.0,보합0,4055.0,4110.0,4005.0,267778.0,동국홀딩스,001230
2020-04-29,4245.0,상승  190,4120.0,4285.0,4085.0,525036.0,동국홀딩스,001230
2020-05-04,4015.0,하락  230,4110.0,4140.0,4015.0,561465.0,동국홀딩스,001230
2020-05-06,4065.0,상승  50,4055.0,4085.0,4020.0,272792.0,동국홀딩스,001230
2020-05-07,4045.0,하락  20,4060.0,4090.0,4025.0,222660.0,동국홀딩스,001230
2020-05-08,4080.0,상승  35,4065.0,4130.0,4055.0,184392.0,동국홀딩스,001230
2020-05-11,4030.0,하락  50,4085.0,4115.0,4025.0,212493.0,동국홀딩스,001230
2020-05-12,3925.0,하락  105,4035.0,4040.0,3910.0,309196.0,동국홀딩스,001230
2020-05-13,3925.0,보합0,3850.0,3930.0,3845.0,196444.0,동국홀딩스,001230
2020-05-14,3830.0,하락  95,3925.0,3960.0,3830.0,339410.0,동국홀딩스,001230
2020-05-15,3930.0,상승  100,3880.0,3945.0,3805.0,313752.0,동국홀딩스,001230
2020-05-18,3925.0,하락  5,3985.0,3995.0,3880.0,216920.0,동국홀딩스,001230
2020-05-19,4075.0,상승  150,3995.0,4280.0,3995.0,984444.0,동국홀딩스,001230
2020-05-20,4060.0,하락  15,4075.0,4175.0,4060.0,372167.0,동국홀딩스,001230
2020-05-21,4145.0,상승  85,4120.0,4170.0,4070.0,469404.0,동국홀딩스,001230
2020-05-22,4015.0,하락  130,4180.0,4180.0,4005.0,461567.0,동국홀딩스,001230
2020-05-25,4040.0,상승  25,4085.0,4085.0,4025.0,215734.0,동국홀딩스,001230
2020-05-26,4300.0,상승  260,4080.0,4580.0,4040.0,3332773.0,동국홀딩스,001230
2020-05-27,4400.0,상승  100,4325.0,4490.0,4255.0,1194184.0,동국홀딩스,001230
2020-05-28,4345.0,하락  55,4420.0,4525.0,4215.0,774850.0,동국홀딩스,001230
2020-05-29,4265.0,하락  80,4345.0,4360.0,4240.0,597483.0,동국홀딩스,001230
2020-06-01,4290.0,상승  25,4255.0,4335.0,4230.0,477476.0,동국홀딩스,001230
2020-06-02,4400.0,상승  110,4540.0,4670.0,4390.0,1639254.0,동국홀딩스,001230
2020-06-03,5720.0,"상한가  1,320",4530.0,5720.0,4520.0,11488684.0,동국홀딩스,001230
2020-06-04,6200.0,상승  480,6440.0,6720.0,5800.0,13906088.0,동국홀딩스,001230
2020-06-05,7150.0,상승  950,6480.0,7670.0,6320.0,31027572.0,동국홀딩스,001230
2020-06-08,7050.0,하락  100,7130.0,7130.0,6860.0,1756283.0,동국홀딩스,001230
2020-06-09,7150.0,상승  100,7150.0,7150.0,7090.0,1177499.0,동국홀딩스,001230
2020-06-10,7470.0,상승  320,7150.0,7470.0,7100.0,1882392.0,동국홀딩스,001230
2020-06-11,7560.0,상승  90,7700.0,8830.0,7400.0,20273121.0,동국홀딩스,001230
2020-06-12,6970.0,하락  590,7050.0,7370.0,6660.0,3963664.0,동국홀딩스,001230
2020-06-15,5840.0,"하락  1,130",6800.0,6820.0,5840.0,4757037.0,동국홀딩스,001230
2020-06-16,6200.0,상승  360,6030.0,6220.0,5930.0,2883158.0,동국홀딩스,001230
2020-06-17,6220.0,상승  20,6250.0,6790.0,6050.0,4250745.0,동국홀딩스,001230
2020-06-18,6050.0,하락  170,6170.0,6180.0,5790.0,2281717.0,동국홀딩스,001230
2020-06-19,5960.0,하락  90,6240.0,6250.0,5860.0,1456020.0,동국홀딩스,001230
2020-06-22,5770.0,하락  190,5910.0,5920.0,5710.0,1164905.0,동국홀딩스,001230
2020-06-23,5740.0,하락  30,5730.0,5800.0,5510.0,1261688.0,동국홀딩스,001230
2020-06-24,5800.0,상승  60,5850.0,5940.0,5670.0,1508676.0,동국홀딩스,001230
2020-06-25,5380.0,하락  420,5670.0,5680.0,5380.0,1459718.0,동국홀딩스,001230
2020-06-26,5270.0,하락  110,5390.0,5430.0,5230.0,1087743.0,동국홀딩스,001230
2020-06-29,5320.0,상승  50,5150.0,5370.0,5090.0,913301.0,동국홀딩스,001230
2020-06-30,5300.0,하락  20,5470.0,5560.0,5260.0,1166681.0,동국홀딩스,001230
2020-07-01,5310.0,상승  10,5360.0,5580.0,5270.0,1054241.0,동국홀딩스,001230
2020-07-02,5400.0,상승  90,5330.0,5420.0,5260.0,431470.0,동국홀딩스,001230
2020-07-03,5490.0,상승  90,5410.0,5510.0,5310.0,801433.0,동국홀딩스,001230
2020-07-06,5700.0,상승  210,5500.0,5780.0,5400.0,1343322.0,동국홀딩스,001230
2020-07-07,5600.0,하락  100,5740.0,5850.0,5600.0,1041075.0,동국홀딩스,001230
2020-07-08,5750.0,상승  150,5550.0,5800.0,5520.0,821800.0,동국홀딩스,001230
2020-07-09,5830.0,상승  80,5730.0,5870.0,5710.0,721875.0,동국홀딩스,001230
2020-07-10,5660.0,하락  170,5830.0,5830.0,5580.0,715475.0,동국홀딩스,001230
2020-07-13,5700.0,상승  40,5710.0,5750.0,5580.0,611563.0,동국홀딩스,001230
2020-07-14,5620.0,하락  80,5700.0,5720.0,5600.0,398853.0,동국홀딩스,001230
2020-07-15,5850.0,상승  230,5710.0,6150.0,5670.0,2377650.0,동국홀딩스,001230
2020-07-16,5890.0,상승  40,5850.0,5960.0,5770.0,710090.0,동국홀딩스,001230
2020-07-17,5810.0,하락  80,5890.0,5940.0,5740.0,469314.0,동국홀딩스,001230
2020-07-20,6060.0,상승  250,5760.0,6090.0,5760.0,1183631.0,동국홀딩스,001230
2020-07-21,6140.0,상승  80,6020.0,6190.0,5880.0,1433601.0,동국홀딩스,001230
2020-07-22,6340.0,상승  200,6180.0,6440.0,6050.0,2371596.0,동국홀딩스,001230
2020-07-23,6220.0,하락  120,6350.0,6360.0,6140.0,915384.0,동국홀딩스,001230
2020-07-24,5990.0,하락  230,6120.0,6240.0,5960.0,771340.0,동국홀딩스,001230
2020-07-27,6050.0,상승  60,5930.0,6140.0,5920.0,468222.0,동국홀딩스,001230
2020-07-28,6010.0,하락  40,6070.0,6110.0,5980.0,504737.0,동국홀딩스,001230
2020-07-29,6050.0,상승  40,5940.0,6100.0,5920.0,414646.0,동국홀딩스,001230
2020-07-30,5920.0,하락  130,6020.0,6100.0,5920.0,507996.0,동국홀딩스,001230
2020-07-31,6080.0,상승  160,5880.0,6120.0,5730.0,808761.0,동국홀딩스,001230
2020-08-03,5930.0,하락  150,6080.0,6090.0,5880.0,301372.0,동국홀딩스,001230
2020-08-04,6100.0,상승  170,5930.0,6110.0,5900.0,583291.0,동국홀딩스,001230
2020-08-05,6090.0,하락  10,6040.0,6110.0,6010.0,447561.0,동국홀딩스,001230
2020-08-06,6390.0,상승  300,6100.0,6490.0,6060.0,2140866.0,동국홀딩스,001230
2020-08-07,6140.0,하락  250,6370.0,6370.0,6110.0,1011026.0,동국홀딩스,001230
2020-08-10,6300.0,상승  160,6140.0,6320.0,6110.0,741850.0,동국홀딩스,001230
2020-08-11,6380.0,상승  80,6340.0,6740.0,6300.0,2655749.0,동국홀딩스,001230
2020-08-12,6560.0,상승  180,6380.0,6570.0,6190.0,1266552.0,동국홀딩스,001230
2020-08-13,6380.0,하락  180,6600.0,6610.0,6330.0,895142.0,동국홀딩스,001230
2020-08-14,6450.0,상승  70,6370.0,6550.0,6320.0,754454.0,동국홀딩스,001230
2020-08-18,6090.0,하락  360,6710.0,6730.0,6040.0,1308643.0,동국홀딩스,001230
2020-08-19,6330.0,상승  240,6160.0,6390.0,6080.0,725167.0,동국홀딩스,001230
2020-08-20,6040.0,하락  290,6250.0,6320.0,6000.0,795960.0,동국홀딩스,001230
