날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-13,7680.0,하락  20,6910.0,7700.0,6540.0,184492.0,동부건설,005960
2020-03-16,7490.0,하락  190,7330.0,8080.0,7100.0,139048.0,동부건설,005960
2020-03-17,7320.0,하락  170,7000.0,7490.0,7000.0,59729.0,동부건설,005960
2020-03-18,6900.0,하락  420,7230.0,7730.0,6820.0,41278.0,동부건설,005960
2020-03-19,6410.0,하락  490,6820.0,7000.0,6000.0,189476.0,동부건설,005960
2020-03-20,6560.0,상승  150,6120.0,6600.0,6120.0,135995.0,동부건설,005960
2020-03-23,6190.0,하락  370,6390.0,6390.0,6020.0,49697.0,동부건설,005960
2020-03-24,6790.0,상승  600,6470.0,6850.0,6230.0,62343.0,동부건설,005960
2020-03-25,7040.0,상승  250,6800.0,7470.0,6790.0,80037.0,동부건설,005960
2020-03-26,7070.0,상승  30,7150.0,7180.0,6910.0,84460.0,동부건설,005960
2020-03-27,6890.0,하락  180,7170.0,7250.0,6670.0,157039.0,동부건설,005960
2020-03-30,6770.0,하락  120,6870.0,6870.0,6650.0,79324.0,동부건설,005960
2020-03-31,7050.0,상승  280,6850.0,7080.0,6820.0,137963.0,동부건설,005960
2020-04-01,7000.0,하락  50,7100.0,7130.0,6890.0,79137.0,동부건설,005960
2020-04-02,7050.0,상승  50,6890.0,7060.0,6800.0,61977.0,동부건설,005960
2020-04-03,7040.0,하락  10,7090.0,7090.0,6970.0,36276.0,동부건설,005960
2020-04-06,7280.0,상승  240,7040.0,7370.0,6980.0,88294.0,동부건설,005960
2020-04-07,7440.0,상승  160,7420.0,7450.0,7280.0,98820.0,동부건설,005960
2020-04-08,7380.0,하락  60,7440.0,7490.0,7290.0,70666.0,동부건설,005960
2020-04-09,7500.0,상승  120,7460.0,7560.0,7430.0,47461.0,동부건설,005960
2020-04-10,7650.0,상승  150,7570.0,7650.0,7370.0,70842.0,동부건설,005960
2020-04-13,7450.0,하락  200,7580.0,7680.0,7450.0,61438.0,동부건설,005960
2020-04-14,7650.0,상승  200,7460.0,7680.0,7460.0,80374.0,동부건설,005960
2020-04-16,7680.0,상승  30,7650.0,7980.0,7430.0,42896.0,동부건설,005960
2020-04-17,7870.0,상승  190,7700.0,7880.0,7690.0,50975.0,동부건설,005960
2020-04-20,7950.0,상승  80,7880.0,8150.0,7800.0,54666.0,동부건설,005960
2020-04-21,7930.0,하락  20,8050.0,8300.0,7430.0,98564.0,동부건설,005960
2020-04-22,8210.0,상승  280,7900.0,8250.0,7630.0,67537.0,동부건설,005960
2020-04-23,8270.0,상승  60,8280.0,8290.0,7750.0,42124.0,동부건설,005960
2020-04-24,8230.0,하락  40,8250.0,8410.0,8080.0,31921.0,동부건설,005960
2020-04-27,8300.0,상승  70,8170.0,8330.0,8170.0,99116.0,동부건설,005960
2020-04-28,8340.0,상승  40,8350.0,8480.0,8170.0,35665.0,동부건설,005960
2020-04-29,8460.0,상승  120,8340.0,8490.0,8300.0,80786.0,동부건설,005960
2020-05-04,8440.0,하락  20,8460.0,8460.0,8210.0,56344.0,동부건설,005960
2020-05-06,8610.0,상승  170,8500.0,8780.0,8490.0,92032.0,동부건설,005960
2020-05-07,8590.0,하락  20,8620.0,8730.0,8560.0,196312.0,동부건설,005960
2020-05-08,8650.0,상승  60,8690.0,8690.0,8570.0,196966.0,동부건설,005960
2020-05-11,8700.0,상승  50,8700.0,8910.0,8590.0,94412.0,동부건설,005960
2020-05-12,8430.0,하락  270,8610.0,8710.0,8330.0,94977.0,동부건설,005960
2020-05-13,8370.0,하락  60,8410.0,8420.0,8180.0,71562.0,동부건설,005960
2020-05-14,8210.0,하락  160,8240.0,8400.0,8100.0,84669.0,동부건설,005960
2020-05-15,8290.0,상승  80,8210.0,8320.0,8120.0,142286.0,동부건설,005960
2020-05-18,8730.0,상승  440,9450.0,9450.0,8690.0,395878.0,동부건설,005960
2020-05-19,9490.0,상승  760,8930.0,9600.0,8740.0,315763.0,동부건설,005960
2020-05-20,9370.0,하락  120,9550.0,9590.0,9270.0,98184.0,동부건설,005960
2020-05-21,9370.0,보합0,9380.0,9450.0,9210.0,48955.0,동부건설,005960
2020-05-22,9330.0,하락  40,9380.0,9380.0,9170.0,56504.0,동부건설,005960
2020-05-25,9350.0,상승  20,9330.0,9420.0,9210.0,40459.0,동부건설,005960
2020-05-26,9650.0,상승  300,9330.0,9670.0,9330.0,95523.0,동부건설,005960
2020-05-27,9930.0,상승  280,9750.0,10050.0,9690.0,100592.0,동부건설,005960
2020-05-28,9810.0,하락  120,10050.0,10100.0,9500.0,86061.0,동부건설,005960
2020-05-29,9910.0,상승  100,9820.0,9990.0,9750.0,65801.0,동부건설,005960
2020-06-01,9950.0,상승  40,9910.0,10150.0,9830.0,49061.0,동부건설,005960
2020-06-02,10350.0,상승  400,9960.0,10450.0,9850.0,117204.0,동부건설,005960
2020-06-03,10400.0,상승  50,10500.0,10550.0,10150.0,122997.0,동부건설,005960
