날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-13,3200.0,하락  320,3310.0,3310.0,2875.0,259396.0,동성케미컬,102260
2020-03-16,2980.0,하락  220,3200.0,3400.0,2945.0,216600.0,동성케미컬,102260
2020-03-17,2885.0,하락  95,2710.0,2970.0,2710.0,207575.0,동성케미컬,102260
2020-03-18,2755.0,하락  130,2905.0,2970.0,2755.0,166469.0,동성케미컬,102260
2020-03-19,2275.0,하락  480,2755.0,2820.0,2090.0,287715.0,동성케미컬,102260
2020-03-20,2460.0,상승  185,2300.0,2495.0,2240.0,267018.0,동성케미컬,102260
2020-03-23,2285.0,하락  175,2310.0,2385.0,2235.0,194965.0,동성케미컬,102260
2020-03-24,2385.0,상승  100,2295.0,2440.0,2295.0,124293.0,동성케미컬,102260
2020-03-25,2635.0,상승  250,2500.0,2665.0,2445.0,183486.0,동성케미컬,102260
2020-03-26,2720.0,상승  85,2700.0,2755.0,2600.0,170319.0,동성케미컬,102260
2020-03-27,2820.0,상승  100,2800.0,2890.0,2795.0,96182.0,동성케미컬,102260
2020-03-30,2830.0,상승  10,2790.0,2885.0,2700.0,67775.0,동성케미컬,102260
2020-03-31,2975.0,상승  145,2900.0,2980.0,2895.0,56242.0,동성케미컬,102260
2020-04-01,2985.0,상승  10,2985.0,3045.0,2905.0,77616.0,동성케미컬,102260
2020-04-02,3005.0,상승  20,2985.0,3045.0,2910.0,81906.0,동성케미컬,102260
2020-04-03,3015.0,상승  10,3030.0,3055.0,2950.0,72921.0,동성케미컬,102260
2020-04-06,3080.0,상승  65,3015.0,3090.0,2980.0,50592.0,동성케미컬,102260
2020-04-07,3160.0,상승  80,3190.0,3280.0,3090.0,79743.0,동성케미컬,102260
2020-04-08,3275.0,상승  115,3130.0,3280.0,3105.0,59994.0,동성케미컬,102260
2020-04-09,3375.0,상승  100,3375.0,3385.0,3315.0,158684.0,동성케미컬,102260
2020-04-10,3420.0,상승  45,3380.0,3445.0,3345.0,62728.0,동성케미컬,102260
2020-04-13,3410.0,하락  10,3420.0,3450.0,3345.0,57854.0,동성케미컬,102260
2020-04-14,3485.0,상승  75,3410.0,3520.0,3410.0,78360.0,동성케미컬,102260
2020-04-16,3490.0,상승  5,3490.0,3500.0,3380.0,75438.0,동성케미컬,102260
2020-04-17,3555.0,상승  65,3590.0,3590.0,3500.0,62304.0,동성케미컬,102260
2020-04-20,3555.0,보합0,3555.0,3645.0,3510.0,121035.0,동성케미컬,102260
2020-04-21,3555.0,보합0,3555.0,3590.0,3400.0,65567.0,동성케미컬,102260
2020-04-22,3655.0,상승  100,3450.0,3720.0,3450.0,136992.0,동성케미컬,102260
2020-04-23,3750.0,상승  95,3700.0,3750.0,3635.0,69678.0,동성케미컬,102260
2020-04-24,3800.0,상승  50,3750.0,3825.0,3545.0,47956.0,동성케미컬,102260
2020-04-27,3930.0,상승  130,3840.0,3960.0,3810.0,70125.0,동성케미컬,102260
2020-04-28,3985.0,상승  55,3940.0,4025.0,3900.0,108846.0,동성케미컬,102260
2020-04-29,4110.0,상승  125,4015.0,4115.0,3975.0,96522.0,동성케미컬,102260
2020-05-04,4145.0,상승  35,4100.0,4145.0,3990.0,81858.0,동성케미컬,102260
2020-05-06,4335.0,상승  190,4140.0,4340.0,4135.0,77800.0,동성케미컬,102260
2020-05-07,4400.0,상승  65,4350.0,4440.0,4330.0,118252.0,동성케미컬,102260
2020-05-08,4465.0,상승  65,4440.0,4485.0,4405.0,50512.0,동성케미컬,102260
2020-05-11,4500.0,상승  35,4470.0,4545.0,4435.0,59439.0,동성케미컬,102260
2020-05-12,4485.0,하락  15,4500.0,4540.0,4310.0,150931.0,동성케미컬,102260
2020-05-13,4420.0,하락  65,4475.0,4475.0,4350.0,143562.0,동성케미컬,102260
2020-05-14,4240.0,하락  180,4400.0,4400.0,4175.0,141569.0,동성케미컬,102260
2020-05-15,4330.0,상승  90,4260.0,4345.0,4205.0,67671.0,동성케미컬,102260
2020-05-18,4345.0,상승  15,4400.0,4450.0,4270.0,62947.0,동성케미컬,102260
2020-05-19,4345.0,보합0,4435.0,4435.0,4270.0,61142.0,동성케미컬,102260
2020-05-20,4360.0,상승  15,4325.0,4390.0,4320.0,36166.0,동성케미컬,102260
2020-05-21,4310.0,하락  50,4410.0,4410.0,4255.0,35539.0,동성케미컬,102260
2020-05-22,4300.0,하락  10,4310.0,4355.0,4265.0,17681.0,동성케미컬,102260
2020-05-25,4300.0,보합0,4300.0,4340.0,4265.0,15221.0,동성케미컬,102260
2020-05-26,4315.0,상승  15,4265.0,4315.0,4250.0,29177.0,동성케미컬,102260
2020-05-27,4300.0,하락  15,4335.0,4335.0,4230.0,71353.0,동성케미컬,102260
2020-05-28,4285.0,하락  15,4340.0,4340.0,4110.0,57078.0,동성케미컬,102260
2020-05-29,4285.0,보합0,4285.0,4290.0,4205.0,28994.0,동성케미컬,102260
2020-06-01,4280.0,하락  5,4285.0,4330.0,4245.0,28968.0,동성케미컬,102260
2020-06-02,4275.0,하락  5,4400.0,4460.0,4220.0,151232.0,동성케미컬,102260
2020-06-03,4300.0,상승  25,4300.0,4350.0,4245.0,144157.0,동성케미컬,102260
2020-06-04,4305.0,상승  5,4300.0,4375.0,4270.0,106833.0,동성케미컬,102260
2020-06-05,4320.0,상승  15,4350.0,4395.0,4275.0,74307.0,동성케미컬,102260
2020-06-08,4300.0,하락  20,4315.0,4340.0,4260.0,78480.0,동성케미컬,102260
2020-06-09,4300.0,보합0,4310.0,4340.0,4270.0,50694.0,동성케미컬,102260
2020-06-10,4285.0,하락  15,4325.0,4330.0,4270.0,58601.0,동성케미컬,102260
2020-06-11,4195.0,하락  90,4270.0,4300.0,4190.0,66315.0,동성케미컬,102260
2020-06-12,4100.0,하락  95,3985.0,4100.0,3955.0,109916.0,동성케미컬,102260
2020-06-15,3865.0,하락  235,4055.0,4055.0,3840.0,100754.0,동성케미컬,102260
2020-06-16,4010.0,상승  145,3935.0,4045.0,3885.0,92002.0,동성케미컬,102260
2020-06-17,3990.0,하락  20,3990.0,4050.0,3925.0,43218.0,동성케미컬,102260
2020-06-18,3995.0,상승  5,3950.0,4090.0,3950.0,28741.0,동성케미컬,102260
2020-06-19,4000.0,상승  5,4000.0,4040.0,3975.0,29481.0,동성케미컬,102260
2020-06-22,3995.0,하락  5,3980.0,4025.0,3975.0,15075.0,동성케미컬,102260
2020-06-23,3960.0,하락  35,4000.0,4020.0,3905.0,27538.0,동성케미컬,102260
2020-06-24,3945.0,하락  15,3960.0,3980.0,3910.0,39984.0,동성케미컬,102260
2020-06-25,3890.0,하락  55,3910.0,3935.0,3820.0,68045.0,동성케미컬,102260
2020-06-26,3890.0,보합0,3940.0,3940.0,3845.0,20186.0,동성케미컬,102260
2020-06-29,3880.0,하락  10,3855.0,3890.0,3725.0,29787.0,동성케미컬,102260
2020-06-30,3845.0,하락  35,3920.0,3920.0,3805.0,38188.0,동성케미컬,102260
2020-07-01,3830.0,하락  15,3885.0,3885.0,3810.0,38487.0,동성케미컬,102260
2020-07-02,3840.0,상승  10,3830.0,3850.0,3780.0,43196.0,동성케미컬,102260
2020-07-03,3845.0,상승  5,3840.0,3875.0,3785.0,41220.0,동성케미컬,102260
2020-07-06,3800.0,하락  45,3855.0,3855.0,3750.0,37207.0,동성케미컬,102260
2020-07-07,3760.0,하락  40,3765.0,3795.0,3710.0,76638.0,동성케미컬,102260
2020-07-08,3695.0,하락  65,3760.0,3760.0,3690.0,29506.0,동성케미컬,102260
2020-07-09,3685.0,하락  10,3730.0,3730.0,3680.0,28041.0,동성케미컬,102260
2020-07-10,3630.0,하락  55,3685.0,3720.0,3520.0,81762.0,동성케미컬,102260
2020-07-13,3690.0,상승  60,3615.0,3700.0,3615.0,41175.0,동성케미컬,102260
2020-07-14,3710.0,상승  20,3690.0,3720.0,3650.0,31387.0,동성케미컬,102260
2020-07-15,3715.0,상승  5,3705.0,3750.0,3655.0,66941.0,동성케미컬,102260
2020-07-16,3700.0,하락  15,3690.0,3785.0,3675.0,48732.0,동성케미컬,102260
2020-07-17,3725.0,상승  25,3705.0,3725.0,3675.0,20734.0,동성케미컬,102260
2020-07-20,3770.0,상승  45,3740.0,3795.0,3690.0,24768.0,동성케미컬,102260
2020-07-21,3805.0,상승  35,3745.0,3830.0,3740.0,42049.0,동성케미컬,102260
2020-07-22,3900.0,상승  95,3830.0,3900.0,3770.0,117958.0,동성케미컬,102260
2020-07-23,3890.0,하락  10,3865.0,3920.0,3830.0,33819.0,동성케미컬,102260
2020-07-24,3880.0,하락  10,3820.0,3885.0,3805.0,38700.0,동성케미컬,102260
2020-07-27,3895.0,상승  15,3840.0,3900.0,3840.0,23910.0,동성케미컬,102260
2020-07-28,3905.0,상승  10,3910.0,3910.0,3845.0,27764.0,동성케미컬,102260
2020-07-29,3905.0,보합0,3850.0,3915.0,3850.0,24286.0,동성케미컬,102260
2020-07-30,3910.0,상승  5,3920.0,3920.0,3855.0,21368.0,동성케미컬,102260
2020-07-31,3935.0,상승  25,3895.0,3935.0,3865.0,30456.0,동성케미컬,102260
2020-08-03,3945.0,상승  10,3935.0,3945.0,3885.0,50454.0,동성케미컬,102260
2020-08-04,3960.0,상승  15,3920.0,3960.0,3895.0,56055.0,동성케미컬,102260
2020-08-05,3995.0,상승  35,3960.0,3995.0,3915.0,52835.0,동성케미컬,102260
2020-08-06,4000.0,상승  5,3965.0,4000.0,3930.0,72985.0,동성케미컬,102260
2020-08-07,4000.0,보합0,3960.0,4000.0,3955.0,50361.0,동성케미컬,102260
2020-08-10,4010.0,상승  10,3985.0,4020.0,3950.0,85210.0,동성케미컬,102260
2020-08-11,4005.0,하락  5,4030.0,4030.0,3945.0,114688.0,동성케미컬,102260
2020-08-12,4000.0,하락  5,3985.0,4000.0,3885.0,179115.0,동성케미컬,102260
2020-08-13,3945.0,하락  55,3965.0,3985.0,3895.0,228558.0,동성케미컬,102260
2020-08-14,3930.0,하락  15,3915.0,3940.0,3845.0,103313.0,동성케미컬,102260
2020-08-18,3855.0,하락  75,3905.0,3935.0,3795.0,113037.0,동성케미컬,102260
2020-08-19,3905.0,상승  50,3805.0,3905.0,3805.0,46628.0,동성케미컬,102260
2020-08-20,3775.0,하락  130,3845.0,3895.0,3635.0,133357.0,동성케미컬,102260
2020-08-21,3820.0,상승  45,3730.0,3900.0,3695.0,110972.0,동성케미컬,102260
