날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-13,1030.0,하락  90,1035.0,1075.0,991.0,5543947.0,동양,001520
2020-03-16,999.0,하락  31,1045.0,1070.0,999.0,3837824.0,동양,001520
2020-03-17,978.0,하락  21,901.0,1005.0,901.0,3344353.0,동양,001520
2020-03-18,902.0,하락  76,978.0,990.0,902.0,3456856.0,동양,001520
2020-03-19,764.0,하락  138,903.0,940.0,745.0,4399177.0,동양,001520
2020-03-20,791.0,상승  27,757.0,833.0,757.0,4208010.0,동양,001520
2020-03-23,766.0,하락  25,759.0,786.0,736.0,2699192.0,동양,001520
2020-03-24,817.0,상승  51,774.0,830.0,774.0,2254650.0,동양,001520
2020-03-25,887.0,상승  70,841.0,895.0,830.0,3019761.0,동양,001520
2020-03-26,928.0,상승  41,901.0,949.0,889.0,2839923.0,동양,001520
2020-03-27,932.0,상승  4,969.0,1005.0,896.0,3437129.0,동양,001520
2020-03-30,990.0,상승  58,941.0,999.0,925.0,1955042.0,동양,001520
2020-03-31,1005.0,상승  15,1030.0,1050.0,990.0,2115736.0,동양,001520
2020-04-01,1140.0,상승  135,1010.0,1200.0,999.0,8942405.0,동양,001520
2020-04-02,1150.0,상승  10,1215.0,1230.0,1060.0,8108500.0,동양,001520
2020-04-03,1370.0,상승  220,1175.0,1370.0,1130.0,8594960.0,동양,001520
2020-04-06,1340.0,하락  30,1300.0,1365.0,1270.0,6082807.0,동양,001520
2020-04-07,1310.0,하락  30,1360.0,1365.0,1265.0,3178868.0,동양,001520
2020-04-08,1235.0,하락  75,1295.0,1305.0,1230.0,2305857.0,동양,001520
2020-04-09,1230.0,하락  5,1235.0,1265.0,1210.0,1934492.0,동양,001520
2020-04-10,1205.0,하락  25,1230.0,1235.0,1150.0,1588497.0,동양,001520
2020-04-13,1170.0,하락  35,1185.0,1215.0,1170.0,1049734.0,동양,001520
2020-04-14,1230.0,상승  60,1195.0,1270.0,1165.0,1976247.0,동양,001520
2020-04-16,1210.0,하락  20,1240.0,1250.0,1175.0,1200809.0,동양,001520
2020-04-17,1195.0,하락  15,1205.0,1220.0,1180.0,1191810.0,동양,001520
2020-04-20,1240.0,상승  45,1195.0,1300.0,1190.0,3776812.0,동양,001520
2020-04-21,1200.0,하락  40,1240.0,1250.0,1150.0,1838334.0,동양,001520
2020-04-22,1245.0,상승  45,1175.0,1275.0,1155.0,2941333.0,동양,001520
2020-04-23,1225.0,하락  20,1225.0,1240.0,1210.0,1355401.0,동양,001520
2020-04-24,1185.0,하락  40,1225.0,1245.0,1180.0,2033554.0,동양,001520
2020-04-27,1240.0,상승  55,1250.0,1310.0,1230.0,3586686.0,동양,001520
2020-04-28,1270.0,상승  30,1250.0,1270.0,1205.0,1639968.0,동양,001520
2020-04-29,1260.0,하락  10,1280.0,1285.0,1250.0,1261252.0,동양,001520
2020-05-04,1220.0,하락  40,1230.0,1250.0,1215.0,912033.0,동양,001520
2020-05-06,1215.0,하락  5,1230.0,1230.0,1200.0,938227.0,동양,001520
2020-05-07,1295.0,상승  80,1220.0,1340.0,1220.0,6404249.0,동양,001520
2020-05-08,1280.0,하락  15,1305.0,1320.0,1265.0,1489116.0,동양,001520
2020-05-11,1290.0,상승  10,1285.0,1300.0,1245.0,1474669.0,동양,001520
2020-05-12,1255.0,하락  35,1285.0,1300.0,1230.0,1170943.0,동양,001520
2020-05-13,1250.0,하락  5,1255.0,1270.0,1225.0,1396042.0,동양,001520
2020-05-14,1220.0,하락  30,1250.0,1255.0,1215.0,882682.0,동양,001520
2020-05-15,1495.0,상승  275,1230.0,1560.0,1210.0,43094412.0,동양,001520
2020-05-18,1665.0,상승  170,1415.0,1880.0,1370.0,73775120.0,동양,001520
2020-05-19,1560.0,하락  105,1605.0,1635.0,1535.0,15807330.0,동양,001520
2020-05-20,1595.0,상승  35,1555.0,1615.0,1535.0,8243682.0,동양,001520
2020-05-21,1565.0,하락  30,1590.0,1655.0,1565.0,9275256.0,동양,001520
2020-05-22,1650.0,상승  85,1615.0,1805.0,1595.0,27247325.0,동양,001520
2020-05-25,1695.0,상승  45,1675.0,1725.0,1630.0,6215726.0,동양,001520
2020-05-26,1665.0,하락  30,1715.0,1730.0,1650.0,7293353.0,동양,001520
2020-05-27,1625.0,하락  40,1685.0,1725.0,1610.0,3745801.0,동양,001520
2020-05-28,1515.0,하락  110,1595.0,1610.0,1485.0,6012777.0,동양,001520
2020-05-29,1430.0,하락  85,1520.0,1525.0,1430.0,3650182.0,동양,001520
2020-06-01,1425.0,하락  5,1450.0,1500.0,1415.0,5354925.0,동양,001520
2020-06-02,1450.0,상승  25,1450.0,1485.0,1440.0,5162156.0,동양,001520
2020-06-03,1515.0,상승  65,1455.0,1520.0,1430.0,3682165.0,동양,001520
2020-06-04,1480.0,하락  35,1500.0,1510.0,1455.0,2247833.0,동양,001520
2020-06-05,1460.0,하락  20,1480.0,1490.0,1445.0,1184281.0,동양,001520
2020-06-08,1455.0,하락  5,1485.0,1485.0,1450.0,1189809.0,동양,001520
2020-06-09,1435.0,하락  20,1455.0,1480.0,1425.0,2218932.0,동양,001520
2020-06-10,1430.0,하락  5,1445.0,1480.0,1400.0,2251893.0,동양,001520
2020-06-11,1375.0,하락  55,1425.0,1440.0,1310.0,7686610.0,동양,001520
2020-06-12,1340.0,하락  35,1330.0,1380.0,1315.0,2906144.0,동양,001520
2020-06-15,1190.0,하락  150,1340.0,1365.0,1190.0,3060586.0,동양,001520
2020-06-16,1250.0,상승  60,1210.0,1265.0,1210.0,2367193.0,동양,001520
2020-06-17,1250.0,보합0,1225.0,1275.0,1215.0,1950136.0,동양,001520
2020-06-18,1240.0,하락  10,1255.0,1275.0,1230.0,1497018.0,동양,001520
2020-06-19,1250.0,상승  10,1240.0,1280.0,1210.0,1847176.0,동양,001520
2020-06-22,1250.0,보합0,1265.0,1310.0,1240.0,2236227.0,동양,001520
2020-06-23,1205.0,하락  45,1260.0,1280.0,1205.0,1744978.0,동양,001520
2020-06-24,1215.0,상승  10,1235.0,1240.0,1215.0,1183600.0,동양,001520
2020-06-25,1195.0,하락  20,1205.0,1215.0,1185.0,877117.0,동양,001520
2020-06-26,1220.0,상승  25,1205.0,1230.0,1195.0,726191.0,동양,001520
2020-06-29,1190.0,하락  30,1210.0,1210.0,1180.0,1001109.0,동양,001520
2020-06-30,1185.0,하락  5,1205.0,1215.0,1170.0,962553.0,동양,001520
2020-07-01,1185.0,보합0,1195.0,1210.0,1175.0,946773.0,동양,001520
