날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-13,175500.0,"하락  6,500",165500.0,179000.0,153000.0,4917.0,동원산업,006040
2020-03-16,166500.0,"하락  9,000",176000.0,177500.0,166500.0,2341.0,동원산업,006040
2020-03-17,158500.0,"하락  8,000",155000.0,167000.0,153500.0,3224.0,동원산업,006040
2020-03-18,153500.0,"하락  5,000",157500.0,160500.0,151500.0,3146.0,동원산업,006040
2020-03-19,136000.0,"하락  17,500",151000.0,152000.0,135000.0,8005.0,동원산업,006040
2020-03-20,130500.0,"하락  5,500",136000.0,149000.0,130500.0,7133.0,동원산업,006040
2020-03-23,125500.0,"하락  5,000",126000.0,126500.0,118500.0,6431.0,동원산업,006040
2020-03-24,136000.0,"상승  10,500",126000.0,136500.0,126000.0,4138.0,동원산업,006040
2020-03-25,144500.0,"상승  8,500",139000.0,149500.0,139000.0,4580.0,동원산업,006040
2020-03-26,145500.0,"상승  1,000",147500.0,155000.0,145000.0,2608.0,동원산업,006040
2020-03-27,149000.0,"상승  3,500",150000.0,155500.0,148500.0,3364.0,동원산업,006040
2020-03-30,154000.0,"상승  5,000",149000.0,154000.0,145500.0,2911.0,동원산업,006040
2020-03-31,172500.0,"상승  18,500",157500.0,172500.0,157500.0,5422.0,동원산업,006040
2020-04-01,184000.0,"상승  11,500",176000.0,190000.0,176000.0,13573.0,동원산업,006040
2020-04-02,181500.0,"하락  2,500",182500.0,190000.0,178000.0,7457.0,동원산업,006040
2020-04-03,184500.0,"상승  3,000",181500.0,186500.0,178000.0,5900.0,동원산업,006040
2020-04-06,188500.0,"상승  4,000",185500.0,191000.0,183500.0,4777.0,동원산업,006040
2020-04-07,185000.0,"하락  3,500",188500.0,190500.0,181000.0,7777.0,동원산업,006040
2020-04-08,188500.0,"상승  3,500",185500.0,190000.0,182500.0,3019.0,동원산업,006040
2020-04-09,191500.0,"상승  3,000",190000.0,192000.0,186500.0,3525.0,동원산업,006040
2020-04-10,193500.0,"상승  2,000",191500.0,194000.0,188000.0,1868.0,동원산업,006040
2020-04-13,193000.0,하락  500,203000.0,203000.0,185500.0,4223.0,동원산업,006040
2020-04-14,195000.0,"상승  2,000",206000.0,206000.0,192000.0,4540.0,동원산업,006040
