날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-16,6800.0,상승  60,6800.0,7260.0,6710.0,235290.0,동원수산,030720
2020-03-17,6750.0,하락  50,6100.0,7010.0,6100.0,162438.0,동원수산,030720
2020-03-18,6370.0,하락  380,6770.0,6950.0,6370.0,169954.0,동원수산,030720
2020-03-19,5110.0,"하락  1,260",6540.0,6600.0,5050.0,410327.0,동원수산,030720
2020-03-20,5880.0,상승  770,5110.0,5880.0,5110.0,153065.0,동원수산,030720
2020-03-23,5440.0,하락  440,5360.0,5670.0,5160.0,160808.0,동원수산,030720
2020-03-24,5780.0,상승  340,5550.0,5900.0,5450.0,152968.0,동원수산,030720
2020-03-25,6190.0,상승  410,6160.0,6290.0,5990.0,151233.0,동원수산,030720
2020-03-26,6200.0,상승  10,6400.0,6490.0,6090.0,169046.0,동원수산,030720
2020-03-27,6290.0,상승  90,6490.0,6740.0,6000.0,152156.0,동원수산,030720
2020-03-30,6690.0,상승  400,6150.0,6750.0,6060.0,155688.0,동원수산,030720
2020-03-31,7040.0,상승  350,7200.0,7740.0,6800.0,476990.0,동원수산,030720
2020-04-01,7920.0,상승  880,7060.0,8650.0,6850.0,1280271.0,동원수산,030720
2020-04-02,7840.0,하락  80,7920.0,8120.0,7640.0,244896.0,동원수산,030720
2020-04-03,8010.0,상승  170,7920.0,8170.0,7720.0,185814.0,동원수산,030720
2020-04-06,8280.0,상승  270,8010.0,8390.0,8000.0,311730.0,동원수산,030720
2020-04-07,8210.0,하락  70,8430.0,8430.0,7970.0,186786.0,동원수산,030720
2020-04-08,8220.0,상승  10,8190.0,8310.0,8000.0,127340.0,동원수산,030720
2020-04-09,8290.0,상승  70,8380.0,8390.0,8220.0,174449.0,동원수산,030720
2020-04-10,8240.0,하락  50,8310.0,8360.0,8120.0,140675.0,동원수산,030720
2020-04-13,8300.0,상승  60,8280.0,9400.0,8200.0,1006962.0,동원수산,030720
2020-04-14,8400.0,상승  100,8410.0,8540.0,8320.0,183181.0,동원수산,030720
