날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-13,20000.0,"하락  1,400",20200.0,21000.0,18800.0,65089.0,동원시스템즈,014820
2020-03-16,19000.0,"하락  1,000",20500.0,20500.0,19000.0,43002.0,동원시스템즈,014820
2020-03-17,18500.0,하락  500,16750.0,19000.0,16750.0,42873.0,동원시스템즈,014820
2020-03-18,17600.0,하락  900,18550.0,18650.0,17600.0,31203.0,동원시스템즈,014820
2020-03-19,15250.0,"하락  2,350",17950.0,18300.0,14500.0,87788.0,동원시스템즈,014820
2020-03-20,15450.0,상승  200,14900.0,16000.0,14850.0,72524.0,동원시스템즈,014820
2020-03-23,13200.0,"하락  2,250",14200.0,14900.0,13100.0,81151.0,동원시스템즈,014820
2020-03-24,14300.0,"상승  1,100",13450.0,14300.0,13250.0,62755.0,동원시스템즈,014820
2020-03-25,15900.0,"상승  1,600",14800.0,16000.0,14500.0,74900.0,동원시스템즈,014820
2020-03-26,17300.0,"상승  1,400",15950.0,18200.0,15900.0,96632.0,동원시스템즈,014820
2020-03-27,17500.0,상승  200,17650.0,18550.0,16700.0,65518.0,동원시스템즈,014820
2020-03-30,18600.0,"상승  1,100",17000.0,18700.0,16300.0,41182.0,동원시스템즈,014820
2020-03-31,19350.0,상승  750,18600.0,20050.0,18500.0,57554.0,동원시스템즈,014820
2020-04-01,20200.0,상승  850,19100.0,21300.0,19000.0,68402.0,동원시스템즈,014820
2020-04-02,20400.0,상승  200,19900.0,20850.0,19500.0,37137.0,동원시스템즈,014820
2020-04-03,21000.0,상승  600,20550.0,21000.0,20100.0,31711.0,동원시스템즈,014820
2020-04-06,21350.0,상승  350,21400.0,22000.0,21050.0,25299.0,동원시스템즈,014820
2020-04-07,22350.0,"상승  1,000",21350.0,22600.0,20850.0,43936.0,동원시스템즈,014820
2020-04-08,21950.0,하락  400,22000.0,22550.0,21900.0,28601.0,동원시스템즈,014820
2020-04-09,22600.0,상승  650,22100.0,22800.0,21850.0,30545.0,동원시스템즈,014820
2020-04-10,21700.0,하락  900,22350.0,22650.0,21700.0,34839.0,동원시스템즈,014820
2020-04-13,21400.0,하락  300,21700.0,21850.0,21000.0,20339.0,동원시스템즈,014820
