날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-13,4285.0,하락  560,4100.0,4580.0,4075.0,78657.0,동일고무벨트,163560
2020-03-16,4105.0,하락  180,4280.0,4300.0,4100.0,42551.0,동일고무벨트,163560
2020-03-17,4020.0,하락  85,3890.0,4050.0,3890.0,33069.0,동일고무벨트,163560
2020-03-18,3820.0,하락  200,3965.0,4040.0,3820.0,26470.0,동일고무벨트,163560
2020-03-19,3300.0,하락  520,3770.0,3840.0,3285.0,37220.0,동일고무벨트,163560
2020-03-20,3420.0,상승  120,3175.0,3495.0,3175.0,33892.0,동일고무벨트,163560
2020-03-23,3170.0,하락  250,3380.0,3380.0,3075.0,31653.0,동일고무벨트,163560
2020-03-24,3400.0,상승  230,3175.0,3400.0,3175.0,22935.0,동일고무벨트,163560
2020-03-25,3600.0,상승  200,3410.0,3620.0,3410.0,39215.0,동일고무벨트,163560
2020-03-26,3700.0,상승  100,3660.0,3735.0,3450.0,28558.0,동일고무벨트,163560
2020-03-27,3655.0,하락  45,3710.0,3865.0,3610.0,31095.0,동일고무벨트,163560
2020-03-30,3825.0,상승  170,3655.0,3825.0,3400.0,17644.0,동일고무벨트,163560
2020-03-31,4260.0,상승  435,3830.0,4390.0,3830.0,61250.0,동일고무벨트,163560
2020-04-01,4165.0,하락  95,4260.0,4290.0,4070.0,18531.0,동일고무벨트,163560
2020-04-02,4200.0,상승  35,4100.0,4200.0,4060.0,27022.0,동일고무벨트,163560
2020-04-03,4300.0,상승  100,4200.0,4300.0,4100.0,25876.0,동일고무벨트,163560
2020-04-06,4400.0,상승  100,4300.0,4400.0,4255.0,16773.0,동일고무벨트,163560
2020-04-07,4450.0,상승  50,4420.0,4535.0,4300.0,46308.0,동일고무벨트,163560
2020-04-08,4360.0,하락  90,4450.0,4450.0,4315.0,20206.0,동일고무벨트,163560
2020-04-09,4390.0,상승  30,4370.0,4450.0,4360.0,18642.0,동일고무벨트,163560
2020-04-10,4350.0,하락  40,4420.0,4430.0,4315.0,20327.0,동일고무벨트,163560
2020-04-13,4360.0,상승  10,4360.0,4400.0,4305.0,11550.0,동일고무벨트,163560
2020-04-14,4430.0,상승  70,4360.0,4520.0,4250.0,13059.0,동일고무벨트,163560
2020-04-16,4490.0,상승  60,4450.0,4490.0,4370.0,7799.0,동일고무벨트,163560
2020-04-17,4620.0,상승  130,4510.0,4960.0,4510.0,93653.0,동일고무벨트,163560
2020-04-20,4605.0,하락  15,4565.0,4650.0,4565.0,16100.0,동일고무벨트,163560
2020-04-21,4535.0,하락  70,4695.0,4700.0,4400.0,18382.0,동일고무벨트,163560
2020-04-22,4655.0,상승  120,4510.0,4720.0,4360.0,20737.0,동일고무벨트,163560
2020-04-23,6050.0,"상한가  1,395",4675.0,6050.0,4625.0,887131.0,동일고무벨트,163560
2020-04-24,7110.0,"상승  1,060",6920.0,7620.0,6310.0,6698503.0,동일고무벨트,163560
2020-04-27,9010.0,"상승  1,900",7730.0,9130.0,7710.0,4414162.0,동일고무벨트,163560
2020-04-28,7520.0,"하락  1,490",8560.0,8560.0,7520.0,795084.0,동일고무벨트,163560
2020-04-29,8010.0,상승  490,7860.0,8270.0,7680.0,574593.0,동일고무벨트,163560
2020-05-04,8850.0,상승  840,7880.0,8850.0,7850.0,686381.0,동일고무벨트,163560
2020-05-06,8820.0,하락  30,8720.0,9290.0,8470.0,1106261.0,동일고무벨트,163560
2020-05-07,8600.0,하락  220,8830.0,8950.0,8190.0,506032.0,동일고무벨트,163560
2020-05-08,9200.0,상승  600,8530.0,9740.0,8370.0,2456864.0,동일고무벨트,163560
2020-05-11,8590.0,하락  610,8900.0,8900.0,8540.0,412838.0,동일고무벨트,163560
2020-05-12,8260.0,하락  330,8490.0,8680.0,7990.0,266208.0,동일고무벨트,163560
2020-05-13,8040.0,하락  220,8010.0,8530.0,7940.0,293629.0,동일고무벨트,163560
2020-05-14,7700.0,하락  340,8020.0,8120.0,7700.0,148043.0,동일고무벨트,163560
2020-05-15,8030.0,상승  330,7780.0,8080.0,7590.0,202300.0,동일고무벨트,163560
2020-05-18,7980.0,하락  50,8120.0,8190.0,7850.0,144712.0,동일고무벨트,163560
2020-05-19,8180.0,상승  200,8010.0,8230.0,7840.0,163414.0,동일고무벨트,163560
2020-05-20,8330.0,상승  150,8220.0,8340.0,8080.0,176814.0,동일고무벨트,163560
2020-05-21,8890.0,상승  560,8400.0,8940.0,8360.0,560222.0,동일고무벨트,163560
2020-05-22,9330.0,상승  440,8900.0,9480.0,8700.0,844915.0,동일고무벨트,163560
2020-05-25,8930.0,하락  400,9320.0,9320.0,8750.0,345913.0,동일고무벨트,163560
2020-05-26,8930.0,보합0,9090.0,9100.0,8740.0,149357.0,동일고무벨트,163560
2020-05-27,8640.0,하락  290,8950.0,9000.0,8500.0,182768.0,동일고무벨트,163560
2020-05-28,8050.0,하락  590,8650.0,8650.0,8000.0,326553.0,동일고무벨트,163560
2020-05-29,8930.0,상승  880,8000.0,9440.0,7840.0,2840309.0,동일고무벨트,163560
2020-06-01,9070.0,상승  140,8920.0,9490.0,8860.0,845362.0,동일고무벨트,163560
2020-06-02,9050.0,하락  20,9030.0,9660.0,8900.0,1202664.0,동일고무벨트,163560
2020-06-03,8860.0,하락  190,9060.0,9200.0,8780.0,257476.0,동일고무벨트,163560
2020-06-04,8870.0,상승  10,8800.0,8970.0,8680.0,141813.0,동일고무벨트,163560
2020-06-05,8750.0,하락  120,8810.0,8880.0,8660.0,99024.0,동일고무벨트,163560
2020-06-08,8830.0,상승  80,8700.0,8880.0,8590.0,164863.0,동일고무벨트,163560
2020-06-09,8570.0,하락  260,8850.0,9020.0,8520.0,173729.0,동일고무벨트,163560
2020-06-10,8330.0,하락  240,8530.0,8620.0,8100.0,126439.0,동일고무벨트,163560
2020-06-11,8150.0,하락  180,8340.0,8410.0,8050.0,160464.0,동일고무벨트,163560
2020-06-12,7950.0,하락  200,7670.0,7980.0,7500.0,119234.0,동일고무벨트,163560
