날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-13,44950.0,"하락  5,050",47000.0,49000.0,40450.0,15800.0,동일산업,004890
2020-03-16,44650.0,하락  300,43700.0,46950.0,43150.0,6488.0,동일산업,004890
2020-03-17,44850.0,상승  200,43000.0,45000.0,43000.0,2822.0,동일산업,004890
2020-03-18,44950.0,상승  100,45000.0,49000.0,44400.0,9374.0,동일산업,004890
2020-03-19,40000.0,"하락  4,950",46600.0,46600.0,39500.0,33157.0,동일산업,004890
2020-03-20,40750.0,상승  750,40000.0,41000.0,38400.0,7743.0,동일산업,004890
2020-03-23,40000.0,하락  750,40900.0,40900.0,38500.0,26339.0,동일산업,004890
2020-03-24,41800.0,"상승  1,800",40900.0,41950.0,38750.0,1415.0,동일산업,004890
2020-03-25,43750.0,"상승  1,950",41050.0,44000.0,41050.0,6738.0,동일산업,004890
2020-03-26,45050.0,"상승  1,300",44900.0,45950.0,44000.0,5053.0,동일산업,004890
2020-03-27,45250.0,상승  200,44050.0,45800.0,44000.0,5725.0,동일산업,004890
2020-03-30,45050.0,하락  200,43000.0,45200.0,43000.0,1514.0,동일산업,004890
2020-03-31,45500.0,상승  450,44150.0,45900.0,44150.0,7032.0,동일산업,004890
2020-04-01,44950.0,하락  550,45800.0,45800.0,44500.0,3892.0,동일산업,004890
2020-04-02,45700.0,상승  750,44550.0,45900.0,44000.0,2481.0,동일산업,004890
2020-04-03,45400.0,하락  300,45900.0,45900.0,45000.0,14195.0,동일산업,004890
2020-04-06,46200.0,상승  800,45900.0,46200.0,45250.0,5083.0,동일산업,004890
2020-04-07,47200.0,"상승  1,000",46200.0,48000.0,46200.0,4046.0,동일산업,004890
2020-04-08,47800.0,상승  600,48200.0,48650.0,46750.0,5232.0,동일산업,004890
2020-04-09,47550.0,하락  250,47050.0,48700.0,46800.0,4990.0,동일산업,004890
2020-04-10,48050.0,상승  500,46750.0,48250.0,46700.0,2265.0,동일산업,004890
2020-04-13,48550.0,상승  500,46400.0,48650.0,46400.0,882.0,동일산업,004890
2020-04-14,49350.0,상승  800,48650.0,49400.0,48600.0,954.0,동일산업,004890
