날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-13,5870.0,하락  550,5960.0,6150.0,5560.0,357670.0,동화약품,000020
2020-03-16,5710.0,하락  160,5870.0,6050.0,5700.0,359328.0,동화약품,000020
2020-03-17,5570.0,하락  140,5250.0,5730.0,5250.0,148121.0,동화약품,000020
2020-03-18,5420.0,하락  150,5630.0,5780.0,5420.0,155883.0,동화약품,000020
2020-03-19,4985.0,하락  435,5630.0,6450.0,4800.0,504037.0,동화약품,000020
2020-03-20,5190.0,상승  205,5010.0,5290.0,5000.0,206771.0,동화약품,000020
2020-03-23,5020.0,하락  170,4900.0,5170.0,4850.0,134269.0,동화약품,000020
2020-03-24,5330.0,상승  310,5170.0,5570.0,5100.0,202739.0,동화약품,000020
2020-03-25,5630.0,상승  300,5510.0,5670.0,5440.0,175934.0,동화약품,000020
2020-03-26,5900.0,상승  270,5720.0,6050.0,5540.0,282680.0,동화약품,000020
2020-03-27,6130.0,상승  230,6300.0,6300.0,5900.0,193283.0,동화약품,000020
2020-03-30,6350.0,상승  220,6130.0,6350.0,6000.0,190170.0,동화약품,000020
2020-03-31,6550.0,상승  200,6400.0,6650.0,6360.0,143491.0,동화약품,000020
2020-04-01,6580.0,상승  30,6610.0,6780.0,6500.0,163650.0,동화약품,000020
2020-04-02,6610.0,상승  30,6520.0,6680.0,6420.0,146475.0,동화약품,000020
2020-04-03,6830.0,상승  220,6680.0,6930.0,6580.0,161419.0,동화약품,000020
2020-04-06,7190.0,상승  360,6930.0,7220.0,6930.0,218593.0,동화약품,000020
2020-04-07,7430.0,상승  240,7300.0,7450.0,6930.0,179098.0,동화약품,000020
2020-04-08,7650.0,상승  220,7430.0,7700.0,7310.0,201101.0,동화약품,000020
2020-04-09,7650.0,보합0,7750.0,7750.0,7530.0,202716.0,동화약품,000020
2020-04-10,7730.0,상승  80,7700.0,7860.0,7310.0,238244.0,동화약품,000020
2020-04-13,7490.0,하락  240,7730.0,7750.0,7490.0,128951.0,동화약품,000020
2020-04-14,7500.0,상승  10,7590.0,7590.0,7420.0,145355.0,동화약품,000020
2020-04-16,7630.0,상승  130,7420.0,7630.0,7330.0,119442.0,동화약품,000020
2020-04-17,7720.0,상승  90,7650.0,7730.0,7540.0,139320.0,동화약품,000020
2020-04-20,8050.0,상승  330,8700.0,8700.0,7850.0,800932.0,동화약품,000020
2020-04-21,10450.0,"상한가  2,400",8240.0,10450.0,8220.0,11147681.0,동화약품,000020
2020-04-22,10750.0,상승  300,11950.0,12450.0,10650.0,12377730.0,동화약품,000020
2020-04-23,10900.0,상승  150,10800.0,11500.0,10600.0,2543063.0,동화약품,000020
2020-04-24,10150.0,하락  750,10800.0,10800.0,10150.0,697323.0,동화약품,000020
2020-04-27,10450.0,상승  300,10100.0,10550.0,10100.0,487432.0,동화약품,000020
2020-04-28,11900.0,"상승  1,450",10950.0,12350.0,10950.0,1450030.0,동화약품,000020
2020-04-29,11250.0,하락  650,11650.0,11650.0,10900.0,1007942.0,동화약품,000020
2020-05-04,10600.0,하락  650,10650.0,10800.0,10250.0,710210.0,동화약품,000020
2020-05-06,10600.0,보합0,10850.0,10850.0,10200.0,771765.0,동화약품,000020
2020-05-07,10400.0,하락  200,10300.0,10650.0,10250.0,534871.0,동화약품,000020
