날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-16,21500.0,상승  400,21700.0,22400.0,20300.0,245238.0,두산밥캣,241560
2020-03-17,19950.0,"하락  1,550",20200.0,20950.0,19550.0,320999.0,두산밥캣,241560
2020-03-18,17150.0,"하락  2,800",19500.0,20400.0,17150.0,413009.0,두산밥캣,241560
2020-03-19,13700.0,"하락  3,450",17250.0,17450.0,13450.0,527847.0,두산밥캣,241560
2020-03-20,14700.0,"상승  1,000",13850.0,15200.0,13050.0,566771.0,두산밥캣,241560
2020-03-23,14300.0,하락  400,13300.0,14750.0,13250.0,371810.0,두산밥캣,241560
2020-03-24,15450.0,"상승  1,150",14400.0,15450.0,14000.0,264171.0,두산밥캣,241560
2020-03-25,17000.0,"상승  1,550",16000.0,17300.0,15700.0,444939.0,두산밥캣,241560
2020-03-26,17350.0,상승  350,17000.0,18050.0,16400.0,481035.0,두산밥캣,241560
2020-03-27,18150.0,상승  800,18800.0,19000.0,16950.0,421583.0,두산밥캣,241560
2020-03-30,17200.0,하락  950,18000.0,18000.0,16850.0,514919.0,두산밥캣,241560
2020-03-31,17950.0,상승  750,17400.0,18400.0,17200.0,490408.0,두산밥캣,241560
2020-04-01,21000.0,"상승  3,050",18000.0,23300.0,17950.0,1481838.0,두산밥캣,241560
2020-04-02,19850.0,"하락  1,150",21450.0,22450.0,18750.0,1573164.0,두산밥캣,241560
2020-04-03,20350.0,상승  500,20100.0,23000.0,20000.0,1705262.0,두산밥캣,241560
2020-04-06,21400.0,"상승  1,050",21300.0,21650.0,20600.0,662927.0,두산밥캣,241560
2020-04-07,21550.0,상승  150,22250.0,22250.0,21250.0,775026.0,두산밥캣,241560
2020-04-08,21000.0,하락  550,21250.0,21600.0,20600.0,574218.0,두산밥캣,241560
2020-04-09,21100.0,상승  100,21650.0,21650.0,20850.0,578321.0,두산밥캣,241560
2020-04-10,22600.0,"상승  1,500",21500.0,25500.0,21300.0,3419128.0,두산밥캣,241560
2020-04-13,22200.0,하락  400,22500.0,23250.0,21850.0,804323.0,두산밥캣,241560
2020-04-14,22250.0,상승  50,22600.0,23200.0,21850.0,1043555.0,두산밥캣,241560
2020-04-16,21600.0,하락  650,21850.0,22700.0,21100.0,1066343.0,두산밥캣,241560
2020-04-17,22450.0,상승  850,21750.0,22550.0,21700.0,811049.0,두산밥캣,241560
2020-04-20,24900.0,"상승  2,450",22850.0,26450.0,22800.0,2632247.0,두산밥캣,241560
2020-04-21,24450.0,하락  450,24650.0,25050.0,22850.0,1147474.0,두산밥캣,241560
2020-04-22,24450.0,보합0,24500.0,24700.0,23550.0,636539.0,두산밥캣,241560
2020-04-23,24150.0,하락  300,24650.0,24950.0,23750.0,565780.0,두산밥캣,241560
2020-04-24,22600.0,"하락  1,550",23700.0,23800.0,22500.0,686023.0,두산밥캣,241560
2020-04-27,22750.0,상승  150,22400.0,23050.0,22350.0,486871.0,두산밥캣,241560
2020-04-28,22950.0,상승  200,23350.0,23800.0,22200.0,681138.0,두산밥캣,241560
2020-04-29,23500.0,상승  550,23250.0,23550.0,22900.0,669451.0,두산밥캣,241560
2020-05-04,22800.0,하락  700,22850.0,23250.0,22500.0,452558.0,두산밥캣,241560
2020-05-06,23850.0,"상승  1,050",23150.0,23950.0,22900.0,434022.0,두산밥캣,241560
2020-05-07,23450.0,하락  400,23700.0,23850.0,23200.0,283623.0,두산밥캣,241560
