날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-13,2170.0,하락  255,2130.0,2245.0,1920.0,446717.0,디아이,003160
2020-03-16,2340.0,상승  170,2250.0,2690.0,2250.0,1471376.0,디아이,003160
2020-03-17,2310.0,하락  30,2130.0,2395.0,2130.0,268189.0,디아이,003160
2020-03-18,2195.0,하락  115,2300.0,2365.0,2170.0,231859.0,디아이,003160
2020-03-19,1950.0,하락  245,2195.0,2285.0,1880.0,441680.0,디아이,003160
2020-03-20,2030.0,상승  80,1910.0,2065.0,1910.0,475540.0,디아이,003160
2020-03-23,1890.0,하락  140,1920.0,1980.0,1800.0,182502.0,디아이,003160
2020-03-24,1955.0,상승  65,1940.0,1985.0,1895.0,157397.0,디아이,003160
2020-03-25,2265.0,상승  310,2100.0,2290.0,2100.0,409769.0,디아이,003160
2020-03-26,2350.0,상승  85,2350.0,2490.0,2220.0,442930.0,디아이,003160
2020-03-27,2325.0,하락  25,2425.0,2465.0,2255.0,154472.0,디아이,003160
2020-03-30,2325.0,보합0,2275.0,2365.0,2230.0,113563.0,디아이,003160
2020-03-31,2400.0,상승  75,2355.0,2425.0,2355.0,146577.0,디아이,003160
2020-04-01,2385.0,하락  15,2430.0,2450.0,2335.0,222366.0,디아이,003160
2020-04-02,2415.0,상승  30,2350.0,2415.0,2300.0,147912.0,디아이,003160
2020-04-03,2420.0,상승  5,2460.0,2470.0,2405.0,124645.0,디아이,003160
2020-04-06,2565.0,상승  145,2500.0,2580.0,2450.0,201109.0,디아이,003160
2020-04-07,2800.0,상승  235,2640.0,2805.0,2635.0,273843.0,디아이,003160
2020-04-08,2925.0,상승  125,2820.0,2970.0,2745.0,338075.0,디아이,003160
2020-04-09,3010.0,상승  85,2925.0,3070.0,2925.0,259198.0,디아이,003160
2020-04-10,2960.0,하락  50,3050.0,3050.0,2885.0,184152.0,디아이,003160
2020-04-13,2870.0,하락  90,2930.0,2940.0,2855.0,165018.0,디아이,003160
2020-04-14,2920.0,상승  50,2905.0,2950.0,2870.0,105257.0,디아이,003160
2020-04-16,2925.0,상승  5,2960.0,2970.0,2855.0,260225.0,디아이,003160
2020-04-17,2960.0,상승  35,2995.0,3005.0,2930.0,189052.0,디아이,003160
2020-04-20,3060.0,상승  100,2970.0,3070.0,2940.0,222423.0,디아이,003160
2020-04-21,3130.0,상승  70,3050.0,3210.0,3015.0,322145.0,디아이,003160
2020-04-22,3255.0,상승  125,3100.0,3260.0,3075.0,238996.0,디아이,003160
2020-04-23,3370.0,상승  115,3255.0,3395.0,3255.0,256662.0,디아이,003160
2020-04-24,3280.0,하락  90,3370.0,3370.0,3230.0,124952.0,디아이,003160
2020-04-27,3250.0,하락  30,3325.0,3325.0,3085.0,139420.0,디아이,003160
