날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-13,3400.0,하락  580,3805.0,3805.0,3395.0,397158.0,디와이,013570
2020-03-16,3305.0,하락  95,3260.0,3535.0,3260.0,398653.0,디와이,013570
2020-03-17,3375.0,상승  70,3055.0,3410.0,3055.0,103462.0,디와이,013570
2020-03-18,3240.0,하락  135,3400.0,3455.0,3240.0,101296.0,디와이,013570
2020-03-19,2700.0,하락  540,3230.0,3520.0,2650.0,303991.0,디와이,013570
2020-03-20,2795.0,상승  95,2705.0,2860.0,2705.0,182099.0,디와이,013570
2020-03-23,2310.0,하락  485,2605.0,2610.0,2310.0,287224.0,디와이,013570
2020-03-24,2500.0,상승  190,2380.0,2500.0,2355.0,178637.0,디와이,013570
2020-03-25,2740.0,상승  240,2695.0,2745.0,2595.0,134523.0,디와이,013570
2020-03-26,2870.0,상승  130,2755.0,3035.0,2740.0,232339.0,디와이,013570
2020-03-27,3000.0,상승  130,2995.0,3085.0,2880.0,190622.0,디와이,013570
2020-03-30,3215.0,상승  215,2880.0,3215.0,2880.0,92619.0,디와이,013570
2020-03-31,3485.0,상승  270,3285.0,3485.0,3235.0,119200.0,디와이,013570
2020-04-01,3675.0,상승  190,3510.0,3835.0,3470.0,253112.0,디와이,013570
2020-04-02,3700.0,상승  25,3675.0,3715.0,3370.0,93169.0,디와이,013570
2020-04-03,3830.0,상승  130,3700.0,3845.0,3660.0,107018.0,디와이,013570
2020-04-06,3950.0,상승  120,3840.0,4005.0,3840.0,153756.0,디와이,013570
2020-04-07,3930.0,하락  20,4030.0,4075.0,3830.0,176373.0,디와이,013570
2020-04-08,3880.0,하락  50,3990.0,3990.0,3840.0,117774.0,디와이,013570
2020-04-09,3925.0,상승  45,3910.0,3985.0,3875.0,70841.0,디와이,013570
2020-04-10,3825.0,하락  100,3915.0,4050.0,3700.0,194758.0,디와이,013570
2020-04-13,3680.0,하락  145,3825.0,3830.0,3670.0,100784.0,디와이,013570
2020-04-14,3785.0,상승  105,3685.0,3835.0,3685.0,86476.0,디와이,013570
2020-04-16,3780.0,하락  5,3850.0,3865.0,3715.0,94143.0,디와이,013570
2020-04-17,3915.0,상승  135,3795.0,3925.0,3795.0,126902.0,디와이,013570
2020-04-20,3980.0,상승  65,3935.0,4040.0,3875.0,96762.0,디와이,013570
2020-04-21,3875.0,하락  105,3980.0,4000.0,3705.0,100291.0,디와이,013570
2020-04-22,3870.0,하락  5,3800.0,3875.0,3765.0,134471.0,디와이,013570
2020-04-23,3920.0,상승  50,3880.0,3965.0,3850.0,95508.0,디와이,013570
2020-04-24,3860.0,하락  60,3895.0,3930.0,3835.0,92859.0,디와이,013570
2020-04-27,3900.0,상승  40,3870.0,3910.0,3810.0,83467.0,디와이,013570
2020-04-28,3900.0,보합0,3930.0,3965.0,3870.0,77444.0,디와이,013570
2020-04-29,3940.0,상승  40,3900.0,3960.0,3895.0,76449.0,디와이,013570
2020-05-04,4025.0,상승  85,3900.0,4100.0,3860.0,112645.0,디와이,013570
