날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-13,6400.0,하락  460,6100.0,6530.0,5690.0,197647.0,디와이파워,210540
2020-03-16,6340.0,하락  60,6300.0,6500.0,6180.0,57990.0,디와이파워,210540
2020-03-17,6250.0,하락  90,5760.0,6340.0,5760.0,34203.0,디와이파워,210540
2020-03-18,6170.0,하락  80,6180.0,6400.0,5960.0,76896.0,디와이파워,210540
2020-03-19,5160.0,"하락  1,010",6070.0,6220.0,5100.0,92373.0,디와이파워,210540
2020-03-20,5210.0,상승  50,5100.0,5420.0,5100.0,154172.0,디와이파워,210540
2020-03-23,4630.0,하락  580,5000.0,5000.0,4445.0,215831.0,디와이파워,210540
2020-03-24,4880.0,상승  250,4700.0,4910.0,4700.0,84346.0,디와이파워,210540
2020-03-25,5220.0,상승  340,5090.0,5350.0,5050.0,162853.0,디와이파워,210540
2020-03-26,5460.0,상승  240,5400.0,5630.0,5190.0,95615.0,디와이파워,210540
2020-03-27,5510.0,상승  50,5800.0,5800.0,5360.0,53286.0,디와이파워,210540
2020-03-30,5610.0,상승  100,5420.0,5630.0,5240.0,40387.0,디와이파워,210540
2020-03-31,5900.0,상승  290,5780.0,6010.0,5690.0,118643.0,디와이파워,210540
2020-04-01,6240.0,상승  340,5900.0,6990.0,5890.0,423619.0,디와이파워,210540
2020-04-02,6480.0,상승  240,6280.0,6520.0,6200.0,91128.0,디와이파워,210540
2020-04-03,6600.0,상승  120,6460.0,6890.0,6460.0,129771.0,디와이파워,210540
2020-04-06,7150.0,상승  550,6600.0,7380.0,6600.0,190903.0,디와이파워,210540
2020-04-07,7300.0,상승  150,7470.0,7780.0,7090.0,159719.0,디와이파워,210540
2020-04-08,7200.0,하락  100,7300.0,7400.0,7030.0,86247.0,디와이파워,210540
2020-04-09,7290.0,상승  90,7310.0,7430.0,7190.0,52551.0,디와이파워,210540
2020-04-10,7360.0,상승  70,7470.0,7470.0,7130.0,114180.0,디와이파워,210540
2020-04-13,7090.0,하락  270,7420.0,7420.0,7060.0,77619.0,디와이파워,210540
2020-04-14,7250.0,상승  160,7100.0,7430.0,7100.0,110307.0,디와이파워,210540
2020-04-16,7290.0,상승  40,7200.0,7310.0,6970.0,54684.0,디와이파워,210540
2020-04-17,7580.0,상승  290,7420.0,7600.0,7330.0,101025.0,디와이파워,210540
2020-04-20,7980.0,상승  400,7660.0,8180.0,7540.0,247668.0,디와이파워,210540
2020-04-21,7660.0,하락  320,7990.0,8050.0,7200.0,200230.0,디와이파워,210540
2020-04-22,7580.0,하락  80,7470.0,7620.0,7300.0,94010.0,디와이파워,210540
2020-04-23,7820.0,상승  240,7610.0,7900.0,7590.0,63107.0,디와이파워,210540
2020-04-24,7670.0,하락  150,7820.0,7820.0,7510.0,56414.0,디와이파워,210540
2020-04-27,8100.0,상승  430,7770.0,8150.0,7700.0,105864.0,디와이파워,210540
2020-04-28,7900.0,하락  200,8100.0,8190.0,7810.0,39436.0,디와이파워,210540
2020-04-29,7830.0,하락  70,7880.0,7990.0,7810.0,33737.0,디와이파워,210540
2020-05-04,7740.0,하락  90,7750.0,7820.0,7550.0,57170.0,디와이파워,210540
2020-05-06,7900.0,상승  160,7980.0,8060.0,7750.0,61553.0,디와이파워,210540
2020-05-07,7800.0,하락  100,7910.0,7950.0,7760.0,94958.0,디와이파워,210540
2020-05-08,7820.0,상승  20,7900.0,7920.0,7800.0,73134.0,디와이파워,210540
2020-05-11,8060.0,상승  240,7870.0,8130.0,7750.0,109614.0,디와이파워,210540
