날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-13,77800.0,"하락  4,200",72400.0,79100.0,72300.0,331997.0,롯데쇼핑,023530
2020-03-16,75600.0,"하락  2,200",77800.0,80100.0,74900.0,186578.0,롯데쇼핑,023530
2020-03-17,74400.0,"하락  1,200",72000.0,76400.0,72000.0,187623.0,롯데쇼핑,023530
2020-03-18,70000.0,"하락  4,400",74400.0,75200.0,70000.0,176478.0,롯데쇼핑,023530
2020-03-19,60500.0,"하락  9,500",71000.0,71700.0,59800.0,321396.0,롯데쇼핑,023530
2020-03-20,63400.0,"상승  2,900",61000.0,63800.0,59700.0,255489.0,롯데쇼핑,023530
2020-03-23,58300.0,"하락  5,100",59000.0,59900.0,57800.0,188896.0,롯데쇼핑,023530
2020-03-24,62000.0,"상승  3,700",59300.0,62000.0,58600.0,228180.0,롯데쇼핑,023530
2020-03-25,70300.0,"상승  8,300",65000.0,70900.0,63500.0,542774.0,롯데쇼핑,023530
2020-03-26,71500.0,"상승  1,200",71300.0,74000.0,68300.0,305432.0,롯데쇼핑,023530
2020-03-27,72200.0,상승  700,75000.0,75000.0,70000.0,225842.0,롯데쇼핑,023530
2020-03-30,72600.0,상승  400,69000.0,72800.0,68500.0,120287.0,롯데쇼핑,023530
2020-03-31,75000.0,"상승  2,400",73800.0,75000.0,72000.0,183135.0,롯데쇼핑,023530
2020-04-01,71200.0,"하락  3,800",74900.0,75100.0,71200.0,115342.0,롯데쇼핑,023530
2020-04-02,74800.0,"상승  3,600",71300.0,75000.0,70000.0,137747.0,롯데쇼핑,023530
2020-04-03,74100.0,하락  700,75300.0,76200.0,72800.0,102487.0,롯데쇼핑,023530
2020-04-06,76800.0,"상승  2,700",74200.0,76800.0,74200.0,119685.0,롯데쇼핑,023530
2020-04-07,78600.0,"상승  1,800",78400.0,79600.0,77300.0,152982.0,롯데쇼핑,023530
2020-04-08,86000.0,"상승  7,400",78600.0,93500.0,77500.0,364161.0,롯데쇼핑,023530
2020-04-09,89000.0,"상승  3,000",88400.0,92200.0,87100.0,249057.0,롯데쇼핑,023530
2020-04-10,86700.0,"하락  2,300",89900.0,89900.0,86300.0,231122.0,롯데쇼핑,023530
2020-04-13,85300.0,"하락  1,400",86900.0,87600.0,85000.0,110155.0,롯데쇼핑,023530
2020-04-14,85900.0,상승  600,86100.0,86800.0,85200.0,94543.0,롯데쇼핑,023530
2020-04-16,84400.0,"하락  1,500",85500.0,85500.0,83100.0,132094.0,롯데쇼핑,023530
