날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-13,167500.0,"하락  7,500",161000.0,173500.0,153500.0,342322.0,롯데케미칼,011170
2020-03-16,156000.0,"하락  11,500",168500.0,170000.0,156000.0,204473.0,롯데케미칼,011170
2020-03-17,148500.0,"하락  7,500",142500.0,152500.0,142500.0,253166.0,롯데케미칼,011170
2020-03-18,138500.0,"하락  10,000",149000.0,151500.0,138500.0,167057.0,롯데케미칼,011170
2020-03-19,117000.0,"하락  21,500",141000.0,144500.0,114500.0,313242.0,롯데케미칼,011170
2020-03-20,147500.0,"상승  30,500",121000.0,149000.0,119500.0,301848.0,롯데케미칼,011170
2020-03-23,137500.0,"하락  10,000",133000.0,143000.0,128500.0,242745.0,롯데케미칼,011170
2020-03-24,149000.0,"상승  11,500",144000.0,149000.0,140500.0,234454.0,롯데케미칼,011170
2020-03-25,164000.0,"상승  15,000",158000.0,165500.0,156500.0,259386.0,롯데케미칼,011170
2020-03-26,166500.0,"상승  2,500",165000.0,177000.0,160500.0,282245.0,롯데케미칼,011170
2020-03-27,173500.0,"상승  7,000",178000.0,182000.0,165500.0,191362.0,롯데케미칼,011170
2020-03-30,181000.0,"상승  7,500",166500.0,183000.0,164500.0,214671.0,롯데케미칼,011170
2020-03-31,193000.0,"상승  12,000",183500.0,193000.0,183000.0,309889.0,롯데케미칼,011170
2020-04-01,183000.0,"하락  10,000",189000.0,195000.0,182000.0,237629.0,롯데케미칼,011170
2020-04-02,180500.0,"하락  2,500",182500.0,187000.0,171500.0,286203.0,롯데케미칼,011170
2020-04-03,170500.0,"하락  10,000",182500.0,184000.0,169000.0,260421.0,롯데케미칼,011170
2020-04-06,174000.0,"상승  3,500",173000.0,174000.0,170500.0,148662.0,롯데케미칼,011170
2020-04-07,173500.0,하락  500,177500.0,179500.0,171000.0,189981.0,롯데케미칼,011170
2020-04-08,172500.0,"하락  1,000",172000.0,176500.0,171000.0,170883.0,롯데케미칼,011170
2020-04-09,175000.0,"상승  2,500",175500.0,176000.0,171000.0,238068.0,롯데케미칼,011170
2020-04-10,183500.0,"상승  8,500",174000.0,183500.0,172500.0,236744.0,롯데케미칼,011170
2020-04-13,180000.0,"하락  3,500",182000.0,187000.0,178500.0,136311.0,롯데케미칼,011170
2020-04-14,192500.0,"상승  12,500",184000.0,196000.0,183000.0,379858.0,롯데케미칼,011170
2020-04-16,191500.0,"하락  1,000",189500.0,195500.0,186000.0,171169.0,롯데케미칼,011170
2020-04-17,194000.0,"상승  2,500",194500.0,202500.0,193000.0,196941.0,롯데케미칼,011170
2020-04-20,200500.0,"상승  6,500",194000.0,205500.0,193500.0,244564.0,롯데케미칼,011170
2020-04-21,203500.0,"상승  3,000",207500.0,208000.0,194000.0,263619.0,롯데케미칼,011170
2020-04-22,202000.0,"하락  1,500",202000.0,207500.0,196500.0,171751.0,롯데케미칼,011170
2020-04-23,215500.0,"상승  13,500",203000.0,216500.0,198500.0,333824.0,롯데케미칼,011170
2020-04-24,212500.0,"하락  3,000",213000.0,221000.0,208500.0,245942.0,롯데케미칼,011170
2020-04-27,223500.0,"상승  11,000",216000.0,225500.0,214500.0,242427.0,롯데케미칼,011170
2020-04-28,222000.0,"하락  1,500",224500.0,226000.0,216500.0,204510.0,롯데케미칼,011170
2020-04-29,215500.0,"하락  6,500",224000.0,229500.0,214000.0,256073.0,롯데케미칼,011170
2020-05-04,196000.0,"하락  19,500",205000.0,208500.0,195500.0,477632.0,롯데케미칼,011170
2020-05-06,195500.0,하락  500,200000.0,200500.0,190500.0,262335.0,롯데케미칼,011170
2020-05-07,195500.0,보합0,193000.0,197000.0,192500.0,154604.0,롯데케미칼,011170
2020-05-08,195500.0,보합0,194000.0,198000.0,193500.0,162081.0,롯데케미칼,011170
2020-05-11,187000.0,"하락  8,500",195000.0,195000.0,186500.0,317474.0,롯데케미칼,011170
2020-05-12,183000.0,"하락  4,000",188000.0,188500.0,180000.0,230230.0,롯데케미칼,011170
2020-05-13,187500.0,"상승  4,500",180000.0,187500.0,179500.0,182658.0,롯데케미칼,011170
2020-05-14,185500.0,"하락  2,000",184500.0,187000.0,181500.0,175362.0,롯데케미칼,011170
2020-05-15,185500.0,보합0,186500.0,190000.0,185000.0,155691.0,롯데케미칼,011170
2020-05-18,187000.0,"상승  1,500",187000.0,188500.0,184000.0,118033.0,롯데케미칼,011170
2020-05-19,192000.0,"상승  5,000",193000.0,194000.0,190000.0,240921.0,롯데케미칼,011170
2020-05-20,191500.0,하락  500,191500.0,195000.0,191000.0,107010.0,롯데케미칼,011170
2020-05-21,189000.0,"하락  2,500",192500.0,193000.0,188500.0,197089.0,롯데케미칼,011170
2020-05-22,183000.0,"하락  6,000",191000.0,191000.0,182000.0,211171.0,롯데케미칼,011170
2020-05-25,184000.0,"상승  1,000",183500.0,185000.0,181000.0,152481.0,롯데케미칼,011170
2020-05-26,187500.0,"상승  3,500",184000.0,190000.0,184000.0,190263.0,롯데케미칼,011170
2020-05-27,189500.0,"상승  2,000",188500.0,196000.0,188500.0,332835.0,롯데케미칼,011170
2020-05-28,189500.0,보합0,192000.0,193000.0,186500.0,215743.0,롯데케미칼,011170
2020-05-29,188000.0,"하락  1,500",187500.0,191000.0,186000.0,219346.0,롯데케미칼,011170
2020-06-01,189500.0,"상승  1,500",188000.0,190500.0,187500.0,87982.0,롯데케미칼,011170
2020-06-02,190000.0,상승  500,189000.0,192500.0,188500.0,132472.0,롯데케미칼,011170
2020-06-03,199000.0,"상승  9,000",192000.0,199500.0,191500.0,468452.0,롯데케미칼,011170
2020-06-04,193000.0,"하락  6,000",205500.0,207000.0,192000.0,490330.0,롯데케미칼,011170
2020-06-05,193000.0,보합0,193000.0,195500.0,191000.0,210405.0,롯데케미칼,011170
2020-06-08,194000.0,"상승  1,000",196500.0,197000.0,192000.0,218361.0,롯데케미칼,011170
2020-06-09,188000.0,"하락  6,000",195000.0,195500.0,186000.0,313700.0,롯데케미칼,011170
2020-06-10,187500.0,하락  500,187000.0,189500.0,185500.0,163846.0,롯데케미칼,011170
2020-06-11,184000.0,"하락  3,500",186000.0,186500.0,182500.0,280710.0,롯데케미칼,011170
2020-06-12,176500.0,"하락  7,500",175000.0,178500.0,175000.0,200268.0,롯데케미칼,011170
2020-06-15,165000.0,"하락  11,500",176000.0,176000.0,165000.0,273285.0,롯데케미칼,011170
2020-06-16,171000.0,"상승  6,000",168500.0,173500.0,167500.0,259188.0,롯데케미칼,011170
2020-06-17,166500.0,"하락  4,500",168500.0,171500.0,165000.0,264443.0,롯데케미칼,011170
2020-06-18,171000.0,"상승  4,500",165500.0,171000.0,164000.0,192660.0,롯데케미칼,011170
2020-06-19,183500.0,"상승  12,500",173000.0,185000.0,172000.0,450459.0,롯데케미칼,011170
2020-06-22,179500.0,"하락  4,000",182000.0,183000.0,177500.0,151407.0,롯데케미칼,011170
2020-06-23,175500.0,"하락  4,000",181000.0,184000.0,175000.0,215452.0,롯데케미칼,011170
2020-06-24,174500.0,"하락  1,000",176500.0,178000.0,173500.0,127369.0,롯데케미칼,011170
2020-06-25,170500.0,"하락  4,000",172000.0,174500.0,170000.0,124404.0,롯데케미칼,011170
2020-06-26,172000.0,"상승  1,500",172000.0,178500.0,171500.0,125238.0,롯데케미칼,011170
2020-06-29,166000.0,"하락  6,000",168500.0,169500.0,165500.0,140914.0,롯데케미칼,011170
2020-06-30,167000.0,"상승  1,000",168500.0,172500.0,167000.0,136248.0,롯데케미칼,011170
