날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-13,16150.0,"하락  1,850",16200.0,17000.0,15550.0,330657.0,롯데하이마트,071840
2020-03-16,16150.0,보합0,16400.0,16700.0,15800.0,119220.0,롯데하이마트,071840
2020-03-17,15700.0,하락  450,15400.0,16300.0,15350.0,194298.0,롯데하이마트,071840
2020-03-18,14900.0,하락  800,15750.0,16050.0,14850.0,126305.0,롯데하이마트,071840
2020-03-19,12200.0,"하락  2,700",14900.0,15500.0,12100.0,290910.0,롯데하이마트,071840
2020-03-20,12400.0,상승  200,12200.0,12700.0,11600.0,417436.0,롯데하이마트,071840
2020-03-23,11250.0,"하락  1,150",11350.0,11600.0,11050.0,130353.0,롯데하이마트,071840
2020-03-24,13000.0,"상승  1,750",11600.0,13000.0,11500.0,172905.0,롯데하이마트,071840
2020-03-25,14050.0,"상승  1,050",13400.0,14400.0,13350.0,194277.0,롯데하이마트,071840
2020-03-26,14700.0,상승  650,14050.0,15450.0,13600.0,188128.0,롯데하이마트,071840
2020-03-27,15400.0,상승  700,15400.0,15750.0,14800.0,173384.0,롯데하이마트,071840
2020-03-30,15700.0,상승  300,14850.0,15950.0,14250.0,118525.0,롯데하이마트,071840
2020-03-31,15650.0,하락  50,15950.0,16250.0,15350.0,129970.0,롯데하이마트,071840
2020-04-01,16600.0,상승  950,15650.0,17700.0,15200.0,221307.0,롯데하이마트,071840
2020-04-02,16900.0,상승  300,16600.0,17150.0,16000.0,149125.0,롯데하이마트,071840
2020-04-03,16850.0,하락  50,16900.0,17500.0,16500.0,112176.0,롯데하이마트,071840
2020-04-06,17850.0,"상승  1,000",16900.0,17950.0,16850.0,172470.0,롯데하이마트,071840
2020-04-07,21000.0,"상승  3,150",18100.0,21100.0,18050.0,584197.0,롯데하이마트,071840
2020-04-08,22700.0,"상승  1,700",21150.0,24600.0,20050.0,710715.0,롯데하이마트,071840
2020-04-09,23150.0,상승  450,23100.0,24500.0,22500.0,276840.0,롯데하이마트,071840
2020-04-10,22750.0,하락  400,23150.0,23400.0,22450.0,133701.0,롯데하이마트,071840
2020-04-13,21850.0,하락  900,22750.0,22750.0,21150.0,152633.0,롯데하이마트,071840
2020-04-14,21850.0,보합0,21550.0,22750.0,21500.0,100695.0,롯데하이마트,071840
2020-04-16,21850.0,보합0,21750.0,21950.0,20950.0,123311.0,롯데하이마트,071840
2020-04-17,21900.0,상승  50,21850.0,22400.0,21500.0,128700.0,롯데하이마트,071840
2020-04-20,22100.0,상승  200,21900.0,22700.0,21650.0,133187.0,롯데하이마트,071840
2020-04-21,21500.0,하락  600,22100.0,22400.0,20750.0,116551.0,롯데하이마트,071840
2020-04-22,21200.0,하락  300,20800.0,21400.0,20650.0,101348.0,롯데하이마트,071840
2020-04-23,22400.0,"상승  1,200",21300.0,22400.0,21200.0,100326.0,롯데하이마트,071840
2020-04-24,21800.0,하락  600,22400.0,23250.0,21800.0,143394.0,롯데하이마트,071840
2020-04-27,23850.0,"상승  2,050",22000.0,24200.0,22000.0,268688.0,롯데하이마트,071840
2020-04-28,23900.0,상승  50,24350.0,24350.0,23250.0,186828.0,롯데하이마트,071840
2020-04-29,27000.0,"상승  3,100",24000.0,27800.0,23900.0,707440.0,롯데하이마트,071840
2020-05-04,26800.0,하락  200,27050.0,28200.0,26300.0,335244.0,롯데하이마트,071840
2020-05-06,26750.0,하락  50,27150.0,27650.0,26250.0,135301.0,롯데하이마트,071840
2020-05-07,26800.0,상승  50,26800.0,27450.0,26650.0,197549.0,롯데하이마트,071840
2020-05-08,26850.0,상승  50,27300.0,27300.0,26550.0,103654.0,롯데하이마트,071840
2020-05-11,27500.0,상승  650,26600.0,28050.0,26550.0,179833.0,롯데하이마트,071840
2020-05-12,27500.0,보합0,28100.0,28100.0,26700.0,134235.0,롯데하이마트,071840
2020-05-13,27550.0,상승  50,27450.0,27900.0,27200.0,91969.0,롯데하이마트,071840
2020-05-14,26700.0,하락  850,27500.0,27850.0,26500.0,107040.0,롯데하이마트,071840
2020-05-15,28850.0,"상승  2,150",26900.0,29250.0,26700.0,312770.0,롯데하이마트,071840
2020-05-18,28100.0,하락  750,28850.0,29350.0,28100.0,129936.0,롯데하이마트,071840
2020-05-19,28400.0,상승  300,28200.0,29200.0,28100.0,121649.0,롯데하이마트,071840
2020-05-20,28300.0,하락  100,28850.0,28850.0,28250.0,86655.0,롯데하이마트,071840
2020-05-21,28250.0,하락  50,28350.0,28450.0,28100.0,70651.0,롯데하이마트,071840
2020-05-22,27400.0,하락  850,28450.0,28500.0,27300.0,72086.0,롯데하이마트,071840
2020-05-25,28550.0,"상승  1,150",27450.0,29050.0,27450.0,124095.0,롯데하이마트,071840
2020-05-26,28250.0,하락  300,28900.0,28900.0,28000.0,54206.0,롯데하이마트,071840
2020-05-27,28100.0,하락  150,28200.0,28500.0,27700.0,87003.0,롯데하이마트,071840
2020-05-28,28100.0,보합0,27950.0,28550.0,27700.0,95255.0,롯데하이마트,071840
2020-05-29,27500.0,하락  600,27900.0,28300.0,27500.0,114201.0,롯데하이마트,071840
2020-06-01,28300.0,상승  800,27700.0,28600.0,27600.0,94504.0,롯데하이마트,071840
2020-06-02,28500.0,상승  200,28150.0,28600.0,27750.0,86374.0,롯데하이마트,071840
2020-06-03,28700.0,상승  200,28550.0,29000.0,28550.0,129046.0,롯데하이마트,071840
2020-06-04,29000.0,상승  300,28900.0,30500.0,28700.0,218325.0,롯데하이마트,071840
2020-06-05,29550.0,상승  550,29600.0,29800.0,28500.0,118960.0,롯데하이마트,071840
2020-06-08,29500.0,하락  50,29950.0,30000.0,29400.0,116434.0,롯데하이마트,071840
2020-06-09,29750.0,상승  250,29500.0,30000.0,29300.0,120760.0,롯데하이마트,071840
2020-06-10,30000.0,상승  250,29750.0,30150.0,29350.0,109693.0,롯데하이마트,071840
2020-06-11,29350.0,하락  650,30000.0,30250.0,29000.0,131994.0,롯데하이마트,071840
2020-06-12,28500.0,하락  850,27100.0,29350.0,27100.0,178038.0,롯데하이마트,071840
2020-06-15,28200.0,하락  300,28350.0,29650.0,27600.0,210868.0,롯데하이마트,071840
2020-06-16,29100.0,상승  900,28800.0,29900.0,28650.0,161692.0,롯데하이마트,071840
2020-06-17,32500.0,"상승  3,400",29000.0,32500.0,29000.0,626591.0,롯데하이마트,071840
2020-06-18,31350.0,"하락  1,150",32200.0,32500.0,30850.0,265146.0,롯데하이마트,071840
2020-06-19,33400.0,"상승  2,050",31350.0,34250.0,30500.0,285341.0,롯데하이마트,071840
2020-06-22,35800.0,"상승  2,400",34050.0,35950.0,33850.0,313469.0,롯데하이마트,071840
2020-06-23,36650.0,상승  850,36000.0,37150.0,34450.0,301171.0,롯데하이마트,071840
2020-06-24,35650.0,"하락  1,000",36600.0,37600.0,35500.0,144913.0,롯데하이마트,071840
2020-06-25,36100.0,상승  450,34800.0,37550.0,34800.0,196220.0,롯데하이마트,071840
2020-06-26,38400.0,"상승  2,300",36750.0,38600.0,36300.0,250312.0,롯데하이마트,071840
2020-06-29,38100.0,하락  300,37800.0,39800.0,37300.0,245314.0,롯데하이마트,071840
2020-06-30,38500.0,상승  400,38600.0,39750.0,38100.0,190887.0,롯데하이마트,071840
2020-07-01,36350.0,"하락  2,150",39000.0,39250.0,35600.0,216520.0,롯데하이마트,071840
2020-07-02,36550.0,상승  200,36900.0,37350.0,35500.0,100403.0,롯데하이마트,071840
2020-07-03,35750.0,하락  800,36550.0,36700.0,35500.0,147088.0,롯데하이마트,071840
