날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-13,4230.0,하락  235,4400.0,4400.0,4180.0,262898.0,맵스리얼티1,094800
2020-03-16,4145.0,하락  85,4265.0,4330.0,4110.0,442664.0,맵스리얼티1,094800
2020-03-17,4085.0,하락  60,4000.0,4185.0,3850.0,310884.0,맵스리얼티1,094800
2020-03-18,3875.0,하락  210,4100.0,4125.0,3805.0,484906.0,맵스리얼티1,094800
2020-03-19,3500.0,하락  375,3890.0,3895.0,3315.0,714357.0,맵스리얼티1,094800
2020-03-20,3430.0,하락  70,3640.0,3660.0,3325.0,597686.0,맵스리얼티1,094800
2020-03-23,3190.0,하락  240,3370.0,3370.0,3150.0,457128.0,맵스리얼티1,094800
2020-03-24,3265.0,상승  75,3200.0,3290.0,3180.0,199062.0,맵스리얼티1,094800
2020-03-25,3675.0,상승  410,3440.0,3800.0,3390.0,364191.0,맵스리얼티1,094800
2020-03-26,3900.0,상승  225,3740.0,3950.0,3670.0,304999.0,맵스리얼티1,094800
2020-03-27,4050.0,상승  150,4000.0,4090.0,3925.0,221991.0,맵스리얼티1,094800
2020-03-30,4055.0,상승  5,3990.0,4065.0,3750.0,232609.0,맵스리얼티1,094800
2020-03-31,4145.0,상승  90,4095.0,4150.0,4065.0,69613.0,맵스리얼티1,094800
2020-04-01,4000.0,하락  145,4170.0,4170.0,4000.0,77016.0,맵스리얼티1,094800
2020-04-02,3995.0,하락  5,4000.0,4040.0,3940.0,91183.0,맵스리얼티1,094800
2020-04-03,3985.0,하락  10,4010.0,4040.0,3900.0,174893.0,맵스리얼티1,094800
2020-04-06,3990.0,상승  5,4060.0,4060.0,3850.0,171544.0,맵스리얼티1,094800
2020-04-07,4130.0,상승  140,4000.0,4175.0,3990.0,209601.0,맵스리얼티1,094800
2020-04-08,4100.0,하락  30,4120.0,4120.0,4030.0,52634.0,맵스리얼티1,094800
2020-04-09,4135.0,상승  35,4150.0,4150.0,4085.0,69311.0,맵스리얼티1,094800
2020-04-10,4135.0,보합0,4130.0,4135.0,4070.0,76625.0,맵스리얼티1,094800
2020-04-13,4095.0,하락  40,4095.0,4120.0,4020.0,110384.0,맵스리얼티1,094800
2020-04-14,4100.0,상승  5,4135.0,4135.0,4065.0,41770.0,맵스리얼티1,094800
2020-04-16,4085.0,하락  15,4125.0,4135.0,4005.0,58070.0,맵스리얼티1,094800
2020-04-17,4100.0,상승  15,4090.0,4180.0,4025.0,236586.0,맵스리얼티1,094800
2020-04-20,4130.0,상승  30,4100.0,4160.0,4070.0,159963.0,맵스리얼티1,094800
2020-04-21,4090.0,하락  40,4130.0,4130.0,4030.0,145757.0,맵스리얼티1,094800
2020-04-22,4020.0,하락  70,4025.0,4080.0,3985.0,298410.0,맵스리얼티1,094800
2020-04-23,4095.0,상승  75,4030.0,4110.0,4025.0,172303.0,맵스리얼티1,094800
2020-04-24,4085.0,하락  10,4095.0,4095.0,4030.0,83449.0,맵스리얼티1,094800
2020-04-27,4090.0,상승  5,4080.0,4090.0,4030.0,112891.0,맵스리얼티1,094800
2020-04-28,4075.0,하락  15,4115.0,4115.0,4040.0,148751.0,맵스리얼티1,094800
2020-04-29,4090.0,상승  15,4080.0,4165.0,4040.0,116865.0,맵스리얼티1,094800
2020-05-04,4050.0,하락  40,4075.0,4075.0,4030.0,37979.0,맵스리얼티1,094800
2020-05-06,4070.0,상승  20,4075.0,4090.0,4045.0,234545.0,맵스리얼티1,094800
2020-05-07,4085.0,상승  15,4090.0,4090.0,4030.0,78562.0,맵스리얼티1,094800
2020-05-08,4040.0,하락  45,4090.0,4090.0,4035.0,61824.0,맵스리얼티1,094800
2020-05-11,4060.0,상승  20,4030.0,4080.0,4030.0,50072.0,맵스리얼티1,094800
2020-05-12,4030.0,하락  30,4075.0,4075.0,4030.0,28250.0,맵스리얼티1,094800
