날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-13,2850.0,하락  230,2775.0,2950.0,2670.0,622848.0,무림P&P,009580
2020-03-16,2840.0,하락  10,2870.0,2990.0,2800.0,248139.0,무림P&P,009580
2020-03-17,2800.0,하락  40,2615.0,2875.0,2615.0,250018.0,무림P&P,009580
2020-03-18,2760.0,하락  40,2805.0,2870.0,2730.0,225117.0,무림P&P,009580
2020-03-19,2470.0,하락  290,2770.0,2950.0,2420.0,363878.0,무림P&P,009580
2020-03-20,2575.0,상승  105,2470.0,2580.0,2440.0,359628.0,무림P&P,009580
2020-03-23,2340.0,하락  235,2395.0,2470.0,2255.0,314920.0,무림P&P,009580
2020-03-24,2395.0,상승  55,2355.0,2430.0,2320.0,416652.0,무림P&P,009580
2020-03-25,2545.0,상승  150,2480.0,2565.0,2425.0,434482.0,무림P&P,009580
2020-03-26,2660.0,상승  115,2565.0,2775.0,2500.0,338484.0,무림P&P,009580
2020-03-27,2745.0,상승  85,2780.0,2825.0,2670.0,368447.0,무림P&P,009580
2020-03-30,2810.0,상승  65,2670.0,2830.0,2635.0,193067.0,무림P&P,009580
2020-03-31,2920.0,상승  110,2870.0,2955.0,2830.0,407802.0,무림P&P,009580
2020-04-01,2845.0,하락  75,2915.0,2995.0,2845.0,327481.0,무림P&P,009580
2020-04-02,2855.0,상승  10,2815.0,2895.0,2700.0,241624.0,무림P&P,009580
2020-04-03,2915.0,상승  60,2890.0,2950.0,2835.0,175675.0,무림P&P,009580
2020-04-06,3015.0,상승  100,2950.0,3020.0,2900.0,247939.0,무림P&P,009580
2020-04-07,3130.0,상승  115,3250.0,3250.0,3065.0,522863.0,무림P&P,009580
2020-04-08,3265.0,상승  135,3130.0,3340.0,3085.0,542449.0,무림P&P,009580
2020-04-09,3200.0,하락  65,3300.0,3370.0,3175.0,437095.0,무림P&P,009580
2020-04-10,3230.0,상승  30,3235.0,3270.0,3160.0,335397.0,무림P&P,009580
2020-04-13,3200.0,하락  30,3240.0,3255.0,3180.0,265354.0,무림P&P,009580
2020-04-14,3215.0,상승  15,3200.0,3250.0,3185.0,204638.0,무림P&P,009580
2020-04-16,3210.0,하락  5,3220.0,3225.0,3110.0,201656.0,무림P&P,009580
2020-04-17,3290.0,상승  80,3240.0,3340.0,3230.0,198719.0,무림P&P,009580
2020-04-20,3300.0,상승  10,3290.0,3345.0,3260.0,209563.0,무림P&P,009580
2020-04-21,3190.0,하락  110,3300.0,3330.0,3090.0,214330.0,무림P&P,009580
2020-04-22,3150.0,하락  40,3125.0,3160.0,3055.0,279703.0,무림P&P,009580
2020-04-23,3250.0,상승  100,3175.0,3275.0,3160.0,133069.0,무림P&P,009580
2020-04-24,3200.0,하락  50,3250.0,3285.0,3195.0,123056.0,무림P&P,009580
2020-04-27,3260.0,상승  60,3200.0,3265.0,3190.0,145816.0,무림P&P,009580
2020-04-28,3250.0,하락  10,3265.0,3275.0,3215.0,99404.0,무림P&P,009580
2020-04-29,3385.0,상승  135,3250.0,3400.0,3250.0,474368.0,무림P&P,009580
2020-05-04,3350.0,하락  35,3385.0,3415.0,3330.0,196837.0,무림P&P,009580
2020-05-06,3415.0,상승  65,3370.0,3415.0,3305.0,188232.0,무림P&P,009580
2020-05-07,3475.0,상승  60,3410.0,3485.0,3365.0,263356.0,무림P&P,009580
2020-05-08,3480.0,상승  5,3485.0,3550.0,3470.0,210851.0,무림P&P,009580
2020-05-11,3385.0,하락  95,3485.0,3485.0,3370.0,180437.0,무림P&P,009580
2020-05-12,3340.0,하락  45,3400.0,3420.0,3285.0,200536.0,무림P&P,009580
2020-05-13,3340.0,보합0,3285.0,3350.0,3255.0,83487.0,무림P&P,009580
2020-05-14,3260.0,하락  80,3340.0,3340.0,3250.0,177933.0,무림P&P,009580
2020-05-15,3195.0,하락  65,3265.0,3285.0,3180.0,207673.0,무림P&P,009580
2020-05-18,3115.0,하락  80,3130.0,3160.0,3095.0,273572.0,무림P&P,009580
2020-05-19,3070.0,하락  45,3155.0,3175.0,3065.0,389867.0,무림P&P,009580
2020-05-20,3120.0,상승  50,3075.0,3125.0,3060.0,174758.0,무림P&P,009580
2020-05-21,3080.0,하락  40,3120.0,3130.0,3060.0,299652.0,무림P&P,009580
2020-05-22,2990.0,하락  90,3080.0,3095.0,2990.0,285215.0,무림P&P,009580
2020-05-25,3055.0,상승  65,3000.0,3065.0,3000.0,102040.0,무림P&P,009580
2020-05-26,3120.0,상승  65,3065.0,3140.0,3065.0,351264.0,무림P&P,009580
2020-05-27,3140.0,상승  20,3120.0,3155.0,3115.0,165576.0,무림P&P,009580
2020-05-28,3115.0,하락  25,3150.0,3185.0,3050.0,271729.0,무림P&P,009580
