날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-13,1840.0,하락  180,1810.0,1945.0,1760.0,430890.0,무림페이퍼,009200
2020-03-16,1790.0,하락  50,1860.0,2000.0,1790.0,247360.0,무림페이퍼,009200
2020-03-17,1760.0,하락  30,1640.0,1825.0,1640.0,185870.0,무림페이퍼,009200
2020-03-18,1750.0,하락  10,1775.0,1900.0,1750.0,249854.0,무림페이퍼,009200
2020-03-19,1550.0,하락  200,1750.0,1805.0,1525.0,317895.0,무림페이퍼,009200
2020-03-20,1640.0,상승  90,1545.0,1690.0,1545.0,303308.0,무림페이퍼,009200
2020-03-23,1565.0,하락  75,1555.0,1600.0,1525.0,172538.0,무림페이퍼,009200
2020-03-24,1630.0,상승  65,1570.0,1640.0,1570.0,129723.0,무림페이퍼,009200
2020-03-25,1730.0,상승  100,1680.0,1775.0,1680.0,229292.0,무림페이퍼,009200
2020-03-26,1815.0,상승  85,1750.0,1845.0,1730.0,224420.0,무림페이퍼,009200
2020-03-27,1815.0,보합0,1855.0,1895.0,1775.0,251920.0,무림페이퍼,009200
2020-03-30,1830.0,상승  15,1800.0,1840.0,1720.0,226090.0,무림페이퍼,009200
2020-03-31,1900.0,상승  70,1855.0,1935.0,1855.0,217619.0,무림페이퍼,009200
2020-04-01,1835.0,하락  65,1900.0,1990.0,1835.0,252421.0,무림페이퍼,009200
2020-04-02,1895.0,상승  60,1830.0,1895.0,1750.0,191182.0,무림페이퍼,009200
2020-04-03,1920.0,상승  25,1895.0,1940.0,1880.0,109744.0,무림페이퍼,009200
2020-04-06,2045.0,상승  125,1925.0,2065.0,1900.0,325842.0,무림페이퍼,009200
2020-04-07,2080.0,상승  35,2110.0,2120.0,2020.0,546802.0,무림페이퍼,009200
2020-04-08,2095.0,상승  15,2100.0,2175.0,2065.0,462758.0,무림페이퍼,009200
2020-04-09,2090.0,하락  5,2130.0,2165.0,2050.0,254814.0,무림페이퍼,009200
2020-04-10,2095.0,상승  5,2085.0,2125.0,2030.0,317096.0,무림페이퍼,009200
2020-04-13,2025.0,하락  70,2095.0,2095.0,2025.0,150979.0,무림페이퍼,009200
2020-04-14,2025.0,보합0,2030.0,2060.0,2015.0,158466.0,무림페이퍼,009200
2020-04-16,2050.0,상승  25,2015.0,2060.0,1985.0,153681.0,무림페이퍼,009200
2020-04-17,2085.0,상승  35,2055.0,2110.0,2055.0,174776.0,무림페이퍼,009200
2020-04-20,2090.0,상승  5,2100.0,2120.0,2075.0,160533.0,무림페이퍼,009200
2020-04-21,2020.0,하락  70,2085.0,2100.0,1955.0,155733.0,무림페이퍼,009200
2020-04-22,2055.0,상승  35,1985.0,2095.0,1980.0,127863.0,무림페이퍼,009200
2020-04-23,2115.0,상승  60,2060.0,2125.0,2060.0,162882.0,무림페이퍼,009200
2020-04-24,2080.0,하락  35,2080.0,2135.0,2070.0,160330.0,무림페이퍼,009200
2020-04-27,2140.0,상승  60,2080.0,2140.0,2060.0,114661.0,무림페이퍼,009200
2020-04-28,2160.0,상승  20,2145.0,2180.0,2110.0,216393.0,무림페이퍼,009200
2020-04-29,2200.0,상승  40,2140.0,2260.0,2140.0,199418.0,무림페이퍼,009200
2020-05-04,2175.0,하락  25,2175.0,2185.0,2135.0,137469.0,무림페이퍼,009200
2020-05-06,2215.0,상승  40,2195.0,2215.0,2155.0,141707.0,무림페이퍼,009200
2020-05-07,2220.0,상승  5,2215.0,2235.0,2160.0,119956.0,무림페이퍼,009200
2020-05-08,2220.0,보합0,2260.0,2260.0,2210.0,145397.0,무림페이퍼,009200
2020-05-11,2165.0,하락  55,2220.0,2220.0,2160.0,105122.0,무림페이퍼,009200
2020-05-12,2150.0,하락  15,2160.0,2185.0,2135.0,115713.0,무림페이퍼,009200
2020-05-13,2130.0,하락  20,2140.0,2140.0,2115.0,64550.0,무림페이퍼,009200
2020-05-14,2105.0,하락  25,2105.0,2135.0,2085.0,66430.0,무림페이퍼,009200
2020-05-15,2140.0,상승  35,2105.0,2155.0,2090.0,112778.0,무림페이퍼,009200
2020-05-18,2110.0,하락  30,2165.0,2170.0,2100.0,101196.0,무림페이퍼,009200
2020-05-19,2120.0,상승  10,2115.0,2155.0,2115.0,112669.0,무림페이퍼,009200
2020-05-20,2145.0,상승  25,2115.0,2165.0,2115.0,88738.0,무림페이퍼,009200
2020-05-21,2175.0,상승  30,2145.0,2190.0,2135.0,119519.0,무림페이퍼,009200
2020-05-22,2125.0,하락  50,2175.0,2200.0,2125.0,82615.0,무림페이퍼,009200
2020-05-25,2120.0,하락  5,2125.0,2150.0,2100.0,93943.0,무림페이퍼,009200
2020-05-26,2135.0,상승  15,2140.0,2140.0,2110.0,59950.0,무림페이퍼,009200
2020-05-27,2195.0,상승  60,2125.0,2200.0,2125.0,115251.0,무림페이퍼,009200
2020-05-28,2155.0,하락  40,2185.0,2230.0,2125.0,97163.0,무림페이퍼,009200
2020-05-29,2175.0,상승  20,2135.0,2180.0,2100.0,116490.0,무림페이퍼,009200
2020-06-01,2165.0,하락  10,2165.0,2190.0,2130.0,80338.0,무림페이퍼,009200
2020-06-02,2205.0,상승  40,2165.0,2220.0,2150.0,154177.0,무림페이퍼,009200
2020-06-03,2225.0,상승  20,2220.0,2270.0,2185.0,293058.0,무림페이퍼,009200
2020-06-04,2220.0,하락  5,2225.0,2255.0,2200.0,88787.0,무림페이퍼,009200
