날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-13,5170.0,하락  410,5110.0,5340.0,4885.0,81070.0,무학,033920
2020-03-16,5230.0,상승  60,5030.0,6620.0,5030.0,1285735.0,무학,033920
2020-03-17,4920.0,하락  310,4900.0,5060.0,4700.0,278024.0,무학,033920
2020-03-18,4755.0,하락  165,5860.0,6390.0,4755.0,4656190.0,무학,033920
2020-03-19,3795.0,하락  960,4755.0,4840.0,3765.0,716226.0,무학,033920
2020-03-20,3900.0,상승  105,3795.0,3975.0,3765.0,424651.0,무학,033920
2020-03-23,3660.0,하락  240,3660.0,3865.0,3515.0,272829.0,무학,033920
2020-03-24,3760.0,상승  100,3680.0,3900.0,3670.0,663250.0,무학,033920
2020-03-25,4090.0,상승  330,3900.0,4300.0,3880.0,753744.0,무학,033920
2020-03-26,4600.0,상승  510,4200.0,4840.0,4090.0,549795.0,무학,033920
2020-03-27,4645.0,상승  45,4910.0,4980.0,4455.0,463577.0,무학,033920
2020-03-30,4770.0,상승  125,4525.0,4790.0,4265.0,170225.0,무학,033920
2020-03-31,4840.0,상승  70,4840.0,4920.0,4775.0,205415.0,무학,033920
2020-04-01,4900.0,상승  60,4830.0,5070.0,4735.0,282438.0,무학,033920
2020-04-02,4940.0,상승  40,4900.0,4980.0,4740.0,125996.0,무학,033920
2020-04-03,5060.0,상승  120,5120.0,5140.0,4955.0,139486.0,무학,033920
2020-04-06,5540.0,상승  480,5060.0,5560.0,5000.0,213633.0,무학,033920
2020-04-07,5630.0,상승  90,5680.0,5710.0,5480.0,187914.0,무학,033920
2020-04-08,5850.0,상승  220,5650.0,5910.0,5520.0,116756.0,무학,033920
2020-04-09,5910.0,상승  60,5940.0,6000.0,5870.0,139023.0,무학,033920
2020-04-10,5970.0,상승  60,5920.0,6010.0,5700.0,134746.0,무학,033920
2020-04-13,5790.0,하락  180,5980.0,6000.0,5740.0,119633.0,무학,033920
2020-04-14,5810.0,상승  20,5770.0,5860.0,5680.0,127644.0,무학,033920
2020-04-16,5890.0,상승  80,5790.0,5910.0,5580.0,84845.0,무학,033920
2020-04-17,6040.0,상승  150,5880.0,6080.0,5880.0,120029.0,무학,033920
2020-04-20,6090.0,상승  50,6040.0,6210.0,6020.0,84747.0,무학,033920
2020-04-21,5980.0,하락  110,6040.0,6080.0,5730.0,91246.0,무학,033920
2020-04-22,5900.0,하락  80,5910.0,5920.0,5740.0,63699.0,무학,033920
2020-04-23,6020.0,상승  120,5910.0,6100.0,5900.0,94948.0,무학,033920
2020-04-24,5910.0,하락  110,6020.0,6020.0,5830.0,87742.0,무학,033920
2020-04-27,6230.0,상승  320,5940.0,6380.0,5750.0,147146.0,무학,033920
2020-04-28,6120.0,하락  110,6290.0,6290.0,6050.0,87032.0,무학,033920
2020-04-29,6370.0,상승  250,6160.0,6830.0,6090.0,474463.0,무학,033920
2020-05-04,6650.0,상승  280,6390.0,6660.0,6390.0,140970.0,무학,033920
2020-05-06,7030.0,상승  380,6810.0,7070.0,6650.0,161824.0,무학,033920
2020-05-07,7020.0,하락  10,7090.0,7240.0,6940.0,137575.0,무학,033920
2020-05-08,7100.0,상승  80,7020.0,7170.0,7020.0,108374.0,무학,033920
2020-05-11,7010.0,하락  90,7070.0,7090.0,6890.0,83972.0,무학,033920
2020-05-12,6890.0,하락  120,7090.0,7090.0,6800.0,74452.0,무학,033920
2020-05-13,6820.0,하락  70,6820.0,6890.0,6750.0,49968.0,무학,033920
2020-05-14,6870.0,상승  50,6710.0,6870.0,6650.0,149876.0,무학,033920
2020-05-15,6590.0,하락  280,6870.0,6870.0,6580.0,127182.0,무학,033920
2020-05-18,6320.0,하락  270,6550.0,6590.0,6150.0,93118.0,무학,033920
2020-05-19,6400.0,상승  80,6580.0,6580.0,6330.0,80137.0,무학,033920
2020-05-20,6720.0,상승  320,6600.0,6910.0,6510.0,140881.0,무학,033920
2020-05-21,6700.0,하락  20,6820.0,6820.0,6610.0,56033.0,무학,033920
2020-05-22,6450.0,하락  250,6690.0,6690.0,6410.0,80899.0,무학,033920
2020-05-25,6420.0,하락  30,6440.0,6460.0,6380.0,32497.0,무학,033920
2020-05-26,6460.0,상승  40,6420.0,6460.0,6330.0,42974.0,무학,033920
2020-05-27,6460.0,보합0,6460.0,6600.0,6450.0,24239.0,무학,033920
2020-05-28,6370.0,하락  90,6450.0,6580.0,6340.0,32243.0,무학,033920
2020-05-29,6130.0,하락  240,6370.0,6440.0,6130.0,164408.0,무학,033920
2020-06-01,6150.0,상승  20,6290.0,6290.0,6090.0,69492.0,무학,033920
2020-06-02,6280.0,상승  130,6150.0,6280.0,6150.0,40010.0,무학,033920
2020-06-03,6330.0,상승  50,6270.0,6380.0,6240.0,52064.0,무학,033920
2020-06-04,6220.0,하락  110,6410.0,6410.0,6200.0,53162.0,무학,033920
2020-06-05,6200.0,하락  20,6220.0,6300.0,6200.0,46329.0,무학,033920
2020-06-08,6250.0,상승  50,6200.0,6300.0,6190.0,44922.0,무학,033920
2020-06-09,6250.0,보합0,6250.0,6300.0,6200.0,40736.0,무학,033920
2020-06-10,6190.0,하락  60,6250.0,6290.0,6130.0,45008.0,무학,033920
2020-06-11,6080.0,하락  110,6230.0,6230.0,5990.0,82571.0,무학,033920
2020-06-12,5820.0,하락  260,5900.0,6080.0,5700.0,128294.0,무학,033920
2020-06-15,5490.0,하락  330,5760.0,5820.0,5310.0,56394.0,무학,033920
2020-06-16,5660.0,상승  170,5500.0,5770.0,5500.0,30450.0,무학,033920
2020-06-17,5600.0,하락  60,5600.0,5690.0,5520.0,29372.0,무학,033920
2020-06-18,5530.0,하락  70,5530.0,5650.0,5530.0,38537.0,무학,033920
2020-06-19,5800.0,상승  270,5600.0,5800.0,5530.0,64610.0,무학,033920
2020-06-22,5630.0,하락  170,5800.0,5800.0,5630.0,23220.0,무학,033920
2020-06-23,5490.0,하락  140,5630.0,5700.0,5460.0,49307.0,무학,033920
2020-06-24,5500.0,상승  10,5440.0,5670.0,5440.0,38885.0,무학,033920
2020-06-25,5360.0,하락  140,5450.0,5450.0,5300.0,47559.0,무학,033920
2020-06-26,5370.0,상승  10,5450.0,5450.0,5340.0,16682.0,무학,033920
2020-06-29,5300.0,하락  70,5300.0,5350.0,5250.0,21637.0,무학,033920
2020-06-30,5290.0,하락  10,5300.0,5380.0,5260.0,17239.0,무학,033920
2020-07-01,5400.0,상승  110,5290.0,5420.0,5250.0,34336.0,무학,033920
2020-07-02,5580.0,상승  180,5390.0,5790.0,5390.0,40268.0,무학,033920
2020-07-03,5610.0,상승  30,5590.0,5640.0,5510.0,13659.0,무학,033920
2020-07-06,5650.0,상승  40,5620.0,5670.0,5530.0,28595.0,무학,033920
2020-07-07,5580.0,하락  70,5600.0,5690.0,5540.0,28621.0,무학,033920
2020-07-08,5610.0,상승  30,5640.0,5640.0,5530.0,17731.0,무학,033920
2020-07-09,5600.0,하락  10,5590.0,5650.0,5540.0,29084.0,무학,033920
2020-07-10,5500.0,하락  100,5560.0,5610.0,5480.0,45081.0,무학,033920
2020-07-13,5490.0,하락  10,5500.0,5550.0,5430.0,34592.0,무학,033920
2020-07-14,5420.0,하락  70,5450.0,5450.0,5350.0,28542.0,무학,033920
2020-07-15,5410.0,하락  10,5500.0,5500.0,5380.0,19371.0,무학,033920
2020-07-16,5450.0,상승  40,5410.0,5520.0,5370.0,21567.0,무학,033920
2020-07-17,5500.0,상승  50,5430.0,5530.0,5400.0,22663.0,무학,033920
2020-07-20,5400.0,하락  100,5500.0,5510.0,5320.0,41228.0,무학,033920
2020-07-21,5450.0,상승  50,5370.0,5480.0,5370.0,35416.0,무학,033920
2020-07-22,5390.0,하락  60,5450.0,5470.0,5350.0,56606.0,무학,033920
2020-07-23,5340.0,하락  50,5460.0,5460.0,5300.0,46878.0,무학,033920
2020-07-24,5300.0,하락  40,5370.0,5370.0,5160.0,35009.0,무학,033920
2020-07-27,5330.0,상승  30,5370.0,5370.0,5220.0,19174.0,무학,033920
2020-07-28,5370.0,상승  40,5280.0,5370.0,5270.0,69278.0,무학,033920
2020-07-29,5600.0,상승  230,5370.0,5600.0,5300.0,83379.0,무학,033920
2020-07-30,5520.0,하락  80,5610.0,5620.0,5470.0,56090.0,무학,033920
2020-07-31,5400.0,하락  120,5650.0,5650.0,5400.0,37121.0,무학,033920
2020-08-03,5330.0,하락  70,5400.0,5450.0,5280.0,22387.0,무학,033920
2020-08-04,5300.0,하락  30,5420.0,5420.0,5290.0,28875.0,무학,033920
2020-08-05,5290.0,하락  10,5440.0,5440.0,5210.0,36904.0,무학,033920
2020-08-06,5370.0,상승  80,5290.0,5510.0,5290.0,63567.0,무학,033920
