날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-16,1500.0,하락  80,1560.0,1670.0,1500.0,206993.0,문배철강,008420
2020-03-17,1510.0,상승  10,1325.0,1515.0,1325.0,149295.0,문배철강,008420
2020-03-18,1455.0,하락  55,1495.0,1565.0,1420.0,94090.0,문배철강,008420
2020-03-19,1230.0,하락  225,1435.0,1480.0,1200.0,292346.0,문배철강,008420
2020-03-20,1280.0,상승  50,1205.0,1310.0,1205.0,204337.0,문배철강,008420
2020-03-23,1200.0,하락  80,1270.0,1270.0,1180.0,203193.0,문배철강,008420
2020-03-24,1250.0,상승  50,1250.0,1260.0,1225.0,129561.0,문배철강,008420
2020-03-25,1335.0,상승  85,1290.0,1350.0,1290.0,152238.0,문배철강,008420
2020-03-26,1435.0,상승  100,1435.0,1485.0,1365.0,187982.0,문배철강,008420
2020-03-27,1490.0,상승  55,1525.0,1540.0,1415.0,146052.0,문배철강,008420
2020-03-30,1510.0,상승  20,1470.0,1540.0,1440.0,69051.0,문배철강,008420
2020-03-31,1590.0,상승  80,1530.0,1695.0,1530.0,182070.0,문배철강,008420
2020-04-01,1600.0,상승  10,1620.0,1705.0,1575.0,172942.0,문배철강,008420
2020-04-02,1675.0,상승  75,1615.0,1700.0,1580.0,82578.0,문배철강,008420
2020-04-03,1885.0,상승  210,1700.0,2095.0,1700.0,850055.0,문배철강,008420
2020-04-06,1940.0,상승  55,1885.0,1995.0,1885.0,228776.0,문배철강,008420
2020-04-07,2000.0,상승  60,2020.0,2020.0,1945.0,171754.0,문배철강,008420
2020-04-08,2135.0,상승  135,2015.0,2135.0,1960.0,342865.0,문배철강,008420
2020-04-09,2090.0,하락  45,2130.0,2150.0,2065.0,105348.0,문배철강,008420
2020-04-10,2030.0,하락  60,2130.0,2130.0,1965.0,90574.0,문배철강,008420
2020-04-13,1970.0,하락  60,2040.0,2050.0,1970.0,73813.0,문배철강,008420
2020-04-14,2020.0,상승  50,1980.0,2055.0,1950.0,136792.0,문배철강,008420
2020-04-16,2110.0,상승  90,2060.0,2140.0,1980.0,158485.0,문배철강,008420
2020-04-17,2120.0,상승  10,2130.0,2155.0,2070.0,146635.0,문배철강,008420
2020-04-20,2205.0,상승  85,2120.0,2280.0,2120.0,383299.0,문배철강,008420
2020-04-21,2075.0,하락  130,2205.0,2235.0,1995.0,322549.0,문배철강,008420
2020-04-22,2115.0,상승  40,2040.0,2125.0,1985.0,141387.0,문배철강,008420
2020-04-23,2110.0,하락  5,2095.0,2155.0,2060.0,154220.0,문배철강,008420
2020-04-24,2055.0,하락  55,2080.0,2130.0,2040.0,81536.0,문배철강,008420
2020-04-27,2105.0,상승  50,2070.0,2110.0,2060.0,43710.0,문배철강,008420
2020-04-28,2130.0,상승  25,2145.0,2145.0,2075.0,84234.0,문배철강,008420
2020-04-29,2150.0,상승  20,2130.0,2175.0,2130.0,129082.0,문배철강,008420
2020-05-04,2135.0,하락  15,2185.0,2190.0,2130.0,53301.0,문배철강,008420
2020-05-06,2175.0,상승  40,2130.0,2185.0,2130.0,74103.0,문배철강,008420
2020-05-07,2175.0,보합0,2175.0,2220.0,2145.0,214656.0,문배철강,008420
2020-05-08,2215.0,상승  40,2175.0,2245.0,2175.0,129163.0,문배철강,008420
2020-05-11,2155.0,하락  60,2205.0,2220.0,2150.0,90696.0,문배철강,008420
2020-05-12,2100.0,하락  55,2150.0,2185.0,2095.0,64097.0,문배철강,008420
2020-05-13,2090.0,하락  10,2090.0,2125.0,2060.0,23861.0,문배철강,008420
2020-05-14,2075.0,하락  15,2090.0,2125.0,2055.0,59008.0,문배철강,008420
2020-05-15,2045.0,하락  30,2100.0,2140.0,2020.0,72180.0,문배철강,008420
2020-05-18,2060.0,상승  15,2045.0,2085.0,2005.0,69149.0,문배철강,008420
2020-05-19,2100.0,상승  40,2080.0,2120.0,2070.0,88299.0,문배철강,008420
2020-05-20,2120.0,상승  20,2100.0,2160.0,2100.0,59148.0,문배철강,008420
2020-05-21,2150.0,상승  30,2130.0,2155.0,2125.0,56590.0,문배철강,008420
2020-05-22,2140.0,하락  10,2150.0,2165.0,2115.0,55516.0,문배철강,008420
2020-05-25,2155.0,상승  15,2120.0,2155.0,2110.0,45878.0,문배철강,008420
2020-05-26,2800.0,상한가  645,2165.0,2800.0,2165.0,8694906.0,문배철강,008420
2020-05-27,3025.0,상승  225,3060.0,3190.0,2865.0,14231379.0,문배철강,008420
2020-05-28,2915.0,하락  110,2980.0,3050.0,2810.0,2468268.0,문배철강,008420
2020-05-29,2815.0,하락  100,2900.0,3120.0,2815.0,6702124.0,문배철강,008420
2020-06-01,2990.0,상승  175,2890.0,3095.0,2855.0,3978722.0,문배철강,008420
2020-06-02,2920.0,하락  70,2920.0,3020.0,2900.0,954071.0,문배철강,008420
2020-06-03,3060.0,상승  140,2920.0,3495.0,2920.0,29877501.0,문배철강,008420
2020-06-04,2935.0,하락  125,2985.0,2985.0,2880.0,1252187.0,문배철강,008420
2020-06-05,2920.0,하락  15,2920.0,2920.0,2875.0,484619.0,문배철강,008420
2020-06-08,3045.0,상승  125,2985.0,3045.0,2975.0,920060.0,문배철강,008420
2020-06-09,3010.0,하락  35,3075.0,3330.0,2960.0,7070558.0,문배철강,008420
2020-06-10,2860.0,하락  150,3015.0,3020.0,2850.0,1061238.0,문배철강,008420
2020-06-11,2775.0,하락  85,2860.0,2930.0,2750.0,596393.0,문배철강,008420
2020-06-12,2625.0,하락  150,2630.0,2680.0,2580.0,721079.0,문배철강,008420
2020-06-15,2380.0,하락  245,2635.0,2680.0,2380.0,592121.0,문배철강,008420
2020-06-16,2640.0,상승  260,2475.0,2790.0,2445.0,1753108.0,문배철강,008420
2020-06-17,2570.0,하락  70,2575.0,2655.0,2505.0,413533.0,문배철강,008420
2020-06-18,2650.0,상승  80,2570.0,2650.0,2540.0,353046.0,문배철강,008420
2020-06-19,2585.0,하락  65,2650.0,2690.0,2550.0,490485.0,문배철강,008420
2020-06-22,2530.0,하락  55,2575.0,2580.0,2490.0,226757.0,문배철강,008420
2020-06-23,2530.0,보합0,2525.0,2560.0,2495.0,176155.0,문배철강,008420
2020-06-24,2660.0,상승  130,2590.0,2725.0,2565.0,969371.0,문배철강,008420
2020-06-25,2580.0,하락  80,2590.0,2620.0,2565.0,205866.0,문배철강,008420
2020-06-26,2620.0,상승  40,2575.0,2645.0,2530.0,156588.0,문배철강,008420
2020-06-29,2535.0,하락  85,2545.0,2650.0,2530.0,179428.0,문배철강,008420
2020-06-30,2565.0,상승  30,2585.0,2630.0,2540.0,288888.0,문배철강,008420
2020-07-01,2570.0,상승  5,2570.0,2655.0,2550.0,210342.0,문배철강,008420
2020-07-02,2615.0,상승  45,2555.0,2655.0,2525.0,315341.0,문배철강,008420
2020-07-03,2610.0,하락  5,2630.0,2715.0,2590.0,415026.0,문배철강,008420
2020-07-06,2750.0,상승  140,2655.0,3100.0,2600.0,9189007.0,문배철강,008420
2020-07-07,2700.0,하락  50,2750.0,2785.0,2660.0,1003290.0,문배철강,008420
2020-07-08,2800.0,상승  100,2740.0,2860.0,2690.0,2872916.0,문배철강,008420
2020-07-09,2750.0,하락  50,2815.0,2870.0,2740.0,922742.0,문배철강,008420
2020-07-10,2655.0,하락  95,2750.0,2770.0,2630.0,437700.0,문배철강,008420
2020-07-13,2730.0,상승  75,2695.0,2730.0,2655.0,252190.0,문배철강,008420
2020-07-14,2695.0,하락  35,2715.0,2770.0,2680.0,255704.0,문배철강,008420
2020-07-15,2705.0,상승  10,2745.0,2900.0,2700.0,1076590.0,문배철강,008420
2020-07-16,2745.0,상승  40,2710.0,2775.0,2710.0,228794.0,문배철강,008420
2020-07-17,2710.0,하락  35,2765.0,2780.0,2660.0,471475.0,문배철강,008420
2020-07-20,2755.0,상승  45,2715.0,2780.0,2665.0,276370.0,문배철강,008420
2020-07-21,2765.0,상승  10,2755.0,2775.0,2725.0,314092.0,문배철강,008420
2020-07-22,2885.0,상승  120,2795.0,2905.0,2765.0,1846507.0,문배철강,008420
2020-07-23,2780.0,하락  105,2870.0,2885.0,2770.0,628276.0,문배철강,008420
2020-07-24,2710.0,하락  70,2770.0,2770.0,2695.0,388127.0,문배철강,008420
2020-07-27,2775.0,상승  65,2685.0,2840.0,2685.0,449305.0,문배철강,008420
2020-07-28,2685.0,하락  90,2775.0,2795.0,2670.0,392329.0,문배철강,008420
2020-07-29,2770.0,상승  85,2720.0,2905.0,2660.0,1794689.0,문배철강,008420
2020-07-30,2790.0,상승  20,2830.0,3000.0,2770.0,4063083.0,문배철강,008420
2020-07-31,2710.0,하락  80,2790.0,2815.0,2700.0,496598.0,문배철강,008420
2020-08-03,2710.0,보합0,2755.0,2755.0,2700.0,194961.0,문배철강,008420
2020-08-04,2810.0,상승  100,2715.0,2825.0,2710.0,500989.0,문배철강,008420
2020-08-05,2740.0,하락  70,2845.0,2845.0,2725.0,425335.0,문배철강,008420
2020-08-06,2750.0,상승  10,2775.0,2825.0,2740.0,347973.0,문배철강,008420
2020-08-07,2745.0,하락  5,2750.0,2800.0,2745.0,296039.0,문배철강,008420
2020-08-10,2790.0,상승  45,2770.0,2815.0,2730.0,254052.0,문배철강,008420
2020-08-11,2930.0,상승  140,2790.0,2940.0,2765.0,1872610.0,문배철강,008420
2020-08-12,2825.0,하락  105,2905.0,2905.0,2685.0,783037.0,문배철강,008420
2020-08-13,3005.0,상승  180,2870.0,3020.0,2800.0,2201613.0,문배철강,008420
2020-08-14,2895.0,하락  110,2990.0,2990.0,2835.0,934770.0,문배철강,008420
2020-08-18,2615.0,하락  280,2925.0,2925.0,2400.0,839037.0,문배철강,008420
2020-08-19,2690.0,상승  75,2605.0,2725.0,2590.0,342013.0,문배철강,008420
2020-08-20,2510.0,하락  180,2690.0,2690.0,2445.0,619149.0,문배철강,008420
2020-08-21,2510.0,보합0,2510.0,2560.0,2450.0,309844.0,문배철강,008420
2020-08-24,2550.0,상승  40,2515.0,2575.0,2430.0,145528.0,문배철강,008420
2020-08-25,2625.0,상승  75,2560.0,2660.0,2560.0,172717.0,문배철강,008420
2020-08-26,2615.0,하락  10,2630.0,2665.0,2570.0,154313.0,문배철강,008420
2020-08-27,2550.0,하락  65,2635.0,2635.0,2525.0,185701.0,문배철강,008420
2020-08-28,2565.0,상승  15,2550.0,2600.0,2545.0,175124.0,문배철강,008420
2020-08-31,2585.0,상승  20,2560.0,2620.0,2560.0,226283.0,문배철강,008420
2020-09-01,2620.0,상승  35,2620.0,2620.0,2560.0,133025.0,문배철강,008420
2020-09-02,2630.0,상승  10,2625.0,2655.0,2605.0,153227.0,문배철강,008420
2020-09-03,2665.0,상승  35,2645.0,2685.0,2620.0,162317.0,문배철강,008420
2020-09-04,2625.0,하락  40,2560.0,2645.0,2530.0,222692.0,문배철강,008420
2020-09-07,2745.0,상승  120,2625.0,2775.0,2615.0,548088.0,문배철강,008420
2020-09-08,2730.0,하락  15,2765.0,2785.0,2695.0,369815.0,문배철강,008420
2020-09-09,2735.0,상승  5,2670.0,2780.0,2670.0,221894.0,문배철강,008420
2020-09-10,2755.0,상승  20,2770.0,2785.0,2735.0,185598.0,문배철강,008420
2020-09-11,2745.0,하락  10,2755.0,2795.0,2725.0,158886.0,문배철강,008420
2020-09-14,2760.0,상승  15,2745.0,2770.0,2720.0,154567.0,문배철강,008420
2020-09-15,2835.0,상승  75,2765.0,2850.0,2740.0,417805.0,문배철강,008420
2020-09-16,2770.0,하락  65,2900.0,2920.0,2750.0,1136015.0,문배철강,008420
2020-09-17,2715.0,하락  55,2770.0,2780.0,2680.0,266997.0,문배철강,008420
2020-09-18,2705.0,하락  10,2700.0,2745.0,2650.0,193299.0,문배철강,008420
2020-09-21,2655.0,하락  50,2705.0,2730.0,2630.0,154427.0,문배철강,008420
2020-09-22,2620.0,하락  35,2620.0,2945.0,2590.0,2059638.0,문배철강,008420
2020-09-23,2590.0,하락  30,2620.0,2675.0,2525.0,337010.0,문배철강,008420
2020-09-24,2470.0,하락  120,2545.0,2565.0,2460.0,247262.0,문배철강,008420
2020-09-25,2575.0,상승  105,2490.0,2575.0,2435.0,163282.0,문배철강,008420
2020-09-28,2645.0,상승  70,2575.0,2645.0,2570.0,111025.0,문배철강,008420
2020-09-29,2640.0,하락  5,2645.0,2685.0,2630.0,102851.0,문배철강,008420
2020-10-05,2670.0,상승  30,2680.0,2705.0,2650.0,156284.0,문배철강,008420
2020-10-06,2715.0,상승  45,2710.0,2740.0,2685.0,139122.0,문배철강,008420
2020-10-07,2775.0,상승  60,2710.0,2775.0,2695.0,280673.0,문배철강,008420
2020-10-08,2780.0,상승  5,2880.0,2895.0,2750.0,842549.0,문배철강,008420
2020-10-12,2720.0,하락  60,2790.0,2810.0,2710.0,414618.0,문배철강,008420
2020-10-13,2725.0,상승  5,2720.0,2765.0,2680.0,273150.0,문배철강,008420
2020-10-14,2715.0,하락  10,2725.0,2760.0,2690.0,119429.0,문배철강,008420
2020-10-15,2700.0,하락  15,2715.0,2735.0,2640.0,209043.0,문배철강,008420
2020-10-16,2690.0,하락  10,2700.0,2785.0,2640.0,157441.0,문배철강,008420
2020-10-19,2680.0,하락  10,2685.0,2740.0,2665.0,158457.0,문배철강,008420
2020-10-20,2655.0,하락  25,2655.0,2700.0,2615.0,117529.0,문배철강,008420
2020-10-21,2730.0,상승  75,2695.0,2765.0,2650.0,278244.0,문배철강,008420
2020-10-22,2800.0,상승  70,2740.0,2800.0,2700.0,1270231.0,문배철강,008420
2020-10-23,2700.0,하락  100,2980.0,3265.0,2685.0,18543628.0,문배철강,008420
2020-10-26,2600.0,하락  100,2695.0,2720.0,2600.0,970457.0,문배철강,008420
2020-10-27,2560.0,하락  40,2550.0,2635.0,2540.0,669904.0,문배철강,008420
2020-10-28,2570.0,상승  10,2530.0,2595.0,2530.0,463770.0,문배철강,008420
2020-10-29,2510.0,하락  60,2510.0,2525.0,2480.0,388554.0,문배철강,008420
2020-10-30,2470.0,하락  40,2530.0,2530.0,2470.0,233057.0,문배철강,008420
2020-11-02,2510.0,상승  40,2465.0,2580.0,2465.0,177292.0,문배철강,008420
2020-11-03,2560.0,상승  50,2520.0,2565.0,2520.0,223093.0,문배철강,008420
2020-11-04,2575.0,상승  15,2565.0,2585.0,2520.0,257965.0,문배철강,008420
2020-11-05,2585.0,상승  10,2550.0,2630.0,2535.0,200395.0,문배철강,008420
2020-11-06,2550.0,하락  35,2595.0,2595.0,2550.0,125144.0,문배철강,008420
2020-11-09,2610.0,상승  60,2555.0,2635.0,2550.0,209271.0,문배철강,008420
2020-11-10,2640.0,상승  30,2620.0,2670.0,2570.0,245988.0,문배철강,008420
2020-11-11,2690.0,상승  50,2625.0,2700.0,2610.0,395478.0,문배철강,008420
2020-11-12,2685.0,하락  5,2700.0,2700.0,2660.0,249324.0,문배철강,008420
2020-11-13,2670.0,하락  15,2685.0,2700.0,2565.0,189423.0,문배철강,008420
2020-11-16,2725.0,상승  55,2700.0,2750.0,2675.0,450100.0,문배철강,008420
2020-11-17,2710.0,하락  15,2730.0,2745.0,2690.0,187362.0,문배철강,008420
2020-11-18,2710.0,보합0,2710.0,2725.0,2680.0,196033.0,문배철강,008420
2020-11-19,2685.0,하락  25,2705.0,2710.0,2670.0,163895.0,문배철강,008420
2020-11-20,2730.0,상승  45,2700.0,2760.0,2690.0,345748.0,문배철강,008420
2020-11-23,2750.0,상승  20,2750.0,2835.0,2725.0,826439.0,문배철강,008420
2020-11-24,2785.0,상승  35,2800.0,2820.0,2760.0,478009.0,문배철강,008420
2020-11-25,2725.0,하락  60,2820.0,2820.0,2705.0,444271.0,문배철강,008420
2020-11-26,2730.0,상승  5,2760.0,2760.0,2710.0,200114.0,문배철강,008420
2020-11-27,2725.0,하락  5,2735.0,2760.0,2710.0,115111.0,문배철강,008420
2020-11-30,2700.0,하락  25,2730.0,2745.0,2685.0,171953.0,문배철강,008420
2020-12-01,3510.0,상한가  810,2700.0,3510.0,2700.0,44537641.0,문배철강,008420
2020-12-02,3485.0,하락  25,3485.0,3640.0,3375.0,19271115.0,문배철강,008420
2020-12-03,3470.0,하락  15,3460.0,3740.0,3370.0,17693948.0,문배철강,008420
2020-12-04,3595.0,상승  125,3490.0,3630.0,3470.0,8130669.0,문배철강,008420
2020-12-07,3635.0,상승  40,3550.0,3760.0,3545.0,7554001.0,문배철강,008420
2020-12-08,3700.0,상승  65,3735.0,3800.0,3545.0,4445617.0,문배철강,008420
2020-12-09,3510.0,하락  190,3685.0,4050.0,3485.0,16392529.0,문배철강,008420
2020-12-10,3555.0,상승  45,3445.0,3625.0,3440.0,1879714.0,문배철강,008420
2020-12-11,3455.0,하락  100,3555.0,3595.0,3455.0,1145900.0,문배철강,008420
2020-12-14,3520.0,상승  65,3430.0,3765.0,3360.0,11976432.0,문배철강,008420
2020-12-15,3400.0,하락  120,3480.0,3685.0,3400.0,6122695.0,문배철강,008420
2020-12-16,3485.0,상승  85,3450.0,3490.0,3395.0,933811.0,문배철강,008420
2020-12-17,3345.0,하락  140,3460.0,3475.0,3330.0,960927.0,문배철강,008420
2020-12-18,3395.0,상승  50,3390.0,3450.0,3335.0,622628.0,문배철강,008420
2020-12-21,3430.0,상승  35,3380.0,3550.0,3380.0,1275229.0,문배철강,008420
2020-12-22,3330.0,하락  100,3485.0,3535.0,3330.0,1167889.0,문배철강,008420
2020-12-23,3345.0,상승  15,3360.0,3475.0,3200.0,1142334.0,문배철강,008420
2020-12-24,3380.0,상승  35,3350.0,3420.0,3320.0,508404.0,문배철강,008420
2020-12-28,3240.0,하락  140,3390.0,3420.0,3220.0,675255.0,문배철강,008420
2020-12-29,3375.0,상승  135,3240.0,3390.0,3240.0,470267.0,문배철강,008420
2020-12-30,3420.0,상승  45,3380.0,3465.0,3340.0,417275.0,문배철강,008420
