날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-16,99.0,상승  1,101.0,103.0,98.0,13206091.0,미래산업,025560
2020-03-17,100.0,상승  1,95.0,100.0,92.0,11952972.0,미래산업,025560
2020-03-18,96.0,하락  4,104.0,105.0,96.0,13287336.0,미래산업,025560
2020-03-19,88.0,하락  8,96.0,99.0,88.0,23811287.0,미래산업,025560
2020-03-20,93.0,상승  5,90.0,93.0,89.0,16087421.0,미래산업,025560
2020-03-23,90.0,하락  3,90.0,93.0,88.0,19083846.0,미래산업,025560
2020-03-24,93.0,상승  3,92.0,94.0,91.0,14911959.0,미래산업,025560
2020-03-25,99.0,상승  6,95.0,101.0,94.0,36426151.0,미래산업,025560
2020-03-26,104.0,상승  5,103.0,109.0,100.0,32074302.0,미래산업,025560
2020-03-27,104.0,보합0,110.0,112.0,102.0,37706200.0,미래산업,025560
2020-03-30,107.0,상승  3,101.0,107.0,99.0,18417111.0,미래산업,025560
2020-03-31,113.0,상승  6,111.0,117.0,109.0,42263869.0,미래산업,025560
2020-04-01,108.0,하락  5,112.0,112.0,108.0,23794783.0,미래산업,025560
2020-04-02,108.0,보합0,107.0,109.0,104.0,14009685.0,미래산업,025560
2020-04-03,106.0,하락  2,109.0,110.0,106.0,11140250.0,미래산업,025560
2020-04-06,108.0,상승  2,106.0,109.0,106.0,13138452.0,미래산업,025560
2020-04-07,110.0,상승  2,111.0,112.0,108.0,15622744.0,미래산업,025560
2020-04-08,110.0,보합0,110.0,111.0,108.0,15297429.0,미래산업,025560
2020-04-09,111.0,상승  1,111.0,112.0,109.0,16922126.0,미래산업,025560
2020-04-10,109.0,하락  2,111.0,112.0,108.0,16040853.0,미래산업,025560
2020-04-13,105.0,하락  4,108.0,109.0,105.0,26242153.0,미래산업,025560
2020-04-14,109.0,상승  4,105.0,111.0,104.0,31497240.0,미래산업,025560
2020-04-16,110.0,상승  1,110.0,111.0,107.0,12926400.0,미래산업,025560
2020-04-17,84.0,하락  26,77.0,110.0,77.0,703619411.0,미래산업,025560
2020-04-20,83.0,하락  1,84.0,92.0,81.0,186945439.0,미래산업,025560
2020-04-21,78.0,하락  5,83.0,83.0,75.0,127617709.0,미래산업,025560
2020-04-22,73.0,하락  5,77.0,78.0,71.0,90307437.0,미래산업,025560
2020-04-23,75.0,상승  2,75.0,77.0,74.0,63272845.0,미래산업,025560
2020-04-24,74.0,하락  1,75.0,75.0,73.0,30871260.0,미래산업,025560
2020-04-27,74.0,보합0,75.0,76.0,72.0,36135979.0,미래산업,025560
2020-04-28,74.0,보합0,74.0,74.0,72.0,25306502.0,미래산업,025560
2020-04-29,80.0,상승  6,74.0,96.0,73.0,815620606.0,미래산업,025560
2020-05-04,84.0,상승  4,80.0,91.0,80.0,268120309.0,미래산업,025560
2020-05-06,84.0,보합0,85.0,88.0,81.0,133292263.0,미래산업,025560
2020-05-07,83.0,하락  1,85.0,85.0,82.0,41638990.0,미래산업,025560
2020-05-08,83.0,보합0,84.0,85.0,82.0,29930660.0,미래산업,025560
2020-05-11,80.0,하락  3,83.0,84.0,80.0,30327178.0,미래산업,025560
2020-05-12,80.0,보합0,80.0,82.0,78.0,28718379.0,미래산업,025560
2020-05-13,80.0,보합0,79.0,80.0,78.0,23703693.0,미래산업,025560
2020-05-14,84.0,상승  4,80.0,91.0,79.0,214018211.0,미래산업,025560
2020-05-15,81.0,하락  3,81.0,83.0,79.0,64109611.0,미래산업,025560
2020-05-18,83.0,상승  2,83.0,85.0,81.0,35826728.0,미래산업,025560
2020-05-19,82.0,하락  1,83.0,83.0,80.0,29554440.0,미래산업,025560
2020-05-20,81.0,하락  1,81.0,82.0,80.0,17498562.0,미래산업,025560
2020-05-21,82.0,상승  1,82.0,82.0,80.0,19292163.0,미래산업,025560
2020-05-22,82.0,보합0,82.0,83.0,80.0,23631032.0,미래산업,025560
2020-05-25,82.0,보합0,82.0,83.0,80.0,43780670.0,미래산업,025560
2020-05-26,81.0,하락  1,81.0,85.0,80.0,53618464.0,미래산업,025560
2020-05-27,82.0,상승  1,82.0,85.0,81.0,57092893.0,미래산업,025560
2020-05-28,81.0,하락  1,83.0,83.0,80.0,29762821.0,미래산업,025560
2020-05-29,80.0,하락  1,81.0,81.0,79.0,14449686.0,미래산업,025560
2020-06-01,81.0,상승  1,80.0,81.0,79.0,15150014.0,미래산업,025560
2020-06-02,81.0,보합0,81.0,82.0,80.0,17847919.0,미래산업,025560
2020-06-03,83.0,상승  2,81.0,83.0,81.0,32807614.0,미래산업,025560
