날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-13,296.0,하락  36,303.0,313.0,279.0,3974235.0,미래아이앤지,007120
2020-03-16,291.0,하락  5,305.0,318.0,288.0,1429992.0,미래아이앤지,007120
2020-03-17,299.0,상승  8,270.0,299.0,270.0,1315279.0,미래아이앤지,007120
2020-03-18,302.0,상승  3,313.0,313.0,298.0,1227682.0,미래아이앤지,007120
2020-03-19,271.0,하락  31,301.0,309.0,268.0,2067672.0,미래아이앤지,007120
2020-03-20,282.0,상승  11,267.0,294.0,267.0,752582.0,미래아이앤지,007120
2020-03-23,281.0,하락  1,280.0,283.0,267.0,577252.0,미래아이앤지,007120
2020-03-24,286.0,상승  5,274.0,297.0,274.0,1013193.0,미래아이앤지,007120
2020-03-25,301.0,상승  15,293.0,306.0,288.0,1186948.0,미래아이앤지,007120
2020-03-26,316.0,상승  15,301.0,328.0,301.0,1749304.0,미래아이앤지,007120
2020-03-27,320.0,상승  4,322.0,333.0,310.0,1102657.0,미래아이앤지,007120
2020-03-30,340.0,상승  20,340.0,344.0,326.0,1370426.0,미래아이앤지,007120
2020-03-31,354.0,상승  14,350.0,374.0,342.0,2017979.0,미래아이앤지,007120
2020-04-01,371.0,상승  17,354.0,372.0,334.0,2057253.0,미래아이앤지,007120
2020-04-02,374.0,상승  3,372.0,378.0,354.0,1831353.0,미래아이앤지,007120
2020-04-03,400.0,상승  26,404.0,413.0,380.0,4744281.0,미래아이앤지,007120
2020-04-06,392.0,하락  8,400.0,409.0,374.0,2650946.0,미래아이앤지,007120
2020-04-07,397.0,상승  5,399.0,410.0,385.0,1916107.0,미래아이앤지,007120
2020-04-08,382.0,하락  15,398.0,399.0,382.0,1873349.0,미래아이앤지,007120
2020-04-09,400.0,상승  18,385.0,403.0,384.0,2702048.0,미래아이앤지,007120
2020-04-10,396.0,하락  4,401.0,407.0,381.0,1860190.0,미래아이앤지,007120
2020-04-13,365.0,하락  31,398.0,400.0,360.0,1713536.0,미래아이앤지,007120
2020-04-14,391.0,상승  26,365.0,401.0,365.0,2451488.0,미래아이앤지,007120
2020-04-16,394.0,상승  3,391.0,394.0,377.0,907679.0,미래아이앤지,007120
2020-04-17,381.0,하락  13,396.0,400.0,379.0,2975400.0,미래아이앤지,007120
2020-04-20,386.0,상승  5,381.0,399.0,379.0,1246232.0,미래아이앤지,007120
2020-04-21,382.0,하락  4,387.0,424.0,365.0,16150435.0,미래아이앤지,007120
2020-04-22,377.0,하락  5,382.0,384.0,373.0,1663230.0,미래아이앤지,007120
2020-04-23,383.0,상승  6,382.0,385.0,377.0,1270905.0,미래아이앤지,007120
2020-04-24,386.0,상승  3,390.0,395.0,383.0,3201147.0,미래아이앤지,007120
2020-04-27,381.0,하락  5,386.0,395.0,379.0,2799987.0,미래아이앤지,007120
2020-04-28,391.0,상승  10,382.0,400.0,379.0,5075216.0,미래아이앤지,007120
2020-04-29,439.0,상승  48,391.0,444.0,391.0,15949952.0,미래아이앤지,007120
2020-05-04,384.0,하락  55,420.0,430.0,375.0,12733364.0,미래아이앤지,007120
2020-05-06,386.0,상승  2,384.0,392.0,383.0,3416456.0,미래아이앤지,007120
2020-05-07,394.0,상승  8,382.0,404.0,382.0,3239119.0,미래아이앤지,007120
