날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-08-05,4350.0,하락  150,4500.0,4550.0,4300.0,1924775.0,미래에셋맵스리츠,357250
2020-08-05,4350.0,하락  150,4500.0,4550.0,4300.0,1924775.0,미래에셋맵스리츠,357250
2020-08-05,4350.0,하락  150,4500.0,4550.0,4300.0,1924775.0,미래에셋맵스리츠,357250
2020-08-05,4350.0,하락  150,4500.0,4550.0,4300.0,1924775.0,미래에셋맵스리츠,357250
2020-08-05,4350.0,하락  150,4500.0,4550.0,4300.0,1924775.0,미래에셋맵스리츠,357250
2020-08-05,4350.0,하락  150,4500.0,4550.0,4300.0,1924775.0,미래에셋맵스리츠,357250
2020-08-05,4350.0,하락  150,4500.0,4550.0,4300.0,1924775.0,미래에셋맵스리츠,357250
2020-08-05,4350.0,하락  150,4500.0,4550.0,4300.0,1924775.0,미래에셋맵스리츠,357250
2020-08-05,4350.0,하락  150,4500.0,4550.0,4300.0,1924775.0,미래에셋맵스리츠,357250
2020-08-05,4350.0,하락  150,4500.0,4550.0,4300.0,1924775.0,미래에셋맵스리츠,357250
2020-08-06,4600.0,상승  250,4355.0,4670.0,4350.0,595568.0,미래에셋맵스리츠,357250
2020-08-07,4590.0,하락  10,4600.0,4635.0,4555.0,175776.0,미래에셋맵스리츠,357250
2020-08-10,4590.0,보합0,4575.0,4590.0,4500.0,191833.0,미래에셋맵스리츠,357250
2020-08-11,4640.0,상승  50,4615.0,4650.0,4555.0,230088.0,미래에셋맵스리츠,357250
2020-08-12,4760.0,상승  120,4640.0,4865.0,4620.0,215966.0,미래에셋맵스리츠,357250
2020-08-13,4780.0,상승  20,4760.0,4820.0,4730.0,363114.0,미래에셋맵스리츠,357250
2020-08-14,4760.0,하락  20,4775.0,4785.0,4710.0,60409.0,미래에셋맵스리츠,357250
2020-08-18,4660.0,하락  100,4735.0,4800.0,4640.0,113989.0,미래에셋맵스리츠,357250
2020-08-19,4730.0,상승  70,4665.0,4755.0,4665.0,68967.0,미래에셋맵스리츠,357250
2020-08-20,4685.0,하락  45,4655.0,4780.0,4655.0,95666.0,미래에셋맵스리츠,357250
2020-08-21,4730.0,상승  45,4690.0,4790.0,4690.0,23834.0,미래에셋맵스리츠,357250
2020-08-24,4750.0,상승  20,4730.0,4760.0,4730.0,43431.0,미래에셋맵스리츠,357250
2020-08-25,4760.0,상승  10,4750.0,4775.0,4740.0,69237.0,미래에셋맵스리츠,357250
2020-08-26,4765.0,상승  5,4785.0,4785.0,4750.0,34217.0,미래에셋맵스리츠,357250
2020-08-27,4760.0,하락  5,4790.0,4790.0,4750.0,79402.0,미래에셋맵스리츠,357250
2020-08-28,4760.0,보합0,4770.0,4780.0,4755.0,34066.0,미래에셋맵스리츠,357250
2020-08-31,4765.0,상승  5,4780.0,4790.0,4750.0,73962.0,미래에셋맵스리츠,357250
2020-09-01,4760.0,하락  5,4780.0,4780.0,4705.0,28649.0,미래에셋맵스리츠,357250
2020-09-02,4790.0,상승  30,4760.0,4815.0,4740.0,80615.0,미래에셋맵스리츠,357250
2020-09-03,4765.0,하락  25,4770.0,4800.0,4755.0,25542.0,미래에셋맵스리츠,357250
2020-09-04,4760.0,하락  5,4765.0,4800.0,4745.0,15249.0,미래에셋맵스리츠,357250
2020-09-07,4755.0,하락  5,4760.0,4765.0,4750.0,28658.0,미래에셋맵스리츠,357250
2020-09-08,4765.0,상승  10,4765.0,4780.0,4755.0,45583.0,미래에셋맵스리츠,357250
2020-09-09,4780.0,상승  15,4765.0,4805.0,4755.0,24735.0,미래에셋맵스리츠,357250
2020-09-10,4810.0,상승  30,4805.0,4830.0,4790.0,72209.0,미래에셋맵스리츠,357250
2020-09-11,4810.0,보합0,4815.0,4820.0,4790.0,11710.0,미래에셋맵스리츠,357250
2020-09-14,4800.0,하락  10,4810.0,4820.0,4790.0,28993.0,미래에셋맵스리츠,357250
2020-09-15,4790.0,하락  10,4800.0,4800.0,4780.0,28848.0,미래에셋맵스리츠,357250
2020-09-16,4800.0,상승  10,4780.0,4800.0,4770.0,37387.0,미래에셋맵스리츠,357250
2020-09-17,4785.0,하락  15,4785.0,4805.0,4770.0,27168.0,미래에셋맵스리츠,357250
2020-09-18,4785.0,보합0,4785.0,4815.0,4780.0,30133.0,미래에셋맵스리츠,357250
2020-09-21,4785.0,보합0,4785.0,4790.0,4780.0,41376.0,미래에셋맵스리츠,357250
2020-09-22,4755.0,하락  30,4790.0,4790.0,4755.0,31277.0,미래에셋맵스리츠,357250
2020-09-23,4750.0,하락  5,4760.0,4790.0,4735.0,72796.0,미래에셋맵스리츠,357250
2020-09-24,4740.0,하락  10,4755.0,4755.0,4730.0,15869.0,미래에셋맵스리츠,357250
2020-09-25,4735.0,하락  5,4750.0,4780.0,4730.0,38084.0,미래에셋맵스리츠,357250
2020-09-28,4750.0,상승  15,4745.0,4770.0,4720.0,48107.0,미래에셋맵스리츠,357250
2020-09-29,4760.0,상승  10,4745.0,4760.0,4710.0,48864.0,미래에셋맵스리츠,357250
2020-10-05,4750.0,하락  10,4755.0,4765.0,4745.0,45198.0,미래에셋맵스리츠,357250
2020-10-06,4740.0,하락  10,4740.0,4780.0,4735.0,62229.0,미래에셋맵스리츠,357250
2020-10-07,4770.0,상승  30,4750.0,4780.0,4720.0,66759.0,미래에셋맵스리츠,357250
2020-10-08,4775.0,상승  5,4780.0,4785.0,4755.0,79269.0,미래에셋맵스리츠,357250
2020-10-12,4795.0,상승  20,4775.0,4800.0,4770.0,65499.0,미래에셋맵스리츠,357250
2020-10-13,4785.0,하락  10,4805.0,4805.0,4750.0,58811.0,미래에셋맵스리츠,357250
2020-10-14,4765.0,하락  20,4805.0,4805.0,4760.0,56796.0,미래에셋맵스리츠,357250
2020-10-15,4780.0,상승  15,4780.0,4820.0,4755.0,29556.0,미래에셋맵스리츠,357250
2020-10-16,4810.0,상승  30,4800.0,4840.0,4760.0,56568.0,미래에셋맵스리츠,357250
2020-10-19,4880.0,상승  70,4840.0,4910.0,4765.0,109455.0,미래에셋맵스리츠,357250
2020-10-20,4885.0,상승  5,4890.0,4930.0,4870.0,58030.0,미래에셋맵스리츠,357250
2020-10-21,4965.0,상승  80,4895.0,4965.0,4875.0,128577.0,미래에셋맵스리츠,357250
2020-10-22,4995.0,상승  30,4965.0,5000.0,4955.0,115819.0,미래에셋맵스리츠,357250
2020-10-23,4995.0,보합0,4995.0,5000.0,4980.0,103696.0,미래에셋맵스리츠,357250
2020-10-26,5000.0,상승  5,5000.0,5050.0,4985.0,161604.0,미래에셋맵스리츠,357250
2020-10-27,5010.0,상승  10,5000.0,5020.0,4985.0,81847.0,미래에셋맵스리츠,357250
2020-10-28,5000.0,하락  10,5010.0,5010.0,4990.0,26517.0,미래에셋맵스리츠,357250
