날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-13,39550.0,하락  750,40200.0,40200.0,38450.0,9964.0,미원홀딩스,107590
2020-03-16,39800.0,상승  250,40900.0,40900.0,39450.0,4194.0,미원홀딩스,107590
2020-03-17,39300.0,하락  500,39400.0,39950.0,39000.0,3816.0,미원홀딩스,107590
2020-03-18,38700.0,하락  600,39950.0,39950.0,38700.0,2447.0,미원홀딩스,107590
2020-03-19,36850.0,"하락  1,850",38950.0,38950.0,35400.0,7162.0,미원홀딩스,107590
2020-03-20,37850.0,"상승  1,000",37150.0,38200.0,37100.0,3754.0,미원홀딩스,107590
2020-03-23,37350.0,하락  500,37800.0,37800.0,36800.0,5407.0,미원홀딩스,107590
2020-03-24,38000.0,상승  650,37700.0,38100.0,37300.0,2452.0,미원홀딩스,107590
2020-03-25,37800.0,하락  200,38000.0,38450.0,37500.0,5698.0,미원홀딩스,107590
2020-03-26,37950.0,상승  150,38150.0,38150.0,37500.0,5659.0,미원홀딩스,107590
2020-03-27,40050.0,"상승  2,100",38350.0,40400.0,37950.0,5462.0,미원홀딩스,107590
2020-03-30,39850.0,하락  200,39650.0,40200.0,38750.0,4955.0,미원홀딩스,107590
2020-03-31,40650.0,상승  800,39700.0,41050.0,39100.0,7984.0,미원홀딩스,107590
2020-04-01,40100.0,하락  550,40800.0,40850.0,39950.0,1477.0,미원홀딩스,107590
2020-04-02,40050.0,하락  50,40150.0,40950.0,39700.0,11987.0,미원홀딩스,107590
2020-04-03,40350.0,상승  300,40350.0,40700.0,39800.0,2408.0,미원홀딩스,107590
2020-04-06,40400.0,상승  50,40950.0,40950.0,39800.0,2762.0,미원홀딩스,107590
2020-04-07,41000.0,상승  600,40800.0,41150.0,40300.0,6217.0,미원홀딩스,107590
2020-04-08,41200.0,상승  200,41300.0,41350.0,40450.0,1737.0,미원홀딩스,107590
2020-04-09,42400.0,"상승  1,200",41200.0,42400.0,40800.0,12559.0,미원홀딩스,107590
2020-04-10,41850.0,하락  550,42200.0,42800.0,41350.0,3957.0,미원홀딩스,107590
2020-04-13,40550.0,"하락  1,300",41850.0,42700.0,40550.0,4317.0,미원홀딩스,107590
2020-04-14,41000.0,상승  450,41050.0,41350.0,40400.0,3666.0,미원홀딩스,107590
2020-04-16,41200.0,상승  200,41450.0,41450.0,40900.0,2974.0,미원홀딩스,107590
2020-04-17,41600.0,상승  400,41450.0,41950.0,40800.0,3534.0,미원홀딩스,107590
2020-04-20,42200.0,상승  600,41600.0,42450.0,41600.0,1265.0,미원홀딩스,107590
2020-04-21,41900.0,하락  300,42400.0,42500.0,41300.0,4999.0,미원홀딩스,107590
2020-04-22,42250.0,상승  350,42450.0,42450.0,41750.0,2263.0,미원홀딩스,107590
2020-04-23,42300.0,상승  50,42300.0,42700.0,42150.0,1525.0,미원홀딩스,107590
2020-04-24,42250.0,하락  50,42350.0,42850.0,41800.0,1565.0,미원홀딩스,107590
2020-04-27,42200.0,하락  50,42700.0,42700.0,42000.0,327.0,미원홀딩스,107590
2020-04-28,42050.0,하락  150,42600.0,42600.0,41800.0,1396.0,미원홀딩스,107590
2020-04-29,41650.0,하락  400,42050.0,42050.0,41250.0,489.0,미원홀딩스,107590
2020-05-04,41800.0,상승  150,41000.0,42100.0,41000.0,1502.0,미원홀딩스,107590
2020-05-06,41650.0,하락  150,41800.0,42300.0,41350.0,2093.0,미원홀딩스,107590
2020-05-07,41950.0,상승  300,41550.0,41950.0,41200.0,1116.0,미원홀딩스,107590
2020-05-08,42050.0,상승  100,41950.0,42050.0,40150.0,5877.0,미원홀딩스,107590
2020-05-11,42000.0,하락  50,41700.0,42700.0,41300.0,3331.0,미원홀딩스,107590
2020-05-12,41850.0,하락  150,42350.0,42350.0,41300.0,1472.0,미원홀딩스,107590
2020-05-13,41900.0,상승  50,41800.0,41950.0,41350.0,2530.0,미원홀딩스,107590
2020-05-14,42200.0,상승  300,43000.0,43000.0,41600.0,1817.0,미원홀딩스,107590
2020-05-15,43800.0,"상승  1,600",42600.0,44450.0,41900.0,6470.0,미원홀딩스,107590
2020-05-18,45300.0,"상승  1,500",43750.0,45450.0,43350.0,8768.0,미원홀딩스,107590
2020-05-19,45600.0,상승  300,45350.0,45800.0,44100.0,3578.0,미원홀딩스,107590
2020-05-20,45100.0,하락  500,45000.0,45600.0,45000.0,1068.0,미원홀딩스,107590
2020-05-21,44800.0,하락  300,45250.0,46050.0,44750.0,2411.0,미원홀딩스,107590
2020-05-22,44450.0,하락  350,44300.0,45200.0,43900.0,1941.0,미원홀딩스,107590
2020-05-25,44300.0,하락  150,44550.0,44950.0,44000.0,1025.0,미원홀딩스,107590
2020-05-26,44400.0,상승  100,44300.0,44450.0,43800.0,1917.0,미원홀딩스,107590
2020-05-27,44300.0,하락  100,44400.0,44400.0,43650.0,2509.0,미원홀딩스,107590
2020-05-28,44300.0,보합0,44300.0,44300.0,43000.0,4587.0,미원홀딩스,107590
2020-05-29,44250.0,하락  50,44300.0,44800.0,43850.0,2552.0,미원홀딩스,107590
2020-06-01,43750.0,하락  500,44250.0,44600.0,43750.0,1782.0,미원홀딩스,107590
2020-06-02,43550.0,하락  200,43750.0,43750.0,43300.0,1253.0,미원홀딩스,107590
2020-06-03,43900.0,상승  350,43900.0,44200.0,43250.0,4750.0,미원홀딩스,107590
2020-06-04,43950.0,상승  50,44450.0,44450.0,43200.0,1540.0,미원홀딩스,107590
2020-06-05,44100.0,상승  150,43750.0,44250.0,43650.0,1113.0,미원홀딩스,107590
2020-06-08,43800.0,하락  300,44050.0,44950.0,43000.0,2729.0,미원홀딩스,107590
2020-06-09,43400.0,하락  400,43800.0,44050.0,43000.0,2389.0,미원홀딩스,107590
2020-06-10,43250.0,하락  150,43200.0,43400.0,42750.0,2045.0,미원홀딩스,107590
2020-06-11,43350.0,상승  100,43100.0,43900.0,42450.0,1468.0,미원홀딩스,107590
2020-06-12,43600.0,상승  250,42500.0,43750.0,41850.0,7937.0,미원홀딩스,107590
2020-06-15,42900.0,하락  700,43700.0,43700.0,42750.0,1543.0,미원홀딩스,107590
2020-06-16,43350.0,상승  450,42900.0,43800.0,42900.0,936.0,미원홀딩스,107590
2020-06-17,43450.0,상승  100,43600.0,43600.0,43000.0,377.0,미원홀딩스,107590
2020-06-18,44000.0,상승  550,43550.0,44000.0,43250.0,1892.0,미원홀딩스,107590
2020-06-19,47100.0,"상승  3,100",44000.0,48000.0,43800.0,39930.0,미원홀딩스,107590
2020-06-22,49050.0,"상승  1,950",57900.0,58000.0,48500.0,145181.0,미원홀딩스,107590
2020-06-23,47750.0,"하락  1,300",49100.0,49750.0,47200.0,28582.0,미원홀딩스,107590
2020-06-24,46350.0,"하락  1,400",47650.0,47650.0,46100.0,16425.0,미원홀딩스,107590
2020-06-25,45000.0,"하락  1,350",45500.0,46500.0,44450.0,19226.0,미원홀딩스,107590
2020-06-26,45400.0,상승  400,45000.0,47000.0,44700.0,7709.0,미원홀딩스,107590
2020-06-29,44450.0,하락  950,45500.0,46050.0,43550.0,9848.0,미원홀딩스,107590
2020-06-30,44700.0,상승  250,44450.0,45400.0,44200.0,3440.0,미원홀딩스,107590
2020-07-01,45000.0,상승  300,44700.0,45400.0,44200.0,2027.0,미원홀딩스,107590
2020-07-02,45300.0,상승  300,45000.0,46450.0,44650.0,3587.0,미원홀딩스,107590
2020-07-03,45800.0,상승  500,45300.0,45950.0,44900.0,5286.0,미원홀딩스,107590
2020-07-06,46150.0,상승  350,46400.0,46400.0,45500.0,2981.0,미원홀딩스,107590
2020-07-07,47000.0,상승  850,46200.0,47000.0,46000.0,5561.0,미원홀딩스,107590
2020-07-08,48000.0,"상승  1,000",47000.0,48550.0,46650.0,8436.0,미원홀딩스,107590
2020-07-09,47750.0,하락  250,48600.0,48600.0,47300.0,4021.0,미원홀딩스,107590
2020-07-10,47250.0,하락  500,48000.0,48350.0,46900.0,3508.0,미원홀딩스,107590
2020-07-13,46900.0,하락  350,47250.0,47500.0,46500.0,2640.0,미원홀딩스,107590
2020-07-14,46400.0,하락  500,46900.0,47300.0,46300.0,2494.0,미원홀딩스,107590
2020-07-15,46700.0,상승  300,47300.0,47300.0,46100.0,1985.0,미원홀딩스,107590
2020-07-16,46700.0,보합0,46700.0,47300.0,46300.0,466.0,미원홀딩스,107590
2020-07-17,46800.0,상승  100,47500.0,47500.0,46250.0,1254.0,미원홀딩스,107590
2020-07-20,47000.0,상승  200,47000.0,47150.0,46250.0,4567.0,미원홀딩스,107590
2020-07-21,46600.0,하락  400,46600.0,47000.0,46300.0,1745.0,미원홀딩스,107590
2020-07-22,46800.0,상승  200,46600.0,46800.0,45800.0,7331.0,미원홀딩스,107590
2020-07-23,46800.0,보합0,46800.0,46900.0,46450.0,1611.0,미원홀딩스,107590
2020-07-24,46950.0,상승  150,46750.0,46950.0,46450.0,2087.0,미원홀딩스,107590
2020-07-27,47550.0,상승  600,47100.0,47900.0,46800.0,2507.0,미원홀딩스,107590
2020-07-28,47000.0,하락  550,47550.0,47900.0,46900.0,1701.0,미원홀딩스,107590
2020-07-29,46950.0,하락  50,47000.0,47550.0,46800.0,4280.0,미원홀딩스,107590
2020-07-30,47050.0,상승  100,47500.0,47500.0,46950.0,2922.0,미원홀딩스,107590
2020-07-31,47550.0,상승  500,46950.0,47600.0,46950.0,3433.0,미원홀딩스,107590
2020-08-03,48050.0,상승  500,48000.0,48950.0,47300.0,5108.0,미원홀딩스,107590
2020-08-04,49100.0,"상승  1,050",48100.0,49100.0,47850.0,5519.0,미원홀딩스,107590
2020-08-05,49100.0,보합0,49000.0,49250.0,48350.0,3026.0,미원홀딩스,107590
2020-08-06,48950.0,하락  150,49300.0,49300.0,48650.0,2542.0,미원홀딩스,107590
2020-08-07,49550.0,상승  600,49100.0,49650.0,48950.0,2787.0,미원홀딩스,107590
2020-08-10,49750.0,상승  200,49550.0,49750.0,48900.0,4695.0,미원홀딩스,107590
2020-08-11,50600.0,상승  850,49750.0,51900.0,49000.0,11567.0,미원홀딩스,107590
2020-08-12,51200.0,상승  600,50700.0,51500.0,49850.0,6341.0,미원홀딩스,107590
