날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-13,58500.0,"하락  7,000",61100.0,61100.0,58000.0,2095.0,미창석유공업,003650
2020-03-16,54500.0,"하락  4,000",58600.0,58600.0,52900.0,1905.0,미창석유공업,003650
2020-03-17,48000.0,"하락  6,500",49300.0,50000.0,47900.0,15178.0,미창석유공업,003650
2020-03-18,47950.0,하락  50,47350.0,49550.0,47350.0,3157.0,미창석유공업,003650
2020-03-19,45000.0,"하락  2,950",47500.0,48450.0,45000.0,1341.0,미창석유공업,003650
2020-03-20,46150.0,"상승  1,150",45450.0,46150.0,44200.0,568.0,미창석유공업,003650
2020-03-23,45000.0,"하락  1,150",44200.0,45000.0,43550.0,1469.0,미창석유공업,003650
2020-03-24,47000.0,"상승  2,000",45350.0,47000.0,45350.0,977.0,미창석유공업,003650
2020-03-25,47850.0,상승  850,47400.0,48100.0,47400.0,2657.0,미창석유공업,003650
2020-03-26,48700.0,상승  850,47850.0,48850.0,47800.0,2690.0,미창석유공업,003650
2020-03-27,50300.0,"상승  1,600",50000.0,51600.0,50000.0,2766.0,미창석유공업,003650
2020-03-30,50600.0,상승  300,50200.0,50900.0,49100.0,1508.0,미창석유공업,003650
2020-03-31,50100.0,하락  500,50600.0,50600.0,50000.0,10790.0,미창석유공업,003650
2020-04-01,49800.0,하락  300,50100.0,50200.0,47500.0,2897.0,미창석유공업,003650
2020-04-02,49800.0,보합0,50200.0,50200.0,49300.0,3014.0,미창석유공업,003650
2020-04-03,51400.0,"상승  1,600",52100.0,52500.0,51000.0,8258.0,미창석유공업,003650
2020-04-06,51600.0,상승  200,51700.0,51700.0,51300.0,8965.0,미창석유공업,003650
2020-04-07,53000.0,"상승  1,400",53500.0,53500.0,52000.0,13363.0,미창석유공업,003650
2020-04-08,53200.0,상승  200,53200.0,53200.0,52100.0,8746.0,미창석유공업,003650
2020-04-09,54300.0,"상승  1,100",54000.0,54800.0,54000.0,5132.0,미창석유공업,003650
2020-04-10,54600.0,상승  300,54700.0,54700.0,53900.0,6799.0,미창석유공업,003650
2020-04-13,53800.0,하락  800,55000.0,55000.0,53200.0,3063.0,미창석유공업,003650
2020-04-14,53800.0,보합0,53300.0,54000.0,53300.0,4484.0,미창석유공업,003650
2020-04-16,53800.0,보합0,53500.0,54000.0,53300.0,4280.0,미창석유공업,003650
2020-04-17,56500.0,"상승  2,700",53800.0,57100.0,53800.0,2527.0,미창석유공업,003650
2020-04-20,58200.0,"상승  1,700",57000.0,58700.0,57000.0,2645.0,미창석유공업,003650
2020-04-21,58500.0,상승  300,58900.0,58900.0,56100.0,4373.0,미창석유공업,003650
