날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2022-12-22,10650.0,상승  670,9980.0,11700.0,9930.0,28856231.0,바이오노트,377740
2022-12-22,10650.0,상승  670,9980.0,11700.0,9930.0,28856231.0,바이오노트,377740
2022-12-22,10650.0,상승  670,9980.0,11700.0,9930.0,28856231.0,바이오노트,377740
2022-12-22,10650.0,상승  670,9980.0,11700.0,9930.0,28856231.0,바이오노트,377740
2022-12-22,10650.0,상승  670,9980.0,11700.0,9930.0,28856231.0,바이오노트,377740
2022-12-22,10650.0,상승  670,9980.0,11700.0,9930.0,28856231.0,바이오노트,377740
2022-12-22,10650.0,상승  670,9980.0,11700.0,9930.0,28856231.0,바이오노트,377740
2022-12-22,10650.0,상승  670,9980.0,11700.0,9930.0,28856231.0,바이오노트,377740
2022-12-22,10650.0,상승  670,9980.0,11700.0,9930.0,28856231.0,바이오노트,377740
2022-12-22,10650.0,상승  670,9980.0,11700.0,9930.0,28856231.0,바이오노트,377740
2022-12-22,10650.0,상승  670,9980.0,11700.0,9930.0,28856231.0,바이오노트,377740
2022-12-22,10650.0,상승  670,9980.0,11700.0,9930.0,28856231.0,바이오노트,377740
2022-12-22,10650.0,상승  670,9980.0,11700.0,9930.0,28856231.0,바이오노트,377740
2022-12-22,10650.0,상승  670,9980.0,11700.0,9930.0,28856231.0,바이오노트,377740
2022-12-22,10650.0,상승  670,9980.0,11700.0,9930.0,28856231.0,바이오노트,377740
2022-12-22,10650.0,상승  670,9980.0,11700.0,9930.0,28856231.0,바이오노트,377740
2022-12-22,10650.0,상승  670,9980.0,11700.0,9930.0,28856231.0,바이오노트,377740
2022-12-22,10650.0,상승  670,9980.0,11700.0,9930.0,28856231.0,바이오노트,377740
2022-12-22,10650.0,상승  670,9980.0,11700.0,9930.0,28856231.0,바이오노트,377740
2022-12-22,10650.0,상승  670,9980.0,11700.0,9930.0,28856231.0,바이오노트,377740
2022-12-22,10650.0,상승  670,9980.0,11700.0,9930.0,28856231.0,바이오노트,377740
2022-12-22,10650.0,상승  670,9980.0,11700.0,9930.0,28856231.0,바이오노트,377740
2022-12-22,10650.0,상승  670,9980.0,11700.0,9930.0,28856231.0,바이오노트,377740
2022-12-22,10650.0,상승  670,9980.0,11700.0,9930.0,28856231.0,바이오노트,377740
2022-12-22,10650.0,상승  670,9980.0,11700.0,9930.0,28856231.0,바이오노트,377740
2022-12-22,10650.0,상승  670,9980.0,11700.0,9930.0,28856231.0,바이오노트,377740
2022-12-22,10650.0,상승  670,9980.0,11700.0,9930.0,28856231.0,바이오노트,377740
2022-12-22,10650.0,상승  670,9980.0,11700.0,9930.0,28856231.0,바이오노트,377740
2022-12-22,10650.0,상승  670,9980.0,11700.0,9930.0,28856231.0,바이오노트,377740
2022-12-22,10650.0,상승  670,9980.0,11700.0,9930.0,28856231.0,바이오노트,377740
2022-12-22,10650.0,상승  670,9980.0,11700.0,9930.0,28856231.0,바이오노트,377740
2022-12-22,10650.0,상승  670,9980.0,11700.0,9930.0,28856231.0,바이오노트,377740
2022-12-22,10650.0,상승  670,9980.0,11700.0,9930.0,28856231.0,바이오노트,377740
2022-12-22,10650.0,상승  670,9980.0,11700.0,9930.0,28856231.0,바이오노트,377740
2022-12-22,10650.0,상승  670,9980.0,11700.0,9930.0,28856231.0,바이오노트,377740
2022-12-22,10650.0,상승  670,9980.0,11700.0,9930.0,28856231.0,바이오노트,377740
2022-12-22,10650.0,상승  670,9980.0,11700.0,9930.0,28856231.0,바이오노트,377740
2022-12-22,10650.0,상승  670,9980.0,11700.0,9930.0,28856231.0,바이오노트,377740
2022-12-22,10650.0,상승  670,9980.0,11700.0,9930.0,28856231.0,바이오노트,377740
2022-12-22,10650.0,상승  670,9980.0,11700.0,9930.0,28856231.0,바이오노트,377740
2022-12-22,10650.0,상승  670,9980.0,11700.0,9930.0,28856231.0,바이오노트,377740
2022-12-22,10650.0,상승  670,9980.0,11700.0,9930.0,28856231.0,바이오노트,377740
2022-12-22,10650.0,상승  670,9980.0,11700.0,9930.0,28856231.0,바이오노트,377740
2022-12-22,10650.0,상승  670,9980.0,11700.0,9930.0,28856231.0,바이오노트,377740
2022-12-22,10650.0,상승  670,9980.0,11700.0,9930.0,28856231.0,바이오노트,377740
2022-12-22,10650.0,상승  670,9980.0,11700.0,9930.0,28856231.0,바이오노트,377740
2022-12-22,10650.0,상승  670,9980.0,11700.0,9930.0,28856231.0,바이오노트,377740
2022-12-22,10650.0,상승  670,9980.0,11700.0,9930.0,28856231.0,바이오노트,377740
2022-12-22,10650.0,상승  670,9980.0,11700.0,9930.0,28856231.0,바이오노트,377740
2022-12-22,10650.0,상승  670,9980.0,11700.0,9930.0,28856231.0,바이오노트,377740
2022-12-22,10650.0,상승  670,9980.0,11700.0,9930.0,28856231.0,바이오노트,377740
2022-12-22,10650.0,상승  670,9980.0,11700.0,9930.0,28856231.0,바이오노트,377740
2022-12-22,10650.0,상승  670,9980.0,11700.0,9930.0,28856231.0,바이오노트,377740
