날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-16,1550.0,하락  50,1630.0,1670.0,1515.0,102361.0,방림,003610
2020-03-17,1530.0,하락  20,1340.0,1560.0,1340.0,64022.0,방림,003610
2020-03-18,1480.0,하락  50,1510.0,1570.0,1400.0,120982.0,방림,003610
2020-03-19,1165.0,하락  315,1460.0,1460.0,1150.0,442725.0,방림,003610
2020-03-20,1310.0,상승  145,1110.0,1310.0,1110.0,168116.0,방림,003610
2020-03-23,1190.0,하락  120,1185.0,1245.0,1150.0,71425.0,방림,003610
2020-03-24,1440.0,상승  250,1195.0,1545.0,1180.0,188799.0,방림,003610
2020-03-25,1460.0,상승  20,1440.0,1505.0,1390.0,155918.0,방림,003610
2020-03-26,1505.0,상승  45,1460.0,1580.0,1420.0,82553.0,방림,003610
2020-03-27,1520.0,상승  15,1535.0,1620.0,1470.0,52928.0,방림,003610
2020-03-30,1550.0,상승  30,1495.0,1555.0,1445.0,74746.0,방림,003610
2020-03-31,1595.0,상승  45,1550.0,1600.0,1525.0,40999.0,방림,003610
2020-04-01,1625.0,상승  30,1680.0,1680.0,1580.0,53480.0,방림,003610
2020-04-02,1665.0,상승  40,1670.0,1670.0,1505.0,21275.0,방림,003610
2020-04-03,1640.0,하락  25,1690.0,1690.0,1595.0,43497.0,방림,003610
2020-04-06,1690.0,상승  50,1665.0,1830.0,1580.0,89191.0,방림,003610
2020-04-07,1710.0,상승  20,1730.0,1745.0,1670.0,97142.0,방림,003610
2020-04-08,1695.0,하락  15,1710.0,1750.0,1650.0,56310.0,방림,003610
2020-04-09,1710.0,상승  15,1695.0,1745.0,1660.0,56066.0,방림,003610
2020-04-10,1695.0,하락  15,1710.0,1710.0,1675.0,32964.0,방림,003610
2020-04-13,1675.0,하락  20,1695.0,1710.0,1660.0,11224.0,방림,003610
2020-04-14,1700.0,상승  25,1660.0,1715.0,1650.0,18004.0,방림,003610
2020-04-16,1710.0,상승  10,1660.0,1715.0,1655.0,15259.0,방림,003610
2020-04-17,1725.0,상승  15,1725.0,1735.0,1695.0,36995.0,방림,003610
2020-04-20,1720.0,하락  5,1740.0,1740.0,1700.0,36189.0,방림,003610
2020-04-21,1685.0,하락  35,1720.0,1720.0,1580.0,57708.0,방림,003610
2020-04-22,1705.0,상승  20,1665.0,1710.0,1640.0,65536.0,방림,003610
2020-04-23,1700.0,하락  5,1680.0,1730.0,1665.0,28115.0,방림,003610
2020-04-24,1695.0,하락  5,1700.0,1730.0,1650.0,21135.0,방림,003610
2020-04-27,1710.0,상승  15,1695.0,1710.0,1680.0,26288.0,방림,003610
2020-04-28,1715.0,상승  5,1710.0,1715.0,1660.0,35368.0,방림,003610
2020-04-29,1730.0,상승  15,1710.0,1735.0,1685.0,13940.0,방림,003610
2020-05-04,1730.0,보합0,1705.0,1740.0,1690.0,45420.0,방림,003610
2020-05-06,1730.0,보합0,1730.0,1735.0,1710.0,26549.0,방림,003610
2020-05-07,1740.0,상승  10,1735.0,1740.0,1720.0,22341.0,방림,003610
2020-05-08,1865.0,상승  125,1750.0,2190.0,1725.0,1755820.0,방림,003610
2020-05-11,1845.0,하락  20,1900.0,1905.0,1840.0,214630.0,방림,003610
2020-05-12,1800.0,하락  45,1840.0,1840.0,1780.0,69553.0,방림,003610
2020-05-13,1765.0,하락  35,1785.0,1795.0,1735.0,84346.0,방림,003610
2020-05-14,1760.0,하락  5,1750.0,1780.0,1715.0,104415.0,방림,003610
2020-05-15,1845.0,상승  85,1780.0,1845.0,1735.0,70308.0,방림,003610
2020-05-18,1785.0,하락  60,1845.0,1845.0,1775.0,41604.0,방림,003610
2020-05-19,1780.0,하락  5,1800.0,1820.0,1770.0,57391.0,방림,003610
2020-05-20,1800.0,상승  20,1780.0,1800.0,1755.0,85057.0,방림,003610
2020-05-21,1810.0,상승  10,1795.0,1820.0,1780.0,125250.0,방림,003610
2020-05-22,1790.0,하락  20,1810.0,1845.0,1755.0,73157.0,방림,003610
2020-05-25,1815.0,상승  25,1785.0,1830.0,1760.0,39826.0,방림,003610
2020-05-26,1795.0,하락  20,1815.0,1815.0,1770.0,132570.0,방림,003610
2020-05-27,1765.0,하락  30,1780.0,1800.0,1755.0,109707.0,방림,003610
2020-05-28,1735.0,하락  30,1780.0,1815.0,1700.0,105565.0,방림,003610
2020-05-29,1725.0,하락  10,1730.0,1745.0,1695.0,63600.0,방림,003610
2020-06-01,1755.0,상승  30,1710.0,1755.0,1710.0,63731.0,방림,003610
2020-06-02,1780.0,상승  25,1745.0,1780.0,1740.0,53903.0,방림,003610
