날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-16,5050.0,하락  490,5550.0,5870.0,5000.0,196657.0,백산,035150
2020-03-17,4920.0,하락  130,4520.0,5020.0,4520.0,206522.0,백산,035150
2020-03-18,4450.0,하락  470,4875.0,4980.0,4435.0,277029.0,백산,035150
2020-03-19,3790.0,하락  660,4480.0,4495.0,3555.0,331221.0,백산,035150
2020-03-20,4290.0,상승  500,3770.0,4430.0,3770.0,364275.0,백산,035150
2020-03-23,3905.0,하락  385,3855.0,3975.0,3805.0,232844.0,백산,035150
2020-03-24,4215.0,상승  310,4005.0,4225.0,3950.0,184266.0,백산,035150
2020-03-25,4450.0,상승  235,4540.0,4540.0,4290.0,173008.0,백산,035150
2020-03-26,4570.0,상승  120,4495.0,4840.0,4300.0,220363.0,백산,035150
2020-03-27,4620.0,상승  50,4750.0,4845.0,4400.0,263598.0,백산,035150
2020-03-30,5080.0,상승  460,4610.0,5100.0,4500.0,365840.0,백산,035150
2020-03-31,5240.0,상승  160,5190.0,5400.0,5100.0,238417.0,백산,035150
2020-04-01,5170.0,하락  70,5240.0,5370.0,5100.0,240255.0,백산,035150
2020-04-02,5050.0,하락  120,5100.0,5170.0,4700.0,235208.0,백산,035150
2020-04-03,4995.0,하락  55,5150.0,5200.0,4925.0,120729.0,백산,035150
2020-04-06,5150.0,상승  155,4990.0,5150.0,4990.0,237842.0,백산,035150
2020-04-07,5230.0,상승  80,5250.0,5340.0,5160.0,280993.0,백산,035150
2020-04-08,5180.0,하락  50,5230.0,5290.0,5100.0,275482.0,백산,035150
2020-04-09,5200.0,상승  20,5330.0,5340.0,5120.0,243406.0,백산,035150
2020-04-10,5030.0,하락  170,5200.0,5220.0,4945.0,281543.0,백산,035150
2020-04-13,4900.0,하락  130,5030.0,5030.0,4895.0,209708.0,백산,035150
2020-04-14,5000.0,상승  100,4965.0,5090.0,4915.0,220164.0,백산,035150
2020-04-16,4890.0,하락  110,4990.0,4990.0,4795.0,492574.0,백산,035150
2020-04-17,5080.0,상승  190,4955.0,5160.0,4940.0,373842.0,백산,035150
2020-04-20,5470.0,상승  390,5160.0,5550.0,5150.0,586192.0,백산,035150
2020-04-21,5260.0,하락  210,5490.0,5490.0,5000.0,403656.0,백산,035150
2020-04-22,5190.0,하락  70,5230.0,5230.0,5070.0,298538.0,백산,035150
2020-04-23,5370.0,상승  180,5220.0,5390.0,5170.0,249637.0,백산,035150
2020-04-24,5160.0,하락  210,5370.0,5430.0,5100.0,256510.0,백산,035150
2020-04-27,5240.0,상승  80,5190.0,5240.0,5100.0,206424.0,백산,035150
2020-04-28,5650.0,상승  410,5270.0,5910.0,5260.0,2099952.0,백산,035150
2020-04-29,5600.0,하락  50,5580.0,5760.0,5520.0,392530.0,백산,035150
2020-05-04,5680.0,상승  80,5540.0,5820.0,5480.0,331546.0,백산,035150
2020-05-06,5970.0,상승  290,5960.0,6390.0,5920.0,2514820.0,백산,035150
2020-05-07,5980.0,상승  10,6070.0,6070.0,5830.0,326856.0,백산,035150
2020-05-08,6150.0,상승  170,5970.0,6150.0,5950.0,337178.0,백산,035150
2020-05-11,5940.0,하락  210,6120.0,6120.0,5820.0,457547.0,백산,035150
2020-05-12,5830.0,하락  110,5940.0,5940.0,5700.0,319788.0,백산,035150
2020-05-13,5760.0,하락  70,5670.0,5810.0,5640.0,215750.0,백산,035150
2020-05-14,5600.0,하락  160,5700.0,5760.0,5600.0,251538.0,백산,035150
2020-05-15,5630.0,상승  30,5600.0,5770.0,5580.0,245005.0,백산,035150
2020-05-18,5860.0,상승  230,5810.0,5950.0,5660.0,433181.0,백산,035150
2020-05-19,5990.0,상승  130,5890.0,6100.0,5890.0,395418.0,백산,035150
2020-05-20,5960.0,하락  30,6000.0,6010.0,5800.0,253383.0,백산,035150
2020-05-21,6070.0,상승  110,6000.0,6080.0,5920.0,272455.0,백산,035150
2020-05-22,6030.0,하락  40,6090.0,6250.0,5970.0,405999.0,백산,035150
2020-05-25,5970.0,하락  60,6100.0,6100.0,5860.0,278955.0,백산,035150
2020-05-26,6020.0,상승  50,6060.0,6060.0,5910.0,214515.0,백산,035150
2020-05-27,6060.0,상승  40,6020.0,6160.0,6010.0,275387.0,백산,035150
2020-05-28,5860.0,하락  200,6110.0,6140.0,5770.0,328850.0,백산,035150
2020-05-29,5820.0,하락  40,5880.0,5970.0,5730.0,248874.0,백산,035150
2020-06-01,5970.0,상승  150,5830.0,6000.0,5830.0,154469.0,백산,035150
2020-06-02,6380.0,상승  410,5980.0,6470.0,5950.0,1165067.0,백산,035150
2020-06-03,6240.0,하락  140,6440.0,6460.0,6200.0,517721.0,백산,035150
2020-06-04,6340.0,상승  100,6360.0,6530.0,6270.0,571267.0,백산,035150
2020-06-05,6460.0,상승  120,6330.0,6580.0,6250.0,342838.0,백산,035150
2020-06-08,6320.0,하락  140,6530.0,6540.0,6300.0,282333.0,백산,035150
2020-06-09,6210.0,하락  110,6320.0,6370.0,6140.0,287694.0,백산,035150
2020-06-10,6280.0,상승  70,6180.0,6330.0,6080.0,159543.0,백산,035150
2020-06-11,6120.0,하락  160,6240.0,6260.0,6090.0,257874.0,백산,035150
2020-06-12,5940.0,하락  180,5750.0,5940.0,5490.0,296579.0,백산,035150
2020-06-15,5350.0,하락  590,5880.0,5910.0,5310.0,453266.0,백산,035150
2020-06-16,5640.0,상승  290,5480.0,5650.0,5450.0,198027.0,백산,035150
2020-06-17,5510.0,하락  130,5550.0,5630.0,5400.0,176586.0,백산,035150
2020-06-18,5530.0,상승  20,5510.0,5560.0,5440.0,133306.0,백산,035150
2020-06-19,5660.0,상승  130,5540.0,5660.0,5490.0,104564.0,백산,035150
2020-06-22,5700.0,상승  40,5730.0,5730.0,5620.0,118361.0,백산,035150
2020-06-23,5610.0,하락  90,5710.0,5850.0,5590.0,120245.0,백산,035150
2020-06-24,5680.0,상승  70,5610.0,5720.0,5500.0,129080.0,백산,035150
2020-06-25,5440.0,하락  240,5590.0,5660.0,5420.0,173690.0,백산,035150
2020-06-26,5420.0,하락  20,5460.0,5510.0,5410.0,76179.0,백산,035150
2020-06-29,5180.0,하락  240,5350.0,5400.0,5170.0,174652.0,백산,035150
2020-06-30,5190.0,상승  10,5220.0,5280.0,5090.0,125126.0,백산,035150
2020-07-01,5080.0,하락  110,5210.0,5260.0,5000.0,177759.0,백산,035150
2020-07-02,5090.0,상승  10,5100.0,5140.0,5010.0,135195.0,백산,035150
2020-07-03,5150.0,상승  60,5120.0,5170.0,5050.0,98036.0,백산,035150
2020-07-06,5190.0,상승  40,5180.0,5220.0,5110.0,98413.0,백산,035150
2020-07-07,5100.0,하락  90,5220.0,5240.0,5070.0,168356.0,백산,035150
2020-07-08,5160.0,상승  60,5080.0,5200.0,5080.0,107682.0,백산,035150
2020-07-09,5110.0,하락  50,5180.0,5190.0,5070.0,106461.0,백산,035150
2020-07-10,4975.0,하락  135,5140.0,5140.0,4905.0,242721.0,백산,035150
2020-07-13,5080.0,상승  105,4975.0,5120.0,4935.0,131468.0,백산,035150
2020-07-14,5030.0,하락  50,5080.0,5090.0,4990.0,87296.0,백산,035150
2020-07-15,5190.0,상승  160,5060.0,5200.0,5050.0,119629.0,백산,035150
2020-07-16,5110.0,하락  80,5220.0,5220.0,5090.0,105595.0,백산,035150
2020-07-17,5060.0,하락  50,5110.0,5130.0,5010.0,141855.0,백산,035150
2020-07-20,5000.0,하락  60,5080.0,5090.0,4990.0,139222.0,백산,035150
2020-07-21,5090.0,상승  90,5050.0,5160.0,5000.0,191010.0,백산,035150
2020-07-22,5120.0,상승  30,5080.0,5220.0,5030.0,245194.0,백산,035150
2020-07-23,5100.0,하락  20,5150.0,5200.0,5050.0,194192.0,백산,035150
2020-07-24,5030.0,하락  70,5060.0,5090.0,4995.0,202510.0,백산,035150
2020-07-27,5040.0,상승  10,5030.0,5110.0,5030.0,115493.0,백산,035150
2020-07-28,5030.0,하락  10,5090.0,5090.0,5020.0,137556.0,백산,035150
2020-07-29,5160.0,상승  130,5070.0,5200.0,5000.0,309232.0,백산,035150
2020-07-30,5080.0,하락  80,5200.0,5200.0,5070.0,106292.0,백산,035150
2020-07-31,5110.0,상승  30,5080.0,5120.0,5050.0,86051.0,백산,035150
2020-08-03,5050.0,하락  60,5130.0,5130.0,4990.0,205674.0,백산,035150
2020-08-04,5090.0,상승  40,5050.0,5130.0,5040.0,127183.0,백산,035150
2020-08-05,5070.0,하락  20,5130.0,5140.0,5030.0,96169.0,백산,035150
2020-08-06,5260.0,상승  190,5090.0,5270.0,5050.0,409398.0,백산,035150
2020-08-07,5160.0,하락  100,5260.0,5270.0,5110.0,166035.0,백산,035150
