날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-16,1485.0,하락  45,1535.0,1685.0,1485.0,2614205.0,보락,002760
2020-03-17,1485.0,보합0,1355.0,1495.0,1355.0,1477857.0,보락,002760
2020-03-18,1355.0,하락  130,1500.0,1515.0,1355.0,1059423.0,보락,002760
2020-03-19,1025.0,하락  330,1360.0,1410.0,997.0,3096215.0,보락,002760
2020-03-20,1115.0,상승  90,1020.0,1120.0,1020.0,2850500.0,보락,002760
2020-03-23,1060.0,하락  55,1015.0,1075.0,1005.0,1225126.0,보락,002760
2020-03-24,1160.0,상승  100,1090.0,1160.0,1080.0,986250.0,보락,002760
2020-03-25,1245.0,상승  85,1195.0,1260.0,1185.0,1497283.0,보락,002760
2020-03-26,1260.0,상승  15,1330.0,1340.0,1225.0,1706428.0,보락,002760
2020-03-27,1335.0,상승  75,1315.0,1355.0,1265.0,1605189.0,보락,002760
2020-03-30,1385.0,상승  50,1290.0,1415.0,1290.0,939870.0,보락,002760
2020-03-31,1475.0,상승  90,1425.0,1510.0,1410.0,1384855.0,보락,002760
2020-04-01,1530.0,상승  55,1475.0,1725.0,1420.0,4174483.0,보락,002760
2020-04-02,1535.0,상승  5,1520.0,1560.0,1475.0,982512.0,보락,002760
2020-04-03,1570.0,상승  35,1590.0,1620.0,1530.0,640914.0,보락,002760
2020-04-06,1665.0,상승  95,1610.0,1670.0,1585.0,1355173.0,보락,002760
2020-04-07,1705.0,상승  40,1715.0,1730.0,1650.0,1079227.0,보락,002760
2020-04-08,1745.0,상승  40,1725.0,1775.0,1685.0,1015465.0,보락,002760
2020-04-09,1845.0,상승  100,1800.0,1890.0,1755.0,1543313.0,보락,002760
2020-04-10,1760.0,하락  85,1850.0,1860.0,1700.0,1282491.0,보락,002760
2020-04-13,1680.0,하락  80,1730.0,1750.0,1650.0,813862.0,보락,002760
2020-04-14,1770.0,상승  90,1710.0,1780.0,1700.0,762484.0,보락,002760
2020-04-16,1770.0,보합0,1730.0,1790.0,1710.0,630887.0,보락,002760
2020-04-17,1775.0,상승  5,1790.0,1800.0,1760.0,496057.0,보락,002760
2020-04-20,1810.0,상승  35,1780.0,1835.0,1765.0,546472.0,보락,002760
2020-04-21,1755.0,하락  55,1800.0,1805.0,1665.0,675063.0,보락,002760
2020-04-22,1750.0,하락  5,1745.0,1750.0,1690.0,396090.0,보락,002760
2020-04-23,1790.0,상승  40,1770.0,1815.0,1745.0,608160.0,보락,002760
2020-04-24,1725.0,하락  65,1800.0,1820.0,1720.0,624021.0,보락,002760
2020-04-27,1800.0,상승  75,1735.0,1815.0,1735.0,695871.0,보락,002760
2020-04-28,1780.0,하락  20,1820.0,1840.0,1755.0,710125.0,보락,002760
2020-04-29,1815.0,상승  35,1790.0,1860.0,1785.0,1374806.0,보락,002760
2020-05-04,1810.0,하락  5,1780.0,1840.0,1780.0,546654.0,보락,002760
2020-05-06,1950.0,상승  140,1840.0,2040.0,1810.0,9863397.0,보락,002760
2020-05-07,1960.0,상승  10,1930.0,1970.0,1920.0,1970848.0,보락,002760
2020-05-08,1960.0,보합0,1980.0,2010.0,1940.0,2214234.0,보락,002760
2020-05-11,1955.0,하락  5,1970.0,2020.0,1945.0,1477206.0,보락,002760
2020-05-12,1935.0,하락  20,1970.0,1970.0,1885.0,811631.0,보락,002760
2020-05-13,1905.0,하락  30,1900.0,1935.0,1895.0,500422.0,보락,002760
2020-05-14,1905.0,보합0,1880.0,1925.0,1870.0,449532.0,보락,002760
2020-05-15,1940.0,상승  35,1920.0,1960.0,1880.0,859349.0,보락,002760
2020-05-18,1955.0,상승  15,1935.0,1995.0,1920.0,1105002.0,보락,002760
2020-05-19,1940.0,하락  15,1980.0,1990.0,1930.0,892197.0,보락,002760
2020-05-20,1990.0,상승  50,1955.0,2000.0,1940.0,1350066.0,보락,002760
2020-05-21,1970.0,하락  20,2005.0,2020.0,1960.0,1154869.0,보락,002760
2020-05-22,1930.0,하락  40,1985.0,1985.0,1920.0,664517.0,보락,002760
2020-05-25,1925.0,하락  5,1950.0,1955.0,1920.0,359194.0,보락,002760
2020-05-26,1940.0,상승  15,1930.0,1955.0,1925.0,435951.0,보락,002760
2020-05-27,1965.0,상승  25,1960.0,1970.0,1930.0,495282.0,보락,002760
2020-05-28,2100.0,상승  135,1990.0,2400.0,1945.0,21159496.0,보락,002760
2020-05-29,2130.0,상승  30,2055.0,2130.0,1990.0,5131712.0,보락,002760
2020-06-01,2145.0,상승  15,2095.0,2150.0,2060.0,2703473.0,보락,002760
2020-06-02,2115.0,하락  30,2135.0,2165.0,2105.0,1920649.0,보락,002760
2020-06-03,2030.0,하락  85,2105.0,2140.0,2020.0,1780764.0,보락,002760
2020-06-04,2040.0,상승  10,2050.0,2075.0,2015.0,1083990.0,보락,002760
2020-06-05,2015.0,하락  25,2060.0,2065.0,2010.0,723361.0,보락,002760
2020-06-08,2020.0,상승  5,2035.0,2035.0,2010.0,474504.0,보락,002760
2020-06-09,2000.0,하락  20,2030.0,2060.0,1995.0,845808.0,보락,002760
2020-06-10,1985.0,하락  15,2010.0,2025.0,1890.0,888811.0,보락,002760
2020-06-11,1935.0,하락  50,1985.0,2015.0,1920.0,905298.0,보락,002760
2020-06-12,1885.0,하락  50,1830.0,1895.0,1815.0,934764.0,보락,002760
2020-06-15,1700.0,하락  185,1910.0,1910.0,1700.0,1138418.0,보락,002760
2020-06-16,1825.0,상승  125,1760.0,1825.0,1730.0,578796.0,보락,002760
2020-06-17,1845.0,상승  20,1790.0,1850.0,1755.0,484272.0,보락,002760
2020-06-18,1825.0,하락  20,1845.0,1850.0,1800.0,260585.0,보락,002760
2020-06-19,1820.0,하락  5,1830.0,1845.0,1800.0,348257.0,보락,002760
2020-06-22,1825.0,상승  5,1850.0,1855.0,1800.0,252502.0,보락,002760
2020-06-23,1860.0,상승  35,1880.0,2010.0,1850.0,3453750.0,보락,002760
2020-06-24,1870.0,상승  10,1870.0,1885.0,1845.0,286032.0,보락,002760
2020-06-25,1830.0,하락  40,1845.0,1895.0,1820.0,392010.0,보락,002760
2020-06-26,1805.0,하락  25,1835.0,1855.0,1805.0,411921.0,보락,002760
