날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-16,15200.0,"하락  1,000",16350.0,17250.0,15150.0,646666.0,비에이치,090460
2020-03-17,15700.0,상승  500,14000.0,15900.0,14000.0,687159.0,비에이치,090460
2020-03-18,14200.0,"하락  1,500",16000.0,16150.0,14200.0,616719.0,비에이치,090460
2020-03-19,12900.0,"하락  1,300",14800.0,15200.0,12150.0,1038306.0,비에이치,090460
2020-03-20,16100.0,"상승  3,200",13450.0,16700.0,13200.0,1864408.0,비에이치,090460
2020-03-23,14900.0,"하락  1,200",14650.0,15550.0,14400.0,1037935.0,비에이치,090460
2020-03-24,16500.0,"상승  1,600",15550.0,16600.0,15350.0,1258369.0,비에이치,090460
2020-03-25,16800.0,상승  300,17300.0,17350.0,16200.0,1114317.0,비에이치,090460
2020-03-26,16150.0,하락  650,16750.0,16900.0,16100.0,987918.0,비에이치,090460
2020-03-27,15650.0,하락  500,16800.0,16850.0,15450.0,818585.0,비에이치,090460
2020-03-30,15800.0,상승  150,15000.0,15850.0,14750.0,574856.0,비에이치,090460
2020-03-31,15700.0,하락  100,16100.0,16150.0,15350.0,648604.0,비에이치,090460
2020-04-01,15200.0,하락  500,15450.0,16350.0,15200.0,751452.0,비에이치,090460
2020-04-02,15400.0,상승  200,15400.0,15550.0,14900.0,543879.0,비에이치,090460
2020-04-03,15400.0,보합0,15500.0,15650.0,15100.0,424939.0,비에이치,090460
2020-04-06,16300.0,상승  900,15650.0,16300.0,15300.0,875003.0,비에이치,090460
2020-04-07,17250.0,상승  950,16800.0,17500.0,16600.0,1932149.0,비에이치,090460
2020-04-08,17000.0,하락  250,17000.0,17400.0,16750.0,717108.0,비에이치,090460
2020-04-09,16800.0,하락  200,17550.0,17550.0,16650.0,661187.0,비에이치,090460
2020-04-10,16700.0,하락  100,16850.0,16900.0,16200.0,487942.0,비에이치,090460
2020-04-13,16000.0,하락  700,16600.0,16650.0,16000.0,512517.0,비에이치,090460
2020-04-14,16300.0,상승  300,16200.0,16450.0,16100.0,355768.0,비에이치,090460
2020-04-16,16650.0,상승  350,16100.0,16700.0,15900.0,418210.0,비에이치,090460
2020-04-17,17950.0,"상승  1,300",17100.0,18050.0,16800.0,1540686.0,비에이치,090460
