날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-13,700.0,하락  90,725.0,750.0,650.0,2295702.0,사조동아원,008040
2020-03-16,683.0,하락  17,700.0,727.0,683.0,1666417.0,사조동아원,008040
2020-03-17,678.0,하락  5,610.0,703.0,610.0,1308050.0,사조동아원,008040
2020-03-18,618.0,하락  60,678.0,699.0,618.0,1175338.0,사조동아원,008040
2020-03-19,481.0,하락  137,618.0,634.0,472.0,2279026.0,사조동아원,008040
2020-03-20,582.0,상승  101,486.0,583.0,486.0,2114176.0,사조동아원,008040
2020-03-23,566.0,하락  16,578.0,582.0,530.0,1126149.0,사조동아원,008040
2020-03-24,590.0,상승  24,570.0,591.0,570.0,1342118.0,사조동아원,008040
2020-03-25,616.0,상승  26,610.0,617.0,588.0,1423821.0,사조동아원,008040
2020-03-26,629.0,상승  13,617.0,647.0,606.0,1147775.0,사조동아원,008040
2020-03-27,639.0,상승  10,650.0,655.0,605.0,1246072.0,사조동아원,008040
2020-03-30,654.0,상승  15,634.0,658.0,601.0,916615.0,사조동아원,008040
2020-03-31,722.0,상승  68,699.0,748.0,689.0,2462594.0,사조동아원,008040
2020-04-01,808.0,상승  86,783.0,925.0,768.0,7803211.0,사조동아원,008040
2020-04-02,834.0,상승  26,849.0,850.0,780.0,2538372.0,사조동아원,008040
2020-04-03,814.0,하락  20,840.0,850.0,796.0,1425763.0,사조동아원,008040
2020-04-06,854.0,상승  40,815.0,889.0,815.0,2871624.0,사조동아원,008040
2020-04-07,858.0,상승  4,872.0,885.0,830.0,1907812.0,사조동아원,008040
2020-04-08,860.0,상승  2,858.0,867.0,832.0,1140121.0,사조동아원,008040
2020-04-09,900.0,상승  40,878.0,910.0,850.0,2252132.0,사조동아원,008040
2020-04-10,904.0,상승  4,910.0,931.0,854.0,1892898.0,사조동아원,008040
2020-04-13,910.0,상승  6,911.0,975.0,910.0,5180572.0,사조동아원,008040
2020-04-14,918.0,상승  8,929.0,951.0,918.0,1701769.0,사조동아원,008040
2020-04-16,951.0,상승  33,921.0,955.0,888.0,1966477.0,사조동아원,008040
2020-04-17,947.0,하락  4,955.0,978.0,937.0,2261888.0,사조동아원,008040
2020-04-20,947.0,보합0,955.0,965.0,937.0,1661695.0,사조동아원,008040
2020-04-21,895.0,하락  52,947.0,948.0,853.0,2813156.0,사조동아원,008040
2020-04-22,906.0,상승  11,887.0,906.0,861.0,979445.0,사조동아원,008040
2020-04-23,920.0,상승  14,908.0,920.0,900.0,878665.0,사조동아원,008040
2020-04-24,910.0,하락  10,916.0,928.0,892.0,1068331.0,사조동아원,008040
2020-04-27,913.0,상승  3,910.0,918.0,890.0,849774.0,사조동아원,008040
2020-04-28,909.0,하락  4,919.0,919.0,890.0,830072.0,사조동아원,008040
2020-04-29,904.0,하락  5,911.0,911.0,897.0,562512.0,사조동아원,008040
2020-05-04,905.0,상승  1,900.0,914.0,892.0,908376.0,사조동아원,008040
2020-05-06,953.0,상승  48,906.0,976.0,906.0,2919596.0,사조동아원,008040
2020-05-07,936.0,하락  17,951.0,963.0,933.0,1252269.0,사조동아원,008040
2020-05-08,937.0,상승  1,941.0,950.0,933.0,634003.0,사조동아원,008040
2020-05-11,919.0,하락  18,938.0,947.0,918.0,812144.0,사조동아원,008040
2020-05-12,905.0,하락  14,926.0,928.0,895.0,729932.0,사조동아원,008040
2020-05-13,903.0,하락  2,903.0,912.0,891.0,344007.0,사조동아원,008040
