날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-16,89700.0,"하락  4,000",95000.0,96300.0,89700.0,472425.0,삼성물산,028260
2020-03-17,88200.0,"하락  1,500",84900.0,90300.0,84600.0,577410.0,삼성물산,028260
2020-03-18,83100.0,"하락  5,100",88200.0,89300.0,83100.0,517037.0,삼성물산,028260
2020-03-19,76400.0,"하락  6,700",84100.0,85100.0,74500.0,896134.0,삼성물산,028260
2020-03-20,80500.0,"상승  4,100",77700.0,80500.0,75300.0,690277.0,삼성물산,028260
2020-03-23,74500.0,"하락  6,000",74400.0,76800.0,73500.0,501217.0,삼성물산,028260
2020-03-24,83700.0,"상승  9,200",76200.0,83700.0,75000.0,684986.0,삼성물산,028260
2020-03-25,90000.0,"상승  6,300",86400.0,90000.0,85000.0,765916.0,삼성물산,028260
2020-03-26,87300.0,"하락  2,700",88800.0,90800.0,87300.0,617602.0,삼성물산,028260
2020-03-27,89800.0,"상승  2,500",90700.0,91000.0,87300.0,590727.0,삼성물산,028260
2020-03-30,88300.0,"하락  1,500",87200.0,89200.0,85900.0,444420.0,삼성물산,028260
2020-03-31,89600.0,"상승  1,300",88800.0,89700.0,87300.0,454321.0,삼성물산,028260
2020-04-01,84900.0,"하락  4,700",87900.0,89600.0,84400.0,483939.0,삼성물산,028260
2020-04-02,85600.0,상승  700,85000.0,86100.0,83000.0,433092.0,삼성물산,028260
2020-04-03,84800.0,하락  800,85000.0,86100.0,83700.0,428005.0,삼성물산,028260
2020-04-06,87600.0,"상승  2,800",84900.0,87900.0,84900.0,352050.0,삼성물산,028260
2020-04-07,89000.0,"상승  1,400",89100.0,90200.0,87200.0,517486.0,삼성물산,028260
2020-04-08,87700.0,"하락  1,300",88300.0,89500.0,87400.0,437768.0,삼성물산,028260
2020-04-09,88900.0,"상승  1,200",89000.0,89400.0,88100.0,539747.0,삼성물산,028260
2020-04-10,94200.0,"상승  5,300",88900.0,96000.0,88500.0,1392526.0,삼성물산,028260
2020-04-13,92200.0,"하락  2,000",95000.0,96300.0,92200.0,556976.0,삼성물산,028260
2020-04-14,94000.0,"상승  1,800",93400.0,95000.0,92400.0,386674.0,삼성물산,028260
2020-04-16,94000.0,보합0,93000.0,94900.0,91500.0,538849.0,삼성물산,028260
2020-04-17,95900.0,"상승  1,900",95400.0,98100.0,95000.0,565973.0,삼성물산,028260
2020-04-20,95200.0,하락  700,95500.0,97700.0,95000.0,389522.0,삼성물산,028260
2020-04-21,93900.0,"하락  1,300",94900.0,95900.0,92500.0,571828.0,삼성물산,028260
2020-04-22,97000.0,"상승  3,100",93500.0,97700.0,92400.0,474690.0,삼성물산,028260
2020-04-23,98700.0,"상승  1,700",96300.0,99500.0,95800.0,561986.0,삼성물산,028260
2020-04-24,98700.0,보합0,101000.0,102500.0,98100.0,695631.0,삼성물산,028260
2020-04-27,99700.0,"상승  1,000",99400.0,101000.0,98000.0,351061.0,삼성물산,028260
2020-04-28,102500.0,"상승  2,800",100000.0,102500.0,99300.0,465534.0,삼성물산,028260
2020-04-29,106000.0,"상승  3,500",102500.0,107000.0,101500.0,589970.0,삼성물산,028260
2020-05-04,99900.0,"하락  6,100",103000.0,103500.0,99900.0,625651.0,삼성물산,028260
2020-05-06,106500.0,"상승  6,600",102000.0,110500.0,100000.0,792744.0,삼성물산,028260
2020-05-07,103500.0,"하락  3,000",105000.0,105500.0,102500.0,513122.0,삼성물산,028260
2020-05-08,105500.0,"상승  2,000",104500.0,108000.0,104500.0,510007.0,삼성물산,028260
2020-05-11,102500.0,"하락  3,000",105500.0,106500.0,102000.0,461994.0,삼성물산,028260
2020-05-12,100000.0,"하락  2,500",102000.0,102000.0,99500.0,645194.0,삼성물산,028260
2020-05-13,100000.0,보합0,98000.0,100500.0,97800.0,418968.0,삼성물산,028260
2020-05-14,98500.0,"하락  1,500",98700.0,99400.0,98000.0,517115.0,삼성물산,028260
2020-05-15,98900.0,상승  400,98900.0,99400.0,97700.0,390663.0,삼성물산,028260
2020-05-18,98200.0,하락  700,99300.0,99400.0,97800.0,312224.0,삼성물산,028260
2020-05-19,102000.0,"상승  3,800",99900.0,102500.0,99900.0,593063.0,삼성물산,028260
2020-05-20,101500.0,하락  500,101000.0,102000.0,100500.0,252704.0,삼성물산,028260
2020-05-21,100500.0,"하락  1,000",102500.0,102500.0,100000.0,332713.0,삼성물산,028260
2020-05-22,98800.0,"하락  1,700",101000.0,102000.0,98200.0,440759.0,삼성물산,028260
2020-05-25,99500.0,상승  700,99900.0,100000.0,98000.0,259770.0,삼성물산,028260
2020-05-26,102500.0,"상승  3,000",99700.0,103000.0,99100.0,433229.0,삼성물산,028260
2020-05-27,101000.0,"하락  1,500",101500.0,102500.0,100500.0,446462.0,삼성물산,028260
2020-05-28,99200.0,"하락  1,800",101000.0,102000.0,98900.0,565818.0,삼성물산,028260
2020-05-29,99100.0,하락  100,99200.0,100000.0,98100.0,537453.0,삼성물산,028260
2020-06-01,102000.0,"상승  2,900",101500.0,104000.0,101000.0,562918.0,삼성물산,028260
2020-06-02,103000.0,"상승  1,000",101500.0,103000.0,101000.0,329090.0,삼성물산,028260
2020-06-03,107000.0,"상승  4,000",103500.0,108000.0,103000.0,1128887.0,삼성물산,028260
2020-06-04,107000.0,보합0,108500.0,110500.0,106000.0,1047644.0,삼성물산,028260
2020-06-05,112000.0,"상승  5,000",107500.0,113000.0,106000.0,901377.0,삼성물산,028260
2020-06-08,113500.0,"상승  1,500",114500.0,115000.0,112000.0,622460.0,삼성물산,028260
2020-06-09,112500.0,"하락  1,000",116000.0,117000.0,109500.0,833872.0,삼성물산,028260
2020-06-10,111000.0,"하락  1,500",112500.0,112500.0,108500.0,572891.0,삼성물산,028260
2020-06-11,109500.0,"하락  1,500",109500.0,114000.0,108500.0,877197.0,삼성물산,028260
2020-06-12,108500.0,"하락  1,000",105000.0,109000.0,104000.0,708907.0,삼성물산,028260
2020-06-15,112000.0,"상승  3,500",109000.0,121000.0,108500.0,3554902.0,삼성물산,028260
2020-06-16,124000.0,"상승  12,000",119500.0,124000.0,116500.0,2696960.0,삼성물산,028260
2020-06-17,122000.0,"하락  2,000",123000.0,126000.0,120000.0,1369698.0,삼성물산,028260
2020-06-18,121500.0,하락  500,121000.0,123000.0,119000.0,657356.0,삼성물산,028260
2020-06-19,120000.0,"하락  1,500",122500.0,123000.0,118000.0,772021.0,삼성물산,028260
2020-06-22,116500.0,"하락  3,500",118500.0,119000.0,116500.0,675852.0,삼성물산,028260
2020-06-23,116500.0,보합0,117000.0,118500.0,113000.0,747155.0,삼성물산,028260
2020-06-24,118000.0,"상승  1,500",117500.0,121000.0,117000.0,736235.0,삼성물산,028260
2020-06-25,116000.0,"하락  2,000",115000.0,117500.0,114000.0,639728.0,삼성물산,028260
2020-06-26,116500.0,상승  500,117000.0,118000.0,114000.0,575645.0,삼성물산,028260
