날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-13,152000.0,"하락  6,000",144000.0,155000.0,143500.0,390416.0,삼성에스디에스,018260
2020-03-16,148500.0,"하락  3,500",153000.0,156000.0,148500.0,144413.0,삼성에스디에스,018260
2020-03-17,143000.0,"하락  5,500",142000.0,149500.0,141500.0,200410.0,삼성에스디에스,018260
2020-03-18,141000.0,"하락  2,000",146000.0,151500.0,141000.0,221415.0,삼성에스디에스,018260
2020-03-19,139000.0,"하락  2,000",144500.0,147500.0,132500.0,312816.0,삼성에스디에스,018260
2020-03-20,145000.0,"상승  6,000",141500.0,145000.0,137500.0,243413.0,삼성에스디에스,018260
2020-03-23,137000.0,"하락  8,000",135500.0,140000.0,133500.0,196608.0,삼성에스디에스,018260
2020-03-24,146000.0,"상승  9,000",141000.0,146000.0,137000.0,201754.0,삼성에스디에스,018260
2020-03-25,148500.0,"상승  2,500",150000.0,152500.0,144500.0,280289.0,삼성에스디에스,018260
2020-03-26,143500.0,"하락  5,000",147000.0,149000.0,143000.0,287659.0,삼성에스디에스,018260
2020-03-27,146000.0,"상승  2,500",149000.0,149500.0,141500.0,231557.0,삼성에스디에스,018260
2020-03-30,151500.0,"상승  5,500",144500.0,151500.0,141000.0,180056.0,삼성에스디에스,018260
2020-03-31,149500.0,"하락  2,000",151500.0,154000.0,146500.0,219481.0,삼성에스디에스,018260
2020-04-01,141000.0,"하락  8,500",147000.0,149000.0,141000.0,181130.0,삼성에스디에스,018260
2020-04-02,144000.0,"상승  3,000",142500.0,146500.0,141000.0,174997.0,삼성에스디에스,018260
2020-04-03,144500.0,상승  500,144000.0,147000.0,143000.0,145263.0,삼성에스디에스,018260
2020-04-06,154500.0,"상승  10,000",147500.0,157000.0,147000.0,261338.0,삼성에스디에스,018260
2020-04-07,156500.0,"상승  2,000",158000.0,161500.0,153000.0,236291.0,삼성에스디에스,018260
2020-04-08,156500.0,보합0,156500.0,160500.0,156000.0,245426.0,삼성에스디에스,018260
2020-04-09,156500.0,보합0,159500.0,161500.0,156000.0,193007.0,삼성에스디에스,018260
2020-04-10,157500.0,"상승  1,000",155500.0,159000.0,154500.0,207611.0,삼성에스디에스,018260
2020-04-13,152000.0,"하락  5,500",158000.0,158000.0,152000.0,133761.0,삼성에스디에스,018260
