날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-13,2950.0,하락  280,2950.0,3090.0,2745.0,2107924.0,삼성제약,001360
2020-03-16,2930.0,하락  20,2980.0,3170.0,2930.0,1385020.0,삼성제약,001360
2020-03-17,3035.0,상승  105,2650.0,3050.0,2650.0,1525118.0,삼성제약,001360
2020-03-18,2915.0,하락  120,3085.0,3315.0,2915.0,2128668.0,삼성제약,001360
2020-03-19,2510.0,하락  405,2955.0,3030.0,2455.0,1427309.0,삼성제약,001360
2020-03-20,2700.0,상승  190,2560.0,2795.0,2495.0,1636921.0,삼성제약,001360
2020-03-23,2910.0,상승  210,2590.0,3290.0,2500.0,7092156.0,삼성제약,001360
2020-03-24,2990.0,상승  80,2940.0,3090.0,2905.0,3089970.0,삼성제약,001360
2020-03-25,3185.0,상승  195,3150.0,3330.0,3050.0,3966947.0,삼성제약,001360
2020-03-26,3285.0,상승  100,3190.0,3660.0,3090.0,4959692.0,삼성제약,001360
2020-03-27,3385.0,상승  100,3505.0,3590.0,3105.0,4108049.0,삼성제약,001360
2020-03-30,4185.0,상승  800,3360.0,4285.0,3295.0,17141856.0,삼성제약,001360
2020-03-31,4085.0,하락  100,4200.0,4500.0,4000.0,9998758.0,삼성제약,001360
2020-04-01,4365.0,상승  280,4250.0,4430.0,4065.0,7447098.0,삼성제약,001360
2020-04-02,4150.0,하락  215,4300.0,4320.0,3875.0,4192826.0,삼성제약,001360
2020-04-03,4135.0,하락  15,4170.0,4300.0,4070.0,3703961.0,삼성제약,001360
2020-04-06,4355.0,상승  220,4300.0,4545.0,4195.0,11656077.0,삼성제약,001360
2020-04-07,4215.0,하락  140,4395.0,4400.0,4140.0,3557920.0,삼성제약,001360
2020-04-08,4180.0,하락  35,4230.0,4280.0,4150.0,2081658.0,삼성제약,001360
2020-04-09,4230.0,상승  50,4225.0,4465.0,4180.0,7432322.0,삼성제약,001360
2020-04-10,4200.0,하락  30,4260.0,4375.0,4030.0,3601025.0,삼성제약,001360
2020-04-13,4240.0,상승  40,4310.0,4495.0,4220.0,7430618.0,삼성제약,001360
2020-04-14,4320.0,상승  80,4270.0,4380.0,4085.0,3932140.0,삼성제약,001360
2020-04-16,4345.0,상승  25,4250.0,4380.0,4215.0,2554676.0,삼성제약,001360
2020-04-17,4365.0,상승  20,4395.0,4440.0,4290.0,3515805.0,삼성제약,001360
2020-04-20,4245.0,하락  120,4380.0,4455.0,4220.0,3232355.0,삼성제약,001360
2020-04-21,4110.0,하락  135,4245.0,4325.0,3850.0,3141438.0,삼성제약,001360
2020-04-22,4125.0,상승  15,4010.0,4160.0,4000.0,1388761.0,삼성제약,001360
2020-04-23,4115.0,하락  10,4180.0,4180.0,4100.0,1001306.0,삼성제약,001360
2020-04-24,4050.0,하락  65,4100.0,4145.0,3970.0,1582047.0,삼성제약,001360
2020-04-27,4060.0,상승  10,4075.0,4095.0,3995.0,1051346.0,삼성제약,001360
2020-04-28,4045.0,하락  15,4080.0,4130.0,4020.0,1018208.0,삼성제약,001360
2020-04-29,4005.0,하락  40,4035.0,4105.0,4005.0,1458624.0,삼성제약,001360
