날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-16,31050.0,하락  250,31150.0,32600.0,30400.0,139945.0,삼성카드,029780
2020-03-17,29750.0,"하락  1,300",30250.0,30900.0,29700.0,132261.0,삼성카드,029780
2020-03-18,28150.0,"하락  1,600",29550.0,29700.0,27750.0,145562.0,삼성카드,029780
2020-03-19,23600.0,"하락  4,550",28450.0,28800.0,23600.0,223211.0,삼성카드,029780
2020-03-20,27300.0,"상승  3,700",23600.0,28350.0,22000.0,222603.0,삼성카드,029780
2020-03-23,25150.0,"하락  2,150",24650.0,26850.0,24650.0,181905.0,삼성카드,029780
2020-03-24,25950.0,상승  800,25200.0,26300.0,24900.0,158409.0,삼성카드,029780
2020-03-25,27150.0,"상승  1,200",26000.0,27150.0,26000.0,169395.0,삼성카드,029780
2020-03-26,26700.0,하락  450,26800.0,27400.0,26200.0,195869.0,삼성카드,029780
2020-03-27,28900.0,"상승  2,200",28050.0,28900.0,27150.0,212279.0,삼성카드,029780
2020-03-30,30850.0,"상승  1,950",28600.0,30900.0,27350.0,123892.0,삼성카드,029780
2020-03-31,29900.0,하락  950,30350.0,31250.0,29800.0,168345.0,삼성카드,029780
2020-04-01,28000.0,"하락  1,900",29250.0,29550.0,28000.0,146956.0,삼성카드,029780
2020-04-02,28500.0,상승  500,27650.0,28850.0,27650.0,113473.0,삼성카드,029780
2020-04-03,28400.0,하락  100,28100.0,28850.0,27800.0,147753.0,삼성카드,029780
2020-04-06,29050.0,상승  650,28400.0,29300.0,28250.0,140745.0,삼성카드,029780
2020-04-07,29050.0,보합0,29550.0,29750.0,28700.0,151118.0,삼성카드,029780
2020-04-08,28800.0,하락  250,29000.0,29250.0,28400.0,153695.0,삼성카드,029780
2020-04-09,28750.0,하락  50,29300.0,29600.0,28750.0,172558.0,삼성카드,029780
2020-04-10,29250.0,상승  500,28850.0,29550.0,28850.0,182815.0,삼성카드,029780
2020-04-13,28950.0,하락  300,29200.0,29200.0,28500.0,95709.0,삼성카드,029780
2020-04-14,29100.0,상승  150,28950.0,29250.0,28800.0,120930.0,삼성카드,029780
2020-04-16,28750.0,하락  350,28700.0,29050.0,28200.0,193604.0,삼성카드,029780
2020-04-17,29000.0,상승  250,28750.0,29500.0,28750.0,244526.0,삼성카드,029780
2020-04-20,28600.0,하락  400,29050.0,29150.0,28500.0,162821.0,삼성카드,029780
2020-04-21,28050.0,하락  550,28500.0,28600.0,27800.0,155763.0,삼성카드,029780
2020-04-22,27750.0,하락  300,28000.0,28000.0,27400.0,156638.0,삼성카드,029780
2020-04-23,27950.0,상승  200,27750.0,28400.0,27750.0,118401.0,삼성카드,029780
2020-04-24,27800.0,하락  150,27950.0,28150.0,27700.0,89541.0,삼성카드,029780
2020-04-27,28900.0,"상승  1,100",27850.0,29050.0,27850.0,167133.0,삼성카드,029780
