날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-13,14500.0,"하락  1,300",15250.0,15250.0,14200.0,73767.0,삼양패키징,272550
2020-03-16,14450.0,하락  50,14400.0,14950.0,14250.0,53574.0,삼양패키징,272550
2020-03-17,14900.0,상승  450,14000.0,14900.0,13850.0,77048.0,삼양패키징,272550
2020-03-18,14600.0,하락  300,15000.0,15200.0,14450.0,43291.0,삼양패키징,272550
2020-03-19,12900.0,"하락  1,700",14500.0,14700.0,12550.0,83826.0,삼양패키징,272550
2020-03-20,13150.0,상승  250,12950.0,13350.0,12850.0,34749.0,삼양패키징,272550
2020-03-23,11900.0,"하락  1,250",12350.0,12650.0,11400.0,61082.0,삼양패키징,272550
2020-03-24,12500.0,상승  600,11950.0,12600.0,11950.0,27271.0,삼양패키징,272550
2020-03-25,13050.0,상승  550,13300.0,13300.0,12600.0,19949.0,삼양패키징,272550
2020-03-26,13150.0,상승  100,13050.0,13400.0,12900.0,18001.0,삼양패키징,272550
2020-03-27,13400.0,상승  250,13500.0,13650.0,13000.0,24088.0,삼양패키징,272550
2020-03-30,13400.0,보합0,13000.0,13500.0,12850.0,16825.0,삼양패키징,272550
2020-03-31,13900.0,상승  500,13600.0,14100.0,13600.0,35797.0,삼양패키징,272550
2020-04-01,13800.0,하락  100,14050.0,14350.0,13700.0,18139.0,삼양패키징,272550
2020-04-02,13950.0,상승  150,13700.0,13950.0,13400.0,16061.0,삼양패키징,272550
2020-04-03,13800.0,하락  150,14100.0,14200.0,13550.0,23948.0,삼양패키징,272550
2020-04-06,14200.0,상승  400,13950.0,14200.0,13700.0,35531.0,삼양패키징,272550
2020-04-07,14450.0,상승  250,14350.0,14550.0,14150.0,26469.0,삼양패키징,272550
2020-04-08,14450.0,보합0,14300.0,14500.0,14200.0,17625.0,삼양패키징,272550
2020-04-09,14850.0,상승  400,14500.0,14900.0,14450.0,18424.0,삼양패키징,272550
2020-04-10,15150.0,상승  300,14850.0,15150.0,14750.0,43025.0,삼양패키징,272550
2020-04-13,15050.0,하락  100,15150.0,15150.0,14850.0,18493.0,삼양패키징,272550
2020-04-14,15500.0,상승  450,15050.0,15550.0,15050.0,26111.0,삼양패키징,272550
2020-04-16,15500.0,보합0,15250.0,15500.0,15250.0,12333.0,삼양패키징,272550
2020-04-17,15500.0,보합0,15500.0,15800.0,15350.0,20942.0,삼양패키징,272550
2020-04-20,15600.0,상승  100,15500.0,15850.0,15450.0,40834.0,삼양패키징,272550
2020-04-21,15600.0,보합0,15800.0,15800.0,15150.0,34412.0,삼양패키징,272550
