날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-13,40800.0,"하락  3,250",41200.0,41750.0,38350.0,45986.0,삼양홀딩스,000070
2020-03-16,43700.0,"상승  2,900",41000.0,44000.0,40100.0,27303.0,삼양홀딩스,000070
2020-03-17,42450.0,"하락  1,250",40200.0,43450.0,40150.0,15028.0,삼양홀딩스,000070
2020-03-18,40250.0,"하락  2,200",41550.0,42950.0,40250.0,19897.0,삼양홀딩스,000070
2020-03-19,36500.0,"하락  3,750",40650.0,41200.0,36000.0,32605.0,삼양홀딩스,000070
2020-03-20,36400.0,하락  100,35700.0,37850.0,35700.0,58098.0,삼양홀딩스,000070
2020-03-23,32500.0,"하락  3,900",34300.0,35550.0,32250.0,50740.0,삼양홀딩스,000070
2020-03-24,34350.0,"상승  1,850",33050.0,34350.0,32600.0,31072.0,삼양홀딩스,000070
2020-03-25,39200.0,"상승  4,850",34700.0,39750.0,34550.0,49631.0,삼양홀딩스,000070
2020-03-26,39600.0,상승  400,39200.0,41650.0,37900.0,45030.0,삼양홀딩스,000070
2020-03-27,40350.0,상승  750,41150.0,41450.0,38700.0,30732.0,삼양홀딩스,000070
2020-03-30,39700.0,하락  650,39750.0,40250.0,38350.0,14772.0,삼양홀딩스,000070
2020-03-31,41150.0,"상승  1,450",40200.0,41500.0,39850.0,30010.0,삼양홀딩스,000070
2020-04-01,41350.0,상승  200,41250.0,42950.0,40100.0,28712.0,삼양홀딩스,000070
2020-04-02,42200.0,상승  850,41100.0,42300.0,40400.0,17964.0,삼양홀딩스,000070
2020-04-03,42800.0,상승  600,42200.0,42900.0,41500.0,16647.0,삼양홀딩스,000070
2020-04-06,45550.0,"상승  2,750",43300.0,46500.0,43300.0,23781.0,삼양홀딩스,000070
2020-04-07,46700.0,"상승  1,150",46100.0,46950.0,45400.0,35446.0,삼양홀딩스,000070
2020-04-08,46500.0,하락  200,46650.0,47750.0,45750.0,18087.0,삼양홀딩스,000070
2020-04-09,47350.0,상승  850,46650.0,48000.0,46650.0,21238.0,삼양홀딩스,000070
2020-04-10,47950.0,상승  600,47350.0,48000.0,46700.0,12438.0,삼양홀딩스,000070
2020-04-13,47800.0,하락  150,47950.0,48600.0,47000.0,15424.0,삼양홀딩스,000070
2020-04-14,48300.0,상승  500,47350.0,48800.0,47350.0,10144.0,삼양홀딩스,000070
2020-04-16,48850.0,상승  550,47800.0,48850.0,46900.0,12472.0,삼양홀딩스,000070
2020-04-17,50900.0,"상승  2,050",48850.0,51300.0,48550.0,20654.0,삼양홀딩스,000070
2020-04-20,51600.0,상승  700,50600.0,52400.0,50500.0,14672.0,삼양홀딩스,000070
2020-04-21,49700.0,"하락  1,900",51000.0,51900.0,49100.0,25543.0,삼양홀딩스,000070
2020-04-22,48150.0,"하락  1,550",49050.0,49950.0,47800.0,24182.0,삼양홀딩스,000070
2020-04-23,49350.0,"상승  1,200",48250.0,49500.0,48200.0,19582.0,삼양홀딩스,000070
2020-04-24,48200.0,"하락  1,150",48700.0,49000.0,47950.0,17169.0,삼양홀딩스,000070
2020-04-27,50000.0,"상승  1,800",48250.0,50300.0,48250.0,19608.0,삼양홀딩스,000070
2020-04-28,50200.0,상승  200,49550.0,50400.0,49250.0,12534.0,삼양홀딩스,000070
