날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-16,6450.0,하락  260,6750.0,6860.0,6440.0,48696.0,삼영전자공업,005680
2020-03-17,6370.0,하락  80,6210.0,6560.0,6210.0,23155.0,삼영전자공업,005680
2020-03-18,6310.0,하락  60,6390.0,6550.0,6310.0,21329.0,삼영전자공업,005680
2020-03-19,5940.0,하락  370,6320.0,6470.0,5900.0,86218.0,삼영전자공업,005680
2020-03-20,6280.0,상승  340,5880.0,6280.0,5880.0,45003.0,삼영전자공업,005680
2020-03-23,5890.0,하락  390,5910.0,6120.0,5810.0,62399.0,삼영전자공업,005680
2020-03-24,6190.0,상승  300,6000.0,6190.0,5970.0,61417.0,삼영전자공업,005680
2020-03-25,6410.0,상승  220,6340.0,6540.0,6330.0,67450.0,삼영전자공업,005680
2020-03-26,6610.0,상승  200,6500.0,6770.0,6400.0,49228.0,삼영전자공업,005680
2020-03-27,6740.0,상승  130,6700.0,6860.0,6620.0,46367.0,삼영전자공업,005680
2020-03-30,6810.0,상승  70,6600.0,6820.0,6510.0,16076.0,삼영전자공업,005680
2020-03-31,6990.0,상승  180,6860.0,7030.0,6860.0,31551.0,삼영전자공업,005680
2020-04-01,6880.0,하락  110,6990.0,7050.0,6860.0,20305.0,삼영전자공업,005680
2020-04-02,6720.0,하락  160,6880.0,6940.0,6570.0,54764.0,삼영전자공업,005680
2020-04-03,6690.0,하락  30,6750.0,6780.0,6630.0,23192.0,삼영전자공업,005680
2020-04-06,6840.0,상승  150,6660.0,6870.0,6640.0,25486.0,삼영전자공업,005680
2020-04-07,7200.0,상승  360,6930.0,7200.0,6930.0,60461.0,삼영전자공업,005680
2020-04-08,7140.0,하락  60,7150.0,7310.0,7140.0,52029.0,삼영전자공업,005680
2020-04-09,7310.0,상승  170,7250.0,7340.0,7110.0,31207.0,삼영전자공업,005680
2020-04-10,7330.0,상승  20,7260.0,7450.0,7210.0,20548.0,삼영전자공업,005680
2020-04-13,7060.0,하락  270,7440.0,7440.0,7060.0,18152.0,삼영전자공업,005680
2020-04-14,7150.0,상승  90,7160.0,7170.0,7020.0,23928.0,삼영전자공업,005680
2020-04-16,7080.0,하락  70,7140.0,7200.0,6990.0,37972.0,삼영전자공업,005680
2020-04-17,7160.0,상승  80,7130.0,7250.0,7110.0,45026.0,삼영전자공업,005680
2020-04-20,7290.0,상승  130,7190.0,7360.0,7160.0,31432.0,삼영전자공업,005680
2020-04-21,7130.0,하락  160,7250.0,7320.0,7090.0,31751.0,삼영전자공업,005680
2020-04-22,7160.0,상승  30,7080.0,7190.0,6970.0,47075.0,삼영전자공업,005680
2020-04-23,7210.0,상승  50,7150.0,7250.0,7150.0,11476.0,삼영전자공업,005680
2020-04-24,7070.0,하락  140,7210.0,7210.0,7050.0,20338.0,삼영전자공업,005680
2020-04-27,7140.0,상승  70,7070.0,7200.0,7070.0,17658.0,삼영전자공업,005680
2020-04-28,7140.0,보합0,7220.0,7230.0,7070.0,19310.0,삼영전자공업,005680
2020-04-29,7290.0,상승  150,7170.0,7430.0,7110.0,43464.0,삼영전자공업,005680
2020-05-04,7180.0,하락  110,7150.0,7240.0,7120.0,24858.0,삼영전자공업,005680
2020-05-06,7210.0,상승  30,7270.0,7270.0,7110.0,21775.0,삼영전자공업,005680
2020-05-07,7710.0,상승  500,7210.0,7800.0,7210.0,62467.0,삼영전자공업,005680
2020-05-08,7800.0,상승  90,7690.0,7850.0,7650.0,34187.0,삼영전자공업,005680
2020-05-11,7750.0,하락  50,7860.0,7920.0,7720.0,25668.0,삼영전자공업,005680
2020-05-12,7590.0,하락  160,7800.0,7800.0,7500.0,20369.0,삼영전자공업,005680
2020-05-13,7520.0,하락  70,7460.0,7570.0,7370.0,11641.0,삼영전자공업,005680
2020-05-14,7740.0,상승  220,7490.0,7850.0,7400.0,31735.0,삼영전자공업,005680
2020-05-15,7750.0,상승  10,7740.0,7850.0,7640.0,13732.0,삼영전자공업,005680
2020-05-18,7820.0,상승  70,7820.0,7830.0,7670.0,17681.0,삼영전자공업,005680
2020-05-19,8000.0,상승  180,7850.0,8110.0,7830.0,45496.0,삼영전자공업,005680
2020-05-20,8110.0,상승  110,8000.0,8120.0,7950.0,28328.0,삼영전자공업,005680
2020-05-21,8130.0,상승  20,8060.0,8190.0,8030.0,39128.0,삼영전자공업,005680
2020-05-22,7860.0,하락  270,8110.0,8180.0,7800.0,29113.0,삼영전자공업,005680
2020-05-25,7900.0,상승  40,7860.0,7950.0,7860.0,9934.0,삼영전자공업,005680
2020-05-26,8100.0,상승  200,7990.0,8120.0,7840.0,24744.0,삼영전자공업,005680
2020-05-27,8320.0,상승  220,8100.0,8450.0,8090.0,73484.0,삼영전자공업,005680
2020-05-28,8080.0,하락  240,8430.0,8430.0,7900.0,64860.0,삼영전자공업,005680
2020-05-29,8130.0,상승  50,8080.0,8220.0,7980.0,23927.0,삼영전자공업,005680
2020-06-01,8130.0,보합0,8030.0,8200.0,8030.0,20789.0,삼영전자공업,005680
2020-06-02,8120.0,하락  10,8090.0,8190.0,8060.0,43584.0,삼영전자공업,005680
2020-06-03,8060.0,하락  60,8200.0,8300.0,8060.0,55454.0,삼영전자공업,005680
2020-06-04,8080.0,상승  20,8170.0,8280.0,8040.0,53815.0,삼영전자공업,005680
2020-06-05,8250.0,상승  170,8090.0,8300.0,8080.0,50613.0,삼영전자공업,005680
2020-06-08,8210.0,하락  40,8250.0,8350.0,8160.0,26815.0,삼영전자공업,005680
2020-06-09,8140.0,하락  70,8200.0,8310.0,8110.0,20938.0,삼영전자공업,005680
2020-06-10,8130.0,하락  10,8140.0,8180.0,8100.0,13163.0,삼영전자공업,005680
2020-06-11,7860.0,하락  270,8130.0,8150.0,7850.0,31858.0,삼영전자공업,005680
