날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-13,9980.0,하락  320,9750.0,10250.0,8850.0,112341.0,삼익THK,004380
2020-03-16,9000.0,하락  980,10000.0,10100.0,9000.0,114218.0,삼익THK,004380
2020-03-17,9340.0,상승  340,8750.0,9390.0,8500.0,66665.0,삼익THK,004380
2020-03-18,9130.0,하락  210,9310.0,9910.0,9130.0,50845.0,삼익THK,004380
2020-03-19,8000.0,"하락  1,130",9600.0,9600.0,7500.0,111038.0,삼익THK,004380
2020-03-20,8300.0,상승  300,8070.0,8500.0,7950.0,118172.0,삼익THK,004380
2020-03-23,7590.0,하락  710,8190.0,8190.0,7490.0,46220.0,삼익THK,004380
2020-03-24,7930.0,상승  340,7620.0,7980.0,7610.0,33016.0,삼익THK,004380
2020-03-25,8440.0,상승  510,8270.0,8570.0,8120.0,43113.0,삼익THK,004380
2020-03-26,8770.0,상승  330,8590.0,9000.0,8440.0,38091.0,삼익THK,004380
2020-03-27,8700.0,하락  70,8980.0,9070.0,8480.0,39718.0,삼익THK,004380
2020-03-30,8790.0,상승  90,8500.0,8900.0,8170.0,43034.0,삼익THK,004380
2020-03-31,9400.0,상승  610,9490.0,9700.0,9010.0,43130.0,삼익THK,004380
2020-04-01,9140.0,하락  260,9380.0,9800.0,9130.0,36128.0,삼익THK,004380
2020-04-02,9220.0,상승  80,9140.0,9220.0,8830.0,17445.0,삼익THK,004380
2020-04-03,9220.0,보합0,9390.0,9600.0,9000.0,12709.0,삼익THK,004380
2020-04-06,9520.0,상승  300,9370.0,9660.0,9300.0,12734.0,삼익THK,004380
2020-04-07,9670.0,상승  150,9800.0,9880.0,9520.0,30143.0,삼익THK,004380
2020-04-08,9750.0,상승  80,9600.0,9790.0,9330.0,21195.0,삼익THK,004380
2020-04-09,10050.0,상승  300,9770.0,10100.0,9770.0,33019.0,삼익THK,004380
2020-04-10,10300.0,상승  250,10100.0,10500.0,9960.0,28517.0,삼익THK,004380
2020-04-13,10050.0,하락  250,10450.0,10450.0,10050.0,19928.0,삼익THK,004380
2020-04-14,10150.0,상승  100,10250.0,10350.0,10050.0,15687.0,삼익THK,004380
