날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-13,1260.0,하락  90,1150.0,1280.0,1150.0,1866153.0,삼익악기,002450
2020-03-16,1190.0,하락  70,1265.0,1300.0,1190.0,823446.0,삼익악기,002450
2020-03-17,1180.0,하락  10,1100.0,1225.0,1100.0,589070.0,삼익악기,002450
2020-03-18,1155.0,하락  25,1210.0,1230.0,1120.0,553413.0,삼익악기,002450
2020-03-19,982.0,하락  173,1165.0,1200.0,980.0,2196661.0,삼익악기,002450
2020-03-20,1045.0,상승  63,982.0,1050.0,981.0,1037700.0,삼익악기,002450
2020-03-23,990.0,하락  55,991.0,999.0,965.0,944970.0,삼익악기,002450
2020-03-24,1045.0,상승  55,1010.0,1050.0,999.0,786843.0,삼익악기,002450
2020-03-25,1120.0,상승  75,1080.0,1125.0,1075.0,1370712.0,삼익악기,002450
2020-03-26,1155.0,상승  35,1130.0,1200.0,1100.0,960735.0,삼익악기,002450
2020-03-27,1165.0,상승  10,1190.0,1230.0,1115.0,968264.0,삼익악기,002450
2020-03-30,1250.0,상승  85,1125.0,1315.0,1100.0,2961003.0,삼익악기,002450
2020-03-31,1280.0,상승  30,1295.0,1300.0,1245.0,1362395.0,삼익악기,002450
2020-04-01,1250.0,하락  30,1270.0,1350.0,1245.0,1203109.0,삼익악기,002450
2020-04-02,1285.0,상승  35,1255.0,1290.0,1220.0,615887.0,삼익악기,002450
2020-04-03,1285.0,보합0,1335.0,1335.0,1265.0,530073.0,삼익악기,002450
2020-04-06,1325.0,상승  40,1290.0,1330.0,1285.0,827265.0,삼익악기,002450
2020-04-07,1375.0,상승  50,1355.0,1385.0,1330.0,799833.0,삼익악기,002450
2020-04-08,1400.0,상승  25,1370.0,1440.0,1345.0,1083275.0,삼익악기,002450
2020-04-09,1430.0,상승  30,1430.0,1455.0,1410.0,764637.0,삼익악기,002450
2020-04-10,1450.0,상승  20,1445.0,1455.0,1390.0,880974.0,삼익악기,002450
2020-04-13,1425.0,하락  25,1440.0,1485.0,1420.0,437887.0,삼익악기,002450
2020-04-14,1455.0,상승  30,1435.0,1480.0,1425.0,367798.0,삼익악기,002450
2020-04-16,1465.0,상승  10,1445.0,1475.0,1420.0,252964.0,삼익악기,002450
2020-04-17,1490.0,상승  25,1485.0,1505.0,1470.0,508068.0,삼익악기,002450
2020-04-20,1495.0,상승  5,1495.0,1515.0,1480.0,471588.0,삼익악기,002450
2020-04-21,1445.0,하락  50,1480.0,1500.0,1375.0,891873.0,삼익악기,002450
2020-04-22,1445.0,보합0,1430.0,1450.0,1390.0,448076.0,삼익악기,002450
2020-04-23,1485.0,상승  40,1455.0,1505.0,1450.0,443526.0,삼익악기,002450
2020-04-24,1435.0,하락  50,1480.0,1490.0,1420.0,416336.0,삼익악기,002450
2020-04-27,1450.0,상승  15,1450.0,1465.0,1435.0,452335.0,삼익악기,002450
2020-04-28,1445.0,하락  5,1460.0,1470.0,1435.0,474935.0,삼익악기,002450
2020-04-29,1460.0,상승  15,1455.0,1470.0,1450.0,477264.0,삼익악기,002450
2020-05-04,1460.0,보합0,1440.0,1470.0,1440.0,234470.0,삼익악기,002450
2020-05-06,1560.0,상승  100,1470.0,1570.0,1470.0,1094265.0,삼익악기,002450
2020-05-07,1545.0,하락  15,1570.0,1575.0,1530.0,523363.0,삼익악기,002450
2020-05-08,1555.0,상승  10,1555.0,1590.0,1550.0,391286.0,삼익악기,002450
2020-05-11,1515.0,하락  40,1565.0,1565.0,1515.0,414645.0,삼익악기,002450
2020-05-12,1515.0,보합0,1520.0,1540.0,1460.0,572978.0,삼익악기,002450
2020-05-13,1510.0,하락  5,1480.0,1520.0,1480.0,306522.0,삼익악기,002450
2020-05-14,1475.0,하락  35,1510.0,1510.0,1460.0,306665.0,삼익악기,002450
2020-05-15,1460.0,하락  15,1480.0,1490.0,1445.0,374624.0,삼익악기,002450
2020-05-18,1455.0,하락  5,1460.0,1480.0,1445.0,285289.0,삼익악기,002450
2020-05-19,1475.0,상승  20,1485.0,1485.0,1460.0,357172.0,삼익악기,002450
2020-05-20,1515.0,상승  40,1475.0,1525.0,1465.0,503758.0,삼익악기,002450
2020-05-21,1530.0,상승  15,1535.0,1555.0,1515.0,455242.0,삼익악기,002450
2020-05-22,1490.0,하락  40,1520.0,1530.0,1480.0,345700.0,삼익악기,002450
2020-05-25,1480.0,하락  10,1490.0,1500.0,1455.0,393367.0,삼익악기,002450
2020-05-26,1505.0,상승  25,1480.0,1515.0,1480.0,570108.0,삼익악기,002450
2020-05-27,1520.0,상승  15,1530.0,1560.0,1510.0,716760.0,삼익악기,002450
2020-05-28,1480.0,하락  40,1530.0,1530.0,1460.0,561329.0,삼익악기,002450
2020-05-29,1480.0,보합0,1465.0,1500.0,1465.0,263426.0,삼익악기,002450
2020-06-01,1520.0,상승  40,1485.0,1535.0,1480.0,853793.0,삼익악기,002450
2020-06-02,1535.0,상승  15,1520.0,1545.0,1515.0,553582.0,삼익악기,002450
2020-06-03,1530.0,하락  5,1545.0,1555.0,1515.0,484052.0,삼익악기,002450
2020-06-04,1620.0,상승  90,1540.0,1730.0,1505.0,5070369.0,삼익악기,002450
2020-06-05,1615.0,하락  5,1620.0,1690.0,1585.0,2951603.0,삼익악기,002450
2020-06-08,1600.0,하락  15,1640.0,1645.0,1600.0,477956.0,삼익악기,002450
2020-06-09,1570.0,하락  30,1610.0,1610.0,1555.0,542288.0,삼익악기,002450
2020-06-10,1580.0,상승  10,1565.0,1590.0,1555.0,261600.0,삼익악기,002450
2020-06-11,1540.0,하락  40,1565.0,1580.0,1530.0,579444.0,삼익악기,002450
2020-06-12,1480.0,하락  60,1445.0,1480.0,1400.0,883412.0,삼익악기,002450
2020-06-15,1370.0,하락  110,1475.0,1480.0,1360.0,1003323.0,삼익악기,002450
2020-06-16,1420.0,상승  50,1410.0,1430.0,1400.0,667706.0,삼익악기,002450
2020-06-17,1405.0,하락  15,1405.0,1430.0,1380.0,297183.0,삼익악기,002450
2020-06-18,1420.0,상승  15,1410.0,1430.0,1385.0,177232.0,삼익악기,002450
2020-06-19,1495.0,상승  75,1430.0,1495.0,1420.0,745036.0,삼익악기,002450
2020-06-22,1460.0,하락  35,1495.0,1495.0,1455.0,310906.0,삼익악기,002450
2020-06-23,1450.0,하락  10,1480.0,1480.0,1425.0,223184.0,삼익악기,002450
2020-06-24,1440.0,하락  10,1450.0,1460.0,1405.0,599903.0,삼익악기,002450
2020-06-25,1405.0,하락  35,1410.0,1430.0,1395.0,303924.0,삼익악기,002450
2020-06-26,1400.0,하락  5,1415.0,1425.0,1400.0,296023.0,삼익악기,002450
